wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
1,1,1,li,li,le,5519,Det,Det,C/V\,"GautArrEr, v. 5519"
2,1,2,messagier,messagier,messager,5519,N,N,C/V\.C/V\.'C/V\,"GautArrEr, v. 5519"
3,1,3,sont,sont,être,5519,Vfin,Vfin,C/V\,"GautArrEr, v. 5519"
4,1,4,esleu,esleu,élire,5519,Vpp,Vpp,/V\.C/(V)\.'/V\,"GautArrEr, v. 5519"
5,1,5,",",",",",",5519,Pnc,Pnc,,"GautArrEr, v. 5519"
6,2,1,vers,vers,vers,5520,Pre,Pre,C/V\,"GautArrEr, v. 5520"
7,2,2,le,le,le,5520,Det,Det,C/(e)\,"GautArrEr, v. 5520"
8,2,3,riviere,riviere,rivière,5520,N,N,C/V\.'C/V\.C/(e)\,"GautArrEr, v. 5520"
9,2,4,sont,sont,être,5520,Vfin,Vfin,C/V\,"GautArrEr, v. 5520"
10,2,5,meu,meu,mouvoir,5520,Vpp,Vpp,C/(V)\.'/V\,"GautArrEr, v. 5520"
11,2,6,.,.,.,5520,Pnc,Pnc,,"GautArrEr, v. 5520"
12,3,1,illuec,illuec,illuec,5521,Adv,Adv,/V\.'C/V\,"GautArrEr, v. 5521"
13,3,2,se,se,se,5521,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5521"
14,3,3,font,font,faire,5521,Vfin,Vfin,C/V\,"GautArrEr, v. 5521"
15,3,4,li,li,le,5521,Det,Det,C/V\,"GautArrEr, v. 5521"
16,3,5,messagier,messagier,messager,5521,N,N,C/V\.C/V\.'C/V\,"GautArrEr, v. 5521"
17,4,1,en,en,en,5522,Pre,Pre,/V\,"GautArrEr, v. 5522"
18,4,2,une,une,un,5522,QIs,QIs,'/V\.C/(e)\,"GautArrEr, v. 5522"
19,4,3,nef,nef,nef,5522,N,N,C/V\,"GautArrEr, v. 5522"
20,4,4,outre,outre,outre,5522,PrA,PrA,'/V\.C/(e)\,"GautArrEr, v. 5522"
21,4,5,nagier,nagier,nager,5522,Vinf,Vinf,C/V\.'C/V\,"GautArrEr, v. 5522"
22,4,6,.,.,.,5522,Pnc,Pnc,,"GautArrEr, v. 5522"
23,5,1,ne,ne,ne,5523,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5523"
