wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,onques,onques,ADV,13,Adv,Adv,onques,'/V\.C/e\,"AdHaleFeuill, v. 13"
2,1,2,d',d,PRE,13,Pre,Pre,de,C/\,"AdHaleFeuill, v. 13"
3,1,3,arras,arras,NPR:obj:masc:sg,13,N,N,Arras,/V\.'C/V\,"AdHaleFeuill, v. 13"
4,1,4,bons,bons,ADJ:suj:masc:sg,13,Adj,Adj,bon,C/V\,"AdHaleFeuill, v. 13"
5,1,5,clers,clers,NOM:suj:masc:sg,13,N,N,clerc,C/V\,"AdHaleFeuill, v. 13"
6,1,6,n,n,PRO:clit,13,Neg,Neg$$,ne,C/\,"AdHaleFeuill, v. 13"
7,1,7,issi,issi,VER:simp:3:sg,13,Vfin,Vfin,issir,/V\.'C/V\,"AdHaleFeuill, v. 13"
8,2,1,et,et,CON:coord,14,Crd,Crd,et,/V\,"AdHaleFeuill, v. 14"
9,2,2,tu,tu,PRO:pers:suj:2:sg:unb,14,Prn,Prn$,tu,C/V\,"AdHaleFeuill, v. 14"
10,2,3,le,le,PRO:pers:obj:3:masc:sg:unb,14,Prn,Prn$$,le,C/(e)\,"AdHaleFeuill, v. 14"
11,2,4,veus,veus,VER:pres:2:sg,14,Vfin,Vfin,vouloir,C/V\,"AdHaleFeuill, v. 14"
12,2,5,faire,faire,VER:infi,14,Vinf,Vinf,faire,'C/V\.C/(e)\,"AdHaleFeuill, v. 14"
13,2,6,de,de,PRE,14,Pre,Pre,de,C/(e)\,"AdHaleFeuill, v. 14"
14,2,7,ti,ti,PRO:pers:obj:2:sg:bet,14,Prn,Prn,toi,C/V\,"AdHaleFeuill, v. 14"
15,3,1,che,che,PRO:invar,15,Prn,Prn,ce,C/(e)\,"AdHaleFeuill, v. 15"
16,3,2,seroit,seroit,VER:cond:3:sg,15,Vfin,Vfin,être,C/V\.'C/V\,"AdHaleFeuill, v. 15"
17,3,3,grans,grans,ADJ:suj:femi:sg,15,Adj,Adj,grand,C/V\,"AdHaleFeuill, v. 15"
18,3,4,abusions,abusions,NOM:suj:femi:sg,15,N,N,abusion,/V\.C/V\.C/{V}\.'/V\,"AdHaleFeuill, v. 15"
19,4,1,n,n,PRO:clit,16,Neg,Neg$$,ne,C/\,"AdHaleFeuill, v. 16"
20,4,2,est,est,VER:pres:3:sg,16,Vfin,Vfin,être,/V\,"AdHaleFeuill, v. 16"
21,4,3,mie,mie,ADV,16,Neg,Neg,mie3,'C/V\./(e)\,"AdHaleFeuill, v. 16"
22,4,4,riquiers,riquiers,NPR:suj:masc:sg,16,N,N,Riquier,C/V\.'C/V\,"AdHaleFeuill, v. 16"
23,4,5,amions,amions,NPR:suj:masc:sg,16,N,N,Amion,/V\.C/V\.'C/V\,"AdHaleFeuill, v. 16"
24,5,1,bons,bons,ADJ:suj:masc:sg,17,Adj,Adj,bon,C/V\,"AdHaleFeuill, v. 17"
25,5,2,clers,clers,NOM:suj:masc:sg,17,N,N,clerc,C/V\,"AdHaleFeuill, v. 17"
26,5,3,et,et,CON:coord,17,Crd,Crd,et,/V\,"AdHaleFeuill, v. 17"
27,5,4,soutiex,soutiex,ADJ:suj:masc:sg,17,Adj,Adj,subtil,C/V\.'C/V\,"AdHaleFeuill, v. 17"
28,5,5,en,en,PRE,17,Pre,Pre,en,/V\,"AdHaleFeuill, v. 17"
29,5,6,sen,sen,DET:poss:obj:masc:sg,17,Det,Det,son4,C/V\,"AdHaleFeuill, v. 17"
30,5,7,livre,livre,NOM:obj:masc:sg,17,N,N,livre,'C/V\.C/(e)\,"AdHaleFeuill, v. 17"
31,6,1,oïl,oïl,ADV,18,NVP,NVP,oui,/{V}\.'/V\,"AdHaleFeuill, v. 18"
32,6,2,pour,pour,PRE,18,Pre,Pre,pour,C/V\,"AdHaleFeuill, v. 18"
33,6,3,.ii.,deus,ADJ:card,18,QIs,QIs,deux,C/V\,"AdHaleFeuill, v. 18"
34,6,4,deniers,deniers,NOM:obj:masc:pl,18,N,N,denier,C/V\.C/<V>\.'/V\,"AdHaleFeuill, v. 18"
35,6,5,le,le,DET:def:obj:femi:sg,18,Det,Det,le,C/(e)\,"AdHaleFeuill, v. 18"
36,6,6,livre,livre,NOM:obj:femi:sg,18,N,N,livre,'C/V\.C/(e)\,"AdHaleFeuill, v. 18"
37,7,1,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\,"AdHaleFeuill, v. 19"
38,7,2,ne,ne,PRO:clit,19,Neg,Neg$$,ne,C/(e)\,"AdHaleFeuill, v. 19"
39,7,3,voi,voi,VER:pres:1:sg,19,Vfin,Vfin,voir,C/V\,"AdHaleFeuill, v. 19"
40,7,4,qu,qu,PROCON,19,Sub,Sub,que,C/\,"AdHaleFeuill, v. 19"
41,7,5,il,il,PRO:pers:suj:3:masc:sg:unb,19,Prn,Prn$,il,/V\,"AdHaleFeuill, v. 19"
42,7,6,sache,sache,VER:subp:3:sg,19,Vfin,Vfin,savoir,'C/V\.C/(e)\,"AdHaleFeuill, v. 19"
43,7,7,autre,autre,ADJ:obj:femi:sg,19,Adj,Adj,autre,'/V\.C/(e)\,"AdHaleFeuill, v. 19"
44,7,8,cose,cose,NOM:obj:femi:sg,19,N,N,chose,'C/V\.C/(e)\,"AdHaleFeuill, v. 19"
45,8,1,mais,mais,CON:coord,20,Crd,Crd,mais,C/V\,"AdHaleFeuill, v. 20"
46,8,2,nus,nus,PRO:ind:suj:masc:sg,20,QIs,QIs,nul,C/V\,"AdHaleFeuill, v. 20"
47,8,3,reprendre,reprendre,VER:infi,20,Vinf,Vinf,reprendre,C/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 20"
48,8,4,ne,ne,PRO:clit,20,Neg,Neg$$,ne,C/(e)\,"AdHaleFeuill, v. 20"
49,8,5,vous,vous,PRO:pers:2:pl,20,Prn,Prn$$,vous,C/V\,"AdHaleFeuill, v. 20"
50,8,6,ose,ose,VER:pres:3:sg,20,Vfin,Vfin,oser,'/V\.C/(e)\,"AdHaleFeuill, v. 20"
51,9,1,tant,tant,ADV,21,QIs,QIs,tant,C/V\,"AdHaleFeuill, v. 21"
52,9,2,avés,avés,VER:pres:2:pl,21,Vfin,Vfin,avoir,/V\.'C/V\,"AdHaleFeuill, v. 21"
53,9,3,vous,vous,PRO:pers:2:pl,21,Prn,Prn%,vous,C/V\,"AdHaleFeuill, v. 21"
54,9,4,muavle,muavle,ADJ:obj:masc:sg,21,Adj,Adj,muable,C/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 21"
55,9,5,chief,chief,NOM:obj:masc:sg,21,N,N,chef,C/V\,"AdHaleFeuill, v. 21"
56,10,1,cuidiés,cuidiés,VER:pres:2:pl,22,Vfin,Vfin,cuider,C/V\.'C/V\,"AdHaleFeuill, v. 22"
57,10,2,vous,vous,PRO:pers:2:pl,22,Prn,Prn%,vous,C/V\,"AdHaleFeuill, v. 22"
58,10,3,qu,qu,PROCON,22,Sub,Sub,que,C/\,"AdHaleFeuill, v. 22"
59,10,4,il,il,PRO:pers:suj:3:masc:sg:unb,22,Prn,Prn$,il,/V\,"AdHaleFeuill, v. 22"
60,10,5,venist,venist,VER:subi:3:sg,22,Vfin,Vfin,venir,C/V\.'C/V\,"AdHaleFeuill, v. 22"
61,10,6,a,a,PRE,22,Pre,Pre,à,/V\,"AdHaleFeuill, v. 22"
62,10,7,chief,chief,NOM:obj:masc:sg,22,N,N,chef,C/V\,"AdHaleFeuill, v. 22"
63,11,1,biaus,biaus,ADJ:suj:masc:sg,23,Adj,Adj,beau,C/V\,"AdHaleFeuill, v. 23"
64,11,2,dous,dous,ADJ:suj:masc:sg,23,Adj,Adj,doux,C/V\,"AdHaleFeuill, v. 23"
65,11,3,amis,amis,NOM:suj:masc:sg,23,N,N,ami,/V\.'C/V\,"AdHaleFeuill, v. 23"
66,11,4,de,de,PRE,23,Pre,Pre,de,C/(e)\,"AdHaleFeuill, v. 23"
67,11,5,che,che,PRO:invar,23,Prn,Prn,ce,C/(e)\,"AdHaleFeuill, v. 23"
68,11,6,qu,qu,PROCON,23,Qux,Qux,que,C/\,"AdHaleFeuill, v. 23"
69,11,7,il,il,PRO:pers:suj:3:masc:sg:unb,23,Prn,Prn$,il,/V\,"AdHaleFeuill, v. 23"
70,11,8,dist,dist,VER:pres:3:sg,23,Vfin,Vfin,dire,C/V\,"AdHaleFeuill, v. 23"
71,12,1,chascuns,chascuns,PRO:ind:suj:masc:sg,24,QIs,QIs,chacun,C/V\.'C/V\,"AdHaleFeuill, v. 24"
72,12,2,mes,mes,DET:poss:obj:femi:pl,24,Det,Det,mon,C/V\,"AdHaleFeuill, v. 24"
73,12,3,paroles,paroles,NOM:obj:femi:pl,24,N,N,parole,C/V\.'C/V\.C/e\,"AdHaleFeuill, v. 24"
74,12,4,despist,despist,VER:pres:3:sg,24,Vfin,Vfin,dépire,C/V\.'C/V\,"AdHaleFeuill, v. 24"
75,13,1,che,che,PRO:invar,25,Prn,Prn,ce,C/(e)\,"AdHaleFeuill, v. 25"
76,13,2,me,me,PRO:pers:obj:1:sg:unb,25,Prn,Prn$$,me,C/(e)\,"AdHaleFeuill, v. 25"
77,13,3,sanle,sanle,VER:pres:3:sg,25,Vfin,Vfin,sembler,'C/V\.C/(e)\,"AdHaleFeuill, v. 25"
78,13,4,et,et,CON:coord,25,Crd,Crd,et,/V\,"AdHaleFeuill, v. 25"
79,13,5,giete,giete,VER:pres:3:sg,25,Vfin,Vfin,jeter,'C/V\.C/(e)\,"AdHaleFeuill, v. 25"
80,13,6,mout,mout,ADV,25,QIs,QIs,moult,C/V\,"AdHaleFeuill, v. 25"
81,13,7,lonc,lonc,ADV,25,Adj,Adj,long,C/V\,"AdHaleFeuill, v. 25"
82,14,1,mais,mais,CON:coord,26,Crd,Crd,mais,C/V\,"AdHaleFeuill, v. 26"
83,14,2,puisque,puisque,CON:subord,26,Sub,Sub,puisque,'C/V\.C/(e)\,"AdHaleFeuill, v. 26"
84,14,3,che,che,PRO:invar,26,Prn,Prn,ce,C/(e)\,"AdHaleFeuill, v. 26"
85,14,4,vient,vient,VER:pres:3:sg,26,Vfin,Vfin,venir,C/V\,"AdHaleFeuill, v. 26"
86,14,5,au,au,PREDET:a:obj:masc:sg,26,Pre+Det,Pre+Det,à.le,/V\,"AdHaleFeuill, v. 26"
87,14,6,besoing,besoing,NOM:obj:masc:sg,26,N,N,besoin,C/V\.'C/V\,"AdHaleFeuill, v. 26"
88,15,1,et,et,CON:coord,27,Crd,Crd,et,/V\,"AdHaleFeuill, v. 27"
89,15,2,que,que,PROCON,27,Sub,Sub,que,C/(e)\,"AdHaleFeuill, v. 27"
90,15,3,par,par,PRE,27,Pre,Pre,par,C/V\,"AdHaleFeuill, v. 27"
91,15,4,moi,moi,PRO:pers:obj:1:sg:bet,27,Prn,Prn,moi,C/V\,"AdHaleFeuill, v. 27"
92,15,5,m',m,PRO:pers:obj:1:sg:unb,27,Prn,Prn$$,me,C/\,"AdHaleFeuill, v. 27"
93,15,6,estuet,estuet,VER:pres:3:sg,27,Vfin,Vfin,estovoir,/V\.'C/V\,"AdHaleFeuill, v. 27"
94,15,7,aidier,aidier,VER:infi,27,Vinf,Vinf,aider,/V\.C/<V>\.'/V\,"AdHaleFeuill, v. 27"
95,16,1,sachiés,sachiés,VER:impe:2:pl,28,Vfin,Vfin,savoir,C/V\.'C/V\,"AdHaleFeuill, v. 28"
96,16,2,je,je,PRO:pers:suj:1:sg:unb,28,Prn,Prn$,je,C/(e)\,"AdHaleFeuill, v. 28"
97,16,3,n,n,PRO:clit,28,Neg,Neg$$,ne,C/\,"AdHaleFeuill, v. 28"
98,16,4,ai,ai,VER:pres:1:sg,28,Vfin,Vfin,avoir,/V\,"AdHaleFeuill, v. 28"
99,16,5,mie,mie,ADV,28,Neg,Neg,mie3,'C/V\./(e)\,"AdHaleFeuill, v. 28"
100,16,6,si,si,PROCON,28,Adv,Adv,si4,C/V\,"AdHaleFeuill, v. 28"
101,16,7,chier,chier,ADJ:obj:masc:sg,28,Adj,Adj,cher,C/V\,"AdHaleFeuill, v. 28"
102,17,1,le,le,DET:def:obj:masc:sg,29,Det,Det,le,C/(e)\,"AdHaleFeuill, v. 29"
103,17,2,sejour,sejour,NOM:obj:masc:sg,29,N,N,séjour,C/V\.'C/V\,"AdHaleFeuill, v. 29"
104,17,3,d',d,PRE,29,Pre,Pre,de,C/\,"AdHaleFeuill, v. 29"
105,17,4,arras,arras,NPR:obj:masc:sg,29,N,N,Arras,/V\.'C/V\,"AdHaleFeuill, v. 29"
106,17,5,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,"AdHaleFeuill, v. 29"
107,17,6,le,le,DET:def:obj:femi:sg,29,Det,Det,le,C/(e)\,"AdHaleFeuill, v. 29"
108,17,7,joie,joie,NOM:obj:femi:sg,29,N,N,joie,'C/V\./(e)\,"AdHaleFeuill, v. 29"
109,18,1,que,que,PROCON,30,Sub,Sub,que,C/(e)\,"AdHaleFeuill, v. 30"
110,18,2,l',l,DET:def:obj:masc:sg,30,Det,Det,le,C/\,"AdHaleFeuill, v. 30"
111,18,3,aprendre,aprendre,VER:infi,30,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 30"
112,18,4,laissier,laissier,VER:infi,30,Vinf,Vinf,laisser,C/V\.'C/V\,"AdHaleFeuill, v. 30"
113,18,5,en,en,PRO:clit,30,Prn,Prn$$,en2,/V\,"AdHaleFeuill, v. 30"
114,18,6,doie,doie,VER:subp:1:sg,30,Vfin,Vfin,devoir2,'C/V\./(e)\,"AdHaleFeuill, v. 30"
115,19,1,puisque,puisque,CON:subord,31,Sub,Sub,puisque,'C/V\.C/(e)\,"AdHaleFeuill, v. 31"
116,19,2,diex,diex,NOM:suj:masc:sg,31,N,N,dieu,C/V\,"AdHaleFeuill, v. 31"
117,19,3,m',m,PRO:pers:obj:1:sg:unb,31,Prn,Prn$$,me,C/\,"AdHaleFeuill, v. 31"
118,19,4,a,a,VER:pres:3:sg,31,Vfin,Vfin,avoir,/V\,"AdHaleFeuill, v. 31"
119,19,5,donné,donné,VER:pper:masc:sg,31,Vpp,Vpp,donner,C/V\.'C/V\,"AdHaleFeuill, v. 31"
120,19,6,engien,engien,NOM:obj:masc:sg,31,N,N,engin,/V\.'C/V\,"AdHaleFeuill, v. 31"
121,20,1,tans,tans,NOM:suj:masc:sg,32,N,N,temps,C/V\,"AdHaleFeuill, v. 32"
122,20,2,est,est,VER:pres:3:sg,32,Vfin,Vfin,être,/V\,"AdHaleFeuill, v. 32"
123,20,3,que,que,PROCON,32,Sub,Sub,que,C/(e)\,"AdHaleFeuill, v. 32"
124,20,4,je,je,PRO:pers:suj:1:sg:unb,32,Prn,Prn$,je,C/(e)\,"AdHaleFeuill, v. 32"
125,20,5,l',l,PRO:pers:obj:3:masc:sg:unb,32,Prn,Prn$$,le,C/\,"AdHaleFeuill, v. 32"
126,20,6,atour,atour,VER:pres:1:sg,32,Vfin,Vfin,atourner,/V\.'C/V\,"AdHaleFeuill, v. 32"
127,20,7,a,a,PRE,32,Pre,Pre,à,/V\,"AdHaleFeuill, v. 32"
128,20,8,bien,bien,NOM:obj:masc:sg,32,Adv,Adv,bien,C/V\,"AdHaleFeuill, v. 32"
129,21,1,j,j,PRO:pers:suj:1:sg:unb,33,Prn,Prn$,je,C/\,"AdHaleFeuill, v. 33"
130,21,2,ai,ai,VER:pres:1:sg,33,Vfin,Vfin,avoir,/V\,"AdHaleFeuill, v. 33"
131,21,3,chi,chi,ADV,33,Adv,Adv,ci,C/V\,"AdHaleFeuill, v. 33"
132,21,4,assés,assés,ADV,33,Adv,Adv,assez,/V\.'C/V\,"AdHaleFeuill, v. 33"
133,21,5,me,me,DET:poss:obj:femi:sg,33,Det,Det,mon,C/(e)\,"AdHaleFeuill, v. 33"
134,21,6,bourse,bourse,NOM:obj:femi:sg,33,N,N,bourse,'C/V\.C/(e)\,"AdHaleFeuill, v. 33"
135,21,7,escouse,escouse,VER:pper:femi:sg,33,Vpp,Vpp,escourre,/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 33"
136,22,1,que,que,PROCON,34,Qux,Qux,que,C/(e)\,"AdHaleFeuill, v. 34"
137,22,2,devenra,devenra,VER:futu:3:sg,34,Vfin,Vfin,devenir,C/V\.C/V\.'C/V\,"AdHaleFeuill, v. 34"
138,22,3,dont,dont,ADV,34,Adv,Adv,donc,C/V\,"AdHaleFeuill, v. 34"
139,22,4,li,li,DET:def:suj:femi:sg,34,Det,Det,le,C/V\,"AdHaleFeuill, v. 34"
140,22,5,pagousse,pagousse,NOM:suj:femi:sg,34,N,N,pagosse,C/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 34"
141,23,1,me,me,DET:poss:suj:femi:sg,35,Det,Det,mon,C/(e)\,"AdHaleFeuill, v. 35"
142,23,2,commere,commere,NOM:suj:femi:sg,35,N,N,commère,C/V\.'C/V\.C/(e)\,"AdHaleFeuill, v. 35"
143,23,3,dame,dame,NOM:suj:femi:sg,35,N,N,dame,'C/V\.C/(e)\,"AdHaleFeuill, v. 35"
144,23,4,maroie,maroie,NPR:suj:femi:sg,35,N,N,Marie,C/V\.'C/V\./(e)\,"AdHaleFeuill, v. 35"
145,24,1,biaus,biaus,ADJ:suj:masc:sg,36,Adj,Adj,beau,C/V\,"AdHaleFeuill, v. 36"
146,24,2,sire,sire,NOM:suj:masc:sg,36,N,N,sire,'C/V\.C/(e)\,"AdHaleFeuill, v. 36"
147,24,3,avoec,avoec,PRE,36,PrA,PrA,avec,/V\.'C/V\,"AdHaleFeuill, v. 36"
148,24,4,men,men,DET:poss:obj:masc:sg,36,Det,Det,mon,C/V\,"AdHaleFeuill, v. 36"
149,24,5,pere,pere,NOM:obj:masc:sg,36,N,N,père,'C/V\.C/(e)\,"AdHaleFeuill, v. 36"
150,24,6,iert,iert,VER:futu:3:sg,36,Vfin,Vfin,être,/V\,"AdHaleFeuill, v. 36"
151,24,7,chi,chi,ADV,36,Adv,Adv,ci,C/V\,"AdHaleFeuill, v. 36"
152,25,1,maistres,maistres,NOM:suj:masc:sg,37,N,N,maître,'C/V\.C/e\,"AdHaleFeuill, v. 37"
153,25,2,il,il,PRO:pers:suj:3:masc:sg:unb,37,Prn,Prn$,il,/V\,"AdHaleFeuill, v. 37"
154,25,3,n,n,PRO:clit,37,Neg,Neg$$,ne,C/\,"AdHaleFeuill, v. 37"
155,25,4,ira,ira,VER:futu:3:sg,37,Vfin,Vfin,aller,/V\.'C/V\,"AdHaleFeuill, v. 37"
156,25,5,mie,mie,ADV,37,Neg,Neg,mie3,'C/V\./(e)\,"AdHaleFeuill, v. 37"
157,25,6,ensi,ensi,ADV,37,Adv,Adv,ainsi,/V\.'C/V\,"AdHaleFeuill, v. 37"
158,26,1,s,s,PROCON,38,Sub,Sub,si3,C/\,"AdHaleFeuill, v. 38"
159,26,2,ele,ele,PRO:pers:suj:3:femi:sg,38,Prn,Prn$,elle,'/V\.C/(e)\,"AdHaleFeuill, v. 38"
160,26,3,se,se,PROCON,38,Prn,Prn$$,se,C/(e)\,"AdHaleFeuill, v. 38"
161,26,4,puet,puet,VER:pres:3:sg,38,Vfin,Vfin,pouvoir2,C/V\,"AdHaleFeuill, v. 38"
162,26,5,metre,metre,VER:infi,38,Vinf,Vinf,mettre,'C/V\.C/(e)\,"AdHaleFeuill, v. 38"
163,26,6,a,a,PRE,38,Pre,Pre,à,/V\,"AdHaleFeuill, v. 38"
164,26,7,le,le,DET:def:obj:femi:sg,38,Det,Det,le,C/(e)\,"AdHaleFeuill, v. 38"
165,26,8,voie,voie,NOM:obj:femi:sg,38,N,N,voie,'C/V\./(e)\,"AdHaleFeuill, v. 38"
166,27,1,car,car,CON:coord,39,Crd,Crd,car,C/V\,"AdHaleFeuill, v. 39"
167,27,2,bien,bien,ADV,39,Adv,Adv,bien,C/V\,"AdHaleFeuill, v. 39"
168,27,3,sai,sai,VER:pres:1:sg,39,Vfin,Vfin,savoir,C/V\,"AdHaleFeuill, v. 39"
