wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,Li,li,965,Det,Det,le,C/V\,"AimonFl, v. 965"
2,1,2,rois,rois,965,N,N,roi,C/V\,"AimonFl, v. 965"
3,1,3,ait,ait,965,Vfin,Vfin,avoir,/V\,"AimonFl, v. 965"
4,1,4,tres,tres,965,Adv,Adv,très,C/V\,"AimonFl, v. 965"
5,1,5,bien,bien,965,Adv,Adv,bien,C/V\,"AimonFl, v. 965"
6,1,6,escouté,escouté,965,Vpp,Vpp,écouter,/V\.C/V\.'C/V\,"AimonFl, v. 965"
7,2,1,Seu,seu,966,Prn,Prn,ce,C/V\,"AimonFl, v. 966"
8,2,2,que,que,966,Qux,Qux,que,C/(e)\,"AimonFl, v. 966"
9,2,3,Damians,damians,966,N,N,Damien,C/V\.C/{V}\.'/V\,"AimonFl, v. 966"
10,2,4,ait,ait,966,Vfin,Vfin,avoir,/V\,"AimonFl, v. 966"
11,2,5,conté,conté,966,Vpp,Vpp,conter,C/V\.'C/V\,"AimonFl, v. 966"
12,2,6,",",",",966,Pnc,Pnc,",",,"AimonFl, v. 966"
13,3,1,A,a,967,Pre,Pre,à,/V\,"AimonFl, v. 967"
14,3,2,seneschal,seneschal,967,N,N,sénéchal,C/V\.C/e\.'C/V\,"AimonFl, v. 967"
15,3,3,dist,dist,967,Vfin,Vfin,dire,C/V\,"AimonFl, v. 967"
16,3,4,et,et,967,Crd,Crd,et,/V\,"AimonFl, v. 967"
17,3,5,re[s]pont,respont,967,Vfin,Vfin,répondre,C/V\.'C/V\,"AimonFl, v. 967"
18,4,1,Et,et,968,Crd,Crd,et,/V\,"AimonFl, v. 968"
19,4,2,as,as,968,Pre+Det,Pre+Det,à.le,/V\,"AimonFl, v. 968"
20,4,3,atres,atres,968,Adj,Adj,autre,'/V\.C/e\,"AimonFl, v. 968"
21,4,4,qui,qui,968,Qux,Qux,qui,C/V\,"AimonFl, v. 968"
22,4,5,iluec,iluec,968,Adv,Adv,illuec,/V\.'C/V\,"AimonFl, v. 968"
23,4,6,sont,sont,968,Vfin,Vfin,être,C/V\,"AimonFl, v. 968"
24,4,7,;,;,968,Pnc,Pnc,;,,"AimonFl, v. 968"
25,5,1,«,«,969,Pnc,Pnc,«,,"AimonFl, v. 969"
26,5,2,Signor,signor,969,N,N,seigneur,C/V\.'C/V\,"AimonFl, v. 969"
27,5,3,",",",",969,Pnc,Pnc,",",,"AimonFl, v. 969"
28,5,4,vostre,vostre,969,Det,Det,votre,'C/V\.C/(e)\,"AimonFl, v. 969"
29,5,5,voloir,voloir,969,N,N,vouloir,C/V\.'C/V\,"AimonFl, v. 969"
30,5,6,ferai,ferai,969,Vfin,Vfin,faire,C/V\.'C/V\,"AimonFl, v. 969"
31,5,7,.,.,969,Pnc,Pnc,.,,"AimonFl, v. 969"
32,6,1,Alez,alez,970,Vfin,Vfin,aller,/V\.'C/V\,"AimonFl, v. 970"
33,6,2,i,i,970,Prn,Prn%,y2,/V\,"AimonFl, v. 970"
34,6,3,",",",",970,Pnc,Pnc,",",,"AimonFl, v. 970"
35,6,4,que,que,970,Sub,Sub,que,C/(e)\,"AimonFl, v. 970"
36,6,5,je,je,970,Prn,Prn$,je,C/(e)\,"AimonFl, v. 970"
37,6,6,la,la,970,Prn,Prn$$,le,C/V\,"AimonFl, v. 970"
38,6,7,prendrai,prendrai,970,Vfin,Vfin,prendre,C/V\.'C/V\,"AimonFl, v. 970"
