wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,Or,or,51,Adv,Adv,or,/V\,"ChrPisMut, v. 51"
2,1,2,vueil,vueil,51,Vfin,Vfin,vouloir,C/V\,"ChrPisMut, v. 51"
3,1,3,compter,compter,51,Vinf,Vinf,conter,C/V\.'C/V\,"ChrPisMut, v. 51"
4,1,4,une,une,51,QIs,QIs,un,'/V\.C/(e)\,"ChrPisMut, v. 51"
5,1,5,aventure,aventure,51,N,N,aventure,/V\.C/V\.'C/V\.C/(e)\,"ChrPisMut, v. 51"
6,1,6,",",",",51,Pnc,Pnc,",",,"ChrPisMut, v. 51"
7,2,1,Qui,qui,52,Qux,Qux,qui,C/V\,"ChrPisMut, v. 52"
8,2,2,semblera,semblera,52,Vfin,Vfin,sembler,C/V\.C/e\.'C/V\,"ChrPisMut, v. 52"
9,2,3,",",",",52,Pnc,Pnc,",",,"ChrPisMut, v. 52"
10,2,4,par,par,52,Pre,Pre,par,C/V\,"ChrPisMut, v. 52"
11,2,5,avanture,avanture,52,N,N,aventure,/V\.C/V\.'C/V\.C/(e)\,"ChrPisMut, v. 52"
12,2,6,",",",",52,Pnc,Pnc,",",,"ChrPisMut, v. 52"
13,3,1,A,a,53,Pre,Pre,à,/V\,"ChrPisMut, v. 53"
14,3,2,plusieurs,plusieurs,53,QIs,QIs,plusieurs,C/V\.'C/V\,"ChrPisMut, v. 53"
15,3,3,impossible,impossible,53,Adj,Adj,impossible,/V\.C/V\.'C/V\.C/(e)\,"ChrPisMut, v. 53"
16,3,4,a,a,53,Pre,Pre,à,/V\,"ChrPisMut, v. 53"
17,3,5,croire,croire,53,Vinf,Vinf,croire,'C/V\.C/(e)\,"ChrPisMut, v. 53"
18,3,6,;,;,53,Pnc,Pnc,;,,"ChrPisMut, v. 53"
19,4,1,Mais,mais,54,Crd,Crd,mais,C/V\,"ChrPisMut, v. 54"
20,4,2,",",",",54,Pnc,Pnc,",",,"ChrPisMut, v. 54"
21,4,3,quoyqu,quoyqu,54,Qux,Qux,quoique,C/V\,"ChrPisMut, v. 54"
22,4,4,aucuns,aucuns,54,QIs,QIs,aucun,/V\.'C/V\,"ChrPisMut, v. 54"
23,4,5,veulent,veulent,54,Vfin,Vfin,vouloir,'C/V\.C/e\,"ChrPisMut, v. 54"
