wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,on,on,BA501,Prn,Prn$,on,7s,---,/V\,"FroissPoés, ballade 5, v. 1"
2,1,2,doit,doit,BA501,Vfin,Vfin,devoir,7s,---,C/V\,"FroissPoés, ballade 5, v. 1"
3,1,3,faire,faire,BA501,Vinf,Vinf,faire,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 1"
4,1,4,lie,lie,BA501,Adj,Adj,lié,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 1"
5,1,5,chiere,chiere,BA501,N,N,,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 1"
6,2,1,par,par,BA502,Pre,Pre,par,7s,---,C/V\,"FroissPoés, ballade 5, v. 2"
7,2,2,raison,raison,BA502,N,N,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 2"
8,2,3,as,as,BA502,Pre+Det,Pre+Det,à.le,7s,---,/V\,"FroissPoés, ballade 5, v. 2"
9,2,4,dolereus,dolereus,BA502,Adj,Adj,,7s,---,C/V\.C/e\.'C/V\,"FroissPoés, ballade 5, v. 2"
10,2,5,",",",",BA502,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 2"
11,3,1,(,(,BA503,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 3"
12,3,2,j',j',BA503,Prn,Prn$,je,7s,---,C/\,"FroissPoés, ballade 5, v. 3"
13,3,3,en,en,BA503,Prn,Prn$$,en,7s,---,/V\,"FroissPoés, ballade 5, v. 3"
14,3,4,prise,prise,BA503,Vfin,Vfin,priser,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 3"
15,3,5,bien,bien,BA503,Adv,Adv,bien,7s,---,C/V\,"FroissPoés, ballade 5, v. 3"
16,3,6,le,le,BA503,Det,Det,le,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 3"
17,3,7,maniere,maniere,BA503,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 3"
18,3,8,),),BA503,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 3"
19,4,1,et,et,BA504,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 4"
20,4,2,l',l',BA504,Det,Det,le,7s,---,C/\,"FroissPoés, ballade 5, v. 4"
21,4,3,aumosne,aumosne,BA504,N,N,,7s,---,/V\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 4"
22,4,4,as,as,BA504,Pre+Det,Pre+Det,à.le,7s,---,/V\,"FroissPoés, ballade 5, v. 4"
23,4,5,amoureus,amoureus,BA504,N,N,,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 4"
24,4,6,",",",",BA504,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 4"
25,5,1,car,car,BA505,Crd,Crd,car,7s,---,C/V\,"FroissPoés, ballade 5, v. 5"
26,5,2,on,on,BA505,Prn,Prn$,on,7s,---,/V\,"FroissPoés, ballade 5, v. 5"
27,5,3,perchoit,perchoit,BA505,Vfin,Vfin,percevoir,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 5"
28,5,4,bien,bien,BA505,Adv,Adv,bien,7s,---,C/V\,"FroissPoés, ballade 5, v. 5"
29,5,5,entre,entre,BA505,PrA,PrA,entre,7s,---,'/V\.C/(e)\,"FroissPoés, ballade 5, v. 5"
30,5,6,eus,eus,BA505,Prn,Prn,eux,7s,---,/V\,"FroissPoés, ballade 5, v. 5"
31,6,1,liquel,liquel,BA506,Qux,Qux,lequel,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 6"
32,6,2,sont,sont,BA506,Vfin,Vfin,être,7s,---,C/V\,"FroissPoés, ballade 5, v. 6"
33,6,3,liét,liét,BA506,Adj,Adj,lié,7s,---,C/V\,"FroissPoés, ballade 5, v. 6"
34,6,4,en,en,BA506,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 5, v. 6"
35,6,5,parler,parler,BA506,Vinf,Vinf,parler,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 6"
36,6,6,",",",",BA506,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 6"
37,7,1,lesquels,lesquels,BA507,Qux,Qux,lequel,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 7"
38,7,2,il,il,BA507,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 7"
39,7,3,faut,faut,BA507,Vfin,Vfin,faillir,7s,---,C/V\,"FroissPoés, ballade 5, v. 7"
40,7,4,arester,arester,BA507,Vinf,Vinf,arrêter,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 7"
41,8,1,souvent,souvent,BA508,Adv,Adv,souvent,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 8"
42,8,2,en,en,BA508,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 5, v. 8"
43,8,3,un,un,BA508,QIs,QIs,un,7s,---,/V\,"FroissPoés, ballade 5, v. 8"
44,8,4,pas,pas,BA508,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 8"
45,8,5,de,de,BA508,Pre,Pre,de,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 8"
46,8,6,voie,voie,BA508,N,N,,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 8"
47,8,7,",",",",BA508,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 8"
48,9,1,ou,ou,BA509,Qux,Qux,où,7s,---,/V\,"FroissPoés, ballade 5, v. 9"
49,9,2,il,il,BA509,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 9"
50,9,3,n',n',BA509,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 9"
51,9,4,ont,ont,BA509,Vfin,Vfin,avoir,7s,---,/V\,"FroissPoés, ballade 5, v. 9"
52,9,5,solas,solas,BA509,N,N,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 9"
53,9,6,ne,ne,BA509,Crd,Crd,ne2,7s,---,C/(e)\,"FroissPoés, ballade 5, v. 9"
54,9,7,joie,joie,BA509,N,N,,7s,---,'C/V\./(e)\,"FroissPoés, ballade 5, v. 9"
55,9,8,.,.,BA509,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 9"
56,10,1,ceste,ceste,BA510,Dem,Dem,cist,7s,---,'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 10"
57,10,2,ordenance,ordenance,BA510,N,N,,7s,---,/V\.C/e\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 10"
58,10,3,m',m',BA510,Prn,Prn$$,me,7s,---,C/\,"FroissPoés, ballade 5, v. 10"
59,10,4,arriere,arriere,BA510,Vfin,Vfin,arriérer,7s,---,/V\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 10"
60,11,1,d',d',BA511,Pre,Pre,de,7s,---,C/\,"FroissPoés, ballade 5, v. 11"
61,11,2,estre,estre,BA511,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,"FroissPoés, ballade 5, v. 11"
62,11,3,en,en,BA511,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 5, v. 11"
63,11,4,coer,coer,BA511,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 11"
64,11,5,liés,liés,BA511,Adj,Adj,lié,7s,---,C/V\,"FroissPoés, ballade 5, v. 11"
65,11,6,et,et,BA511,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 11"
66,11,7,joieus,joieus,BA511,Adj,Adj,,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 11"
67,11,8,",",",",BA511,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 11"
68,12,1,s',s',BA512,Sub,Sub,si3,7s,---,C/\,"FroissPoés, ballade 5, v. 12"
69,12,2,en,en,BA512,Prn,Prn$$,en,7s,---,/V\,"FroissPoés, ballade 5, v. 12"
70,12,3,sui,sui,BA512,Vfin,Vfin,être,7s,---,C/V\,"FroissPoés, ballade 5, v. 12"
71,12,4,nommés,nommés,BA512,Vpp,Vpp,nommer,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 12"
72,12,5,en,en,BA512,Pre,Pre,en,7s,---,/V\,"FroissPoés, ballade 5, v. 12"
73,12,6,deriere,deriere,BA512,PrA,PrA,derrière,7s,---,C/V\.'C/V\.C/(e)\,"FroissPoés, ballade 5, v. 12"
74,13,1,aboutis,aboutis,BA513,Vpp,Vpp,aboutir,7s,---,/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 13"
75,13,2,et,et,BA513,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 13"
76,13,3,soumilleus,soumilleus,BA513,Adj,Adj,,7s,---,C/V\.C/V\.'C/V\,"FroissPoés, ballade 5, v. 13"
77,14,1,et,et,BA514,Crd,Crd,et,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
78,14,2,c',c',BA514,Prn,Prn$,ce,7s,---,C/\,"FroissPoés, ballade 5, v. 14"
79,14,3,est,est,BA514,Vfin,Vfin,être,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
80,14,4,bien,bien,BA514,Adv,Adv,bien,7s,---,C/V\,"FroissPoés, ballade 5, v. 14"
81,14,5,voirs,voirs,BA514,Adj,Adj,voir,7s,---,C/V\,"FroissPoés, ballade 5, v. 14"
82,14,6,:,:,BA514,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 14"
83,14,7,il,il,BA514,Prn,Prn$,il,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
84,14,8,n',n',BA514,Neg,Neg,ne,7s,---,C/\,"FroissPoés, ballade 5, v. 14"
85,14,9,est,est,BA514,Vfin,Vfin,être,7s,---,/V\,"FroissPoés, ballade 5, v. 14"
86,14,10,jeus,jeus,BA514,N,N,,7s,---,C/V\,"FroissPoés, ballade 5, v. 14"
87,15,1,qui,qui,BA515,Qux,Qux,qui,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
88,15,2,puist,puist,BA515,Vfin,Vfin,pouvoir,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
89,15,3,mon,mon,BA515,Det,Det,mon,7s,---,C/V\,"FroissPoés, ballade 5, v. 15"
90,15,4,penser,penser,BA515,Vinf,Vinf,penser,7s,---,C/V\.'C/V\,"FroissPoés, ballade 5, v. 15"
91,15,5,oster,oster,BA515,Vinf,Vinf,ôter,7s,---,/V\.'C/V\,"FroissPoés, ballade 5, v. 15"
92,15,6,;,;,BA515,Pnc,Pnc,,7s,---,,"FroissPoés, ballade 5, v. 15"
