wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,quant,quant,1001,Sub,Sub,quand,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1"
2,1,2,nois,nois,1001,N,N,noif,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1"
3,1,3,et,et,1001,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 1"
4,1,4,giaus,giaus,1001,N,N,gel,7s,---,C/V\,"GaceBrulé, chanson 10, v. 1"
5,1,5,et,et,1001,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 1"
6,1,6,froidure,froidure,1001,N,N,froidure,7s,---,C/V\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 1"
7,2,1,remaint,remaint,1002,Vfin,Vfin,remanoir,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 2"
8,2,2,od,od,1002,Pre,Pre,o,7s,---,/V\,"GaceBrulé, chanson 10, v. 2"
9,2,3,le,le,1002,Det,Det,le,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 2"
10,2,4,tanz,tanz,1002,N,N,temps,7s,---,C/V\,"GaceBrulé, chanson 10, v. 2"
11,2,5,felon,felon,1002,Adj,Adj,félon,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 2"
12,2,6,",",",",1002,Pnc,Pnc,",",7s,---,,"GaceBrulé, chanson 10, v. 2"
13,3,1,que,que,1003,Sub,Sub,que,7s,---,C/(e)\,"GaceBrulé, chanson 10, v. 3"
14,3,2,flours,flours,1003,N,N,fleur,7s,---,C/V\,"GaceBrulé, chanson 10, v. 3"
15,3,3,et,et,1003,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 3"
16,3,4,fueille,fueille,1003,N,N,feuille,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 3"
17,3,5,et,et,1003,Crd,Crd,et,7s,---,/V\,"GaceBrulé, chanson 10, v. 3"
18,3,6,verdure,verdure,1003,N,N,verdure,7s,---,C/e\.'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 3"
19,4,1,vient,vient,1004,Vfin,Vfin,venir,7s,---,C/V\,"GaceBrulé, chanson 10, v. 4"
20,4,2,od,od,1004,Pre,Pre,o,7s,---,/V\,"GaceBrulé, chanson 10, v. 4"
21,4,3,la,la,1004,Det,Det,le,7s,---,C/V\,"GaceBrulé, chanson 10, v. 4"
22,4,4,bele,bele,1004,Adj,Adj,beau,7s,---,'C/V\.C/(e)\,"GaceBrulé, chanson 10, v. 4"
23,4,5,saison,saison,1004,N,N,saison,7s,---,C/V\.'C/V\,"GaceBrulé, chanson 10, v. 4"
24,4,6,",",",",1004,Pnc,Pnc,",",7s,---,,"GaceBrulé, chanson 10, v. 4"
