wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,li,li,DET:def:suj:masc:sg,9,Det,Det,le,C/V\,"Gorm, v. 9"
2,1,2,estur,estur,NOM:suj:masc:sg,9,N,N,estour,/V\.'C/V\,"Gorm, v. 9"
3,1,3,fut,fut,VER:simp:3:sg,9,Vfin,Vfin,être,C/V\,"Gorm, v. 9"
4,1,4,fier,fier,ADJ:suj:masc:sg,9,Adj,Adj,fier,C/V\,"Gorm, v. 9"
5,1,5,e,e,CON:coord,9,Crd,Crd,et,/V\,"Gorm, v. 9"
6,1,6,pesant,pesant,VER:ppre,9,Vprs,Vprs,peser,C/V\.'C/V\,"Gorm, v. 9"
7,2,1,e,e,CON:coord,10,Crd,Crd,et,/V\,"Gorm, v. 10"
8,2,2,la,la,DET:def:suj:femi:sg,10,Det,Det,le,C/V\,"Gorm, v. 10"
9,2,3,bataille,bataille,NOM:suj:femi:sg,10,N,N,bataille,C/V\.'C/V\.C/(e)\,"Gorm, v. 10"
10,2,4,fut,fut,VER:simp:3:sg,10,Vfin,Vfin,être,C/V\,"Gorm, v. 10"
11,2,5,mut,mut,ADV,10,QIs,QIs,moult,C/V\,"Gorm, v. 10"
12,2,6,grant,grant,ADJ:suj:femi:sg,10,Adj,Adj,grand,C/V\,"Gorm, v. 10"
13,3,1,es,es,ADV,11,NVP,NVP,es2,/V\,"Gorm, v. 11"
14,3,2,lor,lor,PRO:pers:dat:3:pl,11,Prn,Prn,leur,C/V\,"Gorm, v. 11"
15,3,3,puinnant,puinnant,VER:ppre,11,Vprs,Vprs,poindre,C/V\.'C/V\,"Gorm, v. 11"
16,3,4,gautier,gautier,NPR:obj:masc:sg,11,N,N,Gautier,C/V\.'C/V\,"Gorm, v. 11"
17,3,5,de,de,PRE,11,Pre,Pre,de,C/(e)\,"Gorm, v. 11"
18,3,6,maus,maus,NPR:obj:masc:sg,11,N,N,Mans,C/V\,"Gorm, v. 11"
19,4,1,fiz,fiz,NOM:obj:masc:sg,12,N,N,fils,C/V\,"Gorm, v. 12"
20,4,2,erneis,erneis,NOM:obj:masc:sg,12,N,N,Erneis,/V\.C/(V)\.'/V\,"Gorm, v. 12"
21,4,3,un,un,DET:ndf:obj:masc:sg,12,QIs,QIs,un,/V\,"Gorm, v. 12"
22,4,4,duc,duc,NOM:obj:masc:sg,12,N,N,duc,C/V\,"Gorm, v. 12"
23,4,5,franceis,franceis,ADJ:obj:masc:sg,12,Adj,Adj,français,C/V\.'C/V\,"Gorm, v. 12"
24,5,1,e,e,CON:coord,13,Crd,Crd,et,/V\,"Gorm, v. 13"
25,5,2,vit,vit,VER:simp:3:sg,13,Vfin,Vfin,voir,C/V\,"Gorm, v. 13"
26,5,3,gormund,gormund,NPR:obj:masc:sg,13,N,N,Gormont,C/V\.'C/V\,"Gorm, v. 13"
27,5,4,el,el,PREDET:en:obj:masc:sg,13,Pre+Det,Pre+Det,en.le,/V\,"Gorm, v. 13"
28,5,5,pui,pui,NOM:obj:masc:sg,13,N,N,puy,C/V\,"Gorm, v. 13"
29,5,6,estant,estant,VER:ppre,13,Vprs,Vprs,être,/V\.'C/V\,"Gorm, v. 13"
30,6,1,s,s,PROCON,14,Sub,Sub,si3,C/\,"Gorm, v. 14"
31,6,2,il,il,PRO:pers:suj:3:masc:sg:unb,14,Prn,Prn$,il,/V\,"Gorm, v. 14"
32,6,3,lores,lores,ADV,14,Adv,Adv,lors,'C/V\.C/e\,"Gorm, v. 14"
33,6,4,ne,ne,PRO:clit,14,Neg,Neg$$,ne,C/(e)\,"Gorm, v. 14"
34,6,5,joste,joste,VER:pres:3:sg,14,Vfin,Vfin,jouter,'C/V\.C/(e)\,"Gorm, v. 14"
35,6,6,a,a,PRE,14,Pre,Pre,à,/V\,"Gorm, v. 14"
36,6,7,lui,lui,PRO:pers:obj:3:masc:sg:bet,14,Prn,Prn,lui,C/V\,"Gorm, v. 14"
37,6,8,a,a,PRE,14,Pre,Pre,à,/V\,"Gorm, v. 14"
38,6,9,en,en,PRE,14,Pre,Pre,en,/V\,"Gorm, v. 14"
39,6,10,camp,camp,NOM:obj:masc:sg,14,N,N,champ,C/V\,"Gorm, v. 14"
40,7,1,dunc,dunc,ADV,15,Adv,Adv,donc,C/V\,"Gorm, v. 15"
41,7,2,se,se,PROCON,15,Prn,Prn$$,se,C/(e)\,"Gorm, v. 15"
42,7,3,tendra,tendra,VER:futu:3:sg,15,Vfin,Vfin,tenir,C/V\.'C/V\,"Gorm, v. 15"
43,7,4,pur,pur,PRE,15,Pre,Pre,pour,C/V\,"Gorm, v. 15"
44,7,5,recreant,recreant,VER:ppre,15,Vprs,Vprs,recroire,C/V\.C/e\.'C/V\,"Gorm, v. 15"
45,8,1,des,des,PREDET:de:obj:masc:pl,16,Pre+Det,Pre+Det,de.le,C/V\,"Gorm, v. 16"
46,8,2,espuruns,espuruns,NOM:obj:masc:pl,16,N,N,éperon,/V\.C/V\.'C/V\,"Gorm, v. 16"
47,8,3,point,point,VER:pres:3:sg,16,Vfin,Vfin,poindre,C/V\,"Gorm, v. 16"
48,8,4,l,l,DET:def:obj:masc:sg,16,Det,Det,le,C/\,"Gorm, v. 16"
49,8,5,auferant,auferant,NOM:obj:masc:sg,16,N,N,auferrant,/V\.C/e\.'C/V\,"Gorm, v. 16"
50,9,1,qu,qu,PROCON,17,Sub,Sub,que,C/\,"Gorm, v. 17"
51,9,2,il,il,PRO:pers:suj:3:masc:sg:unb,17,Prn,Prn$,il,/V\,"Gorm, v. 17"
52,9,3,en,en,PRO:clit,17,Prn,Prn$$,en2,/V\,"Gorm, v. 17"
53,9,4,fist,fist,VER:simp:3:sg,17,Vfin,Vfin,faire,C/V\,"Gorm, v. 17"
54,9,5,raer,raer,VER:infi,17,Vinf,Vinf,rayer3,C/(V)\.'/V\,"Gorm, v. 17"
55,9,6,le,le,DET:def:obj:masc:sg,17,Det,Det,le,C/(e)\,"Gorm, v. 17"
