wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,paix,paix,1,N,N,,C/V\
2,1,2,soit,soit,1,Vfin,Vfin,être,C/V\
3,1,3,a,a,1,Pre,Pre,à,/V\
4,1,4,celle,celle,1,Dem,Dem,cil,'C/V\.C/(e)\
5,1,5,compaignie,compaignie,1,N,N,,C/V\.C/V\.'C/V\./(e)\
6,1,6,!,!,1,Pnc,Pnc,,
7,2,1,et,et,2,Crd,Crd,et,/V\
8,2,2,la,la,2,Det,Det,le,C/V\
9,2,3,douce,douce,2,Adj,Adj,doux,'C/V\.C/(e)\
10,2,4,vierge,vierge,2,N,N,,'C/V\.C/(e)\
11,2,5,marie,marie,2,N,N,,C/V\.'C/V\./(e)\
12,3,1,en,en,3,Pre,Pre,en,/V\
13,3,2,qui,qui,3,Qux,Qux,qui,C/V\
14,3,3,jhesu,jhesu,3,N,N,,C/V\.'C/V\
15,3,4,prist,prist,3,Vfin,Vfin,prendre,C/V\
16,3,5,chair,chair,3,Vinf,Vinf,choir,C/V\
17,3,6,humaine,humaine,3,Adj,Adj,,/V\.'C/V\.C/(e)\
18,3,7,",",",",3,Pnc,Pnc,,
19,4,1,qui,qui,4,Qux,Qux,qui,C/V\
20,4,2,des,des,4,Pre+Det,Pre+Det,de.le,C/V\
21,4,3,dames,dames,4,N,N,,'C/V\.C/e\
22,4,4,est,est,4,Vfin,Vfin,être,/V\
23,4,5,souveraine,souveraine,4,Adj,Adj,,C/V\.C/e\.'C/V\.C/(e)\
24,4,6,",",",",4,Pnc,Pnc,,
25,5,1,vueille,vueille,5,Vfin,Vfin,vouloir,'C/V\.C/(e)\
26,5,2,tous,tous,5,QIs,QIs,tout,C/V\
27,5,3,ceulz,ceulz,5,Dem,Dem,cil,C/V\
28,5,4,de,de,5,Pre,Pre,de,C/(e)\
29,5,5,mal,mal,5,N,N,mal,C/V\
30,5,6,garder,garder,5,Vinf,Vinf,garder,C/V\.'C/V\
31,6,1,qui,qui,6,Qux,Qux,qui,C/V\
32,6,2,en,en,6,Pre,Pre,en,/V\
33,6,3,paix,paix,6,N,N,,C/V\
34,6,4,veuldront,veuldront,6,Vfin,Vfin,vouloir,C/V\.'C/V\
35,6,5,regarder,regarder,6,Vinf,Vinf,regarder,C/V\.C/V\.'C/V\
36,7,1,d',d',7,Pre,Pre,de,C/\
37,7,2,une,une,7,QIs,QIs,un,'/V\.C/(e)\
38,7,3,dame,dame,7,N,N,,'C/V\.C/(e)\
39,7,4,la,la,7,Det,Det,le,C/V\
40,7,5,vraye,vraye,7,Adj,Adj,vrai,'C/V\./(e)\
41,7,6,hystoire,hystoire,7,N,N,,/V\.'C/V\.C/(e)\
42,7,7,",",",",7,Pnc,Pnc,,
43,8,1,qui,qui,8,Qux,Qux,qui,C/V\
44,8,2,tant,tant,8,QIs,QIs,tant,C/V\
45,8,3,est,est,8,Vfin,Vfin,être,/V\
46,8,4,digne,digne,8,Adj,Adj,,'C/V\.C/(e)\
47,8,5,de,de,8,Pre,Pre,de,C/(e)\
48,8,6,memoire,memoire,8,N,N,,C/V\.'C/V\.C/(e)\
49,8,7,",",",",8,Pnc,Pnc,,
50,9,1,que,que,9,Sub,Sub,que,C/(e)\
51,9,2,ses,ses,9,Det,Det,son4,C/V\
52,9,3,euvres,euvres,9,N,N,,'/V\.C/e\
53,9,4,sont,sont,9,Vfin,Vfin,être,C/V\
54,9,5,appellees,appellees,9,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./e\
55,10,1,"""","""",10,Pnc,Pnc,,
56,10,2,miroir,miroir,10,N,N,,C/V\.'C/V\
57,10,3,des,des,10,Pre+Det,Pre+Det,de.le,C/V\
58,10,4,dames,dames,10,N,N,,'C/V\.C/e\
59,10,5,mariees,mariees,10,Vpp,Vpp,marier,C/V\.C/V\.'C/V\./e\
60,10,6,"""","""",10,Pnc,Pnc,,
61,10,7,",",",",10,Pnc,Pnc,,
62,11,1,que,que,11,Qux,Qux,que,C/(e)\
63,11,2,j',j',11,Prn,Prn$,je,C/\
64,11,3,ay,ay,11,Vfin,Vfin,avoir,/V\
65,11,4,emprises,emprises,11,Vpp,Vpp,emprendre,/V\.'C/V\.C/e\
66,11,5,a,a,11,Pre,Pre,à,/V\
67,11,6,rigmer,rigmer,11,Vinf,Vinf,,C/V\.'C/V\
68,12,1,affin,affin,12,Adv,Adv,afin,/V\.'C/V\
69,12,2,que,que,12,Sub,Sub,que,C/(e)\
70,12,3,l',l',12,Det,Det,le,C/\
71,12,4,en,en,12,Prn,Prn$,on,/V\
72,12,5,s',s',12,Prn,Prn$$,se,C/\
73,12,6,i,i,12,Prn,Prn$$,y2,/V\
74,12,7,puist,puist,12,Vfin,Vfin,pouvoir2,C/V\
75,12,8,mirer,mirer,12,Vinf,Vinf,,C/V\.'C/V\
76,12,9,",",",",12,Pnc,Pnc,,
77,13,1,et,et,13,Crd,Crd,et,/V\
78,13,2,que,que,13,Sub,Sub,que,C/(e)\
79,13,3,pregnent,pregnent,13,Vfin,Vfin,prendre,'C/V\.C/e\
80,13,4,en,en,13,Pre,Pre,en,/V\
81,13,5,passience,passience,13,N,N,,C/V\.C/V\.'C/V\.C/(e)\
82,14,1,celles,celles,14,Dem,Dem,cil,'C/V\.C/e\
83,14,2,a,a,14,Pre,Pre,à,/V\
84,14,3,qui,qui,14,Qux,Qux,qui,C/V\
85,14,4,vient,vient,14,Vfin,Vfin,venir,C/V\
86,14,5,pestillence,pestillence,14,N,N,,C/V\.C/V\.'C/V\.C/(e)\
87,14,6,;,;,14,Pnc,Pnc,,
88,15,1,car,car,15,Crd,Crd,car,C/V\
89,15,2,qui,qui,15,Qux,Qux,qui,C/V\
