wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,puis,puis,1,PrA,PrA,puis,C/V\,"GuiWar, v. 1"
2,1,2,cel,cel,1,Dem,Dem,cil,C/V\,"GuiWar, v. 1"
3,1,3,tens,tens,1,N,N,temps,C/V\,"GuiWar, v. 1"
4,1,4,que,que,1,Qux,Qux,que,C/(e)\,"GuiWar, v. 1"
5,1,5,deu,deu,1,N,N,dieu,C/V\,"GuiWar, v. 1"
6,1,6,fu,fu,1,Vfin,Vfin,être,C/V\,"GuiWar, v. 1"
7,1,7,ned,ned,1,Vpp,Vpp,naître,C/V\,"GuiWar, v. 1"
8,2,1,e,e,2,Crd,Crd,et,/V\,"GuiWar, v. 2"
9,2,2,establi,establi,2,Vpp,Vpp,établir,/V\.C/V\.'C/V\,"GuiWar, v. 2"
10,2,3,fu,fu,2,Vfin,Vfin,être,C/V\,"GuiWar, v. 2"
11,2,4,la,la,2,Det,Det,le,C/V\,"GuiWar, v. 2"
12,2,5,crestiented,crestiented,2,N,N,chrétienté,C/V\.C/{V}\./V\.'C/V\,"GuiWar, v. 2"
13,2,6,",",",",2,Pnc,Pnc,",",,"GuiWar, v. 2"
14,3,1,multes,multes,3,QIs,QIs,moult,'C/V\.C/e\,"GuiWar, v. 3"
15,3,2,aventures,aventures,3,N,N,aventure,/V\.C/V\.'C/V\.C/e\,"GuiWar, v. 3"
16,3,3,sunt,sunt,3,Vfin,Vfin,être,C/V\,"GuiWar, v. 3"
17,3,4,avenues,avenues,3,Vpp,Vpp,avenir,/V\.C/e\.'C/V\./e\,"GuiWar, v. 3"
18,4,1,que,que,4,Qux,Qux,que,C/(e)\,"GuiWar, v. 4"
19,4,2,a,a,4,Pre,Pre,à,/V\,"GuiWar, v. 4"
20,4,3,tuz,tuz,4,QIs,QIs,tout,C/V\,"GuiWar, v. 4"
21,4,4,homes,homes,4,N,N,homme,'/V\.C/e\,"GuiWar, v. 4"
22,4,5,ne,ne,4,Neg,Neg$$,ne,C/(e)\,"GuiWar, v. 4"
23,4,6,sunt,sunt,4,Vfin,Vfin,être,C/V\,"GuiWar, v. 4"
24,4,7,seües,seües,4,Vpp,Vpp,savoir,C/(V)\.'/V\./e\,"GuiWar, v. 4"
25,4,8,.,.,4,Pnc,Pnc,.,,"GuiWar, v. 4"
26,5,1,pur,pur,5,Pre,Pre,pour,C/V\,"GuiWar, v. 5"
27,5,2,ço,ço,5,Prn,Prn,ce,C/V\,"GuiWar, v. 5"
28,5,3,deit,deit,5,Vfin,Vfin,devoir2,C/V\,"GuiWar, v. 5"
29,5,4,l',l',5,Det,Det,le,C/\,"GuiWar, v. 5"
30,5,5,om,om,5,Prn,Prn,on,/V\,"GuiWar, v. 5"
31,5,6,mult,mult,5,QIs,QIs,moult,C/V\,"GuiWar, v. 5"
32,5,7,enquere,enquere,5,Vinf,Vinf,enquérir,/V\.'C/V\.C/(e)\,"GuiWar, v. 5"
33,6,1,e,e,6,Crd,Crd,et,/V\,"GuiWar, v. 6"
34,6,2,pener,pener,6,Vinf,Vinf,pener,C/V\.'C/V\,"GuiWar, v. 6"
35,6,3,sei,sei,6,Prn,Prn,soi,C/V\,"GuiWar, v. 6"
