wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,ref
1,1,1,signeur,signeur,1,N,N,seigneur,C/V\.'C/V\,NOUN,"HugCap, v. 1"
2,1,2,",",",",1,Pnc,Pnc,",",,PUNCT,"HugCap, v. 1"
3,1,3,or,or,1,Adv,Adv,or2,/V\,ADV,"HugCap, v. 1"
4,1,4,faitëz,faitëz,1,Vfin,Vfin,faire,'C/V\.C/e\,VERB,"HugCap, v. 1"
5,1,5,pais,pais,1,N,N,paix,C/V\,NOUN,"HugCap, v. 1"
6,1,6,pour,pour,1,Pre,Pre,pour,C/V\,ADP,"HugCap, v. 1"
7,1,7,dieu,dieu,1,N,N,dieu,C/V\,PROPN,"HugCap, v. 1"
8,1,8,le,le,1,Det,Det,le,C/(e)\,DET,"HugCap, v. 1"
9,1,9,droyturier,droyturier,1,N,N,droiturier,C/V\.C/V\.'C/V\,NOUN,"HugCap, v. 1"
10,1,10,!,!,1,Pnc,Pnc,!,,PUNCT,"HugCap, v. 1"
11,2,1,drois,drois,2,N,N,droit,C/V\,NOUN,"HugCap, v. 2"
12,2,2,dist,dist,2,Vfin,Vfin,dire,C/V\,VERB,"HugCap, v. 2"
13,2,3,c',c',2,Sub,Sub,que,C/\,SCONJ,"HugCap, v. 2"
14,2,4,on,on,2,Prn,Prn$,on,/V\,PRON,"HugCap, v. 2"
15,2,5,ne,ne,2,Neg,Neg$$,ne,C/(e)\,ADV,"HugCap, v. 2"
16,2,6,doit,doit,2,Vfin,Vfin,devoir2,C/V\,VERB,"HugCap, v. 2"
17,2,7,mie,mie,2,Neg,Neg,mie3,'C/V\./(e)\,ADV,"HugCap, v. 2"
18,2,8,scienche,scienche,2,N,N,science,C/V\.'C/V\.C/(e)\,NOUN,"HugCap, v. 2"
19,2,9,remuchier,remuchier,2,Vinf,Vinf,remucier,C/V\.C/V\.'C/V\,VERB,"HugCap, v. 2"
20,2,10,",",",",2,Pnc,Pnc,",",,PUNCT,"HugCap, v. 2"
21,3,1,mais,mais,3,Crd,Crd,mais,C/V\,CCONJ,"HugCap, v. 3"
22,3,2,ceuz,ceuz,3,Dem,Dem,cil,C/V\,PRON,"HugCap, v. 3"
23,3,3,qui,qui,3,Qux,Qux,qui,C/V\,PRON,"HugCap, v. 3"
24,3,4,en,en,3,Pre,Pre,en,/V\,ADP,"HugCap, v. 3"
25,3,5,son,son,3,Det,Det,son4,C/V\,DET,"HugCap, v. 3"
26,3,6,cuer,cuer,3,N,N,coeur,C/V\,NOUN,"HugCap, v. 3"
27,3,7,set,set,3,Vfin,Vfin,savoir,C/V\,VERB,"HugCap, v. 3"
28,3,8,bien,bien,3,Adv,Adv,bien,C/V\,ADV,"HugCap, v. 3"
29,3,9,auctorisier,auctorisier,3,Vinf,Vinf,autoriser,/V\.C/V\.C/V\.'C/V\,VERB,"HugCap, v. 3"
30,4,1,le,le,4,Det,Det,le,C/(e)\,DET,"HugCap, v. 4"
31,4,2,sens,sens,4,N,N,sens,C/V\,NOUN,"HugCap, v. 4"
32,4,3,de,de,4,Pre,Pre,de,C/(e)\,ADP,"HugCap, v. 4"
33,4,4,coy,coy,4,Qux,Qux,que,C/V\,PRON,"HugCap, v. 4"
34,4,5,il,il,4,Prn,Prn$,il,/V\,PRON,"HugCap, v. 4"
35,4,6,puist,puist,4,Vfin,Vfin,pouvoir2,C/V\,VERB,"HugCap, v. 4"
36,4,7,preudomme,preudomme,4,N,N,prudhomme,C/V\.'C/V\.C/(e)\,NOUN,"HugCap, v. 4"
37,4,8,consillier,consillier,4,Vinf,Vinf,conseiller2,C/V\.C/V\.'C/V\,VERB,"HugCap, v. 4"
38,4,9,",",",",4,Pnc,Pnc,",",,PUNCT,"HugCap, v. 4"
39,5,1,s',s',5,Sub,Sub,si3,C/\,SCONJ,"HugCap, v. 5"
40,5,2,il,il,5,Prn,Prn$,il,/V\,PRON,"HugCap, v. 5"
41,5,3,treuve,treuve,5,Vfin,Vfin,trouver,'C/V\.C/(e)\,VERB,"HugCap, v. 5"
42,5,4,le,le,5,Det,Det,le,C/(e)\,DET,"HugCap, v. 5"
43,5,5,scienche,scienche,5,N,N,science,C/V\.'C/V\.C/(e)\,NOUN,"HugCap, v. 5"
44,5,6,a,a,5,Pre,Pre,à,/V\,ADP,"HugCap, v. 5"
45,5,7,bien,bien,5,Adv,Adv,bien,C/V\,ADV,"HugCap, v. 5"
46,5,8,notefiier,notefiier,5,Vinf,Vinf,notifier,C/V\.C/e\.C/V\.'C/V\,VERB,"HugCap, v. 5"
47,6,1,honneur,honneur,6,N,N,honneur,/V\.'C/V\,NOUN,"HugCap, v. 6"
48,6,2,en,en,6,Prn,Prn$$,en2,/V\,PRON,"HugCap, v. 6"
49,6,3,a,a,6,Vfin,Vfin,avoir,/V\,VERB,"HugCap, v. 6"
50,6,4,au,au,6,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,"HugCap, v. 6"
51,6,5,monde,monde,6,N,N,monde,'C/V\.C/(e)\,NOUN,"HugCap, v. 6"
52,6,6,et,et,6,Crd,Crd,et,/V\,CCONJ,"HugCap, v. 6"
53,6,7,dieux,dieux,6,N,N,dieu,C/V\,NOUN,"HugCap, v. 6"
54,6,8,l',l',6,Prn,Prn$$,le,C/\,PRON,"HugCap, v. 6"
55,6,9,en,en,6,Prn,Prn$$,en2,/V\,PRON,"HugCap, v. 6"
56,6,10,a,a,6,Vfin,Vfin,avoir,/V\,VERB,"HugCap, v. 6"
57,6,11,plus,plus,6,Adv,Adv,plus,C/V\,ADV,"HugCap, v. 6"
58,6,12,chier,chier,6,Adj,Adj,cher,C/V\,ADJ,"HugCap, v. 6"
59,6,13,;,;,6,Pnc,Pnc,;,,PUNCT,"HugCap, v. 6"
60,7,1,et,et,7,Crd,Crd,et,/V\,CCONJ,"HugCap, v. 7"
61,7,2,pour,pour,7,Pre,Pre,pour,C/V\,ADP,"HugCap, v. 7"
62,7,3,ce,ce,7,Prn,Prn,ce,C/(e)\,PRON,"HugCap, v. 7"
63,7,4,vous,vous,7,Prn,Prn$$,vous,C/V\,PRON,"HugCap, v. 7"
