wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,segnour,segnour,1,N,N,,C/V\.'C/V\
2,1,2,",",",",1,Pnc,Pnc,,
3,1,3,oiiés,oiiés,1,Vfin,Vfin,ouïr,/V\.'C/V\
4,1,4,—,—,1,Pnc,Pnc,,
5,1,5,ke,ke,1,Sub,Sub,que,C/(e)\
6,1,6,jhesus,jhesus,1,N,N,,C/V\.'C/V\
7,1,7,bien,bien,1,Adv,Adv,bien,C/V\
8,1,8,vous,vous,1,Prn,Prn$$,2pp,C/V\
9,1,9,fache,fache,1,Vfin,Vfin,faire,'C/V\.C/(e)\
10,1,10,",",",",1,Pnc,Pnc,,
11,2,1,li,li,2,Det,Det,le,C/V\
12,2,2,glorieus,glorieus,2,Adj,Adj,,C/V\.C/{V}\.'/V\
13,2,3,ki,ki,2,Qux,Qux,qui,C/V\
14,2,4,nous,nous,2,Prn,Prn$$,1pp,C/V\
15,2,5,fist,fist,2,Vfin,Vfin,faire,C/V\
16,2,6,a,a,2,Pre,Pre,à,/V\
17,2,7,s',s',2,Det,Det,son4,C/\
18,2,8,ymage,ymage,2,N,N,,/V\.'C/V\.C/(e)\
19,2,9,!,!,2,Pnc,Pnc,,
20,2,10,—,—,2,Pnc,Pnc,,
21,3,1,boine,boine,3,Adj,Adj,bon,'C/V\.C/(e)\
22,3,2,canchon,canchon,3,N,N,,C/V\.'C/V\
23,3,3,estraite,estraite,3,Vpp,Vpp,extraire,/V\.'C/V\.C/(e)\
24,3,4,del,del,3,Pre+Det,Pre+Det,de+le,C/V\
25,3,5,lignaige,lignaige,3,N,N,,C/V\.'C/V\.C/(e)\
26,4,1,de,de,4,Pre,Pre,de,C/(e)\
27,4,2,charlemaine,charlemaine,4,N,N,,C/V\.C/e\.'C/V\.C/(e)\
28,4,3,a,a,4,Pre,Pre,à,/V\
29,4,4,l',l',4,Det,Det,le,C/\
30,4,5,aduré,aduré,4,Vpp,Vpp,,/V\.C/V\.'C/V\
31,4,6,coraige,coraige,4,N,N,,C/V\.'C/V\.C/(e)\
32,4,7,",",",",4,Pnc,Pnc,,
33,5,1,et,et,5,Crd,Crd,et,/V\
34,5,2,de,de,5,Pre,Pre,de,C/(e)\
35,5,3,huon,huon,5,N,N,,C/V\.'C/V\
36,5,4,ki,ki,5,Qux,Qux,qui,C/V\
37,5,5,tant,tant,5,QIs,QIs,tant,C/V\
38,5,6,ot,ot,5,Vfin,Vfin,avoir1,/V\
39,5,7,vaselaige,vaselaige,5,N,N,,C/V\.C/e\.'C/V\.C/(e)\
40,5,8,",",",",5,Pnc,Pnc,,
41,6,1,et,et,6,Crd,Crd,et,/V\
42,6,2,d',d',6,Pre,Pre,de,C/\
43,6,3,auberon,auberon,6,N,N,,/V\.C/V\.'C/V\
44,6,4,",",",",6,Pnc,Pnc,,
45,6,5,le,le,6,Det,Det,le,C/(e)\
46,6,6,petit,petit,6,Adj,Adj,petit,C/V\.'C/V\
47,6,7,roi,roi,6,N,N,,C/V\
48,6,8,sauvaige,sauvaige,6,Adj,Adj,,C/V\.'C/V\.C/(e)\
49,7,1,que,que,7,Qux,Qux,que,C/(e)\
50,7,2,tout,tout,7,QIs,QIs,tout,C/V\
51,7,3,son,son,7,Det,Det,son4,C/V\
52,7,4,tans,tans,7,N,N,,C/V\
53,7,5,conversa,conversa,7,Vfin,Vfin,,C/V\.C/V\.'C/V\
54,7,6,en,en,7,Pre,Pre,en1,/V\
55,7,7,boscage,boscage,7,N,N,,C/V\.'C/V\.C/(e)\
56,7,8,.,.,7,Pnc,Pnc,,
