wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,En,en,1,Pre,Pre,en,/V\
2,1,2,l',l',1,Det,Det,le,C/\
3,1,3,an,an,1,N,N,,/V\
4,1,4,de,de,1,Pre,Pre,de,C/(e)\
5,1,5,l',l',1,Det,Det,le,C/\
6,1,6,incarnation,incarnation,1,N,N,,/V\.C/V\.C/V\.C/{V}\.'/V\
7,2,1,Jhesu,jhesu,2,N,N,,C/V\.'C/V\
8,2,2,nostre,nostre,2,Det,Det,notre,'C/V\.C/(e)\
9,2,3,redemption,redemption,2,N,N,,C/V\.C/V\.C/{V}\.'/V\
10,3,1,Mil,mil,3,QIs,QIs,mille,C/V\
11,3,2,.cc.,.cc.,3,QIs,QIs,deux.cent,C/V\.'C/V\
12,3,3,ans,ans,3,N,N,,/V\
13,3,4,qarante,qarante,3,QIs,QIs,quarante,C/V\.'C/V\.C/(e)\
14,3,5,sis,sis,3,QIs,QIs,six,C/V\
15,4,1,Fui,fui,4,Vfin,Vfin,être,C/V\
16,4,2,d',d',4,Pre,Pre,de,C/\
17,4,3,un,un,4,QIs,QIs,un,/V\
18,4,4,livre,livre,4,N,N,,'C/V\.C/(e)\
19,4,5,faire,faire,4,Vinf,Vinf,faire,'C/V\.C/(e)\
20,4,6,pensis,pensis,4,Adj,Adj,,C/V\.'C/V\
21,5,1,De,de,5,Pre,Pre,de,C/(e)\
22,5,2,tote,tote,5,QIs,QIs,tout,'C/V\.C/(e)\
23,5,3,l',l',5,Det,Det,le,C/\
24,5,4,ymage,ymage,5,N,N,,/V\.'C/V\.C/(e)\
25,5,5,del,del,5,Pre+Det,Pre+Det,de.le,C/V\
26,5,6,monde,monde,5,N,N,,'C/V\.C/(e)\
27,5,7,",",",",5,Pnc,Pnc,,
28,6,1,Por,por,6,Pre,Pre,pour,C/V\
29,6,2,quoi,quoi,6,Qux,Qux,que,C/V\
30,6,3,et,et,6,Crd,Crd,et,/V\
31,6,4,conment,conment,6,Qux,Qux,comment,C/V\.'C/V\
32,6,5,a,a,6,Pre,Pre,à,/V\
33,6,6,reonde,reonde,6,Adj,Adj,,C/(V)\.'/V\.C/(e)\
34,7,1,Deus,deus,7,N,N,,C/V\
35,7,2,lo,lo,7,Prn,Prn$$,le,C/(e)\
36,7,3,forma,forma,7,Vfin,Vfin,,C/V\.'C/V\
37,7,4,tot,tot,7,QIs,QIs,tout,C/V\
38,7,5,de,de,7,Pre,Pre,de,C/(e)\
39,7,6,neant,neant,7,Prn,Prn,néant,C/(V)\.'/V\
40,7,7,.,.,7,Pnc,Pnc,,
41,8,1,Des,des,8,Pre+Det,Pre+Det,de.le,C/V\
42,8,2,.vij.,.vij.,8,QIs,QIs,sept,C/V\
43,8,3,ars,ars,8,N,N,,/V\
44,8,4,i,i,8,Prn,Prn$$,y2,/V\
45,8,5,mis,mis,8,Vfin,Vfin,mettre,C/V\
46,8,6,ausiment,ausiment,8,Adv,Adv,,/V\.C/V\.'C/V\
47,8,7,",",",",8,Pnc,Pnc,,
48,9,1,Et,et,9,Crd,Crd,et,/V\
49,9,2,autre,autre,9,Adj,Adj,autre,'/V\.C/(e)\
50,9,3,chose,chose,9,N,N,,'C/V\.C/(e)\
51,9,4,",",",",9,Pnc,Pnc,,
52,9,5,por,por,9,Pre,Pre,pour,C/V\
53,9,6,entendre,entendre,9,Vinf,Vinf,entendre,/V\.'C/V\.C/(e)\
54,10,1,Aucun,aucun,10,QIs,QIs,aucun,/V\.'C/V\
55,10,2,bon,bon,10,Adj,Adj,bon,C/V\
56,10,3,exanple,exanple,10,N,N,,/V\.'C/V\.C/(e)\
57,10,4,",",",",10,Pnc,Pnc,,
58,10,5,et,et,10,Crd,Crd,et,/V\
59,10,6,aprendre,aprendre,10,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\
60,11,1,L',l',11,Det,Det,le,C/\
61,11,2,estat,estat,11,N,N,,/V\.'C/V\
62,11,3,do,do,11,Pre+Det,Pre+Det,de.le,C/V\
63,11,4,monde,monde,11,N,N,,'C/V\.C/(e)\
64,11,5,quex,quex,11,Qux,Qux,quel,C/V\
65,11,6,il,il,11,Prn,Prn$,il,/V\
66,11,7,est,est,11,Vfin,Vfin,être,/V\
67,11,8,",",",",11,Pnc,Pnc,,
68,12,1,Coment,coment,12,Qux,Qux,comment,C/V\.'C/V\
69,12,2,a,a,12,Pre,Pre,à,/V\
70,12,3,Deu,deu,12,N,N,,C/V\
71,12,4,plet,plet,12,Vfin,Vfin,plaire,C/V\
72,12,5,ou,ou,12,Crd,Crd,ou,/V\
73,12,6,desplest,desplest,12,Vfin,Vfin,déplaire,C/V\.'C/V\
74,12,7,.,.,12,Pnc,Pnc,,
75,13,1,Si,si,13,Adv,Adv,si4,C/V\
76,13,2,l',l',13,Prn,Prn$$,le,C/\
77,13,3,ai,ai,13,Vfin,Vfin,avoir,/V\
78,13,4,de,de,13,Pre,Pre,de,C/(e)\
79,13,5,latin,latin,13,N,N,,C/V\.'C/V\
80,13,6,en,en,13,Pre,Pre,en,/V\
81,13,7,romant,romant,13,N,N,,C/V\.'C/V\
82,14,1,Conculli,conculli,14,Vpp,Vpp,,C/V\.C/V\.'C/V\
83,14,2,por,por,14,Pre,Pre,pour,C/V\
84,14,3,la,la,14,Det,Det,le,C/V\
85,14,4,laie,laie,14,Adj,Adj,lai,'C/V\./(e)\
86,14,5,gent,gent,14,N,N,,C/V\
87,14,6,",",",",14,Pnc,Pnc,,
88,15,1,Que,que,15,Qux,Qux,que,C/(e)\
89,15,2,tuit,tuit,15,QIs,QIs,tout,C/V\
90,15,3,latin,latin,15,N,N,,C/V\.'C/V\
91,15,4,ne,ne,15,Neg,Neg$$,ne,C/(e)\
92,15,5,sevent,sevent,15,Vfin,Vfin,savoir,'C/V\.C/e\
93,15,6,mie,mie,15,Neg,Neg,mie3,'C/V\./(e)\
94,15,7,",",",",15,Pnc,Pnc,,
95,16,1,Dont,dont,16,Qux,Qux,dont,C/V\
96,16,2,aprendre,aprendre,16,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\
97,16,3,puissent,puissent,16,Vfin,Vfin,pouvoir2,'C/V\.C/e\
98,16,4,clergie,clergie,16,N,N,,C/V\.'C/V\./(e)\
99,16,5,.,.,16,Pnc,Pnc,,
100,17,1,Aucuns,aucuns,17,QIs,QIs,aucun,/V\.'C/V\
101,17,2,en,en,17,Prn,Prn$$,en2,/V\
102,17,3,trovai,trovai,17,Vfin,Vfin,trouver,C/V\.'C/V\
103,17,4,en,en,17,Pre,Pre,en,/V\
104,17,5,mon,mon,17,Det,Det,mon,C/V\
105,17,6,tens,tens,17,N,N,,C/V\
106,18,1,De,de,18,Pre,Pre,de,C/(e)\
107,18,2,bon,bon,18,Adj,Adj,bon,C/V\
108,18,3,engin,engin,18,N,N,,/V\.'C/V\
109,18,4,et,et,18,Crd,Crd,et,/V\
110,18,5,de,de,18,Pre,Pre,de,C/(e)\
111,18,6,bon,bon,18,Adj,Adj,bon,C/V\
112,18,7,sens,sens,18,N,N,,C/V\
113,19,1,Qui,qui,19,Qux,Qux,qui,C/V\
114,19,2,mains,mains,19,QIs,QIs,maint,C/V\
115,19,3,biens,biens,19,N,N,bien,C/V\
116,19,4,aprendre,aprendre,19,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\
117,19,5,peüssent,peussent,19,Vfin,Vfin,pouvoir2,C/(V)\.'/V\.C/e\
118,20,1,Ce,ce,20,Prn,Prn,ce,C/(e)\
119,20,2,riens,riens,20,N,N,rien,C/V\
120,20,3,de,de,20,Pre,Pre,de,C/(e)\
121,20,4,clergie,clergie,20,N,N,,C/V\.'C/V\./(e)\
122,20,5,sceüssent,sceussent,20,Vfin,Vfin,savoir,C/(V)\.'/V\.C/e\
123,20,6,;,;,20,Pnc,Pnc,,
124,21,1,Mains,mains,21,QIs,QIs,maint,C/V\
125,21,2,en,en,21,Prn,Prn$$,en2,/V\
126,21,3,vi,vi,21,Vfin,Vfin,voir,C/V\
127,21,4,qui,qui,21,Qux,Qux,qui,C/V\
128,21,5,demande,demande,21,Vpp,Vpp,demander,C/V\.'C/V\.C/(e)\
129,21,6,m',m',21,Prn,Prn$$,me,C/\
130,21,7,ont,ont,21,Vfin,Vfin,avoir,/V\
131,22,1,De,de,22,Pre,Pre,de,C/(e)\
132,22,2,la,la,22,Det,Det,le,C/V\
133,22,3,fature,fature,22,N,N,,C/V\.'C/V\.C/(e)\
134,22,4,de,de,22,Pre,Pre,de,C/(e)\
135,22,5,cest,cest,22,Dem,Dem,cist,C/V\
136,22,6,mont,mont,22,N,N,,C/V\
137,22,7,",",",",22,Pnc,Pnc,,
138,23,1,Sor,sor,23,PrA,PrA,sur,C/V\
139,23,2,quoi,quoi,23,Qux,Qux,que,C/V\
140,23,3,la,la,23,Det,Det,le,C/V\
141,23,4,terre,terre,23,N,N,,'C/V\.C/(e)\
142,23,5,se,se,23,Prn,Prn$$,se,C/(e)\
143,23,6,tenoit,tenoit,23,Vfin,Vfin,tenir,C/V\.'C/V\
144,23,7,",",",",23,Pnc,Pnc,,
145,24,1,Conment,conment,24,Qux,Qux,comment,C/V\.'C/V\
146,24,2,li,li,24,Det,Det,le,C/V\
147,24,3,firmamens,firmamens,24,N,N,,C/V\.C/V\.'C/V\
148,24,4,tornoit,tornoit,24,Vfin,Vfin,tourner,C/V\.'C/V\
149,24,5,",",",",24,Pnc,Pnc,,
150,25,1,Et,et,25,Crd,Crd,et,/V\
151,25,2,mainte,mainte,25,QIs,QIs,maint,'C/V\.C/(e)\
