wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,ref
1,1,1,silz,silz,1,DET:demo:suj:masc:sg,Dem,Dem,cil,C/V\,"YsLyon, v. 1"
2,1,2,livres,livres,1,NOM:suj:masc:sg,N,N,livre,'C/V\.C/e\,"YsLyon, v. 1"
3,1,3,qu,qu,1,PROCON,Qux,Qux,que,C/\,"YsLyon, v. 1"
4,1,4,est,est,1,VER:pres:3:sg,Vfin,Vfin,être,/V\,"YsLyon, v. 1"
5,1,5,ci,ci,1,ADV,Adv,Adv,ci,C/V\,"YsLyon, v. 1"
6,1,6,en,en,1,PRE,Pre,Pre,en,/V\,"YsLyon, v. 1"
7,1,7,presence,presence,1,NOM:obj:femi:sg,N,N,présence,C/V\.'C/V\.C/(e)\,"YsLyon, v. 1"
8,2,1,contient,contient,2,VER:pres:3:sg,Vfin,Vfin,contenir,C/V\.'C/V\,"YsLyon, v. 2"
9,2,2,de,de,2,PRE,Pre,Pre,de,C/(e)\,"YsLyon, v. 2"
10,2,3,grant,grant,2,ADJ:obj:masc:sg,Adj,Adj,grand,C/V\,"YsLyon, v. 2"
11,2,4,profit,profit,2,NOM:obj:masc:sg,N,N,profit,C/V\.'C/V\,"YsLyon, v. 2"
12,2,5,sentence,sentence,2,NOM:obj:femi:sg,N,N,sentence,C/V\.'C/V\.C/(e)\,"YsLyon, v. 2"
13,3,1,raisons,raisons,3,NOM:suj:femi:sg,N,N,raison,C/V\.'C/V\,"YsLyon, v. 3"
14,3,2,qu,qu,3,PROCON,Qux,Qux,que,C/\,"YsLyon, v. 3"
15,3,3,est,est,3,VER:pres:3:sg,Vfin,Vfin,être,/V\,"YsLyon, v. 3"
16,3,4,de,de,3,PRE,Pre,Pre,de,C/(e)\,"YsLyon, v. 3"
17,3,5,solez,solez,3,NOM:obj:masc:sg,N,N,soulas,C/V\.'C/V\,"YsLyon, v. 3"
18,3,6,paree,paree,3,VER:pper:femi:sg,Vpp,Vpp,parer,C/V\.'C/V\./(e)\,"YsLyon, v. 3"
19,4,1,est,est,4,VER:pres:3:sg,Vfin,Vfin,être,/V\,"YsLyon, v. 4"
20,4,2,plus,plus,4,ADV,Adv,Adv,plus,C/V\,"YsLyon, v. 4"
21,4,3,voluntiers,voluntiers,4,ADV,Adv,Adv,volentiers,C/V\.C/V\.'C/V\,"YsLyon, v. 4"
22,4,4,escoutee,escoutee,4,VER:pper:femi:sg,Vpp,Vpp,écouter,/V\.C/V\.'C/V\./(e)\,"YsLyon, v. 4"
23,5,1,car,car,5,CON:coord,Crd,Crd,car,C/V\,"YsLyon, v. 5"
24,5,2,cilz,cilz,5,PRO:demo:suj:masc:sg,Dem,Dem,cil,C/V\,"YsLyon, v. 5"
25,5,3,fait,fait,5,VER:pres:3:sg,Vfin,Vfin,faire,C/V\,"YsLyon, v. 5"
26,5,4,comm,comm,5,CON:subord,Sub,Sub,comme,C/V\,"YsLyon, v. 5"
27,5,5,un,un,5,DET:ndf:obj:masc:sg,QIs,QIs,un,/V\,"YsLyon, v. 5"
28,5,6,soutilz,soutilz,5,ADJ:obj:masc:sg,Adj,Adj,subtil,C/V\.'C/V\,"YsLyon, v. 5"
29,5,7,laz,laz,5,NOM:obj:masc:sg,N,N,lacs,C/V\,"YsLyon, v. 5"
30,6,1,qui,qui,6,PROCON,Qux,Qux,qui,C/V\,"YsLyon, v. 6"
31,6,2,melle,melle,6,VER:pres:3:sg,Vfin,Vfin,mêler,'C/V\.C/(e)\,"YsLyon, v. 6"
32,6,3,sent,sent,6,NOM:obj:masc:sg,N,N,sens,C/V\,"YsLyon, v. 6"
33,6,4,avuec,avuec,6,PRE,PrA,PrA,avec,/V\.'C/V\,"YsLyon, v. 6"
34,6,5,soulez,soulez,6,NOM:obj:masc:sg,N,N,soulas,C/V\.'C/V\,"YsLyon, v. 6"
35,7,1,tulles,tulles,7,NPR:suj:masc:sg,N,N,Tulle,'C/V\.C/e\,"YsLyon, v. 7"
36,7,2,aussi,aussi,7,ADV,Adv,Adv,aussi,/V\.'C/V\,"YsLyon, v. 7"
37,7,3,l',l',7,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/\,"YsLyon, v. 7"
38,7,4,ensoigne,ensoigne,7,VER:pres:3:sg,Vfin,Vfin,enseigner,/V\.'C/V\.C/(e)\,"YsLyon, v. 7"
39,7,5,a,a,7,PRE,Pre,Pre,à,/V\,"YsLyon, v. 7"
