wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,dominé,dominé,1,N,N,,C/V\.C/V\.'C/(e)\,"SLéger, v. 1"
2,1,2,deu,deu,1,N,N,,C/V\,"SLéger, v. 1"
3,1,3,devemps,devemps,1,Vfin,Vfin,devoir2,C/V\.'C/V\,"SLéger, v. 1"
4,1,4,lauder,lauder,1,Vinf,Vinf,louer,C/V\.'C/V\,"SLéger, v. 1"
5,1,5,",",",",1,Pnc,Pnc,,,"SLéger, v. 1"
6,2,1,et,et,2,Crd,Crd,et,/V\,"SLéger, v. 2"
7,2,2,a,a,2,Pre,Pre,à,/V\,"SLéger, v. 2"
8,2,3,sos,sos,2,Adj,Adj,son4,C/V\,"SLéger, v. 2"
9,2,4,sancz,sancz,2,Adj,Adj,saint,C/V\,"SLéger, v. 2"
10,2,5,honor,honor,2,N,N,,/V\.'C/V\,"SLéger, v. 2"
11,2,6,porter,porter,2,Vinf,Vinf,porter,C/V\.'C/V\,"SLéger, v. 2"
12,2,7,.,.,2,Pnc,Pnc,,,"SLéger, v. 2"
13,3,1,in,in,3,Pre,Pre,en,/V\,"SLéger, v. 3"
14,3,2,su',su',3,Det,Det,son4,C/V\,"SLéger, v. 3"
15,3,3,amor,amor,3,N,N,,/V\.'C/V\,"SLéger, v. 3"
16,3,4,cantomps,cantomps,3,Vfin,Vfin,chanter,C/V\.'C/V\,"SLéger, v. 3"
17,3,5,dels,dels,3,Pre+Det,Pre+Det,de.le,C/V\,"SLéger, v. 3"
18,3,6,sanz,sanz,3,Adj,Adj,saint,C/V\,"SLéger, v. 3"
19,3,7,",",",",3,Pnc,Pnc,,,"SLéger, v. 3"
20,4,1,quæ,quæ,4,Crd,Crd,que,C/(e)\,"SLéger, v. 4"
21,4,2,por,por,4,Pre,Pre,pour,C/V\,"SLéger, v. 4"
22,4,3,lui,lui,4,Prn,Prn,lui,C/V\,"SLéger, v. 4"
23,4,4,augrent,augrent,4,Vfin,Vfin,avoir,'/V\.C/e\,"SLéger, v. 4"
24,4,5,granz,granz,4,Adj,Adj,grand,C/V\,"SLéger, v. 4"
25,4,6,aanz,aanz,4,N,N,,/(V)\.'/V\,"SLéger, v. 4"
26,4,7,;,;,4,Pnc,Pnc,,,"SLéger, v. 4"
27,5,1,et,et,5,Crd,Crd,et,/V\,"SLéger, v. 5"
28,5,2,or,or,5,Adv,Adv,or2,/V\,"SLéger, v. 5"
29,5,3,est,est,5,Vfin,Vfin,être,/V\,"SLéger, v. 5"
30,5,4,temps,temps,5,N,N,,C/V\,"SLéger, v. 5"
31,5,5,et,et,5,Crd,Crd,et,/V\,"SLéger, v. 5"
32,5,6,si,si,5,Adv,Adv,si4,C/V\,"SLéger, v. 5"
33,5,7,est,est,5,Vfin,Vfin,être,/V\,"SLéger, v. 5"
34,5,8,biens,biens,5,Adv,Adv,bien,C/V\,"SLéger, v. 5"
35,6,1,quæ,quæ,6,Sub,Sub,que,C/(e)\,"SLéger, v. 6"
36,6,2,nos,nos,6,Prn,Prn$,nous,C/V\,"SLéger, v. 6"
37,6,3,cantumps,cantumps,6,Vfin,Vfin,chanter,C/V\.'C/V\,"SLéger, v. 6"
38,6,4,de,de,6,Pre,Pre,de,C/(e)\,"SLéger, v. 6"
39,6,5,sant,sant,6,Adj,Adj,saint,C/V\,"SLéger, v. 6"
40,6,6,lethgier,lethgier,6,N,N,,C/V\.'C/V\,"SLéger, v. 6"
41,6,7,.,.,6,Pnc,Pnc,,,"SLéger, v. 6"
42,7,1,primes,primes,7,Adv,Adv,primes,'C/V\.C/e\,"SLéger, v. 7"
43,7,2,didrai,didrai,7,Vfin,Vfin,dire,C/V\.'C/V\,"SLéger, v. 7"
44,7,3,vos,vos,7,Prn,Prn%%,vous,C/V\,"SLéger, v. 7"
45,7,4,dels,dels,7,Pre+Det,Pre+Det,de.le,C/V\,"SLéger, v. 7"
46,7,5,honors,honors,7,N,N,,/V\.'C/V\,"SLéger, v. 7"
47,8,1,quæ,quæ,8,Qux,Qux,que,C/(e)\,"SLéger, v. 8"
48,8,2,il,il,8,Prn,Prn$,il,/V\,"SLéger, v. 8"
49,8,3,awret,awret,8,Vfin,Vfin,avoir,'/V\.C/e\,"SLéger, v. 8"
50,8,4,ab,ab,8,Pre,Pre,o,/V\,"SLéger, v. 8"
51,8,5,duos,duos,8,QIs,QIs,deux,C/V\,"SLéger, v. 8"
52,8,6,seniors,seniors,8,N,N,,C/V\.'C/V\,"SLéger, v. 8"
53,8,7,;,;,8,Pnc,Pnc,,,"SLéger, v. 8"
54,9,1,aprés,aprés,9,PrA,PrA,après,/V\.'C/V\,"SLéger, v. 9"
55,9,2,ditrai,ditrai,9,Vfin,Vfin,dire,C/V\.'C/V\,"SLéger, v. 9"
56,9,3,vos,vos,9,Prn,Prn%%,vous,C/V\,"SLéger, v. 9"
57,9,4,del,del,9,Pre+Det,Pre+Det,de.le,C/V\,"SLéger, v. 9"
58,9,5,áánz,áánz,9,N,N,,C/(V)\.'/V\,"SLéger, v. 9"
59,10,1,que,que,10,Qux,Qux,que,C/(e)\,"SLéger, v. 10"
60,10,2,li,li,10,Det,Det,le,C/V\,"SLéger, v. 10"
61,10,3,suos,suos,10,Adj,Adj,son4,C/V\,"SLéger, v. 10"
62,10,4,corps,corps,10,N,N,,C/V\,"SLéger, v. 10"
63,10,5,susting,susting,10,Vfin,Vfin,sustenir,C/V\.'C/V\,"SLéger, v. 10"
64,10,6,si,si,10,Adv,Adv,si4,C/V\,"SLéger, v. 10"
65,10,7,granz,granz,10,Adj,Adj,grand,C/V\,"SLéger, v. 10"
66,10,8,",",",",10,Pnc,Pnc,,,"SLéger, v. 10"
67,11,1,et,et,11,Crd,Crd,et,/V\,"SLéger, v. 11"
