wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,En,en,1,Pre,Pre,en,/V\,"LFortunae, v. 1"
2,1,2,l',l',1,Det,Det,le,C/\,"LFortunae, v. 1"
3,1,3,an,an,1,N,N,an,/V\,"LFortunae, v. 1"
4,1,4,de,de,1,Pre,Pre,de,C/(e)\,"LFortunae, v. 1"
5,1,5,l',l',1,Det,Det,le,C/\,"LFortunae, v. 1"
6,1,6,incarnacion,incarnacion,1,N,N,incarnation,/V\.C/V\.C/V\.C/{V}\.'/V\,"LFortunae, v. 1"
7,2,1,Que,que,2,Qux,Qux,que,C/(e)\,"LFortunae, v. 2"
8,2,2,Jhesus,jhesus,2,N,N,Jésus,C/V\.'C/V\,"LFortunae, v. 2"
9,2,3,suffrit,suffrit,2,Vfin,Vfin,souffrir,C/V\.'C/V\,"LFortunae, v. 2"
10,2,4,passion,passion,2,N,N,passion,C/V\.C/V\.'C/V\,"LFortunae, v. 2"
11,3,1,Avoit,avoit,3,Vfin,Vfin,avoir,/V\.'C/V\,"LFortunae, v. 3"
12,3,2,ou,ou,3,Pre+Det,Pre+Det,en.le,/V\,"LFortunae, v. 3"
13,3,3,millïere,milliere,3,N,N,milliaire,C/V\.C/V\.'C/V\.C/(e)\,"LFortunae, v. 3"
14,3,4,ainsinc,ainsinc,3,Adv,Adv,ainsi,/V\.'C/V\,"LFortunae, v. 3"
15,4,1,Mil,mil,4,QIs,QIs,un,C/V\,"LFortunae, v. 4"
16,4,2,et,et,4,Crd,Crd,et,/V\,"LFortunae, v. 4"
17,4,3,trois,trois,4,QIs,QIs,trois,C/V\,"LFortunae, v. 4"
18,4,4,cens,cens,4,QIs,QIs,cent,C/V\,"LFortunae, v. 4"
19,4,5,quarente,quarente,4,QIs,QIs,quarante,C/V\.'C/V\.C/(e)\,"LFortunae, v. 4"
20,4,6,et,et,4,Crd,Crd,et,/V\,"LFortunae, v. 4"
21,4,7,cinq,cinq,4,QIs,QIs,cinq,C/V\,"LFortunae, v. 4"
22,4,8,;,;,4,Pnc,Pnc,;,,"LFortunae, v. 4"
23,5,1,A,a,5,Pre,Pre,à,/V\,"LFortunae, v. 5"
24,5,2,ung,ung,5,QIs,QIs,un,/V\,"LFortunae, v. 5"
25,5,3,dimenche,dimenche,5,N,N,dimanche,C/V\.'C/V\.C/(e)\,"LFortunae, v. 5"
26,5,4,bien,bien,5,Adv,Adv,bien,C/V\,"LFortunae, v. 5"
27,5,5,matin,matin,5,N,N,matin,C/V\.'C/V\,"LFortunae, v. 5"
28,6,1,En,en,6,Pre,Pre,en,/V\,"LFortunae, v. 6"
29,6,2,caresme,caresme,6,N,N,carême,C/V\.'C/V\.C/(e)\,"LFortunae, v. 6"
30,6,3,pres,pres,6,PrA,PrA,près,C/V\,"LFortunae, v. 6"
31,6,4,de,de,6,Pre,Pre,de,C/(e)\,"LFortunae, v. 6"
32,6,5,la,la,6,Det,Det,le,C/V\,"LFortunae, v. 6"
33,6,6,fin,fin,6,N,N,fin,C/V\,"LFortunae, v. 6"
34,7,1,Qui,qui,7,Qux,Qux,qui,C/V\,"LFortunae, v. 7"
35,7,2,est,est,7,Vfin,Vfin,être,/V\,"LFortunae, v. 7"
36,7,3,appellé,appellé,7,Vpp,Vpp,appeler,/V\.C/e\.'C/V\,"LFortunae, v. 7"
37,7,4,Paques,paques,7,N,N,pâques,'C/V\.C/e\,"LFortunae, v. 7"
38,7,5,fleuries,fleuries,7,Vpp,Vpp,fleurir,C/V\.'C/V\./e\,"LFortunae, v. 7"
39,7,6,",",",",7,Pnc,Pnc,",",,"LFortunae, v. 7"
40,8,1,Cheÿ,cheÿ,8,Vfin,Vfin,choir,C/(V)\.'/V\,"LFortunae, v. 8"
41,8,2,en,en,8,Pre,Pre,en,/V\,"LFortunae, v. 8"
42,8,3,grant,grant,8,Adj,Adj,grand,C/V\,"LFortunae, v. 8"
