wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,l',l',1,Det,Det,le,C/\,"MarieLanv, v. 1"
2,1,2,aventure,aventure,1,N,N,aventure,/V\.C/V\.'C/V\.C/(e)\,"MarieLanv, v. 1"
3,1,3,d',d',1,Pre,Pre,de,C/\,"MarieLanv, v. 1"
4,1,4,un,un,1,QIs,QIs,un,/V\,"MarieLanv, v. 1"
5,1,5,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\,"MarieLanv, v. 1"
6,1,6,lai,lai,1,N,N,lai,C/V\,"MarieLanv, v. 1"
7,1,7,",",",",1,Pnc,Pnc,",",,"MarieLanv, v. 1"
8,2,1,cum,cum,2,Sub,Sub,comme,C/V\,"MarieLanv, v. 2"
9,2,2,ele,ele,2,Prn,Prn$,elle,'/V\.C/(e)\,"MarieLanv, v. 2"
10,2,3,avient,avient,2,Vfin,Vfin,avenir,/V\.'C/V\,"MarieLanv, v. 2"
11,2,4,",",",",2,Pnc,Pnc,",",,"MarieLanv, v. 2"
12,2,5,vus,vus,2,Prn,Prn$$,vous,C/V\,"MarieLanv, v. 2"
13,2,6,cunterai,cunterai,2,Vfin,Vfin,conter,C/V\.C/e\.'C/V\,"MarieLanv, v. 2"
14,2,7,:,:,2,Pnc,Pnc,:,,"MarieLanv, v. 2"
15,3,1,fait,fait,3,Vpp,Vpp,faire,C/V\,"MarieLanv, v. 3"
16,3,2,fu,fu,3,Vfin,Vfin,être,C/V\,"MarieLanv, v. 3"
17,3,3,d',d',3,Pre,Pre,de,C/\,"MarieLanv, v. 3"
18,3,4,un,un,3,QIs,QIs,un,/V\,"MarieLanv, v. 3"
19,3,5,mut,mut,3,QIs,QIs,moult,C/V\,"MarieLanv, v. 3"
20,3,6,gentil,gentil,3,Adj,Adj,gentil,C/V\.'C/V\,"MarieLanv, v. 3"
21,3,7,vassal,vassal,3,N,N,vassal,C/V\.'C/V\,"MarieLanv, v. 3"
22,3,8,;,;,3,Pnc,Pnc,;,,"MarieLanv, v. 3"
23,4,1,en,en,4,Pre,Pre,en,/V\,"MarieLanv, v. 4"
24,4,2,bretans,bretans,4,N,N,breton,C/V\.'C/V\,"MarieLanv, v. 4"
25,4,3,l',l',4,Prn,Prn$$,le,C/\,"MarieLanv, v. 4"
26,4,4,apelent,apelent,4,Vfin,Vfin,appeler,/V\.'C/V\.C/e\,"MarieLanv, v. 4"
27,4,5,lanval,lanval,4,N,N,Lanval,C/V\.'C/V\,"MarieLanv, v. 4"
28,4,6,.,.,4,Pnc,Pnc,.,,"MarieLanv, v. 4"
29,5,1,a,a,5,Pre,Pre,à,/V\,"MarieLanv, v. 5"
30,5,2,kardoel,kardoel,5,N,N,Cardeuil,C/V\.'C/V\,"MarieLanv, v. 5"
31,5,3,surjurnot,surjurnot,5,Vfin,Vfin,séjourner,C/V\.C/V\.'C/V\,"MarieLanv, v. 5"
32,5,4,li,li,5,Det,Det,le,C/V\,"MarieLanv, v. 5"
33,5,5,reis,reis,5,N,N,roi,C/V\,"MarieLanv, v. 5"
34,5,6,",",",",5,Pnc,Pnc,",",,"MarieLanv, v. 5"
35,6,1,artur,artur,6,N,N,Arthur,/V\.'C/V\,"MarieLanv, v. 6"
36,6,2,",",",",6,Pnc,Pnc,",",,"MarieLanv, v. 6"
37,6,3,li,li,6,Det,Det,le,C/V\,"MarieLanv, v. 6"
38,6,4,pruz,pruz,6,Adj,Adj,preux,C/V\,"MarieLanv, v. 6"
39,6,5,e,e,6,Crd,Crd,et,/V\,"MarieLanv, v. 6"
40,6,6,li,li,6,Det,Det,le,C/V\,"MarieLanv, v. 6"
41,6,7,curteis,curteis,6,Adj,Adj,courtois,C/V\.'C/V\,"MarieLanv, v. 6"
42,6,8,",",",",6,Pnc,Pnc,",",,"MarieLanv, v. 6"
43,7,1,pur,pur,7,Pre,Pre,pour,C/V\,"MarieLanv, v. 7"
44,7,2,les,les,7,Det,Det,le,C/V\,"MarieLanv, v. 7"
45,7,3,escoz,escoz,7,Adj,Adj,écot3,/V\.'C/V\,"MarieLanv, v. 7"
46,7,4,e,e,7,Crd,Crd,et,/V\,"MarieLanv, v. 7"
47,7,5,pur,pur,7,Pre,Pre,pour,C/V\,"MarieLanv, v. 7"
48,7,6,les,les,7,Det,Det,le,C/V\,"MarieLanv, v. 7"
49,7,7,pis,pis,7,N,N,Picte,C/V\,"MarieLanv, v. 7"
50,7,8,",",",",7,Pnc,Pnc,",",,"MarieLanv, v. 7"
51,8,1,que,que,8,Qux,Qux,que,C/(e)\,"MarieLanv, v. 8"
52,8,2,destruieient,destruieient,8,Vfin,Vfin,détruire,C/V\.C/V\.'C/V\./e\,"MarieLanv, v. 8"
53,8,3,le,le,8,Det,Det,le,C/(e)\,"MarieLanv, v. 8"
54,8,4,païs,païs,8,N,N,pays,C/V\.'C/V\,"MarieLanv, v. 8"
55,8,5,:,:,8,Pnc,Pnc,:,,"MarieLanv, v. 8"
56,9,1,en,en,9,Pre,Pre,en,/V\,"MarieLanv, v. 9"
57,9,2,la,la,9,Det,Det,le,C/V\,"MarieLanv, v. 9"
58,9,3,tere,tere,9,N,N,terre,'C/V\.C/(e)\,"MarieLanv, v. 9"
59,9,4,de,de,9,Pre,Pre,de,C/(e)\,"MarieLanv, v. 9"
60,9,5,loengre,loengre,9,N,N,Loengre,'C/V\.C/(e)\,"MarieLanv, v. 9"
61,9,6,entroent,entroent,9,Vfin,Vfin,entrer,/V\.'C/V\./e\,"MarieLanv, v. 9"
62,10,1,e,e,10,Crd,Crd,et,/V\,"MarieLanv, v. 10"
63,10,2,mut,mut,10,QIs,QIs,moult,C/V\,"MarieLanv, v. 10"
64,10,3,suvent,suvent,10,Adv,Adv,souvent,C/V\.'C/V\,"MarieLanv, v. 10"
65,10,4,la,la,10,Prn,Prn$$,le,C/V\,"MarieLanv, v. 10"
66,10,5,damagoent,damagoent,10,Vfin,Vfin,dommager,C/V\.C/V\.'C/V\./e\,"MarieLanv, v. 10"
67,10,6,.,.,10,Pnc,Pnc,.,,"MarieLanv, v. 10"
68,11,1,a,a,11,Pre,Pre,à,/V\,"MarieLanv, v. 11"
69,11,2,la,la,11,Det,Det,le,C/V\,"MarieLanv, v. 11"
70,11,3,pentecuste,pentecuste,11,N,N,pentecôte,C/V\.C/e\.'C/V\.C/(e)\,"MarieLanv, v. 11"
71,11,4,en,en,11,Pre,Pre,en,/V\,"MarieLanv, v. 11"
72,11,5,esté,esté,11,N,N,été,/V\.'C/V\,"MarieLanv, v. 11"
73,12,1,i,i,12,Prn,Prn$$,y2,/V\,"MarieLanv, v. 12"
74,12,2,aveit,aveit,12,Vfin,Vfin,avoir,/V\.'C/V\,"MarieLanv, v. 12"
75,12,3,li,li,12,Det,Det,le,C/V\,"MarieLanv, v. 12"
76,12,4,reis,reis,12,N,N,roi,C/V\,"MarieLanv, v. 12"
77,12,5,sujurné,sujurné,12,Vpp,Vpp,séjourner,C/V\.C/V\.'C/V\,"MarieLanv, v. 12"
78,12,6,.,.,12,Pnc,Pnc,.,,"MarieLanv, v. 12"
