wd_id,line_id,linewd,word,lex_id,page_id,folio_id,textlineid,lemma,syntag,syntag2,syllabified,ref
1,1,1,En,en,1,1a,1,en,Pre,Pre,/V\,"FroissMel, v. 1"
2,1,2,ce,ce,1,1a,1,ce,Dem,Dem,C/(e)\,"FroissMel, v. 1"
3,1,3,temps,temps,1,1a,1,temps,N,N,C/V\,"FroissMel, v. 1"
4,1,4,que,que,1,1a,1,que,Qux,Qux,C/(e)\,"FroissMel, v. 1"
5,1,5,li,li,1,1a,1,le,Det,Det,C/V\,"FroissMel, v. 1"
6,1,6,rois,rois,1,1a,1,roi,N,N,C/V\,"FroissMel, v. 1"
7,1,7,Artus,artus,1,1a,1,Arthur,N,N,/V\.'C/V\,"FroissMel, v. 1"
8,2,1,Qui,qui,1,1a,2,qui,Qux,Qux,C/V\,"FroissMel, v. 2"
9,2,2,tant,tant,1,1a,2,tant,QIs,QIs,C/V\,"FroissMel, v. 2"
10,2,3,fu,fu,1,1a,2,être,Vfin,Vfin,C/V\,"FroissMel, v. 2"
11,2,4,plains,plains,1,1a,2,plein,Adj,Adj,C/V\,"FroissMel, v. 2"
12,2,5,de,de,1,1a,2,de,Pre,Pre,C/(e)\,"FroissMel, v. 2"
13,2,6,grans,grans,1,1a,2,grand,Adj,Adj,C/V\,"FroissMel, v. 2"
14,2,7,vertus,vertus,1,1a,2,vertu,N,N,C/V\.'C/V\,"FroissMel, v. 2"
15,2,8,",",",",1,1a,2,",",Pnc,Pnc,,"FroissMel, v. 2"
16,3,1,De,de,1,1a,3,de,Pre,Pre,C/(e)\,"FroissMel, v. 3"
17,3,2,sens,sens,1,1a,3,sens,N,N,C/V\,"FroissMel, v. 3"
18,3,3,",",",",1,1a,3,",",Pnc,Pnc,,"FroissMel, v. 3"
19,3,4,d',d',1,1a,3,de,Pre,Pre,C/\,"FroissMel, v. 3"
20,3,5,onneur,onneur,1,1a,3,honneur,N,N,/V\.'C/V\,"FroissMel, v. 3"
21,3,6,et,et,1,1a,3,et,Crd,Crd,/V\,"FroissMel, v. 3"
22,3,7,de,de,1,1a,3,de,Pre,Pre,C/(e)\,"FroissMel, v. 3"
23,3,8,larghece,larghece,1,1a,3,largesse,N,N,C/V\.'C/V\.C/(e)\,"FroissMel, v. 3"
24,3,9,",",",",1,1a,3,",",Pnc,Pnc,,"FroissMel, v. 3"
25,4,1,Regnoit,regnoit,1,1a,4,régner,Vfin,Vfin,C/V\.'C/V\,"FroissMel, v. 4"
26,4,2,au,au,1,1a,4,à.le,Pre+Det,Pre+Det,/V\,"FroissMel, v. 4"
27,4,3,point,point,1,1a,4,point,N,N,C/V\,"FroissMel, v. 4"
28,4,4,de,de,1,1a,4,de,Pre,Pre,C/(e)\,"FroissMel, v. 4"
29,4,5,sa,sa,1,1a,4,son,Det,Det,C/V\,"FroissMel, v. 4"
30,4,6,jonece,jonece,1,1a,4,jeunesse,N,N,C/V\.'C/V\.C/(e)\,"FroissMel, v. 4"
31,4,7,",",",",1,1a,4,",",Pnc,Pnc,,"FroissMel, v. 4"
32,5,1,Et,et,1,1a,5,et,Crd,Crd,/V\,"FroissMel, v. 5"
33,5,2,qu',qu',1,1a,5,que,Sub,Sub,C/\,"FroissMel, v. 5"
34,5,3,il,il,1,1a,5,il,Prn,Prn$,/V\,"FroissMel, v. 5"
35,5,4,commençoit,commençoit,1,1a,5,commencer,Vfin,Vfin,C/V\.C/V\.'C/V\,"FroissMel, v. 5"
36,5,5,a,a,1,1a,5,à,Pre,Pre,/V\,"FroissMel, v. 5"
37,5,6,tenir,tenir,1,1a,5,tenir,Vinf,Vinf,C/V\.'C/V\,"FroissMel, v. 5"
38,6,1,Grans,grans,1,1a,6,grand,Adj,Adj,C/V\,"FroissMel, v. 6"
39,6,2,festes,festes,1,1a,6,feste,N,N,'C/V\.C/e\,"FroissMel, v. 6"
40,6,3,et,et,1,1a,6,et,Crd,Crd,/V\,"FroissMel, v. 6"
