wd_id,word,lex_id,chapter_id,syntag,syntag2,lemma,syllabified
1,Comment,comment,1.5,Qux,Qux,comment,C/V\.'C/V\
2,monsr,monsr,1.5,N,N,,C/V\.'C/V\
3,Charles,charles,1.5,N,N,,'C/V\.C/e\
4,de,de,1.5,Pre,Pre,de,C/(e)\
5,France,france,1.5,N,N,,'C/V\.C/(e)\
6,",",",",1.5,Pnc,Pnc,,
7,duc,duc,1.5,N,N,,C/V\
8,de,de,1.5,Pre,Pre,de,C/(e)\
9,Berry,berry,1.5,N,N,,C/V\.'C/V\
10,",",",",1.5,Pnc,Pnc,,
11,seul,seul,1.5,Adj,Adj,seul,C/V\
12,frère,frere,1.5,N,N,,'C/V\.C/(e)\
13,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\
14,roy,roy,1.5,N,N,,C/V\
15,",",",",1.5,Pnc,Pnc,,
16,les,les,1.5,Det,Det,le,C/V\
17,ducz,ducz,1.5,N,N,,C/V\
18,de,de,1.5,Pre,Pre,de,C/(e)\
19,Bretaigne,bretaigne,1.5,N,N,,C/V\.'C/V\.C/(e)\
20,et,et,1.5,Crd,Crd,et,/V\
21,de,de,1.5,Pre,Pre,de,C/(e)\
22,Calabre,calabre,1.5,N,N,,C/V\.'C/V\.C/(e)\
23,et,et,1.5,Crd,Crd,et,/V\
24,autres,autres,1.5,Adj,Adj,autre,'/V\.C/e\
25,seigneurs,seigneurs,1.5,N,N,,C/V\.'C/V\
26,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\
27,royaulme,royaulme,1.5,N,N,,C/V\.'C/V\.C/(e)\
28,se,se,1.5,Prn,Prn$$,se,C/(e)\
29,joignirent,joignirent,1.5,Vfin,Vfin,joindre,C/V\.'C/V\.C/e\
30,avec,avec,1.5,PrA,PrA,avec,/V\.'C/V\
31,le,le,1.5,Det,Det,le,C/(e)\
32,conte,conte,1.5,N,N,,'C/V\.C/(e)\
33,de,de,1.5,Pre,Pre,de,C/(e)\
34,Charroloys,charroloys,1.5,N,N,,C/V\.C/V\.'C/V\
35,en,en,1.5,Pre,Pre,en,/V\
36,la,la,1.5,Det,Det,le,C/V\
37,ville,ville,1.5,N,N,,'C/V\.C/(e)\
38,d',d',1.5,Pre,Pre,de,C/\
39,Estampes,estampes,1.5,N,N,,/V\.'C/V\.C/e\
40,pour,pour,1.5,Pre,Pre,pour,C/V\
41,l',l',1.5,Det,Det,le,C/\
42,entreprinse,entreprinse,1.5,N,N,,/V\.C/e\.'C/V\.C/(e)\
43,qu',qu',1.5,Qux,Qux,que,C/\
44,ilz,ilz,1.5,Prn,Prn$,il,/V\
45,appelloient,appelloient,1.5,Vfin,Vfin,appeler,/V\.C/e\.'C/V\./e\
46,le,le,1.5,Det,Det,le,C/(e)\
47,bien,bien,1.5,N,N,bien,C/V\
48,publicque,publicque,1.5,Adj,Adj,,C/V\.'C/V\.C/(e)\
49,.,.,1.5,Pnc,Pnc,,
50,Là,la,1.5,Adv,Adv,là,C/V\
51,arrivèrent,arriverent,1.5,Vfin,Vfin,arriver,/V\.C/V\.'C/V\.C/e\
52,messire,messire,1.5,N,N,,C/V\.'C/V\.C/(e)\
53,Charles,charles,1.5,N,N,,'C/V\.C/e\
54,de,de,1.5,Pre,Pre,de,C/(e)\
55,France,france,1.5,N,N,,'C/V\.C/(e)\
56,",",",",1.5,Pnc,Pnc,,
57,lors,lors,1.5,Adv,Adv,lors,C/V\
58,duc,duc,1.5,N,N,,C/V\
59,de,de,1.5,Pre,Pre,de,C/(e)\
60,Berry,berry,1.5,N,N,,C/V\.'C/V\
61,",",",",1.5,Pnc,Pnc,,
62,seul,seul,1.5,Adj,Adj,seul,C/V\
63,frère,frere,1.5,N,N,,'C/V\.C/(e)\
64,du,du,1.5,Pre+Det,Pre+Det,de.le,C/V\
65,roy,roy,1.5,N,N,,C/V\
66,",",",",1.5,Pnc,Pnc,,
67,le,le,1.5,Det,Det,le,C/(e)\
68,duc,duc,1.5,N,N,,C/V\
69,de,de,1.5,Pre,Pre,de,C/(e)\
70,Bretaigne,bretaigne,1.5,N,N,,C/V\.'C/V\.C/(e)\
71,",",",",1.5,Pnc,Pnc,,
72,monsr,monsr,1.5,N,N,,C/V\.'C/V\
73,de,de,1.5,Pre,Pre,de,C/(e)\
74,Dunoys,dunoys,1.5,N,N,,C/V\.'C/V\
75,",",",",1.5,Pnc,Pnc,,
76,monsr,monsr,1.5,N,N,,C/V\.'C/V\
77,de,de,1.5,Pre,Pre,de,C/(e)\
78,Dampmartin,dampmartin,1.5,N,N,,C/V\.C/V\.'C/V\
79,",",",",1.5,Pnc,Pnc,,
80,monsr,monsr,1.5,N,N,,C/V\.'C/V\
81,de,de,1.5,Pre,Pre,de,C/(e)\
82,Loheac,loheac,1.5,N,N,,C/V\.'C/V\
83,",",",",1.5,Pnc,Pnc,,
84,monsr,monsr,1.5,N,N,,C/V\.'C/V\
85,de,de,1.5,Pre,Pre,de,C/(e)\
86,Bueil,bueil,1.5,N,N,,C/V\
87,et,et,1.5,Crd,Crd,et,/V\
88,monsr,monsr,1.5,N,N,,C/V\.'C/V\
89,de,de,1.5,Pre,Pre,de,C/(e)\
90,Chaulmont,chaulmont,1.5,N,N,,C/V\.'C/V\
91,et,et,1.5,Crd,Crd,et,/V\
92,messire,messire,1.5,N,N,,C/V\.'C/V\.C/(e)\
93,Charles,charles,1.5,N,N,,'C/V\.C/e\
94,d',d',1.5,Pre,Pre,de,C/\
95,Amboyse,amboyse,1.5,N,N,,/V\.'C/V\.C/(e)\
96,",",",",1.5,Pnc,Pnc,,
97,son,son,1.5,Det,Det,son4,C/V\
98,filz,filz,1.5,N,N,,C/V\
99,",",",",1.5,Pnc,Pnc,,
100,qui,qui,1.5,Qux,Qux,qui,C/V\
101,depuis,depuis,1.5,PrA,PrA,depuis,C/V\.'C/V\
102,a,a,1.5,Vfin,Vfin,avoir,/V\
103,esté,esté,1.5,Vpp,Vpp,être,/V\.'C/V\
104,grand,grand,1.5,Adj,Adj,grand,C/V\
105,homme,homme,1.5,N,N,,'/V\.C/(e)\
106,en,en,1.5,Pre,Pre,en,/V\
107,ce,ce,1.5,Dem,Dem,cist,C/(e)\
