wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified
1,jadis,jadis,ADV,5,151,Adv,Adv,jadis,C/V\.'C/V\
2,a,a,VER:pres:3:sg,5,151,Vfin,Vfin,avoir,/V\
3,une,une,DET:ndf:obj:femi:sg,5,151,QIs,QIs,un,'/V\.C/(e)\
4,femme,femme,NOM:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\
5,qui,qui,PROCON,5,151,Qux,Qux,qui,C/V\
6,avoit,avoit,VER:impf:3:sg,5,151,Vfin,Vfin,avoir,/V\.'C/V\
7,non,non,NOM:obj:masc:sg,5,151,N,N,,C/V\
8,amelot,amelot,NPR:obj:femi:sg,5,151,N,N,,/V\.C/e\.'C/V\
9,",",",",PON,5,151,Pnc,Pnc,,
10,qui,qui,PROCON,5,151,Qux,Qux,qui,C/V\
11,disoit,disoit,VER:impf:3:sg,5,151,Vfin,Vfin,dire,C/V\.'C/V\
12,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\
13,ele,ele,PRO:pers:suj:3:femi:sg,5,151,Prn,Prn$,elle,'/V\.C/(e)\
14,estoit,estoit,VER:impf:3:sg,5,151,Vfin,Vfin,être,/V\.'C/V\
15,de,de,PRE,5,151,Pre,Pre,de,C/(e)\
16,chambli,chambli,NPR:obj:masc:sg,5,151,N,N,,C/V\.'C/V\
17,le,le,DET:def:obj:masc:sg,5,151,Det,Det,le,C/(e)\
18,haubergier,haubergier,NPR:obj:masc:sg,5,151,N,N,,C/V\.C/V\.'C/V\
19,",",",",PON,5,151,Pnc,Pnc,,
20,de,de,PRE,5,151,Pre,Pre,de,C/(e)\
21,trente,trente,ADJ:card,5,151,QIs,QIs,trente,'C/V\.C/(e)\
22,anz,anz,NOM:obj:masc:pl,5,151,N,N,,/V\
23,et,et,CON:coord,5,151,Crd,Crd,et,/V\
24,plus,plus,ADV,5,151,Adv,Adv,plus,C/V\
25,",",",",PON,5,151,Pnc,Pnc,,
26,aloit,aloit,VER:impf:3:sg,5,151,Vfin,Vfin,aller,/V\.'C/V\
27,par,par,PRE,5,151,Pre,Pre,par,C/V\
28,la,la,DET:def:obj:femi:sg,5,151,Det,Det,le,C/V\
29,vile,vile,NOM:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\
30,de,de,PRE,5,151,Pre,Pre,de,C/(e)\
31,saint,saint,ADJ:obj:masc:sg,5,151,Adj,Adj,saint,C/V\
32,denis,denis,NPR:obj:masc:sg,5,151,N,N,,C/V\.'C/V\
33,si,si,PROCON,5,151,Adv,Adv,si4,C/V\
34,courbe,courbe,ADJ:suj:femi:sg,5,151,Adj,Adj,,'C/V\.C/(e)\
35,",",",",PON,5,151,Pnc,Pnc,,
36,par,par,PRE,5,151,Pre,Pre,par,C/V\
37,trois,trois,ADJ:card,5,151,QIs,QIs,trois,C/V\
38,anz,anz,NOM:obj:masc:pl,5,151,N,N,,/V\
39,ou,ou,PROCON,5,151,Qux,Qux,où,/V\
40,la,la,ADV,5,151,Adv,Adv,là,C/V\
41,entour,entour,ADV,5,151,PrA,PrA,entour,/V\.'C/V\
42,aincois,aincois,ADV,5,151,Adv,Adv,ainçois,/V\.'C/V\
43,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\
44,les,les,DET:def:suj:masc:pl,5,151,Det,Det,le,C/V\
45,os,os,NOM:suj:masc:pl,5,151,N,N,,/V\
46,du,du,PREDET:de:obj:masc:sg,5,151,Pre+Det,Pre+Det,de.le,C/V\
47,benoiet,benoiet,ADJ:obj:masc:sg,5,151,Adj,Adj,,C/V\.C/V\.'C/V\
48,saint,saint,ADJ:obj:masc:sg,5,151,Adj,Adj,saint,C/V\
49,loys,loys,NPR:obj:masc:sg,5,151,N,N,,C/V\
50,fussent,fussent,VER:subi:3:pl,5,151,Vfin,Vfin,être,'C/V\.C/e\
51,portez,portez,VER:pper:masc:pl,5,151,Vpp,Vpp,porter,C/V\.'C/V\
52,en,en,PRO:clit,5,151,Pre,Pre,en,/V\
53,france,france,NPR:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\
54,",",",",PON,5,151,Pnc,Pnc,,
55,que,que,PROCON,5,151,Crd,Crd,que,C/(e)\
56,ses,ses,DET:poss:suj:femi:pl,5,151,Det,Det,son4,C/V\
57,naches,naches,NOM:suj:femi:pl,5,151,N,N,,'C/V\.C/e\
58,estoient,estoient,VER:impf:3:pl,5,151,Vfin,Vfin,être,/V\.'C/V\./e\
59,plus,plus,ADV,5,151,Adv,Adv,plus,C/V\
60,hautes,hautes,ADJ:suj:femi:pl,5,151,Adj,Adj,haut,'C/V\.C/e\
61,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\
62,son,son,DET:poss:suj:masc:sg,5,151,Det,Det,son4,C/V\
63,chief,chief,NOM:suj:masc:sg,5,151,N,N,,C/V\
64,.,.,PON,5,151,Pnc,Pnc,,
65,et,et,CON:coord,5,152,Crd,Crd,et,/V\
66,quant,quant,ADV,5,152,Sub,Sub,quand,C/V\
67,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\
68,aloit,aloit,VER:impf:3:sg,5,152,Vfin,Vfin,aller,/V\.'C/V\
69,",",",",PON,5,152,Pnc,Pnc,,
70,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\
71,portoit,portoit,VER:impf:3:sg,5,152,Vfin,Vfin,porter,C/V\.'C/V\
72,son,son,DET:poss:obj:masc:sg,5,152,Det,Det,son4,C/V\
73,chief,chief,NOM:obj:masc:sg,5,152,N,N,,C/V\
74,pres,pres,ADV,5,152,PrA,PrA,près,C/V\
75,de,de,PRE,5,152,Pre,Pre,de,C/(e)\
76,terre,terre,NOM:obj:femi:sg,5,152,N,N,,'C/V\.C/(e)\
77,pie,pié,NOM:obj:masc:sg,5,152,N,N,,C/V\
78,et,et,CON:coord,5,152,Crd,Crd,et,/V\
79,demi,demi,ADJ:obj:masc:sg,5,152,Adj,Adj,demi,C/V\.'C/V\
80,",",",",PON,5,152,Pnc,Pnc,,
81,apuiee,apuiee,VER:pper:femi:sg,5,152,Vpp,Vpp,appuyer,/V\.C/V\.'C/V\./(e)\
82,d,d',PRE,5,152,Pre,Pre,de,C/\
83,un,un,DET:ndf:obj:masc:sg,5,152,QIs,QIs,un,/V\
84,baston,baston,NOM:obj:masc:sg,5,152,N,N,,C/V\.'C/V\
85,que,que,PROCON,5,152,Qux,Qux,que,C/(e)\
86,ele,ele,PRO:pers:suj:3:femi:sg,5,152,Prn,Prn$,elle,'/V\.C/(e)\
87,tenoit,tenoit,VER:impf:3:sg,5,152,Vfin,Vfin,tenir,C/V\.'C/V\
88,en,en,PRO:clit,5,152,Pre,Pre,en,/V\
89,sa,sa,DET:poss:obj:femi:sg,5,152,Det,Det,son4,C/V\
90,main,main,NOM:obj:femi:sg,5,152,N,N,,C/V\
91,de,de,PRE,5,152,Pre,Pre,de,C/(e)\
