wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,oiiés,oiiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\
2,1,2,oiiés,oiiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\
3,1,3,seigneur,seigneur,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\
4,1,4,et,et,CON:coord,1,Crd,Crd,et,/V\
5,1,5,dames,dames,NOM:suj:femi:pl,1,N,N,,'C/V\.C/e\
6,2,1,que,que,PROCON,2,Sub,Sub,que,C/(e)\
7,2,2,dieus,dieus,NOM:suj:masc:sg,2,N,N,,C/V\
8,2,3,vous,vous,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\
9,2,4,soit,soit,VER:subp:3:sg,2,Vfin,Vfin,être,C/V\
10,2,5,garans,garans,NOM:suj:masc:sg,2,N,N,,C/V\.'C/V\
11,2,6,as,as,PREDET:a:obj:femi:pl,2,Pre+Det,Pre+Det,à.le,/V\
12,2,7,ames,ames,NOM:obj:femi:pl,2,N,N,,'/V\.C/e\
13,3,1,de,de,PRE,3,Pre,Pre,de,C/(e)\
14,3,2,vostre,vostre,DET:poss:obj:masc:sg,3,Det,Det,votre,'C/V\.C/(e)\
15,3,3,preu,preu,NOM:obj:masc:sg,3,N,N,preu,C/V\
16,3,4,ne,ne,PRO:clit,3,Neg,Neg$$,ne,C/(e)\
17,3,5,vous,vous,PRO:pers:2:pl,3,Prn,Prn$$,vous,C/V\
18,3,6,anuit,anuit,VER:subp:3:sg,3,Vfin,Vfin,ennuyer,/V\.'C/V\
19,4,1,nous,nous,PRO:pers:1:pl,4,Prn,Prn$,nous,C/V\
20,4,2,volommes,volommes,VER:pres:1:pl,4,Vfin,Vfin,vouloir,C/V\.'C/V\.C/e\
21,4,3,parler,parler,VER:infi,4,Vinf,Vinf,parler,C/V\.'C/V\
22,4,4,anuit,anuit,ADV,4,Adv,Adv,anuit,/V\.'C/V\
23,5,1,de,de,PRE,5,Pre,Pre,de,C/(e)\
24,5,2,saint,saint,ADJ:obj:masc:sg,5,Adj,Adj,saint,C/V\
25,5,3,nicolai,nicolai,NPR:obj:masc:sg,5,N,N,,C/V\.C/V\.'C/V\
26,5,4,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\
27,5,5,confés,confés,NOM:obj:masc:sg,5,N,N,,C/V\.'C/V\
28,6,1,qui,qui,PROCON,6,Qux,Qux,qui,C/V\
29,6,2,tant,tant,ADV,6,QIs,QIs,tant,C/V\
30,6,3,biaus,biaus,ADJ:obj:masc:pl,6,Adj,Adj,beau,C/V\
