wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
1,1,1,mes,mes,Crd,Crd,mais,C/V\,"MirNDPers, Miracle de la nonne, v. 1"
2,1,2,suers,suers,N,N,soeur,C/V\,"MirNDPers, Miracle de la nonne, v. 1"
3,1,3,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 1"
4,1,4,dites,dites,Vfin,Vfin,dire,'C/V\.C/e\,"MirNDPers, Miracle de la nonne, v. 1"
5,1,5,moy,moy,Prn,Prn%%,moi,C/V\,"MirNDPers, Miracle de la nonne, v. 1"
6,1,6,sanz,sanz,Pre,Pre,sans,C/V\,"MirNDPers, Miracle de la nonne, v. 1"
7,1,7,sejour,sejour,N,N,séjour,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 1"
8,1,8,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 1"
9,2,1,il,il,Prn,Prn$,il,/V\,"MirNDPers, Miracle de la nonne, v. 2"
10,2,2,est,est,Vfin,Vfin,être,/V\,"MirNDPers, Miracle de la nonne, v. 2"
11,2,3,hui,hui,Adv,Adv,hui2,/V\,"MirNDPers, Miracle de la nonne, v. 2"
12,2,4,grant,grant,Adj,Adj,grand,C/V\,"MirNDPers, Miracle de la nonne, v. 2"
13,2,5,feste,feste,N,N,fête,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 2"
14,2,6,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 2"
15,2,7,bon,bon,Adj,Adj,bon,C/V\,"MirNDPers, Miracle de la nonne, v. 2"
16,2,8,jour,jour,N,N,jour,C/V\,"MirNDPers, Miracle de la nonne, v. 2"
17,2,9,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 2"
18,3,1,avez,avez,Vfin,Vfin,avoir,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 3"
19,3,2,vous,vous,Prn,Prn%,vous,C/V\,"MirNDPers, Miracle de la nonne, v. 3"
20,3,3,point,point,Neg,Neg,point2,C/V\,"MirNDPers, Miracle de la nonne, v. 3"
21,3,4,fait,fait,Vpp,Vpp,faire,C/V\,"MirNDPers, Miracle de la nonne, v. 3"
22,3,5,assavoir,assavoir,Adv,Adv,assavoir,/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 3"
23,4,1,aux,aux,Pre+Det,Pre+Det,à.le,/V\,"MirNDPers, Miracle de la nonne, v. 4"
24,4,2,freres,freres,N,N,frère,'C/V\.C/e\,"MirNDPers, Miracle de la nonne, v. 4"
25,4,3,qu',qu',Sub,Sub,que,C/\,"MirNDPers, Miracle de la nonne, v. 4"
26,4,4,un,un,QIs,QIs,un,/V\,"MirNDPers, Miracle de la nonne, v. 4"
27,4,5,sermon,sermon,N,N,sermon,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 4"
28,4,6,avoir,avoir,Vinf,Vinf,avoir,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 4"
29,5,1,peussions,peussions,Vfin,Vfin,pouvoir2,C/(V)\./V\.C/{V}\.'/V\,"MirNDPers, Miracle de la nonne, v. 5"
30,5,2,hui,hui,Adv,Adv,hui2,/V\,"MirNDPers, Miracle de la nonne, v. 5"
31,5,3,?,?,Pnc,Pnc,?,,"MirNDPers, Miracle de la nonne, v. 5"
32,6,1,dame,dame,N,N,dame,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 6"
33,6,2,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 6"
34,6,3,se,se,Sub,Sub,si3,C/(e)\,"MirNDPers, Miracle de la nonne, v. 6"
35,6,4,dieu,dieu,N,N,dieu,C/V\,"MirNDPers, Miracle de la nonne, v. 6"
36,6,5,me,me,Prn,Prn$$,me,C/(e)\,"MirNDPers, Miracle de la nonne, v. 6"
37,6,6,gart,gart,Vfin,Vfin,garder,C/V\,"MirNDPers, Miracle de la nonne, v. 6"
38,6,7,d',d',Pre,Pre,de,C/\,"MirNDPers, Miracle de la nonne, v. 6"
39,6,8,annui,annui,N,N,ennui,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 6"
40,6,9,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 6"
41,7,1,g',g',Prn,Prn$,je,C/\,"MirNDPers, Miracle de la nonne, v. 7"
42,7,2,y,y,Prn,Prn$$,y2,/V\,"MirNDPers, Miracle de la nonne, v. 7"
43,7,3,envoiay,envoiay,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 7"
44,7,4,des,des,Pre,Pre,dès,C/V\,"MirNDPers, Miracle de la nonne, v. 7"
45,7,5,devant,devant,PrA,PrA,devant,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 7"
46,7,6,hier,hier,Adv,Adv,hier,/V\,"MirNDPers, Miracle de la nonne, v. 7"
47,7,7,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 7"
48,8,1,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 8"
49,8,2,m',m',Prn,Prn$$,me,C/\,"MirNDPers, Miracle de la nonne, v. 8"
50,8,3,a,a,Vfin,Vfin,avoir,/V\,"MirNDPers, Miracle de la nonne, v. 8"
51,8,4,mandé,mandé,Vpp,Vpp,mander,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 8"
52,8,5,frere,frere,N,N,frère,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 8"
53,8,6,gautier,gautier,N,N,Gauthier,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 8"
54,9,1,que,que,Sub,Sub,que,C/(e)\,"MirNDPers, Miracle de la nonne, v. 9"
55,9,2,sanz,sanz,Pre,Pre,sans,C/V\,"MirNDPers, Miracle de la nonne, v. 9"
56,9,3,faillir,faillir,Vinf,Vinf,faillir,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 9"
57,9,4,icy,icy,Adv,Adv,ici,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 9"
58,9,5,venra,venra,Vfin,Vfin,venir,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 9"
59,10,1,je,je,Prn,Prn$,je,C/(e)\,"MirNDPers, Miracle de la nonne, v. 10"
60,10,2,ne,ne,Neg,Neg$$,ne,C/(e)\,"MirNDPers, Miracle de la nonne, v. 10"
61,10,3,say,say,Vfin,Vfin,savoir,C/V\,"MirNDPers, Miracle de la nonne, v. 10"
62,10,4,si,si,Adv,Adv,si4,C/V\,"MirNDPers, Miracle de la nonne, v. 10"
63,10,5,me,me,Prn,Prn$$,me,C/(e)\,"MirNDPers, Miracle de la nonne, v. 10"
64,10,6,mentira,mentira,Vfin,Vfin,mentir,C/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 10"
65,11,1,de,de,Pre,Pre,de,C/(e)\,"MirNDPers, Miracle de la nonne, v. 11"
66,11,2,sa,sa,Det,Det,son4,C/V\,"MirNDPers, Miracle de la nonne, v. 11"
67,11,3,promesse,promesse,N,N,promesse,C/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 11"
68,11,4,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 11"
69,12,1,nanil,nanil,NVP,NVP,nenni,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 12"
70,12,2,voir,voir,Adv,Adv,voir2,C/V\,"MirNDPers, Miracle de la nonne, v. 12"
71,12,3,:,:,Pnc,Pnc,:,,"MirNDPers, Miracle de la nonne, v. 12"
72,12,4,espoir,espoir,Adv,Adv,espoir2,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 12"
73,12,5,qu',qu',Sub,Sub,que,C/\,"MirNDPers, Miracle de la nonne, v. 12"
74,12,6,il,il,Prn,Prn$,il,/V\,"MirNDPers, Miracle de la nonne, v. 12"
