wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,je,je,1,Prn,Prn$,je,C/(e)\,"FroissOrl, v. 1"
2,1,2,me,me,1,Prn,Prn$$,me,C/(e)\,"FroissOrl, v. 1"
3,1,3,puis,puis,1,Vfin,Vfin,pouvoir,C/V\,"FroissOrl, v. 1"
4,1,4,bien,bien,1,Adv,Adv,bien,C/V\,"FroissOrl, v. 1"
5,1,5,comparer,comparer,1,Vinf,Vinf,comparer,C/V\.C/V\.'C/V\,"FroissOrl, v. 1"
6,1,6,a,a,1,Pre,Pre,à,/V\,"FroissOrl, v. 1"
7,1,7,l',l',1,Det,Det,le,C/\,"FroissOrl, v. 1"
8,1,8,orloge,orloge,1,N,N,horloge,/V\.'C/V\.C/(e)\,"FroissOrl, v. 1"
9,1,9,",",",",1,Pnc,Pnc,",",,"FroissOrl, v. 1"
10,2,1,car,car,2,Crd,Crd,car,C/V\,"FroissOrl, v. 2"
11,2,2,quant,quant,2,Sub,Sub,quand,C/V\,"FroissOrl, v. 2"
12,2,3,amours,amours,2,N,N,amour,/V\.'C/V\,"FroissOrl, v. 2"
13,2,4,",",",",2,Pnc,Pnc,",",,"FroissOrl, v. 2"
14,2,5,qui,qui,2,Qux,Qux,qui,C/V\,"FroissOrl, v. 2"
15,2,6,en,en,2,Pre,Pre,en,/V\,"FroissOrl, v. 2"
16,2,7,mon,mon,2,Det,Det,mon,C/V\,"FroissOrl, v. 2"
17,2,8,coer,coer,2,N,N,coeur,C/V\,"FroissOrl, v. 2"
18,2,9,se,se,2,Prn,Prn$$,se,C/(e)\,"FroissOrl, v. 2"
19,2,10,loge,loge,2,Vfin,Vfin,loger,'C/V\.C/(e)\,"FroissOrl, v. 2"
20,2,11,",",",",2,Pnc,Pnc,",",,"FroissOrl, v. 2"
21,3,1,m',m',3,Prn,Prn$$,me,C/\,"FroissOrl, v. 3"
22,3,2,i,i,3,Prn,Prn$$,y,/V\,"FroissOrl, v. 3"
23,3,3,fait,fait,3,Vfin,Vfin,faire,C/V\,"FroissOrl, v. 3"
24,3,4,penser,penser,3,Vinf,Vinf,penser,C/V\.'C/V\,"FroissOrl, v. 3"
25,3,5,et,et,3,Crd,Crd,et,/V\,"FroissOrl, v. 3"
26,3,6,mettre,mettre,3,Vinf,Vinf,mettre,'C/V\.C/(e)\,"FroissOrl, v. 3"
27,3,7,y,y,3,Prn,Prn,y,/V\,"FroissOrl, v. 3"
28,3,8,mon,mon,3,Det,Det,mon,C/V\,"FroissOrl, v. 3"
29,3,9,estude,estude,3,N,N,étude,/V\.'C/V\.C/(e)\,"FroissOrl, v. 3"
30,3,10,",",",",3,Pnc,Pnc,",",,"FroissOrl, v. 3"
31,4,1,g',g',4,Prn,Prn$,je,C/\,"FroissOrl, v. 4"
32,4,2,i,i,4,Prn,Prn$$,y,/V\,"FroissOrl, v. 4"
33,4,3,aperçoi,aperçoi,4,Vfin,Vfin,apercevoir,/V\.C/V\.'C/V\,"FroissOrl, v. 4"
34,4,4,une,une,4,QIs,QIs,un,'/V\.C/(e)\,"FroissOrl, v. 4"
35,4,5,similitude,similitude,4,N,N,similitude,C/V\.C/V\.C/V\.'C/V\.C/(e)\,"FroissOrl, v. 4"
36,4,6,.,.,4,Pnc,Pnc,.,,"FroissOrl, v. 4"
37,5,1,dont,dont,5,Qux,Qux,dont,C/V\,"FroissOrl, v. 5"
38,5,2,moult,moult,5,QIs,QIs,moult,C/V\,"FroissOrl, v. 5"
39,5,3,me,me,5,Prn,Prn$$,me,C/(e)\,"FroissOrl, v. 5"
40,5,4,doi,doi,5,Vfin,Vfin,devoir,C/V\,"FroissOrl, v. 5"
41,5,5,resjoir,resjoir,5,Vinf,Vinf,réjouir,C/V\.C/V\.'C/V\,"FroissOrl, v. 5"
42,5,6,et,et,5,Crd,Crd,et,/V\,"FroissOrl, v. 5"
43,5,7,parer,parer,5,Vinf,Vinf,parer,C/V\.'C/V\,"FroissOrl, v. 5"
44,5,8,",",",",5,Pnc,Pnc,",",,"FroissOrl, v. 5"
45,6,1,car,car,6,Crd,Crd,car,C/V\,"FroissOrl, v. 6"
46,6,2,l',l',6,Det,Det,le,C/\,"FroissOrl, v. 6"
47,6,3,orloge,orloge,6,N,N,horloge,/V\.'C/V\.C/(e)\,"FroissOrl, v. 6"
48,6,4,est,est,6,Vfin,Vfin,être,/V\,"FroissOrl, v. 6"
49,6,5,",",",",6,Pnc,Pnc,",",,"FroissOrl, v. 6"
50,6,6,au,au,6,Pre+Det,Pre+Det,à.le,/V\,"FroissOrl, v. 6"
51,6,7,vrai,vrai,6,Adj,Adj,vrai,C/V\,"FroissOrl, v. 6"
52,6,8,considerer,considerer,6,Vinf,Vinf,considérer,C/V\.C/V\.C/e\.'C/V\,"FroissOrl, v. 6"
53,6,9,",",",",6,Pnc,Pnc,",",,"FroissOrl, v. 6"
54,7,1,un,un,7,QIs,QIs,un,/V\,"FroissOrl, v. 7"
55,7,2,instrument,instrument,7,N,N,instrument,/V\.C/V\.'C/V\,"FroissOrl, v. 7"
56,7,3,tres,tres,7,PrA,PrA,très,C/V\,"FroissOrl, v. 7"
57,7,4,bel,bel,7,Adj,Adj,beau,C/V\,"FroissOrl, v. 7"
58,7,5,et,et,7,Crd,Crd,et,/V\,"FroissOrl, v. 7"
59,7,6,tres,tres,7,PrA,PrA,très,C/V\,"FroissOrl, v. 7"
60,7,7,notable,notable,7,Adj,Adj,notable,C/V\.'C/V\.C/(e)\,"FroissOrl, v. 7"
