wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,maitres,maitres,99,N,N,,'C/V\.C/e\
2,1,2,",",",",99,Pnc,Pnc,,
3,1,3,dites,dites,99,Vfin,Vfin,dire,'C/V\.C/e\
4,1,4,apertement,apertement,99,Adv,Adv,,/V\.C/V\.C/e\.'C/V\
5,1,5,",",",",99,Pnc,Pnc,,
6,2,1,pour,pour,100,Pre,Pre,pour,C/V\
7,2,2,quoi,quoi,100,Qux,Qux,que,C/V\
8,2,3,de,de,100,Pre,Pre,de,C/(e)\
9,2,4,si,si,100,Adv,Adv,si4,C/V\
10,2,5,chier,chier,100,Adj,Adj,cher,C/V\
11,2,6,oignement,oignement,100,N,N,,/V\.C/e\.'C/V\
12,3,1,avez,avez,101,Vfin,Vfin,avoir,/V\.'C/V\
13,3,2,souffert,souffert,101,Vpp,Vpp,souffrir,C/V\.'C/V\
14,3,3,tel,tel,101,Adj,Adj,tel,C/V\
15,3,4,gastement,gastement,101,N,N,,C/V\.C/e\.'C/V\
16,3,5,?,?,101,Pnc,Pnc,,
17,4,1,s',s',102,Adv,Adv,si4,C/\
18,4,2,est,est,102,Vfin,Vfin,être,/V\
19,4,3,honte,honte,102,N,N,,'C/V\.C/(e)\
20,4,4,et,et,102,Crd,Crd,et,/V\
21,4,5,vilainnement,vilainnement,102,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
22,4,6,.,.,102,Pnc,Pnc,,
23,5,1,bien,bien,103,Adv,Adv,bien,C/V\
24,5,2,valoit,valoit,103,Vfin,Vfin,valoir,C/V\.'C/V\
25,5,3,i,i,103,Prn,Prn%%,y2,/V\
26,5,4,trois,trois,103,QIs,QIs,trois,C/V\
27,5,5,cenz,cenz,103,QIs,QIs,cent,C/V\
28,5,6,deniers,deniers,103,N,N,,C/V\.C/<V>\.'/V\
29,6,1,et,et,104,Crd,Crd,et,/V\
30,6,2,plus,plus,104,Adv,Adv,plus,C/V\
31,6,3,encor,encor,104,Adv,Adv,encore,/V\.'C/V\
32,6,4,",",",",104,Pnc,Pnc,,
33,6,5,que,que,104,Crd,Crd,que,C/(e)\
34,6,6,mout,mout,104,QIs,QIs,moult,C/V\
35,6,7,est,est,104,Vfin,Vfin,être,/V\
36,6,8,chiers,chiers,104,Adj,Adj,cher,C/V\
37,6,9,",",",",104,Pnc,Pnc,,
38,7,1,qui,qui,105,Qux,Qux,qui,C/V\
39,7,2,lealment,lealment,105,Adv,Adv,,C/V\.C/V\.'C/V\
40,7,3,l',l',105,Prn,Prn$$,3p,C/\
41,7,4,eut,eut,105,Vfin,Vfin,avoir,/V\
42,7,5,vendu,vendu,105,Vpp,Vpp,vendre,C/V\.'C/V\
43,8,1,avant,avant,106,PrA,PrA,avant,/V\.'C/V\
44,8,2,c',c',106,Sub,Sub,que,C/\
45,8,3,om,om,106,Prn,Prn$,on,/V\
46,8,4,l',l',106,Prn,Prn$$,3p,C/\
47,8,5,eut,eut,106,Vfin,Vfin,avoir,/V\
48,8,6,espandu,espandu,106,Vpp,Vpp,épandre,/V\.C/V\.'C/V\
49,8,7,.,.,106,Pnc,Pnc,,
50,9,1,il,il,107,Prn,Prn$,il,/V\
51,9,2,en,en,107,Prn,Prn$$,en2,/V\
52,9,3,afferoit,afferoit,107,Vfin,Vfin,afférir,/V\.C/e\.'C/V\
53,9,4,a,a,107,Pre,Pre,à,/V\
54,9,5,ma,ma,107,Det,Det,mon,C/V\
55,9,6,rente,rente,107,N,N,,'C/V\.C/(e)\
56,10,1,de,de,108,Pre,Pre,de,C/(e)\
57,10,2,trois,trois,108,QIs,QIs,trois,C/V\
58,10,3,cenz,cenz,108,QIs,QIs,cent,C/V\
59,10,4,deniers,deniers,108,N,N,,C/V\.C/<V>\.'/V\
60,10,5,les,les,108,Det,Det,le,C/V\
61,10,6,trente,trente,108,QIs,QIs,trente,'C/V\.C/(e)\
62,10,7,.,.,108,Pnc,Pnc,,
63,11,1,se,se,109,Sub,Sub,si3,C/(e)\
64,11,2,je,je,109,Prn,Prn$,je,C/(e)\
65,11,3,lëz,lëz,109,Prn,Prn$$,3p,C/e\
66,11,4,part,part,109,Vfin,Vfin,partir,C/V\
