wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,ouvrez,ouvrez,1,Vfin,Vfin,ouvrir,/V\.'C/V\,"Greban, v. 1"
2,1,2,vos,vos,1,Det,Det,votre,C/V\,"Greban, v. 1"
3,1,3,yeulx,yeulx,1,N,N,oeil,C/V\,"Greban, v. 1"
4,1,4,et,et,1,Crd,Crd,et,/V\,"Greban, v. 1"
5,1,5,regardez,regardez,1,Vfin,Vfin,regarder,C/V\.C/V\.'C/V\,"Greban, v. 1"
6,1,6,",",",",1,Pnc,Pnc,",",,"Greban, v. 1"
7,2,1,devotes,devotes,2,Adj,Adj,dévot,C/V\.'C/V\.C/e\,"Greban, v. 2"
8,2,2,gens,gens,2,N,N,gent,C/V\,"Greban, v. 2"
9,2,3,qui,qui,2,Qux,Qux,qui,C/V\,"Greban, v. 2"
10,2,4,actendez,actendez,2,Vfin,Vfin,attendre,/V\.C/V\.'C/V\,"Greban, v. 2"
11,3,1,a,a,3,Pre,Pre,à,/V\,"Greban, v. 3"
12,3,2,oÿr,oÿr,3,Vinf,Vinf,ouïr,/V\.'C/V\,"Greban, v. 3"
13,3,3,chose,chose,3,N,N,chose,'C/V\.C/(e)\,"Greban, v. 3"
14,3,4,salutaire,salutaire,3,Adj,Adj,salutaire,C/V\.C/V\.'C/V\.C/(e)\,"Greban, v. 3"
15,3,5,.,.,3,Pnc,Pnc,.,,"Greban, v. 3"
16,4,1,vueillez,vueillez,4,Vfin,Vfin,vouloir,C/V\.'C/V\,"Greban, v. 4"
17,4,2,vous,vous,4,Prn,Prn%,vous,C/V\,"Greban, v. 4"
18,4,3,pour,pour,4,Pre,Pre,pour,C/V\,"Greban, v. 4"
19,4,4,vo,vo,4,Det,Det,votre,C/V\,"Greban, v. 4"
20,4,5,salut,salut,4,N,N,salut,C/V\.'C/V\,"Greban, v. 4"
21,4,6,taire,taire,4,Vinf,Vinf,taire,'C/V\.C/(e)\,"Greban, v. 4"
22,5,1,par,par,5,Pre,Pre,par,C/V\,"Greban, v. 5"
23,5,2,une,une,5,QIs,QIs,un,'/V\.C/(e)\,"Greban, v. 5"
24,5,3,amoureuse,amoureuse,5,Adj,Adj,amoureux,/V\.C/V\.'C/V\.C/(e)\,"Greban, v. 5"
25,5,4,scilence,scilence,5,N,N,silence,C/V\.'C/V\.C/(e)\,"Greban, v. 5"
26,6,1,si,si,6,Adv,Adv,si4,C/V\,"Greban, v. 6"
27,6,2,verrez,verrez,6,Vfin,Vfin,voir,C/V\.'C/V\,"Greban, v. 6"
28,6,3,",",",",6,Pnc,Pnc,",",,"Greban, v. 6"
29,6,4,en,en,6,Pre,Pre,en,/V\,"Greban, v. 6"
30,6,5,bricfve,bricfve,6,Adj,Adj,bref,'C/V\.C/(e)\,"Greban, v. 6"
31,6,6,sentence,sentence,6,N,N,sentence,C/V\.'C/V\.C/(e)\,"Greban, v. 6"
32,6,7,",",",",6,Pnc,Pnc,",",,"Greban, v. 6"
33,7,1,le,le,7,Det,Det,le,C/(e)\,"Greban, v. 7"
34,7,2,fait,fait,7,N,N,fait,C/V\,"Greban, v. 7"
35,7,3,de,de,7,Pre,Pre,de,C/(e)\,"Greban, v. 7"
36,7,4,la,la,7,Det,Det,le,C/V\,"Greban, v. 7"
37,7,5,creacion,creacion,7,N,N,création,C/V\.C/V\.C/{V}\.'/V\,"Greban, v. 7"
38,8,1,et,et,8,Crd,Crd,et,/V\,"Greban, v. 8"
39,8,2,la,la,8,Det,Det,le,C/V\,"Greban, v. 8"
40,8,3,noble,noble,8,Adj,Adj,noble,'C/V\.C/(e)\,"Greban, v. 8"
41,8,4,plasmacion,plasmacion,8,N,N,plasmation,C/V\.C/V\.C/{V}\.'/V\,"Greban, v. 8"
42,9,1,du,du,9,Pre+Det,Pre+Det,de.le,C/V\,"Greban, v. 9"
43,9,2,ciel,ciel,9,N,N,ciel,C/V\,"Greban, v. 9"
44,9,3,",",",",9,Pnc,Pnc,",",,"Greban, v. 9"
45,9,4,terre,terre,9,N,N,terre,'C/V\.C/(e)\,"Greban, v. 9"
46,9,5,",",",",9,Pnc,Pnc,",",,"Greban, v. 9"
