wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,saincte,saincte,1,Adj,Adj,saint,'C/V\.C/(e)\,"Pathelin, v. 1"
2,1,2,marie,marie,1,N,N,Marie,C/V\.'C/V\./(e)\,"Pathelin, v. 1"
3,1,3,!,!,1,Pnc,Pnc,!,,"Pathelin, v. 1"
4,1,4,guillemette,guillemette,1,N,N,Guillemette,C/V\.C/e\.'C/V\.C/(e)\,"Pathelin, v. 1"
5,1,5,",",",",1,Pnc,Pnc,",",,"Pathelin, v. 1"
6,2,1,pour,pour,2,Pre,Pre,pour,C/V\,"Pathelin, v. 2"
7,2,2,quelque,quelque,2,QIs,QIs,quelque,'C/V\.C/(e)\,"Pathelin, v. 2"
8,2,3,paine,paine,2,N,N,peine,'C/V\.C/(e)\,"Pathelin, v. 2"
9,2,4,que,que,2,Qux,Qux,que,C/(e)\,"Pathelin, v. 2"
10,2,5,je,je,2,Prn,Prn$,je,C/(e)\,"Pathelin, v. 2"
11,2,6,mette,mette,2,Vfin,Vfin,mettre,'C/V\.C/(e)\,"Pathelin, v. 2"
12,3,1,a,a,3,Pre,Pre,à,/V\,"Pathelin, v. 3"
13,3,2,cabasser,cabasser,3,Vinf,Vinf,cabasser,C/V\.C/V\.'C/V\,"Pathelin, v. 3"
14,3,3,n',n',3,Crd,Crd,ne2,C/\,"Pathelin, v. 3"
15,3,4,a,a,3,Pre,Pre,à,/V\,"Pathelin, v. 3"
16,3,5,ramasser,ramasser,3,Vinf,Vinf,ramasser,C/V\.C/V\.'C/V\,"Pathelin, v. 3"
17,3,6,",",",",3,Pnc,Pnc,",",,"Pathelin, v. 3"
18,4,1,nous,nous,4,Prn,Prn$,nous,C/V\,"Pathelin, v. 4"
19,4,2,ne,ne,4,Neg,Neg$$,ne,C/(e)\,"Pathelin, v. 4"
20,4,3,pouons,pouons,4,Vfin,Vfin,pouvoir2,C/V\.'C/V\,"Pathelin, v. 4"
21,4,4,rien,rien,4,N,N,rien,C/V\,"Pathelin, v. 4"
22,4,5,amasser,amasser,4,Vinf,Vinf,amasser,/V\.C/V\.'C/V\,"Pathelin, v. 4"
23,4,6,;,;,4,Pnc,Pnc,;,,"Pathelin, v. 4"
24,5,1,or,or,5,Adv,Adv,or2,/V\,"Pathelin, v. 5"
25,5,2,vis,vis,5,Vfin,Vfin,voir,C/V\,"Pathelin, v. 5"
26,5,3,je,je,5,Prn,Prn%,je,C/(e)\,"Pathelin, v. 5"
27,5,4,que,que,5,Sub,Sub,que,C/(e)\,"Pathelin, v. 5"
28,5,5,j',j',5,Prn,Prn$,je,C/\,"Pathelin, v. 5"
29,5,6,avocassoye,avocassoye,5,Vfin,Vfin,avocasser,/V\.C/V\.C/V\.'C/V\./(e)\,"Pathelin, v. 5"
30,5,7,.,.,5,Pnc,Pnc,.,,"Pathelin, v. 5"
31,6,1,par,par,6,Pre,Pre,par,C/V\,"Pathelin, v. 6"
32,6,2,nostre,nostre,6,Det,Det,notre,'C/V\.C/(e)\,"Pathelin, v. 6"
33,6,3,dame,dame,6,N,N,dame,'C/V\.C/(e)\,"Pathelin, v. 6"
34,6,4,",",",",6,Pnc,Pnc,",",,"Pathelin, v. 6"
