wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,oiés,oiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,"ComtePoit, v. 1"
2,1,2,por,por,PRE,1,Pre,Pre,pour,C/V\,"ComtePoit, v. 1"
3,1,3,dieu,dieu,NOM:obj:masc:sg,1,N,N,Dieu,C/V\,"ComtePoit, v. 1"
4,1,4,le,le,DET:def:obj:masc:sg,1,Det,Det,le,C/(e)\,"ComtePoit, v. 1"
5,1,5,fil,fil,NOM:obj:masc:sg,1,N,N,fils,C/V\,"ComtePoit, v. 1"
6,1,6,marie,marie,NPR:obj:femi:sg,1,N,N,Marie,C/V\.'C/V\./(e)\,"ComtePoit, v. 1"
7,2,1,chancon,chancon,NOM:obj:femi:sg,2,N,N,chanson,C/V\.'C/V\,"ComtePoit, v. 2"
8,2,2,de,de,PRE,2,Pre,Pre,de,C/(e)\,"ComtePoit, v. 2"
9,2,3,molt,molt,ADV,2,QIs,QIs,moult,C/V\,"ComtePoit, v. 2"
10,2,4,grant,grant,ADJ:obj:femi:sg,2,Adj,Adj,grand,C/V\,"ComtePoit, v. 2"
11,2,5,segnorie,segnorie,NOM:obj:femi:sg,2,N,N,seigneurie,C/V\.C/V\.'C/V\./(e)\,"ComtePoit, v. 2"
12,3,1,vous,vous,PRO:pers:2:pl,3,Prn,Prn$,vous,C/V\,"ComtePoit, v. 3"
13,3,2,avés,avés,VER:pres:2:pl,3,Vfin,Vfin,avoir,/V\.'C/V\,"ComtePoit, v. 3"
14,3,3,maintes,maintes,DET:ind:obj:femi:pl,3,QIs,QIs,maint,'C/V\.C/e\,"ComtePoit, v. 3"
15,3,4,fois,fois,NOM:obj:femi:pl,3,N,N,fois,C/V\,"ComtePoit, v. 3"
16,3,5,oï,oï,VER:pper:masc:sg,3,Vpp,Vpp,ouïr,/V\.'C/V\,"ComtePoit, v. 3"
17,4,1,chanter,chanter,VER:infi,4,Vinf,Vinf,chanter,C/V\.'C/V\,"ComtePoit, v. 4"
18,4,2,du,du,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\,"ComtePoit, v. 4"
19,4,3,lignage,lignage,NOM:obj:masc:sg,4,N,N,lignage,C/V\.'C/V\.C/(e)\,"ComtePoit, v. 4"
20,4,4,aimeri,aimeri,NPR:obj:masc:sg,4,N,N,Aimery,/V\.C/e\.'C/V\,"ComtePoit, v. 4"
21,5,1,de,de,PRE,5,Pre,Pre,de,C/(e)\,"ComtePoit, v. 5"
22,5,2,karlemagne,karlemagne,NPR:obj:masc:sg,5,N,N,Charlemagne,C/V\.C/e\.'C/V\.C/(e)\,"ComtePoit, v. 5"
23,5,3,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\,"ComtePoit, v. 5"
24,5,4,poissant,poissant,ADJ:obj:masc:sg,5,Adj,Adj,puissant,C/V\.'C/V\,"ComtePoit, v. 5"
25,6,1,et,et,CON:coord,6,Crd,Crd,et,/V\,"ComtePoit, v. 6"
26,6,2,d',d',PRE,6,Pre,Pre,de,C/\,"ComtePoit, v. 6"
27,6,3,olivier,olivier,NPR:obj:masc:sg,6,N,N,Olivier,/V\.C/V\.'C/V\,"ComtePoit, v. 6"
28,6,4,et,et,CON:coord,6,Crd,Crd,et,/V\,"ComtePoit, v. 6"
29,6,5,de,de,PRE,6,Pre,Pre,de,C/(e)\,"ComtePoit, v. 6"
30,6,6,rollant,rollant,NPR:obj:masc:sg,6,N,N,Roland,C/V\.'C/V\,"ComtePoit, v. 6"
31,7,1,et,et,CON:coord,7,Crd,Crd,et,/V\,"ComtePoit, v. 7"
32,7,2,de,de,PRE,7,Pre,Pre,de,C/(e)\,"ComtePoit, v. 7"
33,7,3,guillaume,guillaume,NPR:obj:masc:sg,7,N,N,Guillaume,C/V\.'C/V\.C/(e)\,"ComtePoit, v. 7"
34,7,4,fierebrache,fierebrache,NPR:obj:masc:sg,7,N,N,Fierebrace,C/V\.C/e\.'C/V\.C/(e)\,"ComtePoit, v. 7"
35,8,1,et,et,CON:coord,8,Crd,Crd,et,/V\,"ComtePoit, v. 8"
36,8,2,de,de,PRE,8,Pre,Pre,de,C/(e)\,"ComtePoit, v. 8"
37,8,3,rainouart,rainouart,NPR:obj:masc:sg,8,N,N,Rainouart,C/V\.C/V\.'C/V\,"ComtePoit, v. 8"
38,8,4,a,a,PRE,8,Pre,Pre,à,/V\,"ComtePoit, v. 8"
39,8,5,le,le,DET:def:obj:femi:sg,8,Det,Det,le,C/(e)\,"ComtePoit, v. 8"
40,8,6,mache,mache,NOM:obj:femi:sg,8,N,N,masse2,'C/V\.C/(e)\,"ComtePoit, v. 8"
41,9,1,qui,qui,PROCON,9,Qux,Qux,qui,C/V\,"ComtePoit, v. 9"
42,9,2,les,les,DET:def:obj:masc:pl,9,Det,Det,le,C/V\,"ComtePoit, v. 9"
43,9,3,dis,dis,ADJ:card,9,QIs,QIs,dix,C/V\,"ComtePoit, v. 9"
44,9,4,rois,rois,NOM:obj:masc:pl,9,N,N,roi,C/V\,"ComtePoit, v. 9"
45,9,5,conquist,conquist,VER:simp:3:sg,9,Vfin,Vfin,conquérir,C/V\.'C/V\,"ComtePoit, v. 9"
46,9,6,as,as,PREDET:a:obj:femi:pl,9,Pre+Det,Pre+Det,à.le,/V\,"ComtePoit, v. 9"
47,9,7,mains,mains,NOM:obj:femi:pl,9,N,N,main,C/V\,"ComtePoit, v. 9"
48,10,1,del,del,PREDET:de:obj:masc:sg,10,Pre+Det,Pre+Det,de.le,C/V\,"ComtePoit, v. 10"
49,10,2,tot,tot,PRO:ind:obj:masc:sg,10,QIs,QIs,tout,C/V\,"ComtePoit, v. 10"
50,10,3,passa,passa,VER:simp:3:sg,10,Vfin,Vfin,passer,C/V\.'C/V\,"ComtePoit, v. 10"
51,10,4,pepins,pepins,NPR:suj:masc:sg,10,N,N,Pépin,C/V\.'C/V\,"ComtePoit, v. 10"
52,10,5,li,li,DET:def:suj:masc:sg,10,Det,Det,le,C/V\,"ComtePoit, v. 10"
53,10,6,nains,nains,NOM:suj:masc:sg,10,N,N,nain,C/V\,"ComtePoit, v. 10"
54,11,1,qui,qui,PROCON,11,Qux,Qux,qui,C/V\,"ComtePoit, v. 11"
55,11,2,n,n,PRO:clit,11,Neg,Neg$$,ne,C/\,"ComtePoit, v. 11"
56,11,3,ot,ot,VER:simp:3:sg,11,Vfin,Vfin,avoir,/V\,"ComtePoit, v. 11"
57,11,4,que,que,PROCON,11,Sub,Sub,que,C/(e)\,"ComtePoit, v. 11"
58,11,5,trois,trois,ADJ:card,11,QIs,QIs,trois,C/V\,"ComtePoit, v. 11"
59,11,6,piés,piés,NOM:obj:masc:pl,11,N,N,pied,C/V\,"ComtePoit, v. 11"
60,11,7,et,et,CON:coord,11,Crd,Crd,et,/V\,"ComtePoit, v. 11"
61,11,8,demi,demi,ADJ:obj:masc:sg,11,Adj,Adj,demi,C/V\.'C/V\,"ComtePoit, v. 11"
62,12,1,a,a,PRE,12,Pre,Pre,à,/V\,"ComtePoit, v. 12"
63,12,2,paris,paris,NPR:obj:masc:sg,12,N,N,Paris,C/V\.'C/V\,"ComtePoit, v. 12"
