wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,hue,hue,1,N,N,,'C/V\./(e)\
2,1,2,de,de,1,Pre,Pre,de,C/(e)\
3,1,3,rotelande,rotelande,1,N,N,,C/V\.C/e\.'C/V\.C/(e)\
4,1,4,dit,dit,1,Vfin,Vfin,dire,C/V\
5,1,5,",",",",1,Pnc,Pnc,,
6,2,1,qui,qui,2,Qux,Qux,qui,C/V\
7,2,2,traiter,traiter,2,Vinf,Vinf,,C/V\.'C/V\
8,2,3,revolt,revolt,2,Vfin,Vfin,revouloir,C/V\.'C/V\
9,2,4,cest,cest,2,Dem,Dem,cist,C/V\
10,2,5,escrit,escrit,2,N,N,,/V\.'C/V\
11,2,6,:,:,2,Pnc,Pnc,,
12,3,1,cil,cil,3,Dem,Dem,cil,C/V\
13,3,2,qui,qui,3,Qux,Qux,qui,C/V\
14,3,3,raison,raison,3,N,N,,C/V\.'C/V\
15,3,4,e,e,3,Crd,Crd,et,/V\
16,3,5,ben,ben,3,N,N,bien,C/V\
17,3,6,entent,entent,3,Vfin,Vfin,entendre,/V\.'C/V\
18,4,1,ne,ne,4,Neg,Neg$$,ne,C/(e)\
19,4,2,deit,deit,4,Vfin,Vfin,devoir2,C/V\
20,4,3,reposer,reposer,4,Vinf,Vinf,,C/V\.C/V\.'C/V\
21,4,4,longement,longement,4,Adv,Adv,,C/V\.C/e\.'C/V\
22,5,1,ainz,ainz,5,Crd,Crd,ains,/V\
23,5,2,jorz,jorz,5,N,N,,C/V\
24,5,3,e,e,5,Crd,Crd,et,/V\
25,5,4,nuiz,nuiz,5,N,N,,C/V\
26,5,5,e,e,5,Crd,Crd,et,/V\
27,5,6,tus,tus,5,QIs,QIs,tout,C/V\
28,5,7,tens,tens,5,N,N,,C/V\
29,6,1,ses,ses,6,Det,Det,son4,C/V\
30,6,2,ovres,ovres,6,N,N,,'/V\.C/e\
31,6,3,mustrer,mustrer,6,Vinf,Vinf,montrer,C/V\.'C/V\
32,6,4,e,e,6,Crd,Crd,et,/V\
33,6,5,son,son,6,Det,Det,son4,C/V\
34,6,6,sens,sens,6,N,N,,C/V\
35,6,7,;,;,6,Pnc,Pnc,,
36,7,1,kar,kar,7,Crd,Crd,car,C/V\
37,7,2,par,par,7,Pre,Pre,par,C/V\
38,7,3,repos,repos,7,N,N,,C/V\.'C/V\
39,7,4,ne,ne,7,Crd,Crd,ne2,C/(e)\
40,7,5,par,par,7,Pre,Pre,par,C/V\
41,7,6,peresce,peresce,7,N,N,,C/V\.'C/V\.C/(e)\
42,8,1,ne,ne,8,Neg,Neg$$,ne,C/(e)\
43,8,2,vendra,vendra,8,Vfin,Vfin,venir,C/V\.'C/V\
44,8,3,ja,ja,8,Adv,Adv,jà,C/V\
45,8,4,hom,hom,8,N,N,,/V\
46,8,5,a,a,8,Pre,Pre,à,/V\
47,8,6,haltesce,haltesce,8,N,N,,C/V\.'C/V\.C/(e)\
48,8,7,;,;,8,Pnc,Pnc,,
