wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,nostre,nostre,DET:poss:suj:masc:sg,296,Det,Det,notre,'C/V\.C/(e)\,"RCambr, v. 296"
2,1,2,empereres,empereres,NOM:suj:masc:sg,296,N,N,empereur,/V\.C/e\.'C/V\.C/e\,"RCambr, v. 296"
3,1,3,ama,ama,VER:simp:3:sg,296,Vfin,Vfin,aimer,/V\.'C/V\,"RCambr, v. 296"
4,1,4,molt,molt,ADV,296,QIs,QIs,moult,C/V\,"RCambr, v. 296"
5,1,5,le,le,DET:def:obj:masc:sg,296,Det,Det,le,C/(e)\,"RCambr, v. 296"
6,1,6,meschin,meschin,NOM:obj:masc:sg,296,N,N,méchin,C/V\.'C/V\,"RCambr, v. 296"
7,2,1,l,l',DET:def:obj:femi:sg,297,Det,Det,le,C/\,"RCambr, v. 297"
8,2,2,erme,erme,NOM:obj:femi:sg,297,N,N,heaume,'/V\.C/(e)\,"RCambr, v. 297"
9,2,3,li,li,PRO:pers:suj:3:masc:sg:bet,297,Prn,Prn$$,li,C/V\,"RCambr, v. 297"
10,2,4,donne,donne,VER:pres:3:sg,297,Vfin,Vfin,donner,'C/V\.C/(e)\,"RCambr, v. 297"
11,2,5,qi,qi,PROCON,297,Qux,Qux,qui,C/V\,"RCambr, v. 297"
12,2,6,fu,fu,VER:simp:3:sg,297,Vfin,Vfin,être,C/V\,"RCambr, v. 297"
13,2,7,au,au,PREDET:a:obj:masc:sg,297,Pre+Det,Pre+Det,à.le,/V\,"RCambr, v. 297"
14,2,8,sarrazin,sarrazin,NOM:obj:masc:sg,297,N,N,sarrasin,C/V\.C/V\.'C/V\,"RCambr, v. 297"
15,3,1,q,q,PROCON,298,Qux,Qux,que,C/\,"RCambr, v. 298"
16,3,2,ocist,ocist,VER:simp:3:sg,298,Vfin,Vfin,occire,/V\.'C/V\,"RCambr, v. 298"
17,3,3,rolans,rolans,NPR:suj:masc:sg,298,N,N,Roland,C/V\.'C/V\,"RCambr, v. 298"
18,3,4,desor,desor,ADV,298,PrA,PrA,desur,C/V\.'C/V\,"RCambr, v. 298"
19,3,5,l,l',DET:def:obj:femi:sg,298,Det,Det,le,C/\,"RCambr, v. 298"
20,3,6,aigue,aigue,NOM:obj:femi:sg,298,N,N,aigue,'/V\.C/(e)\,"RCambr, v. 298"
21,3,7,del,del,PREDET:de:obj:masc:sg,298,Pre+Det,Pre+Det,de.le,C/V\,"RCambr, v. 298"
22,3,8,rin,rin,NPR:obj:masc:sg,298,N,N,Rhin,C/V\,"RCambr, v. 298"
23,4,1,desor,desor,ADV,299,PrA,PrA,desur,C/V\.'C/V\,"RCambr, v. 299"
24,4,2,la,la,DET:def:obj:femi:sg,299,Det,Det,le,C/V\,"RCambr, v. 299"
25,4,3,coife,coife,NOM:obj:femi:sg,299,N,N,coiffe,'C/V\.C/(e)\,"RCambr, v. 299"
