wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,qui,qui,PROCON,1,Qux,Qux,qui,C/V\,"RenNouv, v. 1"
2,1,2,le,le,DET:def:obj:masc:sg,1,Det,Det,le,C/(e)\,"RenNouv, v. 1"
3,1,3,bien,bien,NOM:obj:masc:sg,1,N,N,bien,C/V\,"RenNouv, v. 1"
4,1,4,set,set,VER:pres:3:sg,1,Vfin,Vfin,savoir,C/V\,"RenNouv, v. 1"
5,1,5,dire,dire,VER:infi,1,Vinf,Vinf,dire,'C/V\.C/(e)\,"RenNouv, v. 1"
6,1,6,le,le,PRO:pers:obj:3:masc:sg:unb,1,Prn,Prn$$,le,C/(e)\,"RenNouv, v. 1"
7,1,7,doit,doit,VER:pres:3:sg,1,Vfin,Vfin,devoir,C/V\,"RenNouv, v. 1"
8,2,1,s,s,PROCON,2,Sub,Sub,si,C/\,"RenNouv, v. 2"
9,2,2,il,il,PRO:pers:suj:3:masc:sg:unb,2,Prn,Prn$,il,/V\,"RenNouv, v. 2"
10,2,3,ne,ne,PRO:clit,2,Neg,Neg$$,ne,C/(e)\,"RenNouv, v. 2"
11,2,4,le,le,PRO:pers:obj:3:masc:sg:unb,2,Prn,Prn$$,le,C/(e)\,"RenNouv, v. 2"
12,2,5,dist,dist,VER:pres:3:sg,2,Vfin,Vfin,dire,C/V\,"RenNouv, v. 2"
13,2,6,pour,pour,PRE,2,Pre,Pre,pour,C/V\,"RenNouv, v. 2"
14,2,7,lui,lui,PRO:pers:obj:3:masc:sg:bet,2,Prn,Prn,lui,C/V\,"RenNouv, v. 2"
15,2,8,le,le,DET:def:obj:masc:sg,2,Det,Det,le,C/(e)\,"RenNouv, v. 2"
16,2,9,doit,doit,NOM:obj:masc:sg,2,N,N,doigt,C/V\,"RenNouv, v. 2"
17,3,1,metroie,metroie,VER:cond:1:sg,3,Vfin,Vfin,mettre,C/V\.'C/V\./(e)\,"RenNouv, v. 3"
18,3,2,envis,envis,ADV,3,Adv,Adv,envis,/V\.'C/V\,"RenNouv, v. 3"
19,3,3,au,au,PREDET:a:obj:masc:sg,3,Pre+Det,Pre+Det,à.le,/V\,"RenNouv, v. 3"
20,3,4,jugement,jugement,NOM:obj:masc:sg,3,N,N,jugement,C/V\.C/e\.'C/V\,"RenNouv, v. 3"
21,4,1,ou,ou,PROCON,4,Qux,Qux,où,/V\,"RenNouv, v. 4"
22,4,2,li,li,DET:def:suj:masc:sg,4,Det,Det,le,C/V\,"RenNouv, v. 4"
23,4,3,rois,rois,NOM:suj:masc:sg,4,N,N,roi,C/V\,"RenNouv, v. 4"
24,4,4,qui,qui,PROCON,4,Qux,Qux,qui,C/V\,"RenNouv, v. 4"
25,4,5,tout,tout,PRO:ind:obj:masc:sg,4,QIs,QIs,tout,C/V\,"RenNouv, v. 4"
26,4,6,juge,juge,VER:pres:3:sg,4,Vfin,Vfin,juger,'C/V\.C/(e)\,"RenNouv, v. 4"
27,4,7,ment,ment,VER:pres:3:sg,4,Vfin,Vfin,mentir,C/V\,"RenNouv, v. 4"
28,5,1,qui,qui,PROCON,5,Qux,Qux,qui,C/V\,"RenNouv, v. 5"
29,5,2,dist,dist,VER:pres:3:sg,5,Vfin,Vfin,dire,C/V\,"RenNouv, v. 5"
30,5,3,que,que,PROCON,5,Sub,Sub,que,C/(e)\,"RenNouv, v. 5"
31,5,4,des,des,PREDET:de:obj:masc:pl,5,Pre+Det,Pre+Det,de.le,C/V\,"RenNouv, v. 5"
32,5,5,labours,labours,NOM:obj:masc:pl,5,N,N,labour,C/V\.'C/V\,"RenNouv, v. 5"
33,5,6,rendra,rendra,VER:futu:3:sg,5,Vfin,Vfin,rendre,C/V\.'C/V\,"RenNouv, v. 5"
34,6,1,joie,joie,NOM:obj:femi:sg,6,N,N,joie,'C/V\./(e)\,"RenNouv, v. 6"
35,6,2,qui,qui,PROCON,6,Qux,Qux,qui,C/V\,"RenNouv, v. 6"
36,6,3,ja,ja,ADV,6,Adv,Adv,jà,C/V\,"RenNouv, v. 6"
37,6,4,fin,fin,NOM:obj:femi:sg,6,N,N,fin,C/V\,"RenNouv, v. 6"
38,6,5,ne,ne,PRO:clit,6,Neg,Neg$$,ne,C/(e)\,"RenNouv, v. 6"
39,6,6,prendra,prendra,VER:futu:3:sg,6,Vfin,Vfin,prendre,C/V\.'C/V\,"RenNouv, v. 6"
40,7,1,que,que,PROCON,7,Crd,Crd,que,C/(e)\,"RenNouv, v. 7"
41,7,2,li,li,DET:def:suj:masc:pl,7,Det,Det,le,C/V\,"RenNouv, v. 7"
42,7,3,bon,bon,ADJ:suj:masc:pl,7,Adj,Adj,bon,C/V\,"RenNouv, v. 7"
43,7,4,qui,qui,PROCON,7,Qux,Qux,qui,C/V\,"RenNouv, v. 7"
44,7,5,bien,bien,ADV,7,Adv,Adv,bien,C/V\,"RenNouv, v. 7"
45,7,6,labourront,labourront,VER:futu:3:pl,7,Vfin,Vfin,labourer,C/V\.C/V\.'C/V\,"RenNouv, v. 7"
46,8,1,aront,aront,VER:futu:3:pl,8,Vfin,Vfin,avoir,/V\.'C/V\,"RenNouv, v. 8"
47,8,2,li,li,DET:def:suj:masc:pl,8,Det,Det,le,C/V\,"RenNouv, v. 8"
48,8,3,mauvais,mauvais,ADJ:suj:masc:pl,8,Adj,Adj,mauvais,C/V\.'C/V\,"RenNouv, v. 8"
49,8,4,la,la,PRO:pers:acc:3:femi:sg,8,Prn,Prn$$,le,C/V\,"RenNouv, v. 8"
50,8,5,bourront,bourront,VER:futu:3:pl,8,Vfin,Vfin,bouillir,C/V\.'C/V\,"RenNouv, v. 8"
51,9,1,en,en,PRO:clit,9,Pre,Pre,en,/V\,"RenNouv, v. 9"
52,9,2,le,le,DET:def:obj:femi:sg,9,Det,Det,le,C/(e)\,"RenNouv, v. 9"
53,9,3,pueur,pueur,NOM:obj:femi:sg,9,N,N,pueur,C/V\.'C/V\,"RenNouv, v. 9"
54,9,4,d',d',PRE,9,Pre,Pre,de,C/\,"RenNouv, v. 9"
55,9,5,infer,infer,NOM:obj:masc:sg,9,N,N,enfer,/V\.'C/V\,"RenNouv, v. 9"
56,9,6,parfonde,parfonde,ADJ:obj:femi:sg,9,Adj,Adj,parfond,C/V\.'C/V\.C/(e)\,"RenNouv, v. 9"
