wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,"""","""",PON:cit,4029,Pnc,Pnc,"""",,"RoseM, v. 4029"
2,1,2,et,et,CON:coord,4029,Crd,Crd,et,/V\,"RoseM, v. 4029"
3,1,3,si,si,PROCON,4029,Adv,Adv,si,C/V\,"RoseM, v. 4029"
4,1,4,l,l,PRO:pers:obj:3:masc:sg:unb,4029,Prn,Prn$$,le,C/\,"RoseM, v. 4029"
5,1,5,ai,ai,VER:pres:1:sg,4029,Vfin,Vfin,avoir,/V\,"RoseM, v. 4029"
6,1,6,je,je,PRO:pers:suj:1:sg:unb,4029,Prn,Prn%,je,C/(e)\,"RoseM, v. 4029"
7,1,7,perdue,perdue,VER:pper:femi:sg,4029,Vpp,Vpp,perdre,C/V\.'C/V\./(e)\,"RoseM, v. 4029"
8,1,8,espoir,espoir,NOM:obj:masc:sg,4029,Adv,Adv,espoir,/V\.'C/V\,"RoseM, v. 4029"
9,2,1,a,a,PRE,4030,Pre,Pre,à,/V\,"RoseM, v. 4030"
10,2,2,poi,poi,ADV,4030,Adv,Adv,peu,C/V\,"RoseM, v. 4030"
11,2,3,que,que,PROCON,4030,Sub,Sub,que,C/(e)\,"RoseM, v. 4030"
12,2,4,ne,ne,PRO:clit,4030,Neg,Neg$$,ne,C/(e)\,"RoseM, v. 4030"
13,2,5,m',m',PRO:pers:obj:1:sg:unb,4030,Prn,Prn$$,me,C/\,"RoseM, v. 4030"
14,2,6,en,en,PRO:clit,4030,Prn,Prn$$,en,/V\,"RoseM, v. 4030"
15,2,7,desespoir,desespoir,VER:pres:1:sg,4030,Vfin,Vfin,désespérer,C/V\.C/e\.'C/V\,"RoseM, v. 4030"
16,3,1,desespoir,desespoir,VER:pres:1:sg,4031,Vfin,Vfin,désespérer,C/V\.C/e\.'C/V\,"RoseM, v. 4031"
17,3,2,las,las,ADJ:suj:masc:sg,4031,Adj,Adj,las,C/V\,"RoseM, v. 4031"
18,3,3,je,je,PRO:pers:suj:1:sg:unb,4031,Prn,Prn,je,C/(e)\,"RoseM, v. 4031"
19,3,4,non,non,ADV,4031,Neg,Neg,non,C/V\,"RoseM, v. 4031"
20,3,5,feré,feré,VER:futu:1:sg,4031,Vfin,Vfin,faire,C/V\.'C/V\,"RoseM, v. 4031"
21,4,1,ja,ja,ADV,4032,Adv,Adv,jà,C/V\,"RoseM, v. 4032"
22,4,2,ne,ne,PRO:clit,4032,Neg,Neg$$,ne,C/(e)\,"RoseM, v. 4032"
23,4,3,m',m',PRO:pers:obj:1:sg:unb,4032,Prn,Prn$$,me,C/\,"RoseM, v. 4032"
24,4,4,en,en,PRO:clit,4032,Prn,Prn$$,en,/V\,"RoseM, v. 4032"
25,4,5,desespereré,desespereré,VER:futu:1:sg,4032,Vfin,Vfin,désespérer,C/V\.C/V\.C/e\.C/e\.'C/V\,"RoseM, v. 4032"
26,5,1,quar,quar,CON:coord,4033,Crd,Crd,car,C/V\,"RoseM, v. 4033"
27,5,2,s,s,PROCON,4033,Sub,Sub,si3,C/\,"RoseM, v. 4033"
28,5,3,esperance,esperance,NOM:suj:femi:sg,4033,N,N,espérance,/V\.C/V\.'C/V\.C/(e)\,"RoseM, v. 4033"
29,5,4,m',m',PRO:pers:obj:1:sg:unb,4033,Prn,Prn$$,me,C/\,"RoseM, v. 4033"
30,5,5,iert,iert,VER:impf:3:sg,4033,Vfin,Vfin,être,/V\,"RoseM, v. 4033"
31,5,6,faillanz,faillanz,VER:ppre:pl,4033,Vprs,Vprs,faillir,C/V\.'C/V\,"RoseM, v. 4033"
32,6,1,je,je,PRO:pers:suj:1:sg:unb,4034,Prn,Prn$,je,C/(e)\,"RoseM, v. 4034"
33,6,2,ne,ne,PRO:clit,4034,Neg,Neg$$,ne,C/(e)\,"RoseM, v. 4034"
34,6,3,seroie,seroie,VER:cond:1:sg,4034,Vfin,Vfin,être,C/V\.'C/V\./(e)\,"RoseM, v. 4034"
35,6,4,pas,pas,NOM:obj:masc:pl,4034,Neg,Neg,pas,C/V\,"RoseM, v. 4034"
36,6,5,vaillanz,vaillanz,ADJ:suj:masc:sg,4034,Vprs,Vprs,valoir,C/V\.'C/V\,"RoseM, v. 4034"
37,7,1,en,en,PRE,4035,Pre,Pre,en,/V\,"RoseM, v. 4035"
38,7,2,lui,lui,PRO:pers:acc:3:femi:sg:bet,4035,Prn,Prn,lui,C/V\,"RoseM, v. 4035"
39,7,3,me,me,PRO:pers:obj:1:sg:unb,4035,Prn,Prn$$,me,C/(e)\,"RoseM, v. 4035"
40,7,4,doi,doi,VER:pres:1:sg,4035,Vfin,Vfin,devoir,C/V\,"RoseM, v. 4035"
41,7,5,reconforter,reconforter,VER:infi,4035,Vinf,Vinf,réconforter,C/e\.C/V\.C/V\.'C/V\,"RoseM, v. 4035"
42,8,1,qu,qu,PROCON,4036,Crd,Crd,que,C/\,"RoseM, v. 4036"
43,8,2,amors,amors,NOM:suj:femi:sg,4036,N,N,amour,/V\.'C/V\,"RoseM, v. 4036"
44,8,3,por,por,PRE,4036,Pre,Pre,pour,C/V\,"RoseM, v. 4036"
45,8,4,mieuz,mieuz,ADV,4036,Adv,Adv,mieux,C/V\,"RoseM, v. 4036"
46,8,5,mes,mes,DET:poss:obj:masc:pl,4036,Det,Det,mon,C/V\,"RoseM, v. 4036"
47,8,6,maus,maus,NOM:obj:masc:pl,4036,N,N,mal,C/V\,"RoseM, v. 4036"
48,8,7,porter,porter,VER:infi,4036,Vinf,Vinf,porter,C/V\.'C/V\,"RoseM, v. 4036"
49,9,1,me,me,PRO:pers:obj:1:sg:unb,4037,Prn,Prn$$,me,C/(e)\,"RoseM, v. 4037"
