wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,a,a,PRE,1,Pre,Pre,à,/V\,"Rou, 2e partie, v. 1"
2,1,2,rou,rou,NPR:obj:masc:sg,1,N,N,Rollon,C/V\,"Rou, 2e partie, v. 1"
3,1,3,sommes,sommes,VER:pres:1:pl,1,Vfin,Vfin,être,'C/V\.C/e\,"Rou, 2e partie, v. 1"
4,1,4,venus,venus,VER:pper:masc:pl,1,Vpp,Vpp,venir,C/V\.'C/V\,"Rou, 2e partie, v. 1"
5,1,5,et,et,CON:coord,1,Crd,Crd,et,/V\,"Rou, 2e partie, v. 1"
6,1,6,de,de,PRE,1,Pre,Pre,de,C/(e)\,"Rou, 2e partie, v. 1"
7,1,7,rou,rou,NPR:obj:masc:sg,1,N,N,Rollon,C/V\,"Rou, 2e partie, v. 1"
8,1,8,vous,vous,PRO:pers:2:pl,1,Prn,Prn$$,vous,C/V\,"Rou, 2e partie, v. 1"
9,1,9,diron,diron,VER:futu:1:pl,1,Vfin,Vfin,dire,C/V\.'C/V\,"Rou, 2e partie, v. 1"
10,2,1,la,la,ADV,2,Adv,Adv,là,C/V\,"Rou, 2e partie, v. 2"
11,2,2,commence,commence,VER:pres:3:sg,2,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\,"Rou, 2e partie, v. 2"
12,2,3,l,l',DET:def:suj:femi:sg,2,Det,Det,le,C/\,"Rou, 2e partie, v. 2"
13,2,4,estoire,estoire,NOM:suj:femi:sg,2,N,N,histoire,/V\.'C/V\.C/(e)\,"Rou, 2e partie, v. 2"
14,2,5,que,que,PROCON,2,Qux,Qux,que,C/(e)\,"Rou, 2e partie, v. 2"
15,2,6,nos,nos,PRO:pers:1:pl,2,Prn,Prn,nous,C/V\,"Rou, 2e partie, v. 2"
16,2,7,dire,dire,VER:infi,2,Vinf,Vinf,dire,'C/V\.C/(e)\,"Rou, 2e partie, v. 2"
17,2,8,devon,devon,VER:pres:1:pl,2,Vfin,Vfin,devoir2,C/V\.'C/V\,"Rou, 2e partie, v. 2"
18,3,1,mes,més,CON:subord,3,Crd,Crd,mais,C/V\,"Rou, 2e partie, v. 3"
19,3,2,por,por,PRE,3,Pre,Pre,pour,C/V\,"Rou, 2e partie, v. 3"
20,3,3,l,l',DET:def:obj:femi:sg,3,Det,Det,le,C/\,"Rou, 2e partie, v. 3"
21,3,4,euvre,euvre,NOM:obj:femi:sg,3,N,N,oeuvre,'/V\.C/(e)\,"Rou, 2e partie, v. 3"
22,3,5,esploitier,esploitier,VER:infi,3,Vinf,Vinf,exploiter,/V\.C/V\.'C/V\,"Rou, 2e partie, v. 3"
23,3,6,les,les,DET:def:obj:masc:pl,3,Det,Det,le,C/V\,"Rou, 2e partie, v. 3"
24,3,7,vers,vers,NOM:obj:masc:pl,3,N,N,vers,C/V\,"Rou, 2e partie, v. 3"
25,3,8,abrigeron,abrigeron,VER:futu:1:pl,3,Vfin,Vfin,abréger,/V\.C/V\.C/e\.'C/V\,"Rou, 2e partie, v. 3"
26,4,1,la,la,DET:def:suj:femi:sg,4,Det,Det,le,C/V\,"Rou, 2e partie, v. 4"
27,4,2,voie,voie,NOM:suj:femi:sg,4,N,N,voie,'C/V\./(e)\,"Rou, 2e partie, v. 4"
28,4,3,est,est,VER:pres:3:sg,4,Vfin,Vfin,être,/V\,"Rou, 2e partie, v. 4"
