wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype
1,1,1,en,en,130001,Pre,Pre,en1,7s,---
2,1,2,riens,riens,130001,N,N,rien,7s,---
3,1,3,que,que,130001,Qux,Qux,que,7s,---
4,1,4,beguine,beguine,130001,Adj,Adj,,7s,---
5,1,5,die,die,130001,Vfin,Vfin,dire,7s,---
6,2,1,n',n',130002,Neg,Neg,ne1,7s,---
7,2,2,entendeiz,entendeiz,130002,Vfin,Vfin,entendre,7s,---
8,2,3,tuit,tuit,130002,QIs,QIs,tout,7s,---
9,2,4,se,se,130002,Sub,Sub,si3,7s,---
10,2,5,bien,bien,130002,N,N,bien,7s,---
11,2,6,non,non,130002,NVP,NVP,non,7s,---
12,2,7,:,:,130002,Pnc,Pnc,,7s,---
13,3,1,tot,tot,130003,QIs,QIs,tout,7s,---
14,3,2,est,est,130003,Vfin,Vfin,être1|ester,7s,---
15,3,3,de,de,130003,Pre,Pre,de,7s,---
16,3,4,religion,religion,130003,N,N,,7s,---
17,4,1,quanque,quanque,130004,Qux,Qux,quanque,7s,---
18,4,2,hon,hon,130004,Prn,Prn$,on,7s,---
19,4,3,trueve,trueve,130004,Vfin,Vfin,trouver,7s,---
20,4,4,en,en,130004,Pre,Pre,en1,7s,---
21,4,5,sa,sa,130004,Det,Det,son4,7s,---
22,4,6,vie,vie,130004,N,N,,7s,---
23,4,7,.,.,130004,Pnc,Pnc,,7s,---
24,5,1,sa,sa,130005,Det,Det,son4,7s,---
25,5,2,parole,parole,130005,N,N,,7s,---
26,5,3,est,est,130005,Vfin,Vfin,être1|ester,7s,---
27,5,4,prophetie,prophetie,130005,N,N,,7s,---
28,5,5,;,;,130005,Pnc,Pnc,,7s,---
29,6,1,s',s',130006,Sub,Sub,si3,7s,---
30,6,2,ele,ele,130006,Prn,Prn$,3p,7s,---
31,6,3,rit,rit,130006,Vfin,Vfin,rire,7s,---
32,6,4,",",",",130006,Pnc,Pnc,,7s,---
33,6,5,c',c',130006,Prn,Prn$,ce1,7s,---
34,6,6,est,est,130006,Vfin,Vfin,être1|ester,7s,---
35,6,7,compaignie,compaignie,130006,N,N,,7s,---
36,6,8,;,;,130006,Pnc,Pnc,,7s,---
