wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,usages,usages,1,N,N,usage,/V\.'C/V\.C/e\,"SegrMoine3, v. 1"
2,1,2,est,est,1,Vfin,Vfin,être,/V\,"SegrMoine3, v. 1"
3,1,3,en,en,1,Pre,Pre,en,/V\,"SegrMoine3, v. 1"
4,1,4,normendie,normendie,1,N,N,Normandie,C/V\.C/V\.'C/V\./(e)\,"SegrMoine3, v. 1"
5,2,1,que,que,2,Sub,Sub,que,C/(e)\,"SegrMoine3, v. 2"
6,2,2,qui,qui,2,Qux,Qux,qui,C/V\,"SegrMoine3, v. 2"
7,2,3,herbergiez,herbergiez,2,Vpp,Vpp,héberger,C/V\.C/V\.'C/V\,"SegrMoine3, v. 2"
8,2,4,est,est,2,Vfin,Vfin,être,/V\,"SegrMoine3, v. 2"
9,2,5,qu',qu',2,Sub,Sub,que,C/\,"SegrMoine3, v. 2"
10,2,6,il,il,2,Prn,Prn$,il,/V\,"SegrMoine3, v. 2"
11,2,7,die,die,2,Vfin,Vfin,dire,'C/V\./(e)\,"SegrMoine3, v. 2"
12,2,8,:,:,2,Pnc,Pnc,:,,"SegrMoine3, v. 2"
13,3,1,fable,fable,3,N,N,fable,'C/V\.C/(e)\,"SegrMoine3, v. 3"
14,3,2,ou,ou,3,Crd,Crd,ou,/V\,"SegrMoine3, v. 3"
15,3,3,chançon,chançon,3,N,N,chanson,C/V\.'C/V\,"SegrMoine3, v. 3"
16,3,4,die,die,3,Vfin,Vfin,dire,'C/V\./(e)\,"SegrMoine3, v. 3"
17,3,5,a,a,3,Pre,Pre,à,/V\,"SegrMoine3, v. 3"
18,3,6,l',l',3,Det,Det,le,C/\,"SegrMoine3, v. 3"
19,3,7,oste,oste,3,N,N,hôte,'/V\.C/(e)\,"SegrMoine3, v. 3"
20,3,8,.,.,3,Pnc,Pnc,.,,"SegrMoine3, v. 3"
21,4,1,ceste,ceste,4,Dem,Dem,cist,'C/V\.C/(e)\,"SegrMoine3, v. 4"
22,4,2,costume,costume,4,N,N,coutume,C/V\.'C/V\.C/(e)\,"SegrMoine3, v. 4"
