wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified
1,En,en,1022,Pre,Pre,en,/V\
2,cellui,cellui,1022,Dem,Dem,cil,C/V\.'C/V\
3,temps,temps,1022,N,N,temps,C/V\
4,",",",",1022,Pnc,Pnc,",",
5,en,en,1022,Pre,Pre,en,/V\
6,la,la,1022,Det,Det,le,C/V\
7,court,court,1022,N,N,cour,C/V\
8,de,de,1022,Pre,Pre,de,C/(e)\
9,la,la,1022,Det,Det,le,C/V\
10,royne,royne,1022,N,N,reine,C/(V)\.'/V\.C/(e)\
11,Bonne,bonne,1022,N,N,Bonne,'C/V\.C/(e)\
12,de,de,1022,Pre,Pre,de,C/(e)\
13,Bouesme,bouesme,1022,N,N,Bohême,C/V\.'C/V\.C/(e)\
14,",",",",1022,Pnc,Pnc,",",
15,femme,femme,1022,N,N,femme,'C/V\.C/(e)\
16,dudit,dudit,1022,Pre+Dem,Pre+Dem,de.ledit,C/V\.'C/V\
17,roy,roy,1022,N,N,roi,C/V\
18,Jehan,jehan,1022,N,N,Jean,C/(V)\.'/V\
19,",",",",1022,Pnc,Pnc,",",
20,avoit,avoit,1022,Vfin,Vfin,avoir,/V\.'C/V\
21,une,une,1022,QIs,QIs,un,'/V\.C/(e)\
22,assez,assez,1022,Adv,Adv,assez,/V\.'C/V\
23,josne,josne,1022,Adj,Adj,jeune,'C/V\.C/(e)\
24,dame,dame,1022,N,N,dame,'C/V\.C/(e)\
25,vesve,vesve,1022,N,N,veuve,'C/V\.C/(e)\
26,qui,qui,1022,Qux,Qux,qui,C/V\
27,des,des,1022,Pre+Det,Pre+Det,de.le,C/V\
28,Belles,belles,1022,Adj,Adj,beau,'C/V\.C/e\
29,Cousines,cousines,1022,N,N,cousine,C/V\.'C/V\.C/e\
30,estoit,estoit,1022,Vfin,Vfin,être,/V\.'C/V\
31,",",",",1022,Pnc,Pnc,",",
32,mais,mais,1022,Crd,Crd,mais,C/V\
33,de,de,1022,Pre,Pre,de,C/(e)\
34,son,son,1022,Det,Det,son,C/V\
35,nom,nom,1022,N,N,nom,C/V\
36,et,et,1022,Crd,Crd,et,/V\
37,seignorie,seignorie,1022,N,N,seigneurie,C/V\.C/V\.'C/V\./(e)\
38,l',l',1022,Det,Det,le,C/\
39,ystoire,ystoire,1022,N,N,histoire,/V\.'C/V\.C/(e)\
40,s',s',1022,Prn,Prn$$,se,C/\
41,en,en,1022,Prn,Prn$$,en,/V\
42,taist,taist,1022,Vfin,Vfin,taire,C/V\
43,",",",",1022,Pnc,Pnc,",",
44,a,a,1022,Pre,Pre,à,/V\
45,cause,cause,1022,N,N,cause,'C/V\.C/(e)\
