wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,par,par,998,Pre,Pre,par,C/V\,"VillonTest, v. 998"
2,1,2,faulte,faulte,998,N,N,faute,'C/V\.C/(e)\,"VillonTest, v. 998"
3,1,3,d',d',998,Pre,Pre,de,C/\,"VillonTest, v. 998"
4,1,4,un,un,998,QIs,QIs,un,/V\,"VillonTest, v. 998"
5,1,5,huys,huys,998,N,N,huis,/V\,"VillonTest, v. 998"
6,1,6,g',g',998,Prn,Prn$,je,C/\,"VillonTest, v. 998"
7,1,7,y,y,998,Prn,Prn$$,y2,/V\,"VillonTest, v. 998"
8,1,8,perdiz,perdiz,998,Vfin,Vfin,perdre,C/V\.'C/V\,"VillonTest, v. 998"
9,2,1,ung,ung,999,QIs,QIs,un,/V\,"VillonTest, v. 999"
10,2,2,grez,grez,999,N,N,grès,C/V\,"VillonTest, v. 999"
11,2,3,et,et,999,Crd,Crd,et,/V\,"VillonTest, v. 999"
12,2,4,ung,ung,999,QIs,QIs,un,/V\,"VillonTest, v. 999"
13,2,5,manche,manche,999,N,N,manche,'C/V\.C/(e)\,"VillonTest, v. 999"
14,2,6,de,de,999,Pre,Pre,de,C/(e)\,"VillonTest, v. 999"
15,2,7,houe,houe,999,N,N,houe,'C/V\./(e)\,"VillonTest, v. 999"
16,2,8,.,.,999,Pnc,Pnc,.,,"VillonTest, v. 999"
17,3,1,alors,alors,1000,Adv,Adv,alors,/V\.'C/V\,"VillonTest, v. 1000"
18,3,2,",",",",1000,Pnc,Pnc,",",,"VillonTest, v. 1000"
19,3,3,huit,huit,1000,QIs,QIs,huit,/V\,"VillonTest, v. 1000"
20,3,4,faucons,faucons,1000,N,N,faucon,C/V\.'C/V\,"VillonTest, v. 1000"
21,3,5,",",",",1000,Pnc,Pnc,",",,"VillonTest, v. 1000"
22,3,6,non,non,1000,Neg,Neg,ne,C/V\,"VillonTest, v. 1000"
23,3,7,pas,pas,1000,Neg,Neg,pas,C/V\,"VillonTest, v. 1000"
24,3,8,dix,dix,1000,QIs,QIs,dix,C/V\,"VillonTest, v. 1000"
25,3,9,",",",",1000,Pnc,Pnc,",",,"VillonTest, v. 1000"
26,4,1,n',n',1001,Neg,Neg$$,ne,C/\,"VillonTest, v. 1001"
27,4,2,y,y,1001,Prn,Prn$$,y2,/V\,"VillonTest, v. 1001"
28,4,3,eussent,eussent,1001,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\,"VillonTest, v. 1001"
29,4,4,pas,pas,1001,Neg,Neg,pas,C/V\,"VillonTest, v. 1001"
30,4,5,prins,prins,1001,Vpp,Vpp,prendre,C/V\,"VillonTest, v. 1001"
31,4,6,une,une,1001,QIs,QIs,un,'/V\.C/(e)\,"VillonTest, v. 1001"
32,4,7,aloue,aloue,1001,N,N,aloue,/V\.'C/V\./(e)\,"VillonTest, v. 1001"
33,4,8,:,:,1001,Pnc,Pnc,:,,"VillonTest, v. 1001"
34,5,1,l',l',1002,Det,Det,le,C/\,"VillonTest, v. 1002"
35,5,2,ostel,ostel,1002,N,N,hôtel,/V\.'C/V\,"VillonTest, v. 1002"
36,5,3,est,est,1002,Vfin,Vfin,être,/V\,"VillonTest, v. 1002"
37,5,4,seur,seur,1002,Adj,Adj,sûr,C/V\,"VillonTest, v. 1002"
38,5,5,",",",",1002,Pnc,Pnc,",",,"VillonTest, v. 1002"
39,5,6,mais,mais,1002,Adv,Adv,mais,C/V\,"VillonTest, v. 1002"
40,5,7,qu',qu',1002,Sub,Sub,que,C/\,"VillonTest, v. 1002"
41,5,8,on,on,1002,Prn,Prn$,on,/V\,"VillonTest, v. 1002"
