wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,tei_notes
1,1,1,ahi,ahi,EXC,1,Exc,Exc,aïe,/V\.'C/V\,title=ci commence le miracle de theophile speaker=[theophiles]
2,1,2,!,!,PON,1,Pnc,Pnc,!,,
3,1,3,ahi,ahi,EXC,1,Exc,Exc,aïe,/V\.'C/V\,
4,1,4,!,!,PON,1,Pnc,Pnc,!,,
5,1,5,diex,diex,NOM:suj:masc:sg,1,N,N,dieu,C/V\,
6,1,6,rois,rois,NOM:suj:masc:sg,1,N,N,roi,C/V\,
7,1,7,de,de,PRE,1,Pre,Pre,de,C/(e)\,
8,1,8,gloire,gloire,NOM:obj:femi:sg,1,N,N,gloire,'C/V\.C/(e)\,
9,2,1,tant,tant,ADV,2,QIs,QIs,tant,C/V\,
10,2,2,vous,vous,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\,
11,2,3,ai,ai,VER:pres:1:sg,2,Vfin,Vfin,avoir,/V\,
12,2,4,eu,eu,VER:pper:masc:sg,2,Vpp,Vpp,avoir,/(V)\.'/V\,
13,2,5,en,en,PRE,2,Pre,Pre,en,/V\,
14,2,6,memoire,memoire,NOM:obj:femi:sg,2,N,N,mémoire,C/V\.'C/V\.C/(e)\,
15,3,1,tout,tout,PRO:ind:obj:masc:sg,3,QIs,QIs,tout,C/V\,
16,3,2,ai,ai,VER:pres:1:sg,3,Vfin,Vfin,avoir,/V\,
17,3,3,doné,doné,VER:pper:masc:sg,3,Vpp,Vpp,donner,C/V\.'C/V\,
18,3,4,et,et,CON:coord,3,Crd,Crd,et,/V\,
19,3,5,despendu,despendu,VER:pper:masc:sg,3,Vpp,Vpp,dépendre,C/V\.C/V\.'C/V\,
20,4,1,et,et,CON:coord,4,Crd,Crd,et,/V\,
21,4,2,tout,tout,PRO:ind:obj:masc:sg,4,QIs,QIs,tout,C/V\,
22,4,3,ai,ai,VER:pres:1:sg,4,Vfin,Vfin,avoir,/V\,
23,4,4,aus,aus,PREDET:a:obj:masc:pl,4,Pre+Det,Pre+Det,à.le,/V\,
24,4,5,povres,povres,ADJ:obj:masc:pl,4,Adj,Adj,pauvre,'C/V\.C/e\,
25,4,6,tendu,tendu,VER:pper:masc:sg,4,Vpp,Vpp,tendre,C/V\.'C/V\,
26,4,7,:,:,PON,4,Pnc,Pnc,:,,
27,5,1,ne,ne,PRO:clit,5,Neg,Neg$$,ne,C/(e)\,
28,5,2,m',m',PRO:pers:obj:1:sg:unb,5,Prn,Prn$$,me,C/\,
29,5,3,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\,
30,5,4,remez,remez,VER:pper:masc:sg,5,Vpp,Vpp,remanoir,C/V\.'C/V\,
31,5,5,vaillant,vaillant,VER:ppre,5,Vprs,Vprs,valoir,C/V\.'C/V\,
32,5,6,un,un,DET:ndf:obj:masc:sg,5,QIs,QIs,un,/V\,
33,5,7,sac,sac,NOM:obj:masc:sg,5,N,N,sac,C/V\,
34,5,8,.,.,PON,5,Pnc,Pnc,.,,
35,6,1,bien,bien,ADV,6,Adv,Adv,bien,C/V\,
36,6,2,m',m',PRO:pers:obj:1:sg:unb,6,Prn,Prn$$,me,C/\,
37,6,3,a,a,VER:pres:3:sg,6,Vfin,Vfin,avoir,/V\,
38,6,4,dit,dit,VER:pper:masc:sg,6,Vpp,Vpp,dire,C/V\,
39,6,5,li,li,DET:def:suj:masc:sg,6,Det,Det,le,C/V\,
40,6,6,evesque,evesque,NOM:suj:masc:sg,6,N,N,évêque,/V\.'C/V\.C/(e)\,
41,6,7,:,:,PON,6,Pnc,Pnc,:,,
42,6,8,eschac,eschac,NOM:obj:masc:sg,6,N,N,échec,/V\.'C/V\,
43,6,9,!,!,PON,6,Pnc,Pnc,!,,
44,7,1,et,et,CON:coord,7,Crd,Crd,et,/V\,
45,7,2,m',m',PRO:pers:obj:1:sg:unb,7,Prn,Prn$$,me,C/\,
46,7,3,a,a,VER:pres:3:sg,7,Vfin,Vfin,avoir,/V\,
47,7,4,rendu,rendu,VER:pper:masc:sg,7,Vpp,Vpp,rendre,C/V\.'C/V\,
48,7,5,maté,maté,VER:pper:masc:sg,7,Vpp,Vpp,mater,C/V\.'C/V\,
49,7,6,en,en,PRE,7,Pre,Pre,en,/V\,
50,7,7,l',l',DET:def:obj:masc:sg,7,Det,Det,le,C/\,
51,7,8,angle,angle,NOM:obj:masc:sg,7,N,N,angle,'/V\.C/(e)\,
52,7,9,.,.,PON,7,Pnc,Pnc,.,,
53,8,1,sanz,sanz,PRE,8,Pre,Pre,sans,C/V\,
54,8,2,avoir,avoir,VER:infi,8,N,N,avoir2,/V\.'C/V\,
55,8,3,m',m',PRO:pers:obj:1:sg:unb,8,Prn,Prn$$,me,C/\,
56,8,4,a,a,VER:pres:3:sg,8,Vfin,Vfin,avoir,/V\,
57,8,5,lessié,lessié,VER:pper:masc:sg,8,Vpp,Vpp,laisser,C/V\.'C/V\,
58,8,6,tout,tout,DET:ind:obj:masc:sg,8,QIs,QIs,tout,C/V\,
59,8,7,sangle,sangle,ADJ:obj:masc:sg,8,Adj,Adj,sangle2,'C/V\.C/(e)\,
60,8,8,.,.,PON,8,Pnc,Pnc,.,,
61,9,1,or,or,ADV,9,Adv,Adv,or2,/V\,
62,9,2,m',m',PRO:pers:obj:1:sg:unb,9,Prn,Prn$$,me,C/\,
63,9,3,estuet,estuet,VER:pres:3:sg,9,Vfin,Vfin,estovoir,/V\.'C/V\,
64,9,4,il,il,PRO:pers:suj:3:masc:sg:unb,9,Prn,Prn%,il,/V\,
65,9,5,morir,morir,VER:infi,9,Vinf,Vinf,mourir,C/V\.'C/V\,
66,9,6,de,de,PRE,9,Pre,Pre,de,C/(e)\,
67,9,7,fain,fain,NOM:obj:femi:sg,9,N,N,faim,C/V\,
68,10,1,se,se,PRO:pers:obj:3:masc:sg:unb,10,Sub,Sub,si3,C/(e)\,
69,10,2,je,je,PRO:pers:suj:1:sg:unb,10,Prn,Prn$,je,C/(e)\,
70,10,3,n,n,PRO:clit,10,Neg,Neg$$,ne,C/\,
71,10,4,envoi,envoi,VER:pres:1:sg,10,Vfin,Vfin,envoyer,/V\.'C/V\,
72,10,5,ma,ma,DET:poss:obj:femi:sg,10,Det,Det,mon,C/V\,
73,10,6,robe,robe,NOM:obj:femi:sg,10,N,N,robe,'C/V\.C/(e)\,
74,10,7,au,au,PREDET:a:obj:masc:sg,10,Pre+Det,Pre+Det,à.le,/V\,
75,10,8,pain,pain,NOM:obj:masc:sg,10,N,N,pain,C/V\,
76,10,9,.,.,PON,10,Pnc,Pnc,.,,
77,11,1,et,et,CON:coord,11,Crd,Crd,et,/V\,
78,11,2,ma,ma,DET:poss:suj:femi:sg,11,Det,Det,mon,C/V\,
79,11,3,mesnie,mesnie,NOM:suj:femi:sg,11,N,N,maisnie,C/V\.'C/V\./(e)\,
80,11,4,que,que,PROCON,11,Qux,Qux,que,C/(e)\,
81,11,5,fera,fera,VER:futu:3:sg,11,Vfin,Vfin,faire,C/V\.'C/V\,
82,11,6,?,?,PON,11,Pnc,Pnc,?,,
83,12,1,ne,ne,PRO:clit,12,Neg,Neg$$,ne,C/(e)\,
84,12,2,sai,sai,VER:pres:1:sg,12,Vfin,Vfin,savoir,C/V\,
85,12,3,se,se,PROCON,12,Sub,Sub,si3,C/(e)\,
86,12,4,diex,diex,NOM:suj:masc:sg,12,N,N,dieu,C/V\,
87,12,5,les,les,PRO:pers:acc:3:masc:pl,12,Prn,Prn$$,le,C/V\,
88,12,6,pestera,pestera,VER:futu:3:sg,12,Vfin,Vfin,paître,C/V\.C/e\.'C/V\,
89,12,7,.,.,PON,12,Pnc,Pnc,.,,
90,13,1,diex,diex,NOM:suj:masc:sg,13,N,N,dieu,C/V\,
91,13,2,?,?,PON,13,Pnc,Pnc,?,,
92,13,3,oïl,oïl,ADV,13,NVP,NVP,oui,/{V}\.'/V\,
93,13,4,!,!,PON,13,Pnc,Pnc,!,,
94,13,5,qu,qu,PROCON,13,Qux,Qux,que,C/\,
95,13,6,en,en,PRO:clit,13,Prn,Prn$$,en2,/V\,
96,13,7,a,a,VER:pres:3:sg,13,Vfin,Vfin,avoir,/V\,
97,13,8,il,il,PRO:pers:suj:3:masc:sg:unb,13,Prn,Prn$,il,/V\,
98,13,9,a,a,PRE,13,Pre,Pre,à,/V\,
99,13,10,fere,fere,VER:infi,13,Vinf,Vinf,faire,'C/V\.C/(e)\,
100,13,11,?,?,PON,13,Pnc,Pnc,?,,
101,14,1,en,en,PRE,14,Pre,Pre,en,/V\,
102,14,2,autre,autre,ADJ:obj:masc:sg,14,Adj,Adj,autre,'/V\.C/(e)\,
103,14,3,lieu,lieu,NOM:obj:masc:sg,14,N,N,lieu,C/V\,
104,14,4,les,les,PRO:pers:acc:3:masc:pl,14,Prn,Prn$$,le,C/V\,
105,14,5,covient,covient,VER:pres:3:sg,14,Vfin,Vfin,convenir,C/V\.'C/V\,
106,14,6,trere,trere,VER:infi,14,Vinf,Vinf,traire,'C/V\.C/(e)\,
107,15,1,ou,ou,PROCON,15,Qux,Qux,où,/V\,
108,15,2,il,il,PRO:pers:suj:3:masc:sg:unb,15,Prn,Prn$,il,/V\,
109,15,3,me,me,PRO:pers:obj:1:sg:unb,15,Prn,Prn$$,me,C/(e)\,
110,15,4,fet,fet,VER:pres:3:sg,15,Vfin,Vfin,faire,C/V\,
111,15,5,l',l',DET:def:obj:femi:sg,15,Det,Det,le,C/\,
112,15,6,oreille,oreille,NOM:obj:femi:sg,15,N,N,oreille,/V\.'C/V\.C/(e)\,
113,15,7,sorde,sorde,ADJ:obj:femi:sg,15,Adj,Adj,sord,'C/V\.C/(e)\,
