wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,et,et,1,Crd,Crd,et,/V\,"TroisGal, v. 1"
2,1,2,puis,puis,1,PrA,PrA,puis,C/V\,"TroisGal, v. 1"
3,1,3,",",",",1,Pnc,Pnc,",",,"TroisGal, v. 1"
4,1,4,est,est,1,Vfin,Vfin,être,/V\,"TroisGal, v. 1"
5,1,5,il,il,1,Prn,Prn%,il,/V\,"TroisGal, v. 1"
6,1,6,façon,façon,1,N,N,façon,C/V\.'C/V\,"TroisGal, v. 1"
7,1,7,aulcune,aulcune,1,QIs,QIs,aucun,/V\.'C/V\.C/e\,"TroisGal, v. 1"
8,1,8,?,?,1,Pnc,Pnc,?,,"TroisGal, v. 1"
9,2,1,de,de,2,Pre,Pre,de,C/(e)\,"TroisGal, v. 2"
10,2,2,quoy,quoy,2,Qux,Qux,que,C/V\,"TroisGal, v. 2"
11,2,3,faire,faire,2,Vinf,Vinf,faire,'C/V\.C/(e)\,"TroisGal, v. 2"
12,2,4,?,?,2,Pnc,Pnc,?,,"TroisGal, v. 2"
13,2,5,/,/,2,Pnc,Pnc,/,,"TroisGal, v. 2"
14,2,6,de,de,2,Pre,Pre,de,C/(e)\,"TroisGal, v. 2"
15,2,7,quicter,quicter,2,Vinf,Vinf,quitter,C/V\.'C/V\,"TroisGal, v. 2"
16,2,8,tout,tout,2,QIs,QIs,tout,C/V\,"TroisGal, v. 2"
17,2,9,?,?,2,Pnc,Pnc,?,,"TroisGal, v. 2"
18,3,1,y,y,3,Prn,Prn$$,y2,/V\,"TroisGal, v. 3"
19,3,2,fauldra,fauldra,3,Vfin,Vfin,faillir,C/V\.'C/V\,"TroisGal, v. 3"
20,3,3,quelque,quelque,3,QIs,QIs,quelque,'C/V\.C/(e)\,"TroisGal, v. 3"
21,3,4,un,un,3,QIs,QIs,un,/V\,"TroisGal, v. 3"
22,3,5,ou,ou,3,Crd,Crd,ou,/V\,"TroisGal, v. 3"
23,3,6,quelque,quelque,3,QIs,QIs,quelque,'C/V\.C/(e)\,"TroisGal, v. 3"
24,3,7,une,une,3,QIs,QIs,un,'/V\.C/(e)\,"TroisGal, v. 3"
25,3,8,",",",",3,Pnc,Pnc,",",,"TroisGal, v. 3"
26,4,1,de,de,4,Pre,Pre,de,C/(e)\,"TroisGal, v. 4"
27,4,2,bref,bref,4,Adj,Adj,bref,C/V\,"TroisGal, v. 4"
28,4,3,",",",",4,Pnc,Pnc,",",,"TroisGal, v. 4"
29,4,4,qui,qui,4,Qux,Qux,qui,C/V\,"TroisGal, v. 4"
30,4,5,nous,nous,4,Prn,Prn$,nous,C/V\,"TroisGal, v. 4"
31,4,6,mectra,mectra,4,Vfin,Vfin,mettre,C/V\.'C/V\,"TroisGal, v. 4"
32,4,7,deboult,deboult,4,Adv,Adv,debout,C/V\.'C/V\,"TroisGal, v. 4"
33,4,8,.,.,4,Pnc,Pnc,.,,"TroisGal, v. 4"
34,5,1,j',j',5,Prn,Prn$,je,C/\,"TroisGal, v. 5"
35,5,2,y,y,5,Prn,Prn$$,y2,/V\,"TroisGal, v. 5"
36,5,3,songe,songe,5,Vfin,Vfin,songer,'C/V\.C/(e)\,"TroisGal, v. 5"
37,5,4,.,.,5,Pnc,Pnc,.,,"TroisGal, v. 5"
38,5,5,/,/,5,Pnc,Pnc,/,,"TroisGal, v. 5"
39,5,6,je,je,5,Prn,Prn$,je,C/(e)\,"TroisGal, v. 5"
40,5,7,suis,suis,5,Vfin,Vfin,être,C/V\,"TroisGal, v. 5"
41,5,8,en,en,5,Pre,Pre,en,/V\,"TroisGal, v. 5"
42,5,9,escoult,escoult,5,N,N,écout,/V\.'C/V\,"TroisGal, v. 5"
43,5,10,.,.,5,Pnc,Pnc,.,,"TroisGal, v. 5"
44,6,1,j',j',6,Prn,Prn$,je,C/\,"TroisGal, v. 6"
45,6,2,ey,ey,6,Vfin,Vfin,avoir,/V\,"TroisGal, v. 6"
46,6,3,mains,mains,6,N,N,main,C/V\,"TroisGal, v. 6"
47,6,4,",",",",6,Pnc,Pnc,",",,"TroisGal, v. 6"
48,6,5,et,et,6,Crd,Crd,et,/V\,"TroisGal, v. 6"
49,6,6,sy,sy,6,Adv,Adv,si4,C/V\,"TroisGal, v. 6"
50,6,7,ne,ne,6,Neg,Neg$$,ne,C/(e)\,"TroisGal, v. 6"
51,6,8,puys,puys,6,Vfin,Vfin,pouvoir2,C/V\,"TroisGal, v. 6"
52,6,9,rien,rien,6,N,N,rien,C/V\,"TroisGal, v. 6"
53,6,10,prendre,prendre,6,Vinf,Vinf,prendre,'C/V\.C/(e)\,"TroisGal, v. 6"
54,6,11,.,.,6,Pnc,Pnc,.,,"TroisGal, v. 6"
55,7,1,je,je,7,Prn,Prn$,je,C/(e)\,"TroisGal, v. 7"
56,7,2,suys,suys,7,Vfin,Vfin,être,C/V\,"TroisGal, v. 7"
57,7,3,frais,frais,7,Adj,Adj,frais,C/V\,"TroisGal, v. 7"
58,7,4,",",",",7,Pnc,Pnc,",",,"TroisGal, v. 7"
59,7,5,frais,frais,7,Adj,Adj,frais,C/V\,"TroisGal, v. 7"
60,7,6,.,.,7,Pnc,Pnc,.,,"TroisGal, v. 7"
61,7,7,/,/,7,Pnc,Pnc,/,,"TroisGal, v. 7"
62,7,8,et,et,7,Crd,Crd,et,/V\,"TroisGal, v. 7"
63,7,9,j',j',7,Prn,Prn$,je,C/\,"TroisGal, v. 7"
64,7,10,ey,ey,7,Vfin,Vfin,avoir,/V\,"TroisGal, v. 7"
65,7,11,bon,bon,7,Adj,Adj,bon,C/V\,"TroisGal, v. 7"
66,7,12,goust,goust,7,N,N,goût,C/V\,"TroisGal, v. 7"
67,7,13,.,.,7,Pnc,Pnc,.,,"TroisGal, v. 7"
68,8,1,j',j',8,Prn,Prn$,je,C/\,"TroisGal, v. 8"
69,8,2,aprens,aprens,8,Vfin,Vfin,apprendre,/V\.'C/V\,"TroisGal, v. 8"
70,8,3,",",",",8,Pnc,Pnc,",",,"TroisGal, v. 8"
71,8,4,et,et,8,Crd,Crd,et,/V\,"TroisGal, v. 8"
72,8,5,sy,sy,8,Adv,Adv,si4,C/V\,"TroisGal, v. 8"
73,8,6,suys,suys,8,Vfin,Vfin,être,C/V\,"TroisGal, v. 8"
74,8,7,a,a,8,Pre,Pre,à,/V\,"TroisGal, v. 8"
75,8,8,raprendre,raprendre,8,Vinf,Vinf,rapprendre,C/V\.'C/V\.C/(e)\,"TroisGal, v. 8"
76,8,9,.,.,8,Pnc,Pnc,.,,"TroisGal, v. 8"
77,9,1,de,de,9,Pre,Pre,de,C/(e)\,"TroisGal, v. 9"
78,9,2,sancté,sancté,9,N,N,santé,C/V\.'C/V\,"TroisGal, v. 9"
79,9,3,",",",",9,Pnc,Pnc,",",,"TroisGal, v. 9"
80,9,4,j',j',9,Prn,Prn$,je,C/\,"TroisGal, v. 9"
81,9,5,en,en,9,Prn,Prn$$,en2,/V\,"TroisGal, v. 9"
82,9,6,ay,ay,9,Vfin,Vfin,avoir,/V\,"TroisGal, v. 9"
83,9,7,a,a,9,Pre,Pre,à,/V\,"TroisGal, v. 9"
84,9,8,revendre,revendre,9,Vinf,Vinf,revendre,C/V\.'C/V\.C/(e)\,"TroisGal, v. 9"
85,10,1,largement,largement,10,Adv,Adv,largement,C/V\.C/e\.'C/V\,"TroisGal, v. 10"
86,10,2,",",",",10,Pnc,Pnc,",",,"TroisGal, v. 10"
87,10,3,trop,trop,10,Adv,Adv,trop,C/V\,"TroisGal, v. 10"
88,10,4,plus,plus,10,Adv,Adv,plus,C/V\,"TroisGal, v. 10"
89,10,5,que,que,10,Sub,Sub,que,C/(e)\,"TroisGal, v. 10"
90,10,6,de,de,10,Pre,Pre,de,C/(e)\,"TroisGal, v. 10"
91,10,7,paille,paille,10,N,N,paille,'C/V\.C/(e)\,"TroisGal, v. 10"
92,10,8,.,.,10,Pnc,Pnc,.,,"TroisGal, v. 10"
93,11,1,et,et,11,Crd,Crd,et,/V\,"TroisGal, v. 11"
