wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified
1,en,en,PREDET:en:obj:masc:sg,19,Pre,Pre,en,/V\
2,nom,nom,NOM:obj:masc:sg,19,N,N,,C/V\
3,de,de,PRE,19,Pre,Pre,de,C/(e)\
4,dieu,dieu,NOM:obj:masc:sg,19,N,N,,C/V\
5,le,le,DET:def:obj:masc:sg,19,Det,Det,le,C/(e)\
6,toutpuissant,toutpuissant,ADJ:obj:masc:sg,19,Adj,Adj,,C/V\.C/V\.'C/V\
7,",",",",PON,19,Pnc,Pnc,,
8,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn,je,C/(e)\
9,jehan,jehan,NPR:suj:masc:sg,19,N,N,,C/(V)\.'/V\
10,sire,sire,NOM:suj:masc:sg,19,N,N,,'C/V\.C/(e)\
11,de,de,PRE,19,Pre,Pre,de,C/(e)\
12,joyngville,joyngville,NPR:obj:masc:sg,19,N,N,,C/V\.'C/V\.C/(e)\
13,",",",",PON,19,Pnc,Pnc,,
14,seneschal,seneschal,NOM:suj:masc:sg,19,N,N,,C/V\.C/e\.'C/V\
15,de,de,PRE,19,Pre,Pre,de,C/(e)\
16,champaigne,champaigne,NPR:obj:femi:sg,19,N,N,,C/V\.'C/V\.C/(e)\
17,",",",",PON,19,Pnc,Pnc,,
18,faiz,faiz,VER:pres:1:sg,19,Vfin,Vfin,faire,C/V\
19,escrire,escrire,VER:infi,19,Vinf,Vinf,écrire,/V\.'C/V\.C/(e)\
20,la,la,DET:def:obj:femi:sg,19,Det,Det,le,C/V\
21,vie,vie,NOM:obj:femi:sg,19,N,N,,'C/V\./(e)\
22,nostre,nostre,DET:poss:obj:masc:sg,19,Det,Det,notre,'C/V\.C/(e)\
23,saint,saint,ADJ:obj:masc:sg,19,Adj,Adj,saint,C/V\
24,looys,looys,NPR:obj:masc:sg,19,N,N,,C/V\.C/(V)\.'/V\
25,",",",",PON,19,Pnc,Pnc,,
26,ce,ce,PRO:invar,19,Prn,Prn,ce,C/(e)\
27,que,que,PROCON,19,Qux,Qux,que,C/(e)\
28,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\
29,vis,vis,VER:simp:1:sg,19,Vfin,Vfin,voir,C/V\
30,et,et,CON:coord,19,Crd,Crd,et,/V\
31,oy,oÿ,VER:simp:1:sg,19,Vfin,Vfin,ouïr,/V\.'C/V\
32,par,par,PRE,19,Pre,Pre,par,C/V\
33,l,l',DET:def:obj:masc:sg,19,Det,Det,le,C/\
34,espace,espace,NOM:obj:masc:sg,19,N,N,,/V\.'C/V\.C/(e)\
35,de,de,PRE,19,Pre,Pre,de,C/(e)\
36,sis,sis,ADJ:card,19,QIs,QIs,six,C/V\
37,anz,anz,NOM:obj:masc:pl,19,N,N,,/V\
38,que,que,PROCON,19,Qux,Qux,que,C/(e)\
39,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\
40,fu,fu,VER:simp:3:sg,19,Vfin,Vfin,être,C/V\
41,en,en,PRO:clit,19,Pre,Pre,en,/V\
42,sa,sa,DET:poss:obj:femi:sg,19,Det,Det,son4,C/V\
43,compaignie,compaignie,NOM:obj:femi:sg,19,N,N,,C/V\.C/V\.'C/V\./(e)\
44,ou,ou,PREDET:en:obj:masc:sg,19,Pre+Det,Pre+Det,en.le,/V\
45,pelerinage,pelerinage,NOM:obj:masc:sg,19,N,N,,C/V\.C/e\.C/V\.'C/V\.C/(e)\
46,d,d',PRE,19,Pre,Pre,de,C/\
47,outremer,outremer,ADV,19,N,N,,/V\.C/e\.'C/V\
48,",",",",PON,19,Pnc,Pnc,,
49,et,et,CON:coord,19,Crd,Crd,et,/V\
50,puisque,puisque,CON:subord,19,Sub,Sub,puisque,'C/V\.C/(e)\
51,nous,nous,PRO:pers:1:pl,19,Prn,Prn$,nous,C/V\
52,revenimes,revenimes,VER:simp:1:pl,19,Vfin,Vfin,revenir,C/V\.C/e\.'C/V\.C/e\
53,.,.,PON,19,Pnc,Pnc,,
54,et,et,CON:coord,19,Crd,Crd,et,/V\
55,avantque,avantque,CON:subord,19,Sub,Sub,avant.que,/V\.'C/V\.C/(e)\
56,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\
57,vous,vous,PRO:pers:2:pl,19,Prn,Prn$$,vous,C/V\
58,conte,conte,VER:subp:1:sg,19,Vfin,Vfin,conter,'C/V\.C/(e)\
59,de,de,PRE,19,Pre,Pre,de,C/(e)\
60,ses,ses,DET:poss:obj:masc:pl,19,Det,Det,son4,C/V\
61,grans,grans,ADJ:obj:masc:pl,19,Adj,Adj,grand,C/V\
62,faiz,faiz,NOM:obj:masc:pl,19,N,N,,C/V\
63,et,et,CON:coord,19,Crd,Crd,et,/V\
64,de,de,PRE,19,Pre,Pre,de,C/(e)\
65,sa,sa,DET:poss:obj:femi:sg,19,Det,Det,son4,C/V\
66,chevalerie,chevalerie,NOM:obj:femi:sg,19,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\
67,",",",",PON,19,Pnc,Pnc,,
68,vous,vous,PRO:pers:2:pl,19,Prn,Prn$$,vous,C/V\
69,conterai,conterai,VER:futu:1:sg,19,Vfin,Vfin,conter,C/V\.C/e\.'C/V\
70,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn%,je,C/(e)\
71,que,que,PROCON,19,Qux,Qux,que,C/(e)\
72,je,je,PRO:pers:suj:1:sg:unb,19,Prn,Prn$,je,C/(e)\
73,vi,vi,VER:simp:1:sg,19,Vfin,Vfin,voir,C/V\
74,et,et,CON:coord,19,Crd,Crd,et,/V\
75,oy,oÿ,VER:simp:1:sg,19,Vfin,Vfin,ouïr,/V\.'C/V\
76,de,de,PRE,19,Pre,Pre,de,C/(e)\
77,ses,ses,DET:poss:obj:femi:pl,19,Det,Det,son4,C/V\
78,saintes,saintes,ADJ:obj:femi:pl,19,Adj,Adj,saint,'C/V\.C/e\
79,paroles,paroles,NOM:obj:femi:pl,19,N,N,,C/V\.'C/V\.C/e\
80,et,et,CON:coord,19,Crd,Crd,et,/V\
81,de,de,PRE,19,Pre,Pre,de,C/(e)\
82,ses,ses,DET:poss:obj:masc:pl,19,Det,Det,son4,C/V\
83,bons,bons,ADJ:obj:masc:pl,19,Adj,Adj,bon,C/V\
84,enseignemens,enseignemens,NOM:obj:masc:pl,19,N,N,,/V\.C/V\.C/e\.'C/V\
85,",",",",PON,19,Pnc,Pnc,,
86,pour,pour,PRE,19,Pre,Pre,pour,C/V\
87,ce,ce,PRO:invar,19,Prn,Prn,ce,C/(e)\
88,qu,qu,PROCON,19,Sub,Sub,que,C/\
89,ils,ils,PRO:pers:suj:3:masc:pl,19,Prn,Prn$,il,/V\
90,soient,soient,VER:subp:3:pl,19,Vfin,Vfin,être,'C/V\./e\
91,trouvez,trouvez,VER:pper:masc:pl,19,Vpp,Vpp,trouver,C/V\.'C/V\
92,l,l',DET:def:suj:masc:sg,19,Det,Det,le,C/\
93,un,un,DET:ndf:suj:masc:sg,19,QIs,QIs,un,/V\
94,apres,aprés,PRE,19,PrA,PrA,après,/V\.'C/V\
95,l,l',DET:def:obj:masc:sg,19,Det,Det,le,C/\
96,autre,autre,ADJ:obj:masc:sg,19,Adj,Adj,autre,'/V\.C/(e)\
97,",",",",PON,19,Pnc,Pnc,,
98,pour,pour,PRE,19,Pre,Pre,pour,C/V\
99,edefier,edefier,VER:infi,19,Vinf,Vinf,,/V\.C/e\.C/V\.'C/V\
100,ceulz,ceulz,PRO:demo:obj:masc:pl,19,Dem,Dem,cil,C/V\
101,qui,qui,PROCON,19,Qux,Qux,qui,C/V\
102,les,les,PRO:pers:acc:3:masc:pl,19,Prn,Prn$$,le,C/V\
103,orront,orront,VER:futu:3:pl,19,Vfin,Vfin,ouïr,/V\.'C/V\
104,.,.,PON,19,Pnc,Pnc,,
105,ce,ce,DET:demo:suj:masc:sg,20,Dem,Dem,cist,C/(e)\
106,saint,saint,ADJ:suj:masc:sg,20,Adj,Adj,saint,C/V\
107,home,home,NOM:suj:masc:sg,20,N,N,,'/V\.C/(e)\
108,ama,ama,VER:simp:3:sg,20,Vfin,Vfin,aimer,/V\.'C/V\
109,dieu,dieu,NOM:obj:masc:sg,20,N,N,,C/V\
110,de,de,PRE,20,Pre,Pre,de,C/(e)\
111,tout,tout,DET:ind:obj:masc:sg,20,QIs,QIs,tout,C/V\
112,son,son,DET:poss:obj:masc:sg,20,Det,Det,son4,C/V\
113,cuer,cuer,NOM:obj:masc:sg,20,N,N,,C/V\
114,et,et,CON:coord,20,Crd,Crd,et,/V\
115,ensuivi,ensuivi,VER:simp:3:sg,20,Vfin,Vfin,ensuivre,/V\.C/V\.'C/V\
116,ses,ses,DET:poss:obj:femi:pl,20,Det,Det,son4,C/V\
117,oeuvres,oeuvres,NOM:obj:femi:pl,20,N,N,,'C/V\.C/e\
118,.,.,PON,20,Pnc,Pnc,,
119,et,et,CON:coord,20,Crd,Crd,et,/V\
120,y,y,PRO:clit,20,Prn,Prn$$,y2,/V\
121,apparut,apparut,VER:simp:3:sg,20,Vfin,Vfin,aparoir|apparaître,/V\.C/V\.'C/V\
122,en,en,PRO:clit,20,Pre,Pre,en,/V\
123,ce,ce,PRO:invar,20,Prn,Prn,ce,C/(e)\
124,que,que,PROCON,20,Sub,Sub,que,C/(e)\
125,",",",",PON,20,Pnc,Pnc,,
126,aussi,aussi,ADV,20,Adv,Adv,aussi,/V\.'C/V\
127,comme,comme,CON:subord,20,Sub,Sub,comme,'C/V\.C/(e)\
128,dieu,dieu,NOM:suj:masc:sg,20,N,N,,C/V\
129,morut,morut,VER:simp:3:sg,20,Vfin,Vfin,mourir,C/V\.'C/V\
130,pour,pour,PRE,20,Pre,Pre,pour,C/V\
131,l,l',DET:def:obj:femi:sg,20,Det,Det,le,C/\
132,amour,amour,NOM:obj:femi:sg,20,N,N,,/V\.'C/V\
133,que,que,PROCON,20,Qux,Qux,que,C/(e)\
134,il,il,PRO:pers:suj:3:masc:sg:unb,20,Prn,Prn$,il,/V\
135,avoit,avoit,VER:impf:3:sg,20,Vfin,Vfin,avoir,/V\.'C/V\
136,en,en,PRO:clit,20,Pre,Pre,en,/V\
137,son,son,DET:poss:obj:masc:sg,20,Det,Det,son4,C/V\
138,peuple,peuple,NOM:obj:masc:sg,20,N,N,,'C/V\.C/(e)\
139,",",",",PON,20,Pnc,Pnc,,
140,mist,mist,VER:simp:3:sg,20,Vfin,Vfin,mettre,C/V\
141,il,il,PRO:pers:suj:3:masc:sg:unb,20,Prn,Prn%,il,/V\
142,son,son,DET:poss:obj:masc:sg,20,Det,Det,son4,C/V\
143,cors,cors,NOM:obj:masc:sg,20,N,N,,C/V\
144,en,en,PRE,20,Pre,Pre,en,/V\
145,avanture,avanture,NOM:obj:femi:sg,20,N,N,,/V\.C/V\.'C/V\.C/(e)\
146,par,par,PRE,20,Pre,Pre,par,C/V\
147,pluseurs,pluseurs,DET:ind:obj:femi:pl,20,QIs,QIs,plusieurs,C/V\.'C/V\
148,foiz,foiz,NOM:obj:femi:pl,20,N,N,,C/V\
149,pour,pour,PRE,20,Pre,Pre,pour,C/V\
150,l,l',DET:def:obj:femi:sg,20,Det,Det,le,C/\
151,amour,amour,NOM:obj:femi:sg,20,N,N,,/V\.'C/V\
152,que,que,PROCON,20,Qux,Qux,que,C/(e)\
153,il,il,PRO:pers:suj:3:masc:sg:unb,20,Prn,Prn$,il,/V\
154,avoit,avoit,VER:impf:3:sg,20,Vfin,Vfin,avoir,/V\.'C/V\
155,a,a,PRE,20,Pre,Pre,à,/V\
156,son,son,DET:poss:obj:masc:sg,20,Det,Det,son4,C/V\
157,peuple,peuple,NOM:obj:masc:sg,20,N,N,,'C/V\.C/(e)\
158,",",",",PON,20,Pnc,Pnc,,
159,et,et,CON:coord,20,Crd,Crd,et,/V\
