wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,En,en,1,Pre,Pre,en,/V\,"SMathelin2, v. 1"
2,1,2,l',l',1,Det,Det,le,C/\,"SMathelin2, v. 1"
3,1,3,honneur,honneur,1,N,N,honneur,/V\.'C/V\,"SMathelin2, v. 1"
4,1,4,de,de,1,Pre,Pre,de,C/(e)\,"SMathelin2, v. 1"
5,1,5,Sainct,sainct,1,Adj,Adj,saint,C/V\,"SMathelin2, v. 1"
6,1,6,Mathurin,mathurin,1,N,N,Mathurin,C/V\.C/V\.'C/V\,"SMathelin2, v. 1"
7,1,7,",",",",1,Pnc,Pnc,",",,"SMathelin2, v. 1"
8,2,1,Afin,afin,2,Adv,Adv,afin,/V\.'C/V\,"SMathelin2, v. 2"
9,2,2,que,que,2,Sub,Sub,que,C/(e)\,"SMathelin2, v. 2"
10,2,3,chascun,chascun,2,QIs,QIs,chacun,C/V\.'C/V\,"SMathelin2, v. 2"
11,2,4,pèlerin,pelerin,2,N,N,pèlerin,C/V\.C/e\.'C/V\,"SMathelin2, v. 2"
12,3,1,Sa,sa,3,Det,Det,son,C/V\,"SMathelin2, v. 3"
13,3,2,vie,vie,3,N,N,vie,'C/V\./(e)\,"SMathelin2, v. 3"
14,3,3,puisse,puisse,3,Vfin,Vfin,pouvoir,'C/V\.C/(e)\,"SMathelin2, v. 3"
15,3,4,mieulx,mieulx,3,Adv,Adv,mieux,C/V\,"SMathelin2, v. 3"
16,3,5,entendre,entendre,3,Vinf,Vinf,entendre,/V\.'C/V\.C/(e)\,"SMathelin2, v. 3"
17,3,6,",",",",3,Pnc,Pnc,",",,"SMathelin2, v. 3"
18,4,1,Aussi,aussi,4,Adv,Adv,aussi,/V\.'C/V\,"SMathelin2, v. 4"
19,4,2,la,la,4,Prn,Prn$$,le,C/V\,"SMathelin2, v. 4"
20,4,3,sache,sache,4,Vfin,Vfin,savoir,'C/V\.C/(e)\,"SMathelin2, v. 4"
21,4,4,mieulx,mieulx,4,Adv,Adv,mieux,C/V\,"SMathelin2, v. 4"
22,4,5,comprendre,comprendre,4,Vinf,Vinf,comprendre,C/V\.'C/V\.C/(e)\,"SMathelin2, v. 4"
23,4,6,",",",",4,Pnc,Pnc,",",,"SMathelin2, v. 4"
24,5,1,Pour,pour,5,Pre,Pre,pour,C/V\,"SMathelin2, v. 5"
25,5,2,les,les,5,Det,Det,le,C/V\,"SMathelin2, v. 5"
26,5,3,simples,simples,5,Adj,Adj,simple,'C/V\.C/e\,"SMathelin2, v. 5"
27,5,4,gens,gens,5,N,N,gent,C/V\,"SMathelin2, v. 5"
28,5,5,seullement,seullement,5,Adv,Adv,seulement,C/V\.C/e\.'C/V\,"SMathelin2, v. 5"
29,5,6,",",",",5,Pnc,Pnc,",",,"SMathelin2, v. 5"
30,6,1,Selon,selon,6,PrA,PrA,selon,C/V\.'C/V\,"SMathelin2, v. 6"
31,6,2,mon,mon,6,Det,Det,mon,C/V\,"SMathelin2, v. 6"
32,6,3,povre,povre,6,Adj,Adj,pauvre,'C/V\.C/(e)\,"SMathelin2, v. 6"
33,6,4,entendement,entendement,6,N,N,entendement,/V\.C/V\.C/e\.'C/V\,"SMathelin2, v. 6"
34,6,5,",",",",6,Pnc,Pnc,",",,"SMathelin2, v. 6"
35,7,1,Ay,ay,7,Vfin,Vfin,avoir,/V\,"SMathelin2, v. 7"
36,7,2,mis,mis,7,Vpp,Vpp,mettre,C/V\,"SMathelin2, v. 7"
37,7,3,de,de,7,Pre,Pre,de,C/(e)\,"SMathelin2, v. 7"
38,7,4,latin,latin,7,N,N,latin,C/V\.'C/V\,"SMathelin2, v. 7"
39,7,5,en,en,7,Pre,Pre,en,/V\,"SMathelin2, v. 7"
40,7,6,françoys,françoys,7,N,N,français,C/V\.'C/V\,"SMathelin2, v. 7"
41,7,7,",",",",7,Pnc,Pnc,",",,"SMathelin2, v. 7"
42,8,1,Nompas,nompas,8,Neg,Neg,non.pas,C/V\.'C/V\,"SMathelin2, v. 8"
43,8,2,que,que,8,Sub,Sub,que,C/(e)\,"SMathelin2, v. 8"
44,8,3,si,si,8,Adv,Adv,si,C/V\,"SMathelin2, v. 8"
45,8,4,grant,grant,8,Adj,Adj,grand,C/V\,"SMathelin2, v. 8"
46,8,5,clerc,clerc,8,N,N,clerc,C/V\,"SMathelin2, v. 8"
47,8,6,je,je,8,Prn,Prn$,je,C/(e)\,"SMathelin2, v. 8"
48,8,7,soys,soys,8,Vfin,Vfin,être,C/V\,"SMathelin2, v. 8"
49,9,1,Que,que,9,Sub,Sub,que,C/(e)\,"SMathelin2, v. 9"
50,9,2,de,de,9,Pre,Pre,de,C/(e)\,"SMathelin2, v. 9"
51,9,3,moy,moy,9,Prn,Prn,moi,C/V\,"SMathelin2, v. 9"
52,9,4,je,je,9,Prn,Prn$,je,C/(e)\,"SMathelin2, v. 9"
53,9,5,vueil,vueil,9,Vfin,Vfin,vouloir,C/V\,"SMathelin2, v. 9"
54,9,6,estimer,estimer,9,Vinf,Vinf,estimer,/V\.C/V\.'C/V\,"SMathelin2, v. 9"
55,10,1,Que,que,10,Sub,Sub,que,C/(e)\,"SMathelin2, v. 10"
56,10,2,je,je,10,Prn,Prn$,je,C/(e)\,"SMathelin2, v. 10"
57,10,3,la,la,10,Prn,Prn$$,le,C/V\,"SMathelin2, v. 10"
58,10,4,sçeusse,sçeusse,10,Vfin,Vfin,savoir,C/(V)\.'/V\.C/(e)\,"SMathelin2, v. 10"
59,10,5,bien,bien,10,Adv,Adv,bien,C/V\,"SMathelin2, v. 10"
60,10,6,rimer,rimer,10,Vinf,Vinf,rimer,C/V\.'C/V\,"SMathelin2, v. 10"
61,11,1,Ne,ne,11,Crd,Crd,ne,C/(e)\,"SMathelin2, v. 11"
62,11,2,mettre,mettre,11,Vinf,Vinf,mettre,'C/V\.C/(e)\,"SMathelin2, v. 11"
63,11,3,aussi,aussi,11,Adv,Adv,aussi,/V\.'C/V\,"SMathelin2, v. 11"
64,11,4,de,de,11,Pre,Pre,de,C/(e)\,"SMathelin2, v. 11"
65,11,5,point,point,11,N,N,point,C/V\,"SMathelin2, v. 11"
66,11,6,en,en,11,Pre,Pre,en,/V\,"SMathelin2, v. 11"
67,11,7,point,point,11,N,N,point,C/V\,"SMathelin2, v. 11"
68,12,1,Sans,sans,12,Pre,Pre,sans,C/V\,"SMathelin2, v. 12"
69,12,2,faillir,faillir,12,Vinf,Vinf,faillir,C/V\.'C/V\,"SMathelin2, v. 12"
70,12,3,;,;,12,Pnc,Pnc,;,,"SMathelin2, v. 12"
71,12,4,je,je,12,Prn,Prn$,je,C/(e)\,"SMathelin2, v. 12"
72,12,5,ne,ne,12,Neg,Neg$$,ne,C/(e)\,"SMathelin2, v. 12"
73,12,6,le,le,12,Prn,Prn$$,le,C/(e)\,"SMathelin2, v. 12"
