wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,o,o,1001,Exc,Exc,ô,8s,---,/V\,"VillonLais, Poèmes variés no 1, v. 1"
2,1,2,louee,louee,1001,Vpp,Vpp,louer,8s,---,C/V\.'C/V\./(e)\,"VillonLais, Poèmes variés no 1, v. 1"
3,1,3,concepcion,concepcion,1001,N,N,conception,8s,---,C/V\.C/V\.C/{V}\.'/V\,"VillonLais, Poèmes variés no 1, v. 1"
4,1,4,",",",",1001,Pnc,Pnc,",",8s,---,,"VillonLais, Poèmes variés no 1, v. 1"
5,2,1,envoiee,envoiee,1002,Vpp,Vpp,envoyer,8s,---,/V\.C/V\.'C/V\./(e)\,"VillonLais, Poèmes variés no 1, v. 2"
6,2,2,sa,sa,1002,Adv,Adv,çà,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 2"
7,2,3,jus,jus,1002,PrA,PrA,jus,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 2"
8,2,4,des,des,1002,Pre+Det,Pre+Det,de.le,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 2"
9,2,5,cieulx,cieulx,1002,N,N,ciel,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 2"
10,2,6,",",",",1002,Pnc,Pnc,",",8s,---,,"VillonLais, Poèmes variés no 1, v. 2"
11,3,1,du,du,1003,Pre+Det,Pre+Det,de.le,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 3"
12,3,2,noble,noble,1003,Adj,Adj,noble,8s,---,'C/V\.C/(e)\,"VillonLais, Poèmes variés no 1, v. 3"
13,3,3,lis,lis,1003,N,N,lis,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 3"
14,3,4,digne,digne,1003,Adj,Adj,digne,8s,---,'C/V\.C/(e)\,"VillonLais, Poèmes variés no 1, v. 3"
15,3,5,syon,syon,1003,N,N,scion,8s,---,C/V\.'C/V\,"VillonLais, Poèmes variés no 1, v. 3"
16,3,6,",",",",1003,Pnc,Pnc,",",8s,---,,"VillonLais, Poèmes variés no 1, v. 3"
17,4,1,don,don,1004,N,N,don,8s,---,C/V\,"VillonLais, Poèmes variés no 1, v. 4"
18,4,2,de,de,1004,Pre,Pre,de,8s,---,C/(e)\,"VillonLais, Poèmes variés no 1, v. 4"
19,4,3,jhesus,jhesus,1004,N,N,Jésus,8s,---,C/V\.'C/V\,"VillonLais, Poèmes variés no 1, v. 4"
