id,text,versetype,subtype,lex_id,textlineid,pos_rnn,lemma_rnn,syntag,syntag2,lemma
1,blondel,7s,---,conment,601,ADVgen,comment,Qux,Qux,comment
2,blondel,7s,---,que,601,CONsub,que,Sub,Sub,que
3,blondel,7s,---,d',601,PRE,de,Pre,Pre,de
4,blondel,7s,---,amours,601,NOMcom,amour,N,N,
5,blondel,7s,---,me,601,PROper,je,Prn,Prn$$,1ps
6,blondel,7s,---,dueille,601,VERcjg,douloir,Vfin,Vfin,douloir
7,blondel,7s,---,",",601,PONfbl,",",Pnc,Pnc,
8,blondel,7s,---,bien,602,ADVgen,bien,Adv,Adv,bien
9,blondel,7s,---,est,602,VERcjg,être,Vfin,Vfin,être1|ester
10,blondel,7s,---,drois,602,ADJqua,droit,Adj,Adj,droit2
11,blondel,7s,---,que,602,CONsub,que,Sub,Sub,que
12,blondel,7s,---,de,602,PRE,de,Pre,Pre,de
13,blondel,7s,---,li,602,PROper,il,Prn,Prn,3p
14,blondel,7s,---,chant,602,VERcjg,chanter,Vfin,Vfin,chanter
15,blondel,7s,---,et,603,CONcoo,et,Crd,Crd,et
16,blondel,7s,---,que,603,CONsub,que,Sub,Sub,que
17,blondel,7s,---,je,603,PROper,je,Prn,Prn,1ps
18,blondel,7s,---,ma,603,DETpos,mon,Det,Det,mon1
19,blondel,7s,---,doleur,603,NOMcom,douleur,N,N,
20,blondel,7s,---,vueille,603,VERcjg,vouloir,Vfin,Vfin,vouloir
21,blondel,7s,---,",",603,PONfbl,",",Pnc,Pnc,
22,blondel,7s,---,quant,604,CONsub,quand,Sub,Sub,quand
23,blondel,7s,---,cele,604,PROdem,cil,Dem,Dem,cil
24,blondel,7s,---,me,604,PROper,je,Prn,Prn$$,1ps
25,blondel,7s,---,fait,604,VERcjg,faire,Vfin,Vfin,faire
26,blondel,7s,---,samblant,604,VERppa,sembler,Vprs,N,semblant
27,blondel,7s,---,qu',605,CONsub,que,Sub,Sub,que
28,blondel,7s,---,a,605,PRE,à,Pre,Pre,à
29,blondel,7s,---,son,605,DETpos,son,Det,Det,son4
30,blondel,7s,---,home,605,NOMcom,homme,N,N,
31,blondel,7s,---,me,605,PROper,je,Prn,Prn$$,1ps
32,blondel,7s,---,recueille,605,VERcjg,recueillir,Vfin,Vfin,recueillir
33,blondel,7s,---,.,605,PONfrt,.,Pnc,Pnc,
34,blondel,7s,---,en,606,PRE,en,Pre,Pre,en1
35,blondel,7s,---,doucement,606,ADVgen,doucement,Adv,Adv,
36,blondel,7s,---,decevant,606,VERppa,décevoir,Vprs,Vprs,décevoir
37,blondel,7s,---,d',607,PRE,de,Pre,Pre,de
38,blondel,7s,---,ex,607,PROper,eux,Prn,Prn,3p
39,blondel,7s,---,et,607,CONcoo,et,Crd,Crd,et
40,blondel,7s,---,de,607,PRE,de,Pre,Pre,de
41,blondel,7s,---,bouche,607,NOMcom,bouche,N,N,
42,blondel,7s,---,riant,607,VERppa,riant,Vprs,Vprs,rire
43,blondel,7s,---,me,608,PROper,je,Prn,Prn$$,1ps
44,blondel,7s,---,vait,608,VERcjg,aller,Vfin,Vfin,aller
45,blondel,7s,---,pluz,608,ADVgen,plus,Adv,Adv,plus
46,blondel,7s,---,qu',608,CONsub,que,Sub,Sub,que
47,blondel,7s,---,ele,608,PROper,elle,Prn,Prn$,3p
48,blondel,7s,---,ne,608,ADVneg,ne,Neg,Neg,ne1
49,blondel,7s,---,sueille,608,VERcjg,souloir,Vfin,Vfin,souloir
50,blondel,7s,---,;,608,PONfbl,;,Pnc,Pnc,
51,blondel,7s,---,ce,609,PROdem,ce,Prn,Prn$,ce1
52,blondel,7s,---,me,609,PROper,je,Prn,Prn$$,1ps
53,blondel,7s,---,fait,609,VERcjg,faire,Vfin,Vfin,faire
54,blondel,7s,---,estre,609,VERinf,être,Vinf,Vinf,être1|ester
55,blondel,7s,---,joiant,609,ADJqua,joyant,Vprs,Vprs,jouir
56,blondel,7s,---,et,610,CONcoo,et,Crd,Crd,et
57,blondel,7s,---,en,610,PRE,en,Pre,Pre,en1
58,blondel,7s,---,ma,610,DETpos,mon,Det,Det,mon1
59,blondel,7s,---,joie,610,NOMcom,joie,N,N,
60,blondel,7s,---,doutant,610,VERppa,douter,Vprs,Vprs,douter
61,blondel,7s,---,.,610,PONfrt,.,Pnc,Pnc,
62,blondel,7s,---,maiz,611,CONcoo,mais,Crd,Crd,mais1
63,blondel,7s,---,je,611,PROper,je,Prn,Prn$,1ps
64,blondel,7s,---,criem,611,VERcjg,craindre,Vfin,Vfin,craindre
65,blondel,7s,---,qu',611,CONsub,que,Sub,Sub,que
66,blondel,7s,---,autres,611,PROind,autre,Adj,Adj,autre
67,blondel,7s,---,ne,611,ADVneg,ne,Neg,Neg,ne1
68,blondel,7s,---,cueille,611,VERcjg,cueillir,Vfin,Vfin,cueillir
69,blondel,7s,---,ce,612,PROdem,ce,Prn,Prn$,ce1
70,blondel,7s,---,donc,612,PROrel,dont,Qux,Qux,dont
71,blondel,7s,---,je,612,PROper,je,Prn,Prn$,1ps
72,blondel,7s,---,me,612,PROper,je,Prn,Prn$$,1ps
73,blondel,7s,---,vois,612,VERcjg,aller,Vfin,Vfin,aller
74,blondel,7s,---,hastant,612,VERppa,hâter,Vprs,Vprs,hâter
75,blondel,7s,---,;,612,PONfbl,;,Pnc,Pnc,
76,blondel,7s,---,mais,613,CONcoo,mais,Crd,Crd,mais1
77,blondel,7s,---,n',613,ADVneg,ne,Neg,Neg,ne1
78,blondel,7s,---,est,613,VERcjg,être,Vfin,Vfin,être1|ester
79,blondel,7s,---,droiz,613,NOMcom,droit,N,Adj,droit2
80,blondel,7s,---,qu',613,CONsub,que,Sub,Sub,que
81,blondel,7s,---,autrui,613,PROind,autrui,Adj,Adj,autrui
82,blondel,7s,---,acueille,613,VERcjg,accueillir,Vfin,Vfin,accueillir
83,blondel,7s,---,",",613,PONfbl,",",Pnc,Pnc,
84,blondel,7s,---,quar,614,CONcoo,car,Crd,Crd,car
85,blondel,7s,---,nus,614,DETind,nul,QIs,QIs,nul
86,blondel,7s,---,hom,614,NOMcom,homme,N,N,
87,blondel,7s,---,ne,614,ADVneg,ne,Neg,Neg,ne1
88,blondel,7s,---,l',614,PROper,il,Prn,Prn$$,3p
89,blondel,7s,---,aime,614,VERcjg,aimer,Vfin,Vfin,aimer
90,blondel,7s,---,tant,614,ADVgen,tant,QIs,QIs,tant
91,blondel,7s,---,.,614,PONfrt,.,Pnc,Pnc,
92,blondel,7s,---,las,615,ADJqua,las,Adj,Adj,las
93,blondel,7s,---,!,615,PONfrt,!,Pnc,Pnc,
94,blondel,7s,---,amors,615,NOMcom,amour,N,N,
95,blondel,7s,---,puis,615,ADVgen,puis,PrA,PrA,puis
96,blondel,7s,---,que,615,CONsub,que,Sub,Sub,que
97,blondel,7s,---,s',615,DETpos,son,Det,Det,son4
98,blondel,7s,---,orgueille,615,NOMcom,orgueille,N,N,
99,blondel,7s,---,ne,616,ADVneg,ne,Neg,Neg,ne1
100,blondel,7s,---,quiert,616,VERcjg,quérir,Vfin,Vfin,quérir
101,blondel,7s,---,pas,616,ADVneg,pas,Neg,Neg,pas
102,blondel,7s,---,loial,616,ADJqua,loyal,Adj,Adj,
103,blondel,7s,---,amant,616,VERppa,aimer,Vprs,Vprs,aimer
104,blondel,7s,---,",",616,PONfbl,",",Pnc,Pnc,
105,blondel,7s,---,ainz,617,ADVgen,ains,,Crd,ains
106,blondel,7s,---,chiét,617,VERcjg,choir,Vfin,Vfin,choir
107,blondel,7s,---,en,617,PRE,en,Pre,Pre,en1
108,blondel,7s,---,desesperant,617,VERppa,désespérer,Vprs,Vprs,désespérer
109,blondel,7s,---,",",617,PONfbl,",",Pnc,Pnc,
110,blondel,7s,---,autresint,618,ADVgen,autressi,Adv,Adv,autresi
111,blondel,7s,---,com,618,CONsub,comme,Sub,Sub,comme
112,blondel,7s,---,fait,618,VERcjg,faire,Vfin,Vfin,faire
113,blondel,7s,---,la,618,DETdef,le,Det,Det,le
114,blondel,7s,---,fueille,618,NOMcom,feuille,N,N,
115,blondel,7s,---,",",618,PONfbl,",",Pnc,Pnc,
116,blondel,7s,---,la,619,ADVgen,là,Adv,Adv,là
117,blondel,7s,---,u,619,PROrel,où,Qux,Qux,où
118,blondel,7s,---,vens,619,NOMcom,vent,N,N,
119,blondel,7s,---,la,619,PROper,il,Prn,Prn$$,3p
120,blondel,7s,---,vait,619,VERcjg,aller,Vfin,Vfin,aller
121,blondel,7s,---,menant,619,VERppa,mener,Vprs,Vprs,mener
122,blondel,7s,---,;,619,PONfbl,;,Pnc,Pnc,
123,blondel,7s,---,ce,620,PROdem,ce,Prn,Prn$,ce1
124,blondel,7s,---,me,620,PROper,je,Prn,Prn$$,1ps
125,blondel,7s,---,fet,620,VERcjg,faire,Vfin,Vfin,faire
126,blondel,7s,---,estre,620,VERinf,être,Vinf,Vinf,être1|ester
127,blondel,7s,---,pensant,620,VERppa,penser,Vprs,Vprs,penser
128,blondel,7s,---,.,620,PONfrt,.,Pnc,Pnc,
129,blondel,7s,---,mes,621,DETpos,mon,Det,Det,mon1
130,blondel,7s,---,voloirs,621,VERinf,vouloir,Vinf,N,vouloir
131,blondel,7s,---,ne,621,CONcoo,ne,Crd,Crd,ne2
132,blondel,7s,---,ma,621,DETpos,mon,Det,Det,mon1
133,blondel,7s,---,pensee,621,NOMcom,pensée,N,N,
134,blondel,7s,---,ne,622,ADVneg,ne,Neg,Neg,ne1
135,blondel,7s,---,me,622,PROper,je,Prn,Prn$$,1ps
136,blondel,7s,---,sert,622,VERcjg,servir,Vfin,Vfin,servir
137,blondel,7s,---,d',622,PRE,de,Pre,Pre,de
138,blondel,7s,---,autrui,622,PROind,autrui,Adj,Adj,autrui
139,blondel,7s,---,a,622,PRE,à,Pre,Pre,à
140,blondel,7s,---,gré,622,NOMcom,malgré,N,N,
141,blondel,7s,---,",",622,PONfbl,",",Pnc,Pnc,
142,blondel,7s,---,ne,623,CONcoo,ne,Crd,Crd,ne2
143,blondel,7s,---,nule,623,PROind,nul,QIs,QIs,nul
144,blondel,7s,---,tant,623,ADVgen,tant,QIs,QIs,tant
145,blondel,7s,---,ne,623,ADVneg,ne,Neg,Neg,ne1
146,blondel,7s,---,m',623,PROper,je,Prn,Prn$$,1ps
147,blondel,7s,---,agree,623,VERcjg,agréer,Vfin,Vfin,agréer
148,blondel,7s,---,",",623,PONfbl,",",Pnc,Pnc,
149,blondel,7s,---,s',624,CONsub,si,Sub,Sub,si3
150,blondel,7s,---,amours,624,NOMcom,amour,N,N,
151,blondel,7s,---,m',624,PROper,je,Prn,Prn$$,1ps
152,blondel,7s,---,en,624,PROadv,en,Prn,Prn$$,en2
153,blondel,7s,---,laist,624,VERcjg,laisser,Vfin,Vfin,laisser
154,blondel,7s,---,estre,624,VERinf,être,Vinf,Vinf,être1|ester
155,blondel,7s,---,amé,624,VERppe,aimer,Vpp,Vpp,aimer
156,blondel,7s,---,.,624,PONfrt,.,Pnc,Pnc,
157,blondel,7s,---,pour,625,PRE,pour,Pre,Pre,pour
158,blondel,7s,---,moi,625,PROper,je,Prn,Prn,1ps
159,blondel,7s,---,grever,625,VERinf,grever,Vinf,Vinf,grever
160,blondel,7s,---,la,625,PROper,il,Prn,Prn$$,3p
161,blondel,7s,---,fist,625,VERcjg,faire,Vfin,Vfin,faire
162,blondel,7s,---,nee,625,VERppe,naître,Vpp,Vpp,naître
163,blondel,7s,---,et,626,CONcoo,et,Crd,Crd,et
164,blondel,7s,---,pour,626,PRE,pour,Pre,Pre,pour
165,blondel,7s,---,li,626,PROper,il,Prn,Prn,3p
