lex_id,syll_str,in_el,fin_el,ms,backwards dd
_1,v,y,n,,
_2,v,n,n,,
-,,>,n,,
--,,>,n,,
–,,>,n,,
—,,>,n,,
―,,>,n,,
",",,>,n,,
;,,>,n,,
:,,>,n,,
!,,>,n,,
?,,>,n,,
.,,>,n,,
...,,>,n,,
…,,>,n,,
.c.,v,n,n,,
.cc.,vv,n,n,=2 cents,
.ccc.,vv,n,n,=trois cenz,
.e.,v,n,n,,
.i.,v,y,n,,
.ii.,v,n,n,,
.iii.,v,n,n,=trois,
.iii.x.,vv,n,n,=trois dix ?,
.iiic.,vv,n,n,,
.iiii.,vs,y,y,=quatre,
.iiij.,vs,n,y,,
.iiijxx.,vsv,n,n,'=quatre-vingts,
.iij.,v,n,n,,
.ij.,v,n,n,=deux,
.iv.,vs,n,y,,
.ix.,v,n,n,,
.j.,v,y,n,= un,
.l.,vvs,n,y,,
.lx,vvs,n,y,,
.lx.,vvs,n,y,,
.m.,vs,n,y,=mille,
.n.,v,n,n,,
.v.,v,n,n,,
.v.c.,vv,n,n,,
.ve.,vvvs,n,y,'=cinquieme,
.vi.,v,n,n,,
.vii.,v,n,n,,
.vii.c.,vv,n,n,,
.viii.,v,n,n,,
.viij.,v,n,n,,
.viij.c,vv,n,n,,
.vij.,v,n,n,,
.vixx.,vv,n,n,=? vingt six,
.x.,v,n,n,,
.xc.,vsv,n,n,,
.xi.,vs,n,n,=onze,
.xii.,vs,n,y,=douze,
.xiii.,vs,n,y,,
.xiiii.,vvs,n,n,=quatorze,
.xiiij.,vvs,n,y,,
.xiij.,vs,n,y,,
.xij.,vs,n,y,,
.xl.,vvs,n,y,quarante,
.xlvij.,vvsv,n,n,,
.xv.,vs,n,y,,
.xvi.,vs,n,y,,
.xvje.,vvs,n,y,'=seizieme,
.xx.,v,n,n,,
.xx.ii.,vv,n,n,,
.xxii.,vv,n,n,'=vingt deux,
.xxij.,vv,n,n,'-vingt-deux,
.xxix.,vvv,n,n,=vingt-et-neuf,
.xxx.,vs,n,y,=trente,
·ddextris,vv,n,n,,
·diables,vvs,n,n,,
·ffilz,v,n,n,,
·ii·,v,n,n,,
·iiime·,vvvs,n,y,troisieme,
·l,,n,n,,
·ll',,n,n,,
·lla',v,n,n,,
·llor,v,n,n,,
·llos,v,n,n,,
·ls,,n,n,,
·lz,,n,n,,
·m,,n,n,,
·mmespraes,vv,n,n,,
·n,,n,n,,
·ppetdres,vs,n,n,,
·s,,n,n,,
·se,s,n,y,,
·sos,v,n,n,,
·ss',,n,n,,
·sset,v,n,n,,
·ssos,v,n,n,,
·ssubr',v,n,n,,
·ssusted,vv,n,n,,
·trobed,vv,n,n,,
·tt',,n,n,,
·ttrestoz,vv,n,n,,
·v·,v,n,n,,
·ve·,vvvs,n,y,cinquieme,
·x·,v,n,n,,
·xx·,v,n,n,,
·xxx·,vs,n,n,,
',,>,n,,
‘,,>,n,,
’,,>,n,,
"""",,>,n,,
“,,>,n,,
„,,>,n,,
«,,>,n,,
»,,>,n,,
(,,>,n,,
),,>,n,,
[,,>,n,,
],,>,n,,
/,,>,n,,
|,,>,n,,
a,v,y,n,,
A,v,y,n,letter name,
à,v,y,n,,
aage,av,y,n,,
aages,avs,y,n,,
aaidier,avv,y,n,,
aaige,avs,y,y,,
aairier,avv,y,n,,
aaise,avs,y,y,,
aaisier,avv,y,n,,
aaisies,avvs,y,n,,
aaissier,avv,y,n,,
aalais,avv,y,n,,
aaliz,vv,y,n,,
aama,avv,y,n,,
aancré,avv,y,n,,
aanz,av,y,n,,
áánz,av,n,n,,
aaron,vv,y,n,,
aasmer,avv,y,n,,
aates,avs,y,n,,
aati,avv,y,n,,
aaties,avvs,y,n,,
aatis,avv,y,n,,
aatist,avv,y,n,,
ab,v,y,n,,
abachut,vvv,y,n,,
abaie,vvvs,y,y,,
abaissee,vvvs,y,y,,
abaissent,vvs,y,n,,
abaisser,vvv,y,n,,
abaissera,vvsv,y,n,,
abaisseroye,vvsvs,y,y,,
abaissier,vvv,y,n,,
abait,vv,y,n,,
abandon,vvv,y,n,,
abandone,vvvs,y,y,,
abandoné,vvvv,y,n,,
abandonee,vvvvs,y,y,,
