lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified
_1,v,y,n,,,/V\
_2,v,n,n,,,C/V\
-,,>,n,,,
--,,>,n,,,
–,,>,n,,,
—,,>,n,,,
―,,>,n,,,
",",,>,n,,,
;,,>,n,,,
:,,>,n,,,
!,,>,n,,,
?,,>,n,,,
.,,>,n,,,
...,,>,n,,,
…,,>,n,,,
.c.,v,n,n,,,C/V\
.cc.,vv,n,n,Err:509,,C/V\.'C/V\
.ccc.,vv,n,n,Err:509,,C/V\.'C/V\
.e.,v,n,n,,,C/V\
.i.,v,y,n,,,/V\
.ii.,v,n,n,,,C/V\
.iii.,v,n,n,#NAME?,,C/V\
.iii.x.,vv,n,n,Err:509,,C/V\.'C/V\
.iiic.,vv,n,n,,,C/V\.'C/V\
.iiii.,vs,y,y,#NAME?,,'/V\./(e)\
.iiij.,vs,n,y,,,'C/V\./(e)\
.iiijxx.,vsv,n,n,'=quatre-vingts,,C/V\.C/e\.'C/V\
.iij.,v,n,n,,,C/V\
.ij.,v,n,n,#NAME?,,C/V\
.iv.,vs,n,y,,,'C/V\.C/(e)\
.ix.,v,n,n,,,C/V\
.j.,v,y,n,#NAME?,,/V\
.l.,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.lx,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.lx.,vvs,n,y,,,C/V\.'C/V\.C/(e)\
.m.,vs,n,y,#NAME?,,'C/V\.C/(e)\
.n.,v,n,n,,,C/V\
.v.,v,n,n,,,C/V\
.v.c.,vv,n,n,,,C/V\.'C/V\
.ve.,vvvs,n,y,'=cinquieme,,C/V\.C/V\.'C/V\.C/(e)\
.vi.,v,n,n,,,C/V\
.vii.,v,n,n,,,C/V\
.vii.c.,vv,n,n,,,C/V\.'C/V\
.viii.,v,n,n,,,C/V\
.viij.,v,n,n,,,C/V\
.viij.c,vv,n,n,,,C/V\.'C/V\
.vij.,v,n,n,,,C/V\
.vixx.,vv,n,n,Err:509,,C/V\.'C/V\
.x.,v,n,n,,,C/V\
.xc.,vsv,n,n,,,C/V\.C/e\.'C/V\
.xi.,vs,n,n,#NAME?,,'C/V\.C/e\
.xii.,vs,n,y,#NAME?,,'C/V\./(e)\
.xiii.,vs,n,y,,,'C/V\./(e)\
.xiiii.,vvs,n,n,#NAME?,,C/V\.'C/V\./e\
.xiiij.,vvs,n,y,,,C/V\.'C/V\./(e)\
.xiij.,vs,n,y,,,'C/V\./(e)\
.xij.,vs,n,y,,,'C/V\.C/(e)\
.xl.,vvs,n,y,quarante,,C/V\.'C/V\.C/(e)\
.xlvij.,vvsv,n,n,,,C/V\.C/V\.C/e\.'C/V\
.xv.,vs,n,y,,,'C/V\.C/(e)\
.xvi.,vs,n,y,,,'C/V\.C/(e)\
.xvje.,vvs,n,y,'=seizieme,,C/V\.'C/V\.C/(e)\
.xx.,v,n,n,,,C/V\
.xx.ii.,vv,n,n,,,C/V\.'C/V\
.xxii.,vv,n,n,'=vingt deux,,C/V\.'C/V\
.xxij.,vv,n,n,'-vingt-deux,,C/V\.'C/V\
.xxix.,vvv,n,n,#NAME?,,C/V\.C/V\.'C/V\
.xxx.,vs,n,y,#NAME?,,'C/V\.C/(e)\
·ddextris,vv,n,n,,,C/V\.'C/V\
·diables,vvs,n,n,,,C/V\.'C/V\.C/e\
·ffilz,v,n,n,,,C/V\
·ii·,v,n,n,,,C/V\
·iiime·,vvvs,n,y,troisieme,,C/V\.C/V\.'C/V\.C/(e)\
·l,,n,n,,,/\C
·ll',,n,n,,,C/\
·lla',v,n,n,,,C/V\
·llor,v,n,n,,,C/V\
·llos,v,n,n,,,C/V\
·ls,,n,n,,,/\C
·lz,,n,n,,,/\C
·m,,n,n,,,/\C
·mmespraes,vv,n,n,,,C/V\.'C/V\
·n,,n,n,,,/\C
·ppetdres,vs,n,n,,,'C/V\.C/e\
·s,,n,n,,,/\C
·se,s,n,y,,,C/(e)\
·sos,v,n,n,,,C/V\
