wd_id,word,lemma_ofl,lemma,lemma_score,lex_id,textlineid,syntag,syntag2,syllabified,pos,
1,CY,ci,ci,8,cy,100001,Adv,Adv,C/V\,ADV,
2,COMMENCE,commencer,commencer,8,commence,100001,Vfin,Vfin,C/V\.'C/V\.C/(e)\,VERB,
3,LE,le,le,8,le,100002,Det,Det,C/(e)\,DET,
4,LIVRE,livre,,3,livre,100002,N,N,'C/V\.C/(e)\,NOUN,
5,DE,de,de,8,de,100002,Pre,Pre,C/(e)\,ADP,
6,L',le,le,9,l',100002,Det,Det,C/\,DET,
7,ADVISION,avision,,6,advision,100002,N,N,/V\.C/V\.C/{V}\.'/V\,NOUN,
8,CRISTINE,Christine,,5,cristine,100002,N,N,C/V\.'C/V\.C/(e)\,PROPN,
9,",",",",,9,",",100002,Pnc,Pnc,,PUNCT,
10,LEQUEL,lequel,lequel,9,lequel,100003,Qux,Qux,C/V\.'C/V\,DET,
11,DIT,dire,dire,8,dit,100003,Vpp,Vpp,C/V\,VERB,
12,LIVRE,livre,,3,livre,100003,N,N,'C/V\.C/(e)\,NOUN,
13,EST,être,être,3,est,100003,Vfin,Vfin,/V\,VERB,
14,PARTI,partir,partir,8,parti,100003,Vpp,Vpp,C/V\.'C/V\,VERB,
15,EN,en,en,8,en,100003,Pre,Pre,/V\,ADP,
16,TROIS,trois,trois,8,trois,100003,QIs,QIs,C/V\,NUM,
17,PARTIES,partie,,8,parties,100003,N,N,C/V\.'C/V\./e\,NOUN,
18,La,le,le,8,la,100004,Det,Det,C/V\,DET,
19,premiere,premier,premier,4,premiere,100004,Adj,Adj,C/V\.C/<V>\.'/V\.C/(e)\,ADJ,
20,partie,partie,,8,partie,100004,N,N,C/V\.'C/V\./(e)\,NOUN,
21,parle,parler,parler,8,parle,100004,Vfin,Vfin,'C/V\.C/(e)\,VERB,
22,de,de,de,8,de,100004,Pre,Pre,C/(e)\,ADP,
23,l',le,le,9,l',100004,Det,Det,C/\,DET,
24,ymage,image,,9,ymage,100004,N,N,/V\.'C/V\.C/(e)\,NOUN,
25,du,de.le,de.le,8,du,100004,Pre+Det,Pre+Det,C/V\,ADP.DET,
26,monde,monde,,8,monde,100004,N,N,'C/V\.C/(e)\,NOUN,
27,et,et,et,8,et,100004,Crd,Crd,/V\,CCONJ,
28,les,le,le,8,les,100004,Det,Det,C/V\,DET,
29,merveilles,merveille,,9,merveilles,100004,N,N,C/V\.'C/V\.C/e\,NOUN,
30,que,que,que,4,que,100005,Qux,Qux,C/(e)\,PRON,
31,elle,elle,elle,8,elle,100005,Prn,Prn$,'/V\.C/(e)\,PRON,
32,y,y,y2,3,y,100005,Prn,Prn$$,/V\,PRON,
33,vid,voir,voir,9,vid,100005,Vfin,Vfin,C/V\,VERB,
34,.,.,,9,.,100005,Pnc,Pnc,,PUNCT,
35,La,le,le,8,la,100006,Det,Det,C/V\,DET,
36,seconde,second,,8,seconde,100006,Adj,Adj,C/V\.'C/V\.C/(e)\,ADJ,
37,partie,partie,,8,partie,100006,N,N,C/V\.'C/V\./(e)\,NOUN,
38,parle,parler,parler,8,parle,100006,Vfin,Vfin,'C/V\.C/(e)\,VERB,
39,de,de,de,8,de,100006,Pre,Pre,C/(e)\,ADP,
40,Dame,dame,,8,dame,100006,N,N,'C/V\.C/(e)\,NOUN,
41,Oppinion,opinion,,9,oppinion,100006,N,N,/V\.C/V\.C/{V}\.'/V\,NOUN,
42,et,et,et,8,et,100006,Crd,Crd,/V\,CCONJ,
43,de,de,de,8,de,100006,Pre,Pre,C/(e)\,ADP,
44,son,son,son4,7,son,100006,Det,Det,C/V\,DET,
45,ombre,ombre,,3,ombre,100006,N,N,'/V\.C/(e)\,NOUN,
46,.,.,,9,.,100006,Pnc,Pnc,,PUNCT,
47,La,le,le,8,la,100007,Det,Det,C/V\,DET,
48,tierce,tiers,tiers,3,tierce,100007,Adj,Adj,'C/V\.C/(e)\,ADJ,
49,partie,partie,,8,partie,100007,N,N,C/V\.'C/V\./(e)\,NOUN,
50,parle,parler,parler,8,parle,100007,Vfin,Vfin,'C/V\.C/(e)\,VERB,
51,de,de,de,8,de,100007,Pre,Pre,C/(e)\,ADP,
52,confort,confort,,9,confort,100007,N,N,C/V\.'C/V\,NOUN,
53,de,de,de,8,de,100007,Pre,Pre,C/(e)\,ADP,
54,Philozophie,philosophie,,5,philozophie,100007,N,N,C/V\.C/V\.C/V\.'C/V\./(e)\,PROPN,
55,.,.,,9,.,100007,Pnc,Pnc,,PUNCT,
56,PREMIEREMENT,premièrement,,6,premierement,101001,Adv,Adv,C/V\.C/V\.C/e\.'C/V\,ADV,
57,DIT,dire,dire,8,dit,101001,Vfin,Vfin,C/V\,VERB,
58,CRISTINE,Christine,,5,cristine,101001,N,N,C/V\.'C/V\.C/(e)\,PROPN,
59,COMMENT,comment,comment,8,comment,101001,Qux,Qux,C/V\.'C/V\,ADV,
60,SON,son,son4,7,son,101001,Det,Det,C/V\,DET,
61,ESPERIT,esprit,,5,esperit,101001,N,N,/V\.C/e\.'C/V\,NOUN,
62,FU,être,être,8,fu,101001,Vfin,Vfin,C/V\,VERB,
63,TRANSPORTÉ,transporter,,6,transporté,101001,Vpp,Vpp,C/V\.C/V\.'C/V\,VERB,
64,Ja,jà,jà,9,ja,101002,Adv,Adv,C/V\,ADV,
65,passé,passer,passer,8,passé,101002,Vpp,Vpp,C/V\.'C/V\,VERB,
66,avoye,avoir,avoir,3,avoye,101002,Vfin,Vfin,/V\.'C/V\./(e)\,VERB,
67,la,le,le,8,la,101002,Det,Det,C/V\,DET,
68,moitié,moitié,,9,moitié,101002,N,N,C/V\.'C/V\,NOUN,
69,du,de.le,de.le,8,du,101002,Pre+Det,Pre+Det,C/V\,ADP.DET,
70,chemin,chemin,,8,chemin,101002,N,N,C/V\.'C/V\,NOUN,
71,de,de,de,8,de,101002,Pre,Pre,C/(e)\,ADP,
72,mon,mon,mon,7,mon,101002,Det,Det,C/V\,DET,
73,pelerinage,pèlerinage,,9,pelerinage,101002,N,N,C/V\.C/e\.C/V\.'C/V\.C/(e)\,NOUN,
74,",",",",,9,",",101002,Pnc,Pnc,,PUNCT,
75,comme,comme,comme,9,comme,101002,Sub,Sub,'C/V\.C/(e)\,SCONJ,
76,ung,un,un,9,ung,101003,QIs,QIs,/V\,DET,
77,jour,jour,,9,jour,101003,N,N,C/V\,NOUN,
78,sur,sur,sur,8,sur,101003,PrA,PrA,C/V\,ADP,
79,l',le,le,4,l',101003,Det,Det,C/\,PRON,
80,avesprir,avesprir,,6,avesprir,101003,Vinf,Vinf,/V\.C/V\.'C/V\,VERB,
81,me,me,me,5,me,101003,Prn,Prn$$,C/(e)\,PRON,
82,trouvasse,trouver,trouver,9,trouvasse,101003,Vfin,Vfin,C/V\.'C/V\.C/(e)\,VERB,
83,pour,pour,pour,9,pour,101003,Pre,Pre,C/V\,ADP,
84,la,le,le,8,la,101003,Det,Det,C/V\,DET,
85,longue,long,long,8,longue,101003,Adj,Adj,'C/V\.C/(e)\,ADJ,
86,voie,voie,,8,voie,101003,N,N,'C/V\./(e)\,NOUN,
87,lassee,lasser,lasser,8,lassee,101003,Vpp,Vpp,C/V\.'C/V\./(e)\,VERB,
88,et,et,et,8,et,101003,Crd,Crd,/V\,CCONJ,
89,desireuse,désireux,,9,desireuse,101004,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\,ADJ,
90,de,de,de,8,de,101004,Pre,Pre,C/(e)\,ADP,
91,heberge,héberge,,8,heberge,101004,N,N,C/V\.'C/V\.C/(e)\,NOUN,
92,.,.,,9,.,101004,Pnc,Pnc,,PUNCT,
93,Et,et,et,8,et,101004,Crd,Crd,/V\,CCONJ,
94,comme,comme,comme,9,comme,101004,Sub,Sub,'C/V\.C/(e)\,SCONJ,
95,je,je,je,9,je,101004,Prn,Prn$,C/(e)\,PRON,
96,y,y,y2,3,y,101004,Prn,Prn$$,/V\,PRON,
97,fusse,être,être,9,fusse,101004,Vfin,Vfin,'C/V\.C/(e)\,VERB,
98,parvenue,parvenir,parvenir,9,parvenue,101004,Vpp,Vpp,C/V\.C/e\.'C/V\./(e)\,VERB,
99,par,par,par,8,par,101004,Pre,Pre,C/V\,ADP,
100,appetit,appétit,,9,appetit,101004,N,N,/V\.C/e\.'C/V\,NOUN,
101,de,de,de,8,de,101004,Pre,Pre,C/(e)\,ADP,
102,repos,repos,,8,repos,101005,N,N,C/V\.'C/V\,NOUN,
103,",",",",,9,",",101005,Pnc,Pnc,,PUNCT,
104,aprés,après,après,8,aprés,101005,PrA,PrA,/V\.'C/V\,ADP,
105,la,le,le,8,la,101005,Det,Det,C/V\,DET,
106,refection,réfection,,9,refection,101005,N,N,C/V\.C/V\.C/{V}\.'/V\,NOUN,
107,neccessaire,nécessaire,,8,neccessaire,101005,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\,ADJ,
108,a,à,à,8,a,101005,Pre,Pre,/V\,ADP,
109,vie,vie,,3,vie,101005,N,N,'C/V\./(e)\,NOUN,
110,humaine,humain,,9,humaine,101005,Adj,Adj,/V\.'C/V\.C/(e)\,ADJ,
111,prise,prendre,prendre,3,prise,101005,Vpp,Vpp,'C/V\.C/(e)\,VERB,
112,et,et,et,8,et,101005,Crd,Crd,/V\,CCONJ,
113,receue,recevoir,recevoir,9,receue,101005,Vpp,Vpp,C/V\.C/(V)\.'/V\./(e)\,VERB,
114,",",",",,9,",",101005,Pnc,Pnc,,PUNCT,
115,dites,dire,dire,8,dites,101006,Vpp,Vpp,'C/V\.C/e\,VERB,
116,graces,grâce,,9,graces,101006,N,N,'C/V\.C/e\,NOUN,
117,",",",",,9,",",101006,Pnc,Pnc,,PUNCT,
118,et,et,et,8,et,101006,Crd,Crd,/V\,CCONJ,
119,me,me,me,5,me,101006,Prn,Prn$$,C/(e)\,PRON,
120,recommandant,recommander,recommander,9,recommandant,101006,Vprs,Vprs,C/V\.C/V\.C/V\.'C/V\,VERB,
121,a,à,à,8,a,101006,Pre,Pre,/V\,ADP,
122,l',le,le,9,l',101006,Det,Det,C/\,DET,
123,acteur,auteur,,3,acteur,101006,N,N,/V\.'C/V\,NOUN,
124,de,de,de,8,de,101006,Pre,Pre,C/(e)\,ADP,
125,toutes,tout,tout,5,toutes,101006,QIs,QIs,'C/V\.C/e\,DET,
126,choses,chose,,8,choses,101006,N,N,'C/V\.C/e\,NOUN,
127,entray,entrer,entrer,9,entray,101006,Vfin,Vfin,/V\.'C/V\,VERB,
128,en,en,en,8,en,101007,Pre,Pre,/V\,ADP,
129,lit,lit,,8,lit,101007,N,N,C/V\,NOUN,
130,de,de,de,8,de,101007,Pre,Pre,C/(e)\,ADP,
131,repos,repos,,8,repos,101007,N,N,C/V\.'C/V\,NOUN,
132,",",",",,9,",",101007,Pnc,Pnc,,PUNCT,
133,traveillable,travaillable,,4,traveillable,101007,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\,NOUN,
134,.,.,,9,.,101007,Pnc,Pnc,,PUNCT,
135,Et,et,et,8,et,101007,Crd,Crd,/V\,CCONJ,
136,comme,comme,comme,9,comme,101007,Sub,Sub,'C/V\.C/(e)\,SCONJ,
137,tost,tôt,tôt,8,tost,101007,Adv,Adv,C/V\,ADV,
