wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,maitres,maitres,99,N,N,,'C/V\.C/e\,NOUN,maître,9
2,1,2,",",",",99,Pnc,Pnc,,,PUNCT,",",9
3,1,3,dites,dites,99,Vfin,Vfin,dire,'C/V\.C/e\,VERB,dire,10
4,1,4,apertement,apertement,99,Adv,Adv,,/V\.C/V\.C/e\.'C/V\,ADV,apertement,3
5,1,5,",",",",99,Pnc,Pnc,,,PUNCT,",",9
6,2,1,pour,pour,100,Pre,Pre,pour,C/V\,ADP,pour,10
7,2,2,quoi,quoi,100,Qux,Qux,que,C/V\,PRON,que,10
8,2,3,de,de,100,Pre,Pre,de,C/(e)\,ADP,de,10
9,2,4,si,si,100,Adv,Adv,si4,C/V\,ADV,si,10
10,2,5,chier,chier,100,Adj,Adj,cher,C/V\,ADJ,cher,10
11,2,6,oignement,oignement,100,N,N,,/V\.C/e\.'C/V\,NOUN,oignement,9
12,3,1,avez,avez,101,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
13,3,2,souffert,souffert,101,Vpp,Vpp,souffrir,C/V\.'C/V\,VERB,souffrir,10
14,3,3,tel,tel,101,Adj,Adj,tel,C/V\,ADJ,tel,10
15,3,4,gastement,gastement,101,N,N,,C/V\.C/e\.'C/V\,NOUN,gâtement,8
16,3,5,?,?,101,Pnc,Pnc,,,PUNCT,?,9
17,4,1,s',s',102,Adv,Adv,si4,C/\,ADV,si,10
18,4,2,est,est,102,Vfin,Vfin,être,/V\,VERB,être,10
19,4,3,honte,honte,102,N,N,,'C/V\.C/(e)\,NOUN,honte,9
20,4,4,et,et,102,Crd,Crd,et,/V\,CCONJ,et,10
21,4,5,vilainnement,vilainnement,102,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,vilainement,9
22,4,6,.,.,102,Pnc,Pnc,,,PUNCT,.,9
23,5,1,bien,bien,103,Adv,Adv,bien,C/V\,ADV,bien,10
24,5,2,valoit,valoit,103,Vfin,Vfin,valoir,C/V\.'C/V\,VERB,valoir,10
25,5,3,i,i,103,Prn,Prn%%,y2,/V\,PRON,y,10
26,5,4,trois,trois,103,QIs,QIs,trois,C/V\,NUM,trois,10
27,5,5,cenz,cenz,103,QIs,QIs,cent,C/V\,NUM,cent,10
28,5,6,deniers,deniers,103,N,N,,C/V\.C/<V>\.'/V\,NOUN,denier,9
29,6,1,et,et,104,Crd,Crd,et,/V\,CCONJ,et,10
30,6,2,plus,plus,104,Adv,Adv,plus,C/V\,ADV,plus,10
31,6,3,encor,encor,104,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10
