wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,syllabified,lemma
1,1,1,se,se,PROCON,1,Sub,Sub,C/(e)\,si
2,1,2,diex,diex,NOM:suj:masc:sg,1,N,N,C/V\,dieu
3,1,3,m',m',PRO:pers:obj:1:sg:unb,1,Prn,Prn$$,C/\,me
4,1,4,aït,aït,VER:subp:3:sg,1,Vfin,Vfin,/V\.'C/V\,aider
5,1,5,hui,hui,ADV,1,Adv,Adv,/V\,hui
6,1,6,et,et,CON:coord,1,Crd,Crd,/V\,et
7,1,7,demain,demain,ADV,1,Adv,Adv,C/V\.'C/V\,demain
8,2,1,tanz,tanz,DET:ind:obj:masc:pl,2,QIs,QIs,C/V\,tant
9,2,2,myracles,myracles,NOM:obj:masc:pl,2,N,N,C/V\.'C/V\.C/e\,miracle
10,2,3,me,me,PRO:pers:obj:1:sg:unb,2,Prn,Prn$$,C/(e)\,me
11,2,4,vient,vient,VER:pres:3:sg,2,Vfin,Vfin,C/V\,venir
12,2,5,a,a,PRE,2,Pre,Pre,/V\,à
13,2,6,main,main,NOM:obj:femi:sg,2,N,N,C/V\,main
14,3,1,en,en,PRE,3,Pre,Pre,/V\,en
15,3,2,un,un,DET:ndf:obj:masc:sg,3,QIs,QIs,/V\,un
16,3,3,grant,grant,ADJ:obj:masc:sg,3,Adj,Adj,C/V\,grand
17,3,4,livre,livre,NOM:obj:masc:sg,3,N,N,'C/V\.C/(e)\,livre
18,3,5,ou,ou,PROCON,3,Qux,Qux,/V\,où
19,3,6,je,je,PRO:pers:suj:1:sg:unb,3,Prn,Prn$,C/(e)\,je
20,3,7,les,lés,PRO:pers:acc:3:masc:pl,3,Prn,Prn$$,C/V\,le
21,3,8,puis,puis,VER:pres:1:sg,3,Vfin,Vfin,C/V\,puiser
22,4,1,que,que,PROCON,4,Sub,Sub,C/(e)\,que
23,4,2,je,je,PRO:pers:suj:1:sg:unb,4,Prn,Prn$,C/(e)\,je
24,4,3,ne,ne,PRO:clit,4,Neg,Neg$$,C/(e)\,ne
25,4,4,sai,sai,VER:pres:1:sg,4,Vfin,Vfin,C/V\,savoir
26,4,5,ne,ne,PRO:clit,4,Crd,Crd,C/(e)\,ne
27,4,6,je,je,PRO:pers:suj:1:sg:unb,4,Prn,Prn$,C/(e)\,je
