wd_id,line_id,linewd,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,la,la,DET:def,2762,Det,Det,le,C/V\,DET,le,10
2,1,2,bataille,bataille,NOM,2762,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
3,1,3,est,est,VER,2762,Vfin,Vfin,être,/V\,VERB,être,10
4,1,4,jostee,jostee,VER,2762,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,jouter,9
5,1,5,des,des,PREDET:de,2762,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
6,1,6,grigeis,grigeis,NOM,2762,Adj,Adj,,C/V\.'C/V\,ADJ,UNKNOWN,-10
7,1,7,et,et,CON:coord,2762,Crd,Crd,et,/V\,CCONJ,et,10
8,1,8,des,des,PREDET:de,2762,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
9,1,9,lor,lor,PRO:poss,2762,Adj,Adj,leur2,C/V\,ADJ,leur,10
10,1,10,.,.,PON,2762,Pnc,Pnc,,,PUNCT,.,9
11,2,1,ainsi,ainsi,ADV,2763,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
12,2,2,com,com,CON:subord,2763,Sub,Sub,comme,C/V\,SCONJ,comme,10
13,2,3,dayres,dayres,NOM,2763,N,N,,'C/V\.C/e\,NOUN,Darius,2
14,2,4,ot,ot,VER,2763,Vfin,Vfin,avoir,/V\,VERB,avoir,10
15,2,5,devisé,devisé,VER,2763,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,deviser,3
16,2,6,celui,celui,DET:demo,2763,Dem,Dem,cil,C/V\.'C/V\,DET,cil,10
17,2,7,jor,jor,NOM,2763,N,N,,C/V\,NOUN,jour,8
18,3,1,sont,sont,VER,2764,Vfin,Vfin,être,C/V\,VERB,être,10
19,3,2,li,li,DET:def,2764,Det,Det,le,C/V\,DET,le,10
20,3,3,curre,curre,NOM,2764,N,N,,'C/V\.C/(e)\,NOUN,curre,8
21,3,4,meu,meu,VER,2764,Vpp,Vpp,mouvoir,C/(V)\.'/V\,VERB,mouvoir,10
22,3,5,et,et,CON:coord,2764,Crd,Crd,et,/V\,CCONJ,et,10
23,3,6,courent,courent,VER,2764,Vfin,Vfin,courir,'C/V\.C/e\,VERB,courir,10
24,3,7,par,par,PRE,2764,Pre,Pre,par,C/V\,ADP,par,10
25,3,8,l',l',DET:def,2764,Det,Det,le,C/\,DET,le,10
26,3,9,estor,estor,NOM,2764,N,N,,/V\.'C/V\,NOUN,estour,3
27,3,10,;,;,PON,2764,Pnc,Pnc,,,PUNCT,;,9
28,4,1,li,li,DET:def,2765,Det,Det,le,C/V\,DET,le,10
29,4,2,olifant,olifant,NOM,2765,N,N,,/V\.C/V\.'C/V\,NOUN,olifant,3
