wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,Ens,ens,1_1,PrA,PrA,ens,/V\,ADV,ens,10
2,1,2,en,en,1_1,Pre,Pre,en,/V\,ADP,en,10
3,1,3,l',l',1_1,Det,Det,le,C/\,DET,le,10
4,1,4,onneur,onneur,1_1,N,N,,/V\.'C/V\,NOUN,honneur,8
5,1,5,de,de,1_1,Pre,Pre,de,C/(e)\,ADP,de,10
6,1,6,Dieu,dieu,1_1,N,N,,C/V\,PROPN,Dieu,3
7,1,7,le,le,1_1,Det,Det,le,C/(e)\,DET,le,10
8,1,8,pére,pere,1_1,N,N,,'C/V\.C/(e)\,NOUN,père,8
9,1,9,tout,tout,1_1,QIs,QIs,tout,C/V\,ADV,tout,10
10,1,10,puissant,puissant,1_1,Adj,Adj,,C/V\.'C/V\,ADJ,puissant,8
11,1,11,",",",",1_1,Pnc,Pnc,,,PUNCT,",",9
12,2,1,Qui,qui,1_2,Qux,Qux,qui,C/V\,PRON,qui,10
13,2,2,nous,nous,1_2,Prn,Prn$$,nous,C/V\,PRON,nous,10
14,2,3,fourma,fourma,1_2,Vfin,Vfin,,C/V\.'C/V\,VERB,former,9
15,2,4,et,et,1_2,Crd,Crd,et,/V\,CCONJ,et,10
16,2,5,fist,fist,1_2,Vfin,Vfin,faire,C/V\,VERB,faire,10
17,2,6,trestous,trestous,1_2,QIs,QIs,trèstout,C/V\.'C/V\,PRON,trèstout,10
18,2,7,a,a,1_2,Pre,Pre,à,/V\,ADP,à,10
19,2,8,son,son,1_2,Det,Det,son4,C/V\,DET,son,10
20,2,9,semblant,semblant,1_2,N,N,,C/V\.'C/V\,NOUN,semblant,8
21,2,10,",",",",1_2,Pnc,Pnc,,,PUNCT,",",9
22,3,1,Vous,vous,1_3,Prn,Prn$$,vous,C/V\,PRON,vous,10
23,3,2,veul,veul,1_3,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
24,3,3,je,je,1_3,Prn,Prn%,je,C/(e)\,PRON,je,10
25,3,4,recorder,recorder,1_3,Vinf,Vinf,recorder,C/V\.C/V\.'C/V\,VERB,recorder,10
26,3,5,une,une,1_3,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
27,3,6,mervelle,mervelle,1_3,N,N,,C/V\.'C/V\.C/(e)\,NOUN,merveille,8
28,3,7,grant,grant,1_3,Adj,Adj,grand,C/V\,ADJ,grand,10
29,4,1,D',d',1_4,Pre,Pre,de,C/\,ADP,de,10
30,4,2,un,un,1_4,QIs,QIs,un,/V\,DET,un,10
31,4,3,mout,mout,1_4,QIs,QIs,moult,C/V\,ADV,moult,10
32,4,4,vallant,vallant,1_4,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
33,4,5,preudhomme,preudhomme,1_4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,prudhomme,9
34,4,6,et,et,1_4,Crd,Crd,et,/V\,CCONJ,et,10
35,4,7,d',d',1_4,Pre,Pre,de,C/\,ADP,de,10
36,4,8,un,un,1_4,QIs,QIs,un,/V\,DET,un,10
37,4,9,sien,sien,1_4,Adj,Adj,son4,C/V\,ADJ,son,10
38,4,10,chier,chier,1_4,Adj,Adj,cher,C/V\,ADJ,cher,10
39,4,11,enfant,enfant,1_4,N,N,,/V\.'C/V\,NOUN,enfant,3
40,4,12,.,.,1_4,Pnc,Pnc,,,PUNCT,.,9
41,5,1,Ce,ce,2_1,Dem,Dem,cist,C/(e)\,DET,cist,10
42,5,2,preudoms,preudoms,2_1,N,N,,C/V\.'C/V\,NOUN,prudhomme,9
43,5,3,que,que,2_1,Qux,Qux,que,C/(e)\,PRON,que,10
44,5,4,je,je,2_1,Prn,Prn$,je,C/(e)\,PRON,je,10
45,5,5,dis,dis,2_1,Vfin,Vfin,dire,C/V\,VERB,dire,10
46,5,6,out,out,2_1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
47,5,7,nom,nom,2_1,N,N,,C/V\,NOUN,nom,8
48,5,8,Euphemiens,euphemiens,2_1,N,N,,/V\.C/V\.C/{V}\.'/V\,PROPN,Euphémien,-10
49,5,9,;,;,2_1,Pnc,Pnc,,,PUNCT,;,9
50,6,1,Tout,tout,2_2,QIs,QIs,tout,C/V\,ADV,tout,10
51,6,2,adez,adez,2_2,Adv,Adv,adès,/V\.'C/V\,ADV,adès,10
52,6,3,demenoit,demenoit,2_2,Vfin,Vfin,démener,C/V\.C/e\.'C/V\,VERB,démener,10
53,6,4,grant,grant,2_2,Adj,Adj,grand,C/V\,ADJ,grand,10
54,6,5,guerre,guerre,2_2,N,N,,'C/V\.C/(e)\,NOUN,guerre,8
55,6,6,sus,sus,2_2,PrA,PrA,sus,C/V\,ADP,sus,10
56,6,7,paiens,paiens,2_2,N,N,,C/V\.'C/V\,NOUN,païen,8
57,6,8,",",",",2_2,Pnc,Pnc,,,PUNCT,",",9
58,7,1,Car,car,2_3,Crd,Crd,car,C/V\,CCONJ,car,10
59,7,2,sainte,sainte,2_3,Adj,Adj,saint,'C/V\.C/(e)\,ADJ,saint,10
60,7,3,Yglise,yglise,2_3,N,N,,/V\.'C/V\.C/(e)\,NOUN,église,9
61,7,4,amoit,amoit,2_3,Vfin,Vfin,aimer,/V\.'C/V\,VERB,aimer,10
62,7,5,de,de,2_3,Pre,Pre,de,C/(e)\,ADP,de,10
63,7,6,cuer,cuer,2_3,N,N,,C/V\,NOUN,coeur,3
64,7,7,sus,sus,2_3,PrA,PrA,sus,C/V\,ADP,sus,10
