wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,plaist,plaist,VER:pres:3:sg,1,Vfin,Vfin,plaire,C/V\,VERB,plaire,10
2,1,2,vos,vos,PRO:pers:2:pl,1,Prn,Prn%%,vous,C/V\,PRON,vous,10
3,1,3,a,a,PRE,1,Pre,Pre,à,/V\,ADP,à,10
4,1,4,escolteir,escolteir,VER:infi,1,Vinf,Vinf,écouter,/V\.C/V\.'C/V\,VERB,écouter,10
5,1,5,d',d',PRE,1,Pre,Pre,de,C/\,ADP,de,10
6,1,6,on,on,DET:ndf:obj:masc:sg,1,QIs,QIs,un,/V\,PRON,un,10
7,1,7,saint,saint,ADJ:obj:masc:sg,1,Adj,Adj,saint,C/V\,ADJ,saint,10
8,1,8,homme,homme,NOM:obj:masc:sg,1,N,N,,'/V\.C/(e)\,NOUN,homme,8
9,1,9,la,la,DET:def:obj:femi:sg,1,Det,Det,le,C/V\,DET,le,10
10,1,10,geste,geste,NOM:obj:femi:sg,1,N,N,,'C/V\.C/(e)\,NOUN,geste,8
11,2,1,la,la,DET:def:suj:femi:sg,2,Det,Det,le,C/V\,DET,le,10
12,2,2,cui,cui,PROCON,2,Qux,Qux,cui,C/V\,PRON,qui,11
13,2,3,vie,vie,NOM:suj:femi:sg,2,N,N,,'C/V\./(e)\,NOUN,vie,3
14,2,4,fut,fut,VER:simp:3:sg,2,Vfin,Vfin,être,C/V\,VERB,être,10
15,2,5,tant,tant,ADV,2,QIs,QIs,tant,C/V\,ADV,tant,10
16,2,6,et,et,CON:coord,2,Crd,Crd,et,/V\,CCONJ,et,10
17,2,7,saintisme,saintisme,ADJ:suj:femi:sg,2,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,saintisme,9
18,2,8,et,et,CON:coord,2,Crd,Crd,et,/V\,CCONJ,et,10
19,2,9,oneste,oneste,ADJ:suj:femi:sg,2,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,honnête,6
20,3,1,k,k,PROCON,3,Sub,Sub,que,C/\,SCONJ,que,10
21,3,2,aprés,aprés,PRE,3,PrA,PrA,après,/V\.'C/V\,ADP,après,10
22,3,3,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\,DET,le,10
23,3,4,morteil,morteil,ADJ:obj:femi:sg,3,Adj,Adj,,C/V\.'C/V\,ADJ,mortel,8
24,3,5,vie,vie,NOM:obj:femi:sg,3,N,N,,'C/V\./(e)\,NOUN,vie,3
25,3,6,en,en,PRO:clit,3,Prn,Prn$$,en2,/V\,PRON,en,10
26,3,7,conquist,conquist,VER:simp:3:sg,3,Vfin,Vfin,conquérir,C/V\.'C/V\,VERB,conquérir,10
27,3,8,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\,DET,le,10
28,3,9,celeste,celeste,ADJ:obj:femi:sg,3,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,céleste,3
29,4,1,cil,cil,DET:demo:suj:masc:sg,4,Dem,Dem,cil,C/V\,DET,cil,10
30,4,2,bor,bor,NOM:suj:masc:sg,4,N,N,,C/V\,NOUN,bord,5
31,4,3,soffrit,soffrit,VER:simp:3:sg,4,Vfin,Vfin,souffrir,C/V\.'C/V\,VERB,souffrir,10
32,4,4,por,por,PRE,4,Pre,Pre,pour,C/V\,ADP,pour,10
33,4,5,deu,deu,NOM:obj:masc:sg,4,N,N,,C/V\,PROPN,Dieu,3
34,4,6,del,del,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
35,4,7,secle,secle,NOM:obj:masc:sg,4,N,N,,'C/V\.C/(e)\,NOUN,siècle,8
36,4,8,la,la,DET:def:obj:femi:sg,4,Det,Det,le,C/V\,DET,le,10
37,4,9,moleste,moleste,NOM:obj:femi:sg,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,moleste,3
38,5,1,povreteit,povreteit,NOM:obj:femi:sg,5,N,N,,C/V\.C/e\.'C/V\,NOUN,pauvreté,9
39,5,2,et,et,CON:coord,5,Crd,Crd,et,/V\,CCONJ,et,10
40,5,3,mesaise,mesaise,NOM:obj:femi:sg,5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mésaise,8
41,5,4,fain,fain,NOM:obj:femi:sg,5,N,N,,C/V\,NOUN,faim,3
42,5,5,et,et,CON:coord,5,Crd,Crd,et,/V\,CCONJ,et,10
43,5,6,soif,soif,NOM:obj:femi:sg,5,N,N,,C/V\,NOUN,soif,8
44,5,7,et,et,CON:coord,5,Crd,Crd,et,/V\,CCONJ,et,10
45,5,8,tempeste,tempeste,NOM:obj:femi:sg,5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,tempête,8
46,6,1,de,de,PRE,6,Pre,Pre,de,C/(e)\,ADP,de,10
47,6,2,cui,cui,PROCON,6,Qux,Qux,cui,C/V\,PRON,qui,11
48,6,3,or,or,ADV,6,Adv,Adv,or2,/V\,ADV,or,10
49,6,4,funt,funt,VER:pres:3:pl,6,Vfin,Vfin,faire,C/V\,VERB,faire,10
50,6,5,en,en,PREDET:en:obj:masc:sg,6,Pre,Pre,en,/V\,ADP,en,10
51,6,6,ciel,ciel,NOM:obj:masc:sg,6,N,N,,C/V\,NOUN,ciel,8
52,6,7,li,li,DET:def:suj:masc:pl,6,Det,Det,le,C/V\,DET,le,10
53,6,8,saint,saint,ADJ:suj:masc:pl,6,Adj,Adj,saint,C/V\,ADJ,saint,10
54,6,9,angele,angele,NOM:suj:masc:pl,6,N,N,,'/V\.C/(e)\,NOUN,ange,9
55,6,10,la,la,DET:def:obj:femi:sg,6,Det,Det,le,C/V\,DET,le,10
56,6,11,feste,feste,NOM:obj:femi:sg,6,N,N,,'C/V\.C/(e)\,NOUN,fête,3
57,7,1,cui,cui,PROCON,7,Qux,Qux,cui,C/V\,PRON,qui,11
58,7,2,deus,deus,NOM:suj:masc:sg,7,N,N,,C/V\,PROPN,Dieu,3
59,7,3,at,at,VER:pres:3:sg,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10
60,7,4,doneit,doneit,VER:pper:masc:sg,7,Vpp,Vpp,donner,C/V\.'C/V\,VERB,donner,10
61,7,5,sens,sens,NOM:obj:masc:sg,7,N,N,,C/V\,NOUN,sens,8
62,7,6,qu,qu,PROCON,7,Sub,Sub,que,C/\,SCONJ,que,10
