wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,Maint,maint,1,QIs,QIs,maint,C/V\,PRON,maint,10
2,1,2,ont,ont,1,Vfin,Vfin,avoir,/V\,VERB,avoir,10
3,1,3,mis,mis,1,Vpp,Vpp,mettre,C/V\,VERB,mettre,10
4,1,4,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
5,1,5,temps,temps,1,N,N,,C/V\,NOUN,temps,8
6,1,6,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10
7,1,7,leur,leur,1,Det,Det,leur2,C/V\,DET,leur,10
8,1,8,cures,cures,1,N,N,,'C/V\.C/e\,NOUN,cure,3
9,2,1,En,en,2,Pre,Pre,en,/V\,ADP,en,10
10,2,2,fables,fables,2,N,N,,'C/V\.C/e\,NOUN,fable,9
11,2,3,dire,dire,2,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10
12,2,4,et,et,2,Crd,Crd,et,/V\,CCONJ,et,10
13,2,5,aventures,aventures,2,N,N,,/V\.C/V\.'C/V\.C/e\,NOUN,aventure,8
14,2,6,;,;,2,Pnc,Pnc,,,PUNCT,;,9
15,3,1,Li,li,3,Det,Det,le,C/V\,DET,le,10
16,3,2,uns,uns,3,QIs,QIs,un,/V\,PRON,un,10
17,3,3,dit,dit,3,Vfin,Vfin,dire,C/V\,VERB,dire,10
18,3,4,bourdes,bourdes,3,N,N,,'C/V\.C/e\,NOUN,bourde,8
19,3,5,",",",",3,Pnc,Pnc,,,PUNCT,",",9
20,3,6,l',l',3,Det,Det,le,C/\,DET,le,10
21,3,7,autre,autre,3,Adj,Adj,autre,'/V\.C/(e)\,ADJ,autre,10
22,3,8,voir,voir,3,N,N,voir2,C/V\,PROPN|NOUN,voir,10
23,3,9,",",",",3,Pnc,Pnc,,,PUNCT,",",9
24,4,1,Si,si,4,Adv,Adv,si4,C/V\,ADV,si,10
25,4,2,com,com,4,Sub,Sub,comme,C/V\,SCONJ,comme,10
26,4,3,il,il,4,Prn,Prn$,il,/V\,PRON,il,10
27,4,4,sevent,sevent,4,Vfin,Vfin,savoir,'C/V\.C/e\,VERB,savoir,10
28,4,5,concevoir,concevoir,4,Vinf,Vinf,concevoir,C/V\.C/e\.'C/V\,VERB,concevoir,10
29,4,6,;,;,4,Pnc,Pnc,,,PUNCT,;,9
30,5,1,Li,li,5,Det,Det,le,C/V\,DET,le,10
31,5,2,uns,uns,5,QIs,QIs,un,/V\,PRON,un,10
32,5,3,de,de,5,Pre,Pre,de,C/(e)\,ADP,de,10
33,5,4,Gauvain,gauvain,5,N,N,,C/V\.'C/V\,PROPN,Gauvain,9
