wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,oez,oez,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
2,1,2,segnor,segnor,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\,NOUN,seigneur,9
3,1,3,dex,dex,NOM:suj:masc:sg,1,N,N,,C/V\,PROPN,Dieu,8
4,1,4,vos,vos,PRO:pers:2:pl,1,Prn,Prn$$,vous,C/V\,PRON,vous,10
5,1,5,croisse,croisse,VER:subp:3:sg,1,Vfin,Vfin,croître,'C/V\.C/(e)\,VERB,croître,10
6,1,6,bonte,bonté,NOM:obj:femi:sg,1,N,N,,C/V\.'C/V\,NOUN,bonté,6
7,2,1,li,li,DET:def:suj:masc:sg,2,Det,Det,le,C/V\,DET,le,10
8,2,2,glorieus,glorieus,ADJ:suj:masc:sg,2,Adj,Adj,,C/V\.C/{V}\.'/V\,ADJ,glorieux,9
9,2,3,li,li,DET:def:suj:masc:sg,2,Det,Det,le,C/V\,DET,le,10
10,2,4,rois,rois,NOM:suj:masc:sg,2,N,N,,C/V\,NOUN,roi,3
11,2,5,de,de,PRE,2,Pre,Pre,de,C/(e)\,ADP,de,10
12,2,6,maieste,maiesté,NOM:obj:femi:sg,2,N,N,,C/V\.C/V\.'C/V\,NOUN,majesté,6
13,3,1,bone,bone,ADJ:obj:femi:sg,3,Adj,Adj,bon,'C/V\.C/(e)\,ADJ,bon,10
14,3,2,chançon,chançon,NOM:obj:femi:sg,3,N,N,,C/V\.'C/V\,NOUN,chanson,8
15,3,3,plest,plest,VER:pres:3:sg,3,Vfin,Vfin,plaire,C/V\,VERB,plaire,10
16,3,4,vos,vos,PRO:pers:2:pl,3,Prn,Prn%%,vous,C/V\,PRON,vous,10
17,3,5,a,a,PRE,3,Pre,Pre,à,/V\,ADP,à,10
18,3,6,escouter,escouter,VER:infi,3,Vinf,Vinf,écouter,/V\.C/V\.'C/V\,VERB,écouter,10
19,4,1,del,del,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
20,4,2,meillor,meillor,ADJ:obj:masc:sg,4,Adj,Adj,meilleur,C/V\.'C/V\,ADJ,meilleur,10
21,4,3,home,home,NOM:obj:masc:sg,4,N,N,,'/V\.C/(e)\,NOUN,homme,8
22,4,4,qui,qui,PROCON,4,Qux,Qux,qui,C/V\,PRON,qui,10
23,4,5,ainz,ainz,ADV,4,Adv,Adv,onques,/V\,ADV,onques,10
24,4,6,creust,creust,VER:subi:3:sg,4,Vfin,Vfin,croire,C/(V)\.'/V\,VERB,croire,10
25,4,7,en,en,PRO:clit,4,Pre,Pre,en,/V\,ADP,en,10
26,4,8,dé,dé,NOM:obj:masc:sg,4,N,N,,C/V\,NOUN,dé,3
27,5,1,c,c',PRO:invar,5,Prn,Prn,ce,C/\,PRON,ce,10
28,5,2,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\,VERB,être,10
29,5,3,de,de,PRE,5,Pre,Pre,de,C/(e)\,ADP,de,10
30,5,4,guillelme,guillelme,NPR:obj:masc:sg,5,N,N,,C/V\.'C/V\.C/(e)\,NOUN,Guillaume,2
31,5,5,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\,DET,le,10
32,5,6,marchis,marchis,NOM:obj:masc:sg,5,N,N,,C/V\.'C/V\,NOUN,marquis,3
33,5,7,au,au,PREDET:a:obj:masc:sg,5,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
34,5,8,cort,cort,ADJ:obj:masc:sg,5,Adj,Adj,,C/V\,ADJ,court,8
35,5,9,nes,nés,NOM:obj:masc:sg,5,N,N,,C/V\,PROPN|NOUN,nef|nez,-1
36,6,1,conme,conme,CON:subord,6,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
37,6,2,il,il,PRO:pers:suj:3:masc:sg:unb,6,Prn,Prn$,il,/V\,PRON,il,10
38,6,3,prist,prist,VER:simp:3:sg,6,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
39,6,4,nymes,nymes,NPR:obj:masc:sg,6,N,N,,'C/V\.C/e\,NOUN,nemme,-10
40,6,5,par,par,PRE,6,Pre,Pre,par,C/V\,ADP,par,10
41,6,6,le,le,DET:def:obj:masc:sg,6,Det,Det,le,C/(e)\,DET,le,10
42,6,7,charroi,charroi,NOM:obj:masc:sg,6,N,N,,C/V\.'C/V\,NOUN,charroi,9
43,6,8,monté,monté,VER:pper:masc:sg,6,Vpp,Vpp,monter,C/V\.'C/V\,VERB,monter,10
44,7,1,apres,aprés,PRE,7,PrA,PrA,après,/V\.'C/V\,ADV,après,10
45,7,2,conquist,conquist,VER:simp:3:sg,7,Vfin,Vfin,conquérir,C/V\.'C/V\,VERB,conquérir,10
46,7,3,orenge,orenge,NPR:obj:masc:sg,7,N,N,,/V\.'C/V\.C/(e)\,NOUN,orange,9
47,7,4,la,la,DET:def:obj:femi:sg,7,Det,Det,le,C/V\,DET,le,10
48,7,5,cite,cité,NOM:obj:femi:sg,7,N,N,,C/V\.'C/V\,NOUN,cité,8
49,8,1,et,et,CON:coord,8,Crd,Crd,et,/V\,CCONJ,et,10
50,8,2,fist,fist,VER:simp:3:sg,8,Vfin,Vfin,faire,C/V\,VERB,faire,10
51,8,3,guibor,guibor,NPR:obj:femi:sg,8,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
52,8,4,baptizier,baptizier,VER:infi,8,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,baptiser,9
53,8,5,et,et,CON:coord,8,Crd,Crd,et,/V\,CCONJ,et,10
54,8,6,lever,lever,VER:infi,8,Vinf,Vinf,lever,C/V\.'C/V\,VERB,lever,10
55,9,1,que,que,PROCON,9,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10
56,9,2,il,il,PRO:pers:suj:3:masc:sg:unb,9,Prn,Prn$,il,/V\,PRON,il,10
57,9,3,toli,toli,VER:simp:3:sg,9,Vfin,Vfin,tolir,C/V\.'C/V\,VERB,tolir,10
58,9,4,le,le,DET:def:obj:masc:sg,9,Det,Det,le,C/(e)\,DET,le,10
59,9,5,roi,roi,NOM:obj:masc:sg,9,N,N,,C/V\,NOUN,roi,8
60,9,6,tiebaut,tiebaut,NPR:obj:masc:sg,9,N,N,,C/V\.'C/V\,PROPN,Thiebaus,-10
61,9,7,l,l',DET:def:obj:masc:sg,9,Det,Det,le,C/\,DET,le,10
62,9,8,escler,escler,NOM:obj:masc:sg,9,N,N,,/V\.'C/V\,NOUN,éclair,6
63,10,1,puis,puis,ADV,10,PrA,PrA,puis,C/V\,ADV,puis,10
64,10,2,l,l',PRO:pers:obj:3:masc:sg:unb,10,Prn,Prn$$,le,C/\,PRON,le,10
65,10,3,espousa,espousa,VER:simp:3:sg,10,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,épouser,9
66,10,4,a,a,PRE,10,Pre,Pre,à,/V\,ADP,à,10
67,10,5,moillier,moillier,NOM:obj:femi:sg,10,N,N,,C/V\.'C/V\,NOUN,moillier,9
68,10,6,et,et,CON:coord,10,Crd,Crd,et,/V\,CCONJ,et,10
69,10,7,a,a,PRE,10,Pre,Pre,à,/V\,ADP,à,10
70,10,8,per,per,NOM:obj:masc:sg,10,N,N,,C/V\,NOUN,pair,3
71,11,1,et,et,CON:coord,11,Crd,Crd,et,/V\,CCONJ,et,10
72,11,2,desoz,desoz,ADV,11,PrA,PrA,dessous,C/V\.'C/V\,ADP,dessous,10
73,11,3,rome,rome,NPR:obj:masc:sg,11,N,N,,'C/V\.C/(e)\,NOUN,Rome,5
74,11,4,ocist,ocist,VER:simp:3:sg,11,Vfin,Vfin,occire,/V\.'C/V\,VERB,occire,10
75,11,5,corsolt,corsolt,NPR:obj:masc:sg,11,N,N,,C/V\.'C/V\,NOUN,corsou,-10
76,11,6,es,es,PREDET:en:obj:masc:pl,11,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
77,11,7,prez,prez,NOM:obj:masc:pl,11,N,N,,C/V\,NOUN,pré,3
78,12,1,molt,molt,ADV,12,QIs,QIs,moult,C/V\,ADV,moult,10
79,12,2,essauca,essauca,VER:simp:3:sg,12,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,exhausser,0
80,12,3,sainte,sainte,ADJ:obj:femi:sg,12,Adj,Adj,saint,'C/V\.C/(e)\,ADJ,saint,10
81,12,4,crestientez,crestientez,NOM:obj:femi:sg,12,N,N,,C/V\.C/{V}\./V\.'C/V\,NOUN,chrétienté,9
82,13,1,tant,tant,ADV,13,QIs,QIs,tant,C/V\,ADV,tant,10
83,13,2,fist,fist,VER:simp:3:sg,13,Vfin,Vfin,faire,C/V\,VERB,faire,10
84,13,3,en,en,PRO:clit,13,Pre,Pre,en,/V\,ADP,en,10
85,13,4,terre,terre,NOM:obj:femi:sg,13,N,N,,'C/V\.C/(e)\,NOUN,terre,8
86,13,5,qu,qu,PROCON,13,Sub,Sub,que,C/\,SCONJ,que,10
87,13,6,es,es,PREDET:en:obj:masc:pl,13,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
88,13,7,ciels,ciels,NOM:obj:masc:pl,13,N,N,,C/V\,NOUN,ciel,9
89,13,8,est,est,VER:pres:3:sg,13,Vfin,Vfin,être,/V\,VERB,être,10
90,13,9,coronez,coronez,VER:pper:masc:pl,13,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,couronne,2
91,14,1,ce,ce,PRO:invar,14,Prn,Prn,ce,C/(e)\,PRON,ce,10
92,14,2,fu,fu,VER:simp:3:sg,14,Vfin,Vfin,être,C/V\,VERB,être,10
93,14,3,en,en,PRO:clit,14,Pre,Pre,en,/V\,ADP,en,10
94,14,4,mai,mai,NOM:obj:masc:sg,14,N,N,,C/V\,NOUN,mai,8
95,14,5,el,el,PREDET:en:obj:masc:sg,14,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10
96,14,6,novel,novel,ADJ:obj:masc:sg,14,Adj,Adj,nouveau,C/V\.'C/V\,ADJ,nouveau,10
97,14,7,tens,tens,NOM:obj:masc:sg,14,N,N,,C/V\,NOUN,temps,8
98,14,8,d,d',PRE,14,Pre,Pre,de,C/\,ADP,de,10
99,14,9,este,esté,NOM:obj:masc:sg,14,N,N,,/V\.'C/V\,NOUN,este,-10
100,15,1,fueillissent,fueillissent,VER:pres:3:pl,15,Vfin,Vfin,,C/V\.'C/V\.C/e\,VERB,feuillir,0
101,15,2,gaut,gaut,NOM:suj:masc:pl,15,N,N,,C/V\,NOUN,gaut,9
102,15,3,reverdissent,reverdissent,VER:pres:3:pl,15,Vfin,Vfin,revenir,C/V\.C/V\.'C/V\.C/e\,VERB,revenir,10
103,15,4,li,li,DET:def:suj:masc:pl,15,Det,Det,le,C/V\,DET,le,10
104,15,5,pre,pré,NOM:suj:masc:pl,15,N,N,,C/V\,NOUN,pré,3
105,16,1,cil,cil,DET:demo:suj:masc:pl,16,Dem,Dem,cil,C/V\,DET,cil,10
106,16,2,oisel,oisel,NOM:suj:masc:pl,16,N,N,,/V\.'C/V\,NOUN,oiseau,9
107,16,3,chantent,chantent,VER:pres:3:pl,16,Vfin,Vfin,chanter,'C/V\.C/e\,VERB,chanter,10
108,16,4,belement,belement,ADV,16,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,bellement,8
109,16,5,et,et,CON:coord,16,Crd,Crd,et,/V\,CCONJ,et,10
110,16,6,soe,soé,ADJ:obj:masc:sg,16,Adj,Adj,,C/V\.'C/V\,ADJ,son,3
111,17,1,li,li,DET:def:suj:masc:sg,17,Det,Det,le,C/V\,DET,le,10
112,17,2,quens,quens,NOM:suj:masc:sg,17,N,N,,C/V\,NOUN,comte,8
113,17,3,guillelmes,guillelmes,NPR:suj:masc:sg,17,N,N,,C/V\.'C/V\.C/e\,NOUN,Guillaume,2
114,17,4,reperoit,reperoit,VER:impf:3:sg,17,Vfin,Vfin,répairer,C/V\.C/e\.'C/V\,VERB,répairer,10
115,17,5,de,de,PRE,17,Pre,Pre,de,C/(e)\,ADP,de,10
116,17,6,berser,berser,VER:infi,17,Vinf,Vinf,,C/V\.'C/V\,VERB,berser,9
117,18,1,d,d',PRE,18,Pre,Pre,de,C/\,ADP,de,10
118,18,2,une,une,DET:ndf:obj:femi:sg,18,QIs,QIs,un,'/V\.C/(e)\,DET,un,10
119,18,3,forest,forest,NOM:obj:femi:sg,18,N,N,,C/V\.'C/V\,NOUN,forêt,9
120,18,4,ou,ou,PROCON,18,Qux,Qux,où,/V\,PRON,où,10
121,18,5,ot,ot,VER:simp:3:sg,18,Vfin,Vfin,avoir,/V\,VERB,avoir,10
122,18,6,grant,grant,ADJ:obj:femi:sg,18,Adj,Adj,grand,C/V\,ADJ,grand,10
123,18,7,piece,piece,NOM:obj:femi:sg,18,N,N,,'C/V\.C/(e)\,NOUN,pièce,8
124,18,8,esté,esté,VER:pper:masc:sg,18,Vpp,Vpp,être,/V\.'C/V\,VERB,être,10
125,19,1,pris,pris,VER:pper:masc:sg,19,Vpp,Vpp,prendre,C/V\,VERB,prendre,10
126,19,2,ot,ot,VER:simp:3:sg,19,Vfin,Vfin,avoir,/V\,VERB,avoir,10
127,19,3,.ii.,deus,ADJ:card,19,QIs,QIs,deux,C/V\,NUM,deux,10
