wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,Certainne,certainne,201,Adj,Adj,certain,C/V\.'C/V\.C/(e)\,ADJ,certain,10
2,cose,cose,201,N,N,,'C/V\.C/(e)\,NOUN,chose,8
3,est,est,201,Vfin,Vfin,être,/V\,VERB,être,10
4,que,que,201,Sub,Sub,que,C/(e)\,SCONJ,que,10
5,li,li,201,Det,Det,le,C/V\,DET,le,10
6,oppinions,oppinions,201,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,opinion,9
7,communelment,communelment,201,Adv,Adv,,C/V\.C/V\.C/V\.'C/V\,ADV,communalement,9
8,des,des,201,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
9,Englés,englés,201,Adj,Adj,,/V\.'C/V\,ADJ,anglais,8
10,est,est,202,Vfin,Vfin,être,/V\,VERB,être,10
11,telle,telle,202,Adj,Adj,tel,'C/V\.C/(e)\,ADJ,tel,10
12,—,—,202,Pnc,Pnc,,,PUNCT,—,9
13,et,et,202,Crd,Crd,et,/V\,CCONJ,et,10
14,ja,ja,202,Adv,Adv,jà,C/V\,ADV,jà,10
15,par,par,202,Pre,Pre,par,C/V\,ADP,par,10
16,experiense,experiense,202,N,N,,/V\.C/V\.C/V\.'C/V\.C/(e)\,NOUN,expérience,9
17,l',l',202,Prn,Prn$$,le,C/\,PRON,le,10
18,a,a,202,Vfin,Vfin,avoir,/V\,VERB,avoir,10
19,on,on,202,Prn,Prn%,on,/V\,PRON,on,10
20,veu,veü,202,Vpp,Vpp,voir,C/(V)\.'/V\,VERB,voir,10
21,avenir,avenir,202,Vinf,Vinf,avenir,/V\.C/e\.'C/V\,VERB,avenir,10
22,en,en,202,Pre,Pre,en,/V\,ADP,en,10
23,Engleterre,engleterre,202,N,N,,/V\.C/e\.'C/V\.C/(e)\,PROPN,Angleterre,9
24,puis,puis,202,PrA,PrA,puis,C/V\,ADP,puis,10
25,le,le,202,Det,Det,le,C/(e)\,DET,le,10
26,tamps,tamps,203,N,N,,C/V\,NOUN,temps,9
27,le,le,203,Det,Det,le,C/(e)\,DET,le,10
28,vaillant,vaillant,203,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
29,roy,roy,203,N,N,,C/V\,NOUN,roi,8
30,Edouwart,edouwart,203,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
31,qui,qui,203,Qux,Qux,qui,C/V\,PRON,qui,10
32,fu,fu,203,Vfin,Vfin,être,C/V\,VERB,être,10
33,tayons,tayons,203,N,N,,C/V\.'C/V\,NOUN,tayon,6
34,à,à,203,Pre,Pre,à,/V\,ADP,à,10
35,celui,celui,203,Dem,Dem,cil,C/V\.'C/V\,DET,cil,10
36,Edouwart,edouwart,203,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
37,dont,dont,203,Qux,Qux,dont,C/V\,PRON,dont,10
38,je,je,204,Prn,Prn$,je,C/(e)\,PRON,je,10
39,ferai,ferai,204,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10
40,enssuiwant,enssuiwant,204,Vprs,Vprs,ensuivre,/V\.C/V\.'C/V\,VERB,ensuivre,10
41,mention,mention,204,N,N,,C/V\.C/{V}\.'/V\,NOUN,mention,9
42,et,et,204,Crd,Crd,et,/V\,CCONJ,et,10
43,sour,sour,204,PrA,PrA,sur,C/V\,ADP,sur,10
44,qui,qui,204,Qux,Qux,qui,C/V\,PRON,qui,10
45,ceste,ceste,204,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10
46,histoire,histoire,204,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9
47,est,est,204,Vfin,Vfin,être,/V\,VERB,être,10
48,coummenchie,coummenchie,204,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\./(e)\,VERB,commencer,10
49,—,—,205,Pnc,Pnc,,,PUNCT,—,9
50,que,que,205,Sub,Sub,que,C/(e)\,SCONJ,que,10
51,apriés,apriés,205,PrA,PrA,après,/V\.'C/V\,ADP,après,10
52,ung,ung,205,QIs,QIs,un,/V\,DET,un,10
53,vaillant,vaillant,205,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
54,roy,roy,205,N,N,,C/V\,NOUN,roi,8
55,on,on,205,Prn,Prn$,on,/V\,PRON,on,10
56,en,en,205,Prn,Prn$$,en2,/V\,PRON,en,10
57,a,a,205,Vfin,Vfin,avoir,/V\,VERB,avoir,10
58,veu,veü,205,Vpp,Vpp,voir,C/(V)\.'/V\,VERB,voir,10
59,resgner,resgner,205,Vinf,Vinf,,C/V\.'C/V\,VERB,régner,0
60,ung,ung,205,QIs,QIs,un,/V\,DET,un,10
61,mains,mains,205,Adv,Adv,moins,C/V\,ADV,moins,10
62,vaillant,vaillant,206,Vprs,Vprs,valoir,C/V\.'C/V\,VERB,valoir,10
63,.,.,206,Pnc,Pnc,,,PUNCT,.,9
64,Et,et,206,Crd,Crd,et,/V\,CCONJ,et,10
65,encorrez,encorrëz,206,Adv,Adv,encore,/V\.'C/V\.C/e\,ADV,encore,10
66,chils,chils,206,Dem,Dem,cil,C/V\,DET,cil,10
67,bons,bons,206,Adj,Adj,bon,C/V\,ADJ,bon,10
68,roys,roys,206,N,N,,C/V\,NOUN,roi,8
69,Edouars,edouars,206,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
70,qui,qui,206,Qux,Qux,qui,C/V\,PRON,qui,10
71,tant,tant,206,QIs,QIs,tant,C/V\,ADV,tant,10
72,eult,eult,206,Vfin,Vfin,avoir,/V\,VERB,avoir,10
73,affaire,affaire,206,N,N,,/V\.'C/V\.C/(e)\,NOUN,affaire,8
74,as,as,206,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
75,Danois,danois,207,N,N,,C/V\.'C/V\,PROPN,danois,2
76,et,et,207,Crd,Crd,et,/V\,CCONJ,et,10
77,as,as,207,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
78,Escos,escos,207,N,N,,/V\.'C/V\,PROPN,Escault,5
79,et,et,207,Crd,Crd,et,/V\,CCONJ,et,10
80,qui,qui,207,Qux,Qux,qui,C/V\,PRON,qui,10
81,les,les,207,Prn,Prn$$,le,C/V\,PRON,le,10
82,desconfi,desconfi,207,Vfin,Vfin,déconfire,C/V\.C/V\.'C/V\,VERB,déconfire,10
83,par,par,207,Pre,Pre,par,C/V\,ADP,par,10
84,pluiseurs,pluiseurs,207,QIs,QIs,plusieurs,C/V\.'C/V\,DET,plusieurs,10
85,fois,fois,207,N,N,,C/V\,NOUN,fois,3
86,en,en,207,Pre,Pre,en,/V\,ADP,en,10
87,bataille,bataille,207,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
88,",",",",207,Pnc,Pnc,,,PUNCT,",",9
89,ses,ses,208,Det,Det,son4,C/V\,DET,son,10
90,fils,fils,208,N,N,,C/V\,NOUN,fils,3
91,li,li,208,Det,Det,le,C/V\,DET,le,10
92,seconds,seconds,208,Adj,Adj,,C/V\.'C/V\,ADJ,second,9
93,Edouars,edouars,208,N,N,,/V\.C/V\.'C/V\,PROPN,Édouard,9
94,ne,ne,208,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
