wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,horä,horä,1,Adv,Adv,or2,'/V\.C/e\,ADV,or,10
2,1,2,vos,vos,1,Prn,Prn$$,vous,C/V\,PRON,vous,10
3,1,3,dic,dic,1,Vfin,Vfin,dire,C/V\,VERB,dire,10
4,1,4,verä,verä,1,Adj,Adj,voir2,'C/V\.C/(e)\,ADJ,voir,10
5,1,5,raizun,raizun,1,N,N,,C/V\.'C/V\,NOUN,raison,0
6,2,1,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10
7,2,2,jesú,jesú,2,N,N,,C/V\.'C/V\,NOUN,jesse,-10
8,2,3,christi,christi,2,N,N,,'C/V\.C/e\,PROPN|NOUN,Christi,8
9,2,4,passiun,passiun,2,N,N,,C/V\.C/{V}\.'/V\,NOUN,passion,0
10,2,5,:,:,2,Pnc,Pnc,,,PUNCT,:,9
11,3,1,los,los,3,Det,Det,le,C/V\,DET,le,10
12,3,2,sos,sos,3,Adj,Adj,son4,C/V\,ADJ,son,10
13,3,3,affanz,affanz,3,N,N,,/V\.'C/V\,NOUN,ahan,0
14,3,4,vol,vol,3,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
15,3,5,remembrar,remembrar,3,Vinf,Vinf,remembrer,C/V\.C/V\.'C/V\,VERB,remembrer,10
16,4,1,per,per,4,Pre,Pre,par,C/V\,ADP,par,10
17,4,2,que,que,4,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10
18,4,3,cest,cest,4,Dem,Dem,cist,C/V\,DET,cist,10
19,4,4,mund,mund,4,N,N,,C/V\,NOUN,monde,8
20,4,5,tot,tot,4,QIs,QIs,tout,C/V\,ADV,tout,10
21,4,6,a,a,4,Vfin,Vfin,avoir,/V\,VERB,avoir,10
22,4,7,salvad,salvad,4,Vpp,Vpp,sauver,C/V\.'C/V\,VERB,sauver,10
23,4,8,.,.,4,Pnc,Pnc,,,PUNCT,.,9
24,5,1,trentä,trentä,5,QIs,QIs,trente,'C/V\.C/(e)\,NUM,trente,10
25,5,2,tres,tres,5,QIs,QIs,trois,C/V\,NUM,trois,10
26,5,3,anz,anz,5,N,N,,/V\,PROPN|NOUN,an,8
27,5,4,et,et,5,Crd,Crd,et,/V\,CCONJ,et,10
28,5,5,alques,alques,5,Adv,Adv,auques,'/V\.C/e\,ADV,auques,10
29,5,6,plus,plus,5,Adv,Adv,plus,C/V\,ADV,plus,10
30,5,7,",",",",5,Pnc,Pnc,,,PUNCT,",",9
31,6,1,des,dés,6,Pre,Pre,dès,C/V\,ADP,dès,10
32,6,2,que,que,6,Sub,Sub,que,C/(e)\,SCONJ,que,10
33,6,3,carn,carn,6,N,N,,C/V\,NOUN,chair,0
34,6,4,pres,pres,6,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
35,6,5,",",",",6,Pnc,Pnc,,,PUNCT,",",9
36,6,6,in,in,6,Pre,Pre,en,/V\,ADP,en,10
37,6,7,terrä,terrä,6,N,N,,'C/V\.C/(e)\,NOUN,terris,0
38,6,8,fu,fu,6,Vfin,Vfin,être,C/V\,VERB,être,10
39,6,9,.,.,6,Pnc,Pnc,,,PUNCT,.,9
40,7,1,per,per,7,Pre,Pre,par,C/V\,ADP,par,10
41,7,2,tot,tot,7,QIs,QIs,tout,C/V\,ADV,tout,10
42,7,3,obred,obred,7,Vfin,Vfin,oeuvrer,/V\.'C/V\,VERB,oeuvrer,10
43,7,4,que,que,7,Sub,Sub,que,C/(e)\,SCONJ,que,10
44,7,5,verus,verus,7,Adj,Adj,voir2,C/V\.'C/V\,ADJ,voir,10
45,7,6,deus,deus,7,N,N,,C/V\,NOUN,dieu,3
46,7,7,",",",",7,Pnc,Pnc,,,PUNCT,",",9
47,8,1,per,per,8,Pre,Pre,par,C/V\,ADP,par,10
48,8,2,tot,tot,8,QIs,QIs,tout,C/V\,ADV,tout,10
49,8,3,sosteg,sosteg,8,Vfin,Vfin,sustenir,C/V\.'C/V\,VERB,sustenir,10
50,8,4,que,que,8,Sub,Sub,que,C/(e)\,SCONJ,que,10
51,8,5,hom,hom,8,N,N,,/V\,NOUN,homme,8
52,8,6,carnels,carnels,8,Adj,Adj,,C/V\.'C/V\,ADJ,charnel,0
53,8,7,.,.,8,Pnc,Pnc,,,PUNCT,.,9
54,9,1,peccad,peccad,9,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10
55,9,2,negun,negun,9,QIs,QIs,negun,C/V\.'C/V\,DET,negun,10
56,9,3,unque,unque,9,Adv,Adv,onques,'/V\.C/(e)\,ADV,onques,10
57,9,4,non,non,9,Neg,Neg$$,ne,C/V\,ADV,ne,10
58,9,5,fiz,fiz,9,Vfin,Vfin,faire,C/V\,VERB,faire,10
59,9,6,",",",",9,Pnc,Pnc,,,PUNCT,",",9
60,10,1,per,per,10,Pre,Pre,par,C/V\,ADP,par,10
61,10,2,eps,eps,10,Adj,Adj,eps,/V\,ADJ,eps,10
62,10,3,los,los,10,Det,Det,le,C/V\,DET,le,10
63,10,4,nostres,nostres,10,Adj,Adj,notre,'C/V\.C/e\,ADJ,notre,10
64,10,5,fu,fu,10,Vfin,Vfin,être,C/V\,VERB,être,10
65,10,6,aucis,aucis,10,Vpp,Vpp,occire,/V\.'C/V\,VERB,occire,10
66,10,7,.,.,10,Pnc,Pnc,,,PUNCT,.,9
67,11,1,la,la,11,Det,Det,le,C/V\,DET,le,10
68,11,2,suä,suä,11,Adj,Adj,son4,'C/V\./(e)\,ADJ,son,10
69,11,3,morz,morz,11,N,N,,C/V\,NOUN,mort,3
70,11,4,vidä,vidä,11,N,N,,'C/V\.C/(e)\,PROPN|NOUN,UNKNOWN,-10
71,11,5,nos,nos,11,Prn,Prn$$,nous,C/V\,PRON,nous,10
72,11,6,rend,rend,11,Vfin,Vfin,rendre,C/V\,VERB,rendre,10
73,11,7,",",",",11,Pnc,Pnc,,,PUNCT,",",9
74,12,1,sa,sa,12,Det,Det,son4,C/V\,DET,son,10
75,12,2,passiuns,passiuns,12,N,N,,C/V\.C/V\.'C/V\,NOUN,passion,0
76,12,3,toz,toz,12,QIs,QIs,tout,C/V\,PRON,tout,10
77,12,4,nos,nos,12,Prn,Prn,nous,C/V\,PRON,nous,10
78,12,5,redenps,redenps,12,Vfin,Vfin,,C/V\.'C/V\,VERB,raiembre,0
79,12,6,.,.,12,Pnc,Pnc,,,PUNCT,.,9
80,13,1,cum,cum,13,Sub,Sub,comme,C/V\,SCONJ,comme,10
81,13,2,aproismed,aproismed,13,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,approismer,9
82,13,3,sa,sa,13,Det,Det,son4,C/V\,DET,son,10
83,13,4,passiuns,passiuns,13,N,N,,C/V\.C/V\.'C/V\,NOUN,passion,0
