wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
1,1,1,dame,dame,2601,N,N,,7s,---,'C/V\.C/(e)\,NOUN,dame,8
2,1,2,",",",",2601,Pnc,Pnc,,7s,---,,PUNCT,",",9
3,1,3,vos,vos,2601,Det,Det,votre,7s,---,C/V\,DET,votre,10
4,1,4,hom,hom,2601,N,N,,7s,---,/V\,NOUN,homme,8
5,1,5,vous,vous,2601,Prn,Prn$$,vous,7s,---,C/V\,PRON,vous,10
6,1,6,estrine,estrine,2601,Vfin,Vfin,étrenner,7s,---,/V\.'C/V\.C/(e)\,VERB,étrenner,10
7,2,1,d',d',2602,Pre,Pre,de,7s,---,C/\,ADP,de,10
8,2,2,une,une,2602,QIs,QIs,un,7s,---,'/V\.C/(e)\,DET,un,10
9,2,3,nouvele,nouvele,2602,Adj,Adj,nouveau,7s,---,C/V\.'C/V\.C/(e)\,ADJ,nouveau,10
10,2,4,canchon,canchon,2602,N,N,,7s,---,C/V\.'C/V\,NOUN,chanson,9
11,2,5,:,:,2602,Pnc,Pnc,,7s,---,,PUNCT,:,9
12,3,1,or,or,2603,Adv,Adv,or2,7s,---,/V\,ADV,or,10
13,3,2,venrai,venrai,2603,Vfin,Vfin,venir,7s,---,C/V\.'C/V\,VERB,venir,10
14,3,3,a,a,2603,Pre,Pre,à,7s,---,/V\,ADP,à,10
15,3,4,vostre,vostre,2603,Det,Det,votre,7s,---,'C/V\.C/(e)\,DET,votre,10
16,3,5,don,don,2603,N,N,,7s,---,C/V\,NOUN,don,3
17,4,1,se,se,2604,Sub,Sub,si3,7s,---,C/(e)\,SCONJ,si,10
18,4,2,courtoissie,courtoissie,2604,N,N,,7s,---,C/V\.C/V\.'C/V\./(e)\,NOUN,courtoisie,9
19,4,3,i,i,2604,Prn,Prn$$,y2,7s,---,/V\,PRON,y,10
20,4,4,est,est,2604,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
21,4,5,fine,fine,2604,Adj,Adj,fin2,7s,---,'C/V\.C/(e)\,ADJ,fin,10
22,4,6,?,?,2604,Pnc,Pnc,,7s,---,,PUNCT,?,9
23,5,1,je,je,2605,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
24,5,2,vous,vous,2605,Prn,Prn$$,vous,7s,---,C/V\,PRON,vous,10
25,5,3,aim,aim,2605,Vfin,Vfin,aimer,7s,---,/V\,VERB,aimer,10
26,5,4,sans,sans,2605,Pre,Pre,sans,7s,---,C/V\,ADP,sans,10
27,5,5,traison,traison,2605,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,trahison,5
28,5,6,—,—,2605,Pnc,Pnc,,7s,---,,PUNCT,—,9
29,6,1,a,a,2606,Pre,Pre,à,7s,---,/V\,ADP,à,10
30,6,2,tort,tort,2606,N,N,,7s,---,C/V\,NOUN,tort,8
31,6,3,m',m',2606,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
32,6,4,en,en,2606,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
33,6,5,portés,portés,2606,Vfin,Vfin,porter,7s,---,C/V\.'C/V\,VERB,porter,10
34,6,6,querine,querine,2606,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,cuerine,-10
35,6,7,",",",",2606,Pnc,Pnc,,7s,---,,PUNCT,",",9
36,7,1,car,car,2607,Crd,Crd,car,7s,---,C/V\,CCONJ,car,10
37,7,2,com,com,2607,Sub,Sub,comme,7s,---,C/V\,SCONJ,comme,10
38,7,3,plus,plus,2607,Adv,Adv,plus,7s,---,C/V\,ADV,plus,10
39,7,4,avés,avés,2607,Vfin,Vfin,avoir,7s,---,/V\.'C/V\,VERB,avoir,10
40,7,5,fuison,fuison,2607,N,N,,7s,---,C/V\.'C/V\,NOUN,foison,9
41,8,1,de,de,2608,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
42,8,2,biauté,biauté,2608,N,N,,7s,---,C/V\.'C/V\,NOUN,beauté,9
43,8,3,sans,sans,2608,Pre,Pre,sans,7s,---,C/V\,ADP,sans,10
44,8,4,mesprison,mesprison,2608,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,méprison,9
45,8,5,",",",",2608,Pnc,Pnc,,7s,---,,PUNCT,",",9
