wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,ore,ore,1,Adv,Adv,or2,'/V\.C/(e)\,ADV,or,10
2,1,2,entendez,entendez,1,Vfin,Vfin,entendre,/V\.C/V\.'C/V\,VERB,entendre,10
3,1,3,la,la,1,Det,Det,le,C/V\,DET,le,10
4,1,4,passiun,passiun,1,N,N,,C/V\.C/{V}\.'/V\,NOUN,passion,0
5,2,1,de,de,2,Pre,Pre,de,C/(e)\,ADP,de,10
6,2,2,seint,seint,2,Adj,Adj,saint,C/V\,ADJ,saint,10
7,2,3,edmunt,edmunt,2,N,N,,/V\.'C/V\,NOUN,emmont,-10
8,2,4,",",",",2,Pnc,Pnc,,,PUNCT,",",9
9,2,5,le,le,2,Det,Det,le,C/(e)\,DET,le,10
10,2,6,bon,bon,2,Adj,Adj,bon,C/V\,ADJ,bon,10
11,2,7,barun,barun,2,N,N,,C/V\.'C/V\,NOUN,baron,9
12,2,8,",",",",2,Pnc,Pnc,,,PUNCT,",",9
13,3,1,ki,ki,3,Qux,Qux,qui,C/V\,PRON,qui,10
14,3,2,reis,reis,3,N,N,,C/V\,NOUN,roi,3
15,3,3,esteit,esteit,3,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
16,3,4,mult,mult,3,QIs,QIs,moult,C/V\,ADV,moult,10
17,3,5,poestis,poestis,3,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,poesteif,9
18,4,1,tant,tant,4,QIs,QIs,tant,C/V\,ADV,tant,10
19,4,2,cum,cum,4,Sub,Sub,comme,C/V\,SCONJ,comme,10
20,4,3,vesquid,vesquid,4,Vfin,Vfin,vivre,C/V\.'C/V\,VERB,vivre,10
21,4,4,en,en,4,Pre,Pre,en,/V\,ADP,en,10
22,4,5,sun,sun,4,Det,Det,son4,C/V\,DET,son,10
23,4,6,païs,païs,4,N,N,,C/V\.'C/V\,NOUN,pays,8
24,4,7,.,.,4,Pnc,Pnc,,,PUNCT,.,9
25,5,1,sicum,sicum,5,Sub,Sub,sicomme,C/V\.'C/V\,SCONJ,sicomme,10
26,5,2,la,la,5,Det,Det,le,C/V\,DET,le,10
27,5,3,letre,letre,5,N,N,,'C/V\.C/(e)\,NOUN,lettre,8
28,5,4,le,le,5,Prn,Prn$$,le,C/(e)\,PRON,le,10
29,5,5,nus,nus,5,Prn,Prn$$,nous,C/V\,PRON,nous,10
30,5,6,dit,dit,5,Vfin,Vfin,dire,C/V\,VERB,dire,10
31,5,7,",",",",5,Pnc,Pnc,,,PUNCT,",",9
32,6,1,e,e,6,Crd,Crd,et,/V\,CCONJ,et,10
33,6,2,nus,nus,6,Prn,Prn$,nous,C/V\,PRON,nous,10
34,6,3,le,le,6,Prn,Prn$$,le,C/(e)\,PRON,le,10
35,6,4,truvum,truvum,6,Vfin,Vfin,trouver,C/V\.'C/V\,VERB,trouver,10
36,6,5,en,en,6,Pre,Pre,en,/V\,ADP,en,10
37,6,6,escrit,escrit,6,N,N,,/V\.'C/V\,NOUN,écrit,8
38,6,7,:,:,6,Pnc,Pnc,,,PUNCT,:,9
39,7,1,ki,ki,7,Qux,Qux,qui,C/V\,PRON,qui,10
40,7,2,de,de,7,Pre,Pre,de,C/(e)\,ADP,de,10
41,7,3,cest,cest,7,Dem,Dem,cist,C/V\,DET,cist,10
42,7,4,mund,mund,7,N,N,,C/V\,NOUN,monde,8
43,7,5,ad,ad,7,Vfin,Vfin,avoir,/V\,VERB,avoir,10
44,7,6,sun,sun,7,Det,Det,son4,C/V\,DET,son,10
45,7,7,delit,delit,7,N,N,,C/V\.'C/V\,NOUN,délit,8
46,8,1,al,al,8,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
47,8,2,rei,rei,8,N,N,,C/V\,NOUN,roi,8
48,8,3,del,del,8,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
49,8,4,cel,cel,8,N,N,,C/V\,NOUN,ciel,8
50,8,5,ert,ert,8,Vfin,Vfin,être,/V\,VERB,être,10
51,8,6,en,en,8,Pre,Pre,en,/V\,ADP,en,10
52,8,7,despit,despit,8,N,N,,C/V\.'C/V\,NOUN,dépit,3
53,8,8,.,.,8,Pnc,Pnc,,,PUNCT,.,9
