wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,ore,ore,ADV,1,Adv,Adv,or2,'/V\.C/(e)\,ADV,or,10
2,1,2,oez,oez,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
3,1,3,tuit,tuit,PRO:ind:suj:masc:pl,1,QIs,QIs,tout,C/V\,PRON,tout,10
4,1,4,communement,communement,ADV,1,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\,ADV,communément,9
5,2,1,gardez,gardez,VER:impe:2:pl,2,Vfin,Vfin,garder,C/V\.'C/V\,VERB,garder,10
6,2,2,qu,qu,PROCON,2,Sub,Sub,que,C/\,SCONJ,que,10
7,2,3,i,i,PRO:pers:suj:3:masc:sg:unb,2,Prn,Prn$,il,/V\,PRON,il,10
8,2,4,n,n,PRO:clit,2,Neg,Neg$$,ne,C/\,ADV,ne,10
9,2,5,i,i,PRO:clit,2,Prn,Prn$$,y2,/V\,PRON,y,10
10,2,6,ait,ait,VER:subp:3:sg,2,Vfin,Vfin,avoir,/V\,VERB,avoir,10
11,2,7,pallement,pallement,NOM:obj:masc:sg,2,N,N,,C/V\.C/e\.'C/V\,PROPN|NOUN,parlement,8
12,3,1,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\,DET,le,10
13,3,2,passion,passion,NOM:obj:femi:sg,3,N,N,,C/V\.C/V\.'C/V\,NOUN,passion,8
14,3,3,dieu,dieu,NOM:obj:masc:sg,3,N,N,,C/V\,PROPN,Dieu,3
15,3,4,entendez,entendez,VER:impe:2:pl,3,Vfin,Vfin,entendre,/V\.C/V\.'C/V\,VERB,entendre,10
16,4,1,comment,comment,ADV,4,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10
17,4,2,il,il,PRO:pers:suj:3:masc:sg:unb,4,Prn,Prn$,il,/V\,PRON,il,10
18,4,3,fu,fu,VER:simp:3:sg,4,Vfin,Vfin,être,C/V\,VERB,être,10
19,4,4,pour,pour,PRE,4,Pre,Pre,pour,C/V\,ADP,pour,10
20,4,5,nous,nous,PRO:pers:1:pl,4,Prn,Prn,nous,C/V\,PRON,nous,10
21,4,6,penez,penez,VER:pper:masc:pl,4,Vpp,Vpp,pener,C/V\.'C/V\,VERB,pener,10
22,5,1,ne,ne,PRO:clit,5,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
23,5,2,le,le,PRO:pers:obj:3:masc:sg:unb,5,Prn,Prn$$,le,C/(e)\,PRON,le,10
24,5,3,doit,doit,VER:pres:3:sg,5,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
25,5,4,oïr,oïr,VER:infi,5,Vinf,Vinf,ouïr,/V\.'C/V\,VERB,ouïr,10
26,5,5,creature,creature,NOM:suj:femi:sg,5,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,créature,8
27,6,1,n,n,PRO:clit,6,Neg,Neg$$,ne,C/\,ADV,ne,10
28,6,2,en,en,PRO:clit,6,Prn,Prn$$,en2,/V\,PRON,en,10
29,6,3,ait,ait,VER:subp:3:sg,6,Vfin,Vfin,avoir,/V\,VERB,avoir,10
30,6,4,dolor,dolor,NOM:obj:femi:sg,6,N,N,,C/V\.'C/V\,NOUN,douleur,8
31,6,5,ja,ja,ADV,6,Adv,Adv,jà,C/V\,ADV,jà,10
