wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,oiés,oiés,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\,VERB,ouïr,10
2,1,2,por,por,PRE,1,Pre,Pre,pour,C/V\,ADP,pour,10
3,1,3,dieu,dieu,NOM:obj:masc:sg,1,N,N,,C/V\,PROPN,Dieu,3
4,1,4,le,le,DET:def:obj:masc:sg,1,Det,Det,le,C/(e)\,DET,le,10
5,1,5,fil,fil,NOM:obj:masc:sg,1,N,N,,C/V\,NOUN,fils,3
6,1,6,marie,marie,NPR:obj:femi:sg,1,N,N,,C/V\.'C/V\./(e)\,PROPN|NOUN,marié|Marie,-1
7,2,1,chancon,chancon,NOM:obj:femi:sg,2,N,N,,C/V\.'C/V\,NOUN,chanson,9
8,2,2,de,de,PRE,2,Pre,Pre,de,C/(e)\,ADP,de,10
9,2,3,molt,molt,ADV,2,QIs,QIs,moult,C/V\,ADV,moult,10
10,2,4,grant,grant,ADJ:obj:femi:sg,2,Adj,Adj,grand,C/V\,ADJ,grand,10
11,2,5,segnorie,segnorie,NOM:obj:femi:sg,2,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,seigneurie,9
12,3,1,vous,vous,PRO:pers:2:pl,3,Prn,Prn$,vous,C/V\,PRON,vous,10
13,3,2,avés,avés,VER:pres:2:pl,3,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10
14,3,3,maintes,maintes,DET:ind:obj:femi:pl,3,QIs,QIs,maint,'C/V\.C/e\,DET,maint,10
15,3,4,fois,fois,NOM:obj:femi:pl,3,N,N,,C/V\,NOUN,fois,3
16,3,5,oï,oï,VER:pper:masc:sg,3,Vpp,Vpp,ouïr,/V\.'C/V\,VERB,ouïr,10
17,4,1,chanter,chanter,VER:infi,4,Vinf,Vinf,chanter,C/V\.'C/V\,VERB,chanter,10
18,4,2,du,du,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
19,4,3,lignage,lignage,NOM:obj:masc:sg,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,lignage,9
20,4,4,aimeri,aimeri,NPR:obj:masc:sg,4,N,N,,/V\.C/e\.'C/V\,PROPN|NOUN,Aimery,8
21,5,1,de,de,PRE,5,Pre,Pre,de,C/(e)\,ADP,de,10
22,5,2,karlemagne,karlemagne,NPR:obj:masc:sg,5,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,Charlemagne,2
23,5,3,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\,DET,le,10
24,5,4,poissant,poissant,ADJ:obj:masc:sg,5,Adj,Adj,,C/V\.'C/V\,ADJ,puissant,8
25,6,1,et,et,CON:coord,6,Crd,Crd,et,/V\,CCONJ,et,10
26,6,2,d',d',PRE,6,Pre,Pre,de,C/\,ADP,de,10
27,6,3,olivier,olivier,NPR:obj:masc:sg,6,N,N,,/V\.C/V\.'C/V\,NOUN,olivier,8
28,6,4,et,et,CON:coord,6,Crd,Crd,et,/V\,CCONJ,et,10
29,6,5,de,de,PRE,6,Pre,Pre,de,C/(e)\,ADP,de,10
30,6,6,rollant,rollant,NPR:obj:masc:sg,6,N,N,,C/V\.'C/V\,NOUN,Roland,5
31,7,1,et,et,CON:coord,7,Crd,Crd,et,/V\,CCONJ,et,10
32,7,2,de,de,PRE,7,Pre,Pre,de,C/(e)\,ADP,de,10
33,7,3,guillaume,guillaume,NPR:obj:masc:sg,7,N,N,,C/V\.'C/V\.C/(e)\,NOUN,guillaume,5
34,7,4,fierebrache,fierebrache,NPR:obj:masc:sg,7,N,N,,C/V\.C/e\.'C/V\.C/(e)\,PROPN|NOUN,UNKNOWN,-10
35,8,1,et,et,CON:coord,8,Crd,Crd,et,/V\,CCONJ,et,10
36,8,2,de,de,PRE,8,Pre,Pre,de,C/(e)\,ADP,de,10
37,8,3,rainouart,rainouart,NPR:obj:masc:sg,8,N,N,,C/V\.C/V\.'C/V\,NOUN,rainoard,-10
38,8,4,a,a,PRE,8,Pre,Pre,à,/V\,ADP,à,10
39,8,5,le,le,DET:def:obj:femi:sg,8,Det,Det,le,C/(e)\,DET,le,10
40,8,6,mache,mache,NOM:obj:femi:sg,8,N,N,,'C/V\.C/(e)\,NOUN,masse,5
41,9,1,qui,qui,PROCON,9,Qux,Qux,qui,C/V\,PRON,qui,10
42,9,2,les,les,DET:def:obj:masc:pl,9,Det,Det,le,C/V\,DET,le,10
43,9,3,dis,dis,ADJ:card,9,QIs,QIs,dix,C/V\,ADJ|ADV|DET|NUM|PRON,dix,10
44,9,4,rois,rois,NOM:obj:masc:pl,9,N,N,,C/V\,NOUN,roi,3
45,9,5,conquist,conquist,VER:simp:3:sg,9,Vfin,Vfin,conquérir,C/V\.'C/V\,VERB,conquérir,10
46,9,6,as,as,PREDET:a:obj:femi:pl,9,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
47,9,7,mains,mains,NOM:obj:femi:pl,9,N,N,,C/V\,NOUN,main,8
48,10,1,del,del,PREDET:de:obj:masc:sg,10,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
49,10,2,tot,tot,PRO:ind:obj:masc:sg,10,QIs,QIs,tout,C/V\,PRON,tout,10
50,10,3,passa,passa,VER:simp:3:sg,10,Vfin,Vfin,passer,C/V\.'C/V\,VERB,passer,10
51,10,4,pepins,pepins,NPR:suj:masc:sg,10,N,N,,C/V\.'C/V\,NOUN,pépin,6
52,10,5,li,li,DET:def:suj:masc:sg,10,Det,Det,le,C/V\,DET,le,10
53,10,6,nains,nains,NOM:suj:masc:sg,10,N,N,,C/V\,NOUN,nain,9
54,11,1,qui,qui,PROCON,11,Qux,Qux,qui,C/V\,PRON,qui,10
55,11,2,n,n,PRO:clit,11,Neg,Neg$$,ne,C/\,ADV,ne,10
56,11,3,ot,ot,VER:simp:3:sg,11,Vfin,Vfin,avoir,/V\,VERB,avoir,10
57,11,4,que,que,PROCON,11,Sub,Sub,que,C/(e)\,SCONJ,que,10
58,11,5,trois,trois,ADJ:card,11,QIs,QIs,trois,C/V\,NUM,trois,10
59,11,6,piés,piés,NOM:obj:masc:pl,11,N,N,,C/V\,NOUN,pied,8
60,11,7,et,et,CON:coord,11,Crd,Crd,et,/V\,CCONJ,et,10
61,11,8,demi,demi,ADJ:obj:masc:sg,11,Adj,Adj,demi,C/V\.'C/V\,ADJ,demi,10
62,12,1,a,a,PRE,12,Pre,Pre,à,/V\,ADP,à,10
63,12,2,paris,paris,NPR:obj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,Paris,5
64,12,3,le,le,DET:def:obj:masc:sg,12,Det,Det,le,C/(e)\,DET,le,10
65,12,4,lion,lion,NOM:obj:masc:sg,12,N,N,,C/V\.'C/V\,NOUN,lion,9
66,12,5,vainqui,vainqui,VER:simp:3:sg,12,Vfin,Vfin,vaincre,C/V\.'C/V\,VERB,vaincre,10
67,13,1,onques,onques,ADV,13,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
68,13,2,por,por,PRE,13,Pre,Pre,pour,C/V\,ADP,pour,10
69,13,3,cop,cop,NOM:obj:masc:sg,13,N,N,,C/V\,NOUN,coup,8
70,13,4,de,de,PRE,13,Pre,Pre,de,C/(e)\,ADP,de,10
71,13,5,chevalier,chevalier,NOM:obj:masc:sg,13,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,8
72,14,1,ne,ne,PRO:clit,14,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
73,14,2,guerpi,guerpi,VER:simp:3:sg,14,Vfin,Vfin,guerpir,C/V\.'C/V\,VERB,guerpir,10
74,14,3,sele,sele,NOM:obj:femi:sg,14,N,N,,'C/V\.C/(e)\,NOUN,selle,9
75,14,4,ne,ne,PROCON,14,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
76,14,5,estrier,estrier,NOM:obj:masc:sg,14,N,N,,/V\.'C/V\,NOUN,étrier,9
77,15,1,entre,entre,PRE,15,PrA,PrA,entre,'/V\.C/(e)\,ADP,entre,10
78,15,2,les,les,DET:def:obj:masc:pl,15,Det,Det,le,C/V\,DET,le,10
79,15,3,pors,pors,NOM:obj:masc:pl,15,N,N,,C/V\,NOUN,porc,3
80,15,4,de,de,PRE,15,Pre,Pre,de,C/(e)\,ADP,de,10
81,15,5,panpelune,panpelune,NPR:obj:masc:sg,15,N,N,,C/V\.C/e\.'C/V\.C/(e)\,NOUN,Pampelune,2
82,16,1,par,par,PRE,16,Pre,Pre,par,C/V\,ADP,par,10
83,16,2,nuit,nuit,NOM:obj:femi:sg,16,N,N,,C/V\,NOUN,nuit,8
84,16,3,si,si,PROCON,16,Adv,Adv,si4,C/V\,ADV,si,10
85,16,4,con,con,CON:subord,16,Sub,Sub,comme,C/V\,SCONJ,comme,10
86,16,5,luisoit,luisoit,VER:impf:3:sg,16,Vfin,Vfin,luire,C/V\.'C/V\,VERB,luire,10
87,16,6,la,la,DET:def:suj:femi:sg,16,Det,Det,le,C/V\,DET,le,10
88,16,7,lune,lune,NOM:suj:femi:sg,16,N,N,,'C/V\.C/(e)\,NOUN,lune,8
89,17,1,ocist,ocist,VER:simp:3:sg,17,Vfin,Vfin,occire,/V\.'C/V\,VERB,occire,10
90,17,2,quatre,quatre,ADJ:card,17,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
91,17,3,freres,freres,NOM:obj:masc:pl,17,N,N,,'C/V\.C/e\,NOUN,frère,8
92,17,4,gaians,gaians,NOM:obj:masc:pl,17,N,N,,C/V\.'C/V\,PROPN|NOUN,géant,8
93,18,1,encor,encor,ADV,18,Adv,Adv,encore,/V\.'C/V\,ADV,encore,10
94,18,2,pert,pert,VER:pres:3:sg,18,Vfin,Vfin,paroir,C/V\,VERB,paroir,10
95,18,3,lés,lés,PRE,18,Pre,Pre,lez,C/V\,ADP,lez,10
96,18,4,les,les,DET:def:obj:masc:pl,18,Det,Det,le,C/V\,DET,le,10
97,18,5,desrubans,desrubans,NOM:obj:masc:pl,18,N,N,,C/V\.C/V\.'C/V\,NOUN,desrubant,6
98,19,1,par,par,PRE,19,Pre,Pre,par,C/V\,ADP,par,10
99,19,2,ou,ou,PROCON,19,Qux,Qux,où,/V\,PRON,où,10
100,19,3,taillefers,taillefers,NPR:suj:masc:sg,19,N,N,,C/V\.C/e\.'C/V\,NOUN,taillefer,-10
101,19,4,s,s,PROCON,19,Prn,Prn$$,se,C/\,PRON,se,10
102,19,5,en,en,PRO:clit,19,Prn,Prn$$,en2,/V\,PRON,en,10
103,19,6,ala,ala,VER:simp:3:sg,19,Vfin,Vfin,aller,/V\.'C/V\,VERB,aller,10
104,20,1,li,li,DET:def:suj:masc:sg,20,Det,Det,le,C/V\,DET,le,10
105,20,2,bons,bons,ADJ:suj:masc:sg,20,Adj,Adj,bon,C/V\,ADJ,bon,10
106,20,3,cevaus,cevaus,NOM:suj:masc:sg,20,N,N,,C/V\.'C/V\,NOUN,cheval,8
107,20,4,qui,qui,PROCON,20,Qux,Qux,qui,C/V\,PRON,qui,10
108,20,5,li,li,PRO:pers:suj:3:masc:sg:bet,20,Prn,Prn$$,li,C/V\,PRON,li,10
109,20,6,dona,dona,VER:simp:3:sg,20,Vfin,Vfin,donner,C/V\.'C/V\,VERB,donner,10
110,21,1,grains,grains,NPR:suj:masc:sg,21,N,N,,C/V\,NOUN,grain,9
111,21,2,d',d',PRE,21,Pre,Pre,de,C/\,ADP,de,10
112,21,3,or,or,NOM:obj:masc:sg,21,N,N,,/V\,NOUN,or,8
113,21,4,li,li,DET:def:suj:masc:sg,21,Det,Det,le,C/V\,DET,le,10
114,21,5,fix,fix,NOM:suj:masc:sg,21,N,N,,C/V\,NOUN,fic,5
115,21,6,de,de,PRE,21,Pre,Pre,de,C/(e)\,ADP,de,10
116,21,7,sa,sa,DET:poss:obj:femi:sg,21,Det,Det,son4,C/V\,DET,son,10
117,21,8,seror,seror,NOM:obj:femi:sg,21,N,N,,C/V\.'C/V\,NOUN,soeur,9
118,22,1,cent,cent,ADJ:card,22,QIs,QIs,cent,C/V\,NUM,cent,10
119,22,2,liues,liues,NOM:obj:femi:pl,22,N,N,,'C/V\./e\,NOUN,lieue,9
120,22,3,coroit,coroit,VER:impf:3:sg,22,Vfin,Vfin,courir,C/V\.'C/V\,VERB,courir,10
121,22,4,en,en,PRO:clit,22,Pre,Pre,en,/V\,ADP,en,10
122,22,5,un,un,DET:ndf:obj:masc:sg,22,QIs,QIs,un,/V\,DET,un,10
123,22,6,jor,jor,NOM:obj:masc:sg,22,N,N,,C/V\,NOUN,jour,8
124,23,1,a,a,PRE,23,Pre,Pre,à,/V\,ADP,à,10
125,23,2,cel,cel,DET:demo:obj:masc:sg,23,Dem,Dem,cil,C/V\,DET,cil,10
126,23,3,tans,tans,NOM:obj:masc:sg,23,N,N,,C/V\,NOUN,temps,3
127,23,4,que,que,PROCON,23,Qux,Qux,que,C/(e)\,PRON,que,10
128,23,5,pepins,pepins,NPR:suj:masc:sg,23,N,N,,C/V\.'C/V\,NOUN,pépin,6
129,23,6,regna,regna,VER:simp:3:sg,23,Vfin,Vfin,,C/V\.'C/V\,VERB,régner,9
130,24,1,quatre,quatre,ADJ:card,24,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
131,24,2,roiaumes,roiaumes,NOM:obj:masc:pl,24,N,N,,C/V\.'C/V\.C/e\,NOUN,royaume,9
132,24,3,conquesta,conquesta,VER:simp:3:sg,24,Vfin,Vfin,conquérir,C/V\.C/V\.'C/V\,VERB,conquérir,10
133,25,1,trois,trois,ADJ:card,25,QIs,QIs,trois,C/V\,NUM,trois,10
134,25,2,duceés,duceés,NOM:obj:femi:pl,25,N,N,,C/V\.C/(V)\.'/V\,NOUN,duceus,-10
135,25,3,et,et,CON:coord,25,Crd,Crd,et,/V\,CCONJ,et,10
136,25,4,contés,contés,NOM:obj:femi:pl,25,N,N,,C/V\.'C/V\,PROPN|NOUN,comté,8
137,25,5,sis,sis,ADJ:card,25,QIs,QIs,six,C/V\,ADJ|ADV|DET|NUM|PRON,six,10
138,26,1,un,un,DET:ndf:obj:masc:sg,26,QIs,QIs,un,/V\,DET,un,10
139,26,2,jor,jor,NOM:obj:masc:sg,26,N,N,,C/V\,NOUN,jour,8
140,26,3,tint,tint,VER:simp:3:sg,26,Vfin,Vfin,tenir,C/V\,VERB,tenir,10
141,26,4,sa,sa,DET:poss:obj:femi:sg,26,Det,Det,son4,C/V\,DET,son,10
142,26,5,cort,cort,NOM:obj:femi:sg,26,N,N,,C/V\,NOUN,cour,3
143,26,6,a,a,PRE,26,Pre,Pre,à,/V\,ADP,à,10
144,26,7,paris,paris,NPR:obj:masc:sg,26,N,N,,C/V\.'C/V\,NOUN,Paris,5
145,27,1,tot,tot,PRO:ind:obj:masc:sg,27,QIs,QIs,tout,C/V\,ADV,tout,10
146,27,2,si,si,PROCON,27,Adv,Adv,si4,C/V\,ADV,si,10
147,27,3,con,con,CON:subord,27,Sub,Sub,comme,C/V\,SCONJ,comme,10
148,27,4,la,la,DET:def:suj:femi:sg,27,Det,Det,le,C/V\,DET,le,10
149,27,5,mers,mers,NOM:suj:femi:sg,27,N,N,,C/V\,NOUN,mer,3
150,27,6,aviroune,aviroune,VER:pres:3:sg,27,Vfin,Vfin,,/V\.C/V\.'C/V\.C/(e)\,VERB,UNKNOWN,-10
151,28,1,n,n,PRO:clit,28,Neg,Neg$$,ne,C/\,ADV,ne,10
152,28,2,i,i,PRO:clit,28,Prn,Prn$$,y2,/V\,PRON,y,10
153,28,3,remest,remest,VER:simp:3:sg,28,Vfin,Vfin,remanoir,C/V\.'C/V\,VERB,remanoir,10
154,28,4,roi,roi,NOM:suj:masc:sg,28,N,N,,C/V\,NOUN,roi,8
155,28,5,qui,qui,PROCON,28,Qux,Qux,qui,C/V\,PRON,qui,10
156,28,6,port,port,VER:subp:3:sg,28,Vfin,Vfin,porter,C/V\,VERB,porter,10
157,28,7,coroune,coroune,NOM:obj:femi:sg,28,N,N,,C/V\.'C/V\.C/(e)\,NOUN,couronne,8
158,29,1,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
159,29,2,duc,duc,NOM:suj:masc:sg,29,N,N,,C/V\,NOUN,duc,8
160,29,3,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
161,29,4,chevalier,chevalier,NOM:suj:masc:sg,29,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,8
162,29,5,ne,ne,PROCON,29,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
163,29,6,conte,conte,NOM:suj:masc:sg,29,N,N,,'C/V\.C/(e)\,NOUN,comte,3
164,30,1,tot,tot,PRO:ind:suj:masc:pl,30,QIs,QIs,tout,C/V\,ADV,tout,10
165,30,2,i,i,PRO:clit,30,Prn,Prn$$,y2,/V\,PRON,y,10
166,30,3,vinrent,vinrent,VER:simp:3:pl,30,Vfin,Vfin,venir,'C/V\.C/e\,VERB,venir,10
167,30,4,co,co,PRO:invar,30,Prn,Prn,ce,C/V\,PRON,ce,10
168,30,5,est,est,VER:pres:3:sg,30,Vfin,Vfin,être,/V\,VERB,être,10
169,30,6,la,la,DET:def:suj:femi:sg,30,Det,Det,le,C/V\,DET,le,10
170,30,7,some,some,NOM:suj:femi:sg,30,N,N,,'C/V\.C/(e)\,NOUN,somme,8
171,31,1,li,li,DET:def:suj:masc:pl,31,Det,Det,le,C/V\,DET,le,10
172,31,2,mangier,mangier,VER:infi,31,Vinf,Vinf,manger,C/V\.'C/V\,VERB,manger,10
173,31,3,furent,furent,VER:simp:3:pl,31,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
174,31,4,cointe,cointe,ADJ:suj:masc:pl,31,Adj,Adj,,'C/V\.C/(e)\,ADJ,cointe,8
175,31,5,et,et,CON:coord,31,Crd,Crd,et,/V\,CCONJ,et,10
176,31,6,rice,rice,ADJ:suj:masc:pl,31,Adj,Adj,riche,'C/V\.C/(e)\,ADJ,riche,10
177,32,1,pepins,pepins,NPR:suj:masc:sg,32,N,N,,C/V\.'C/V\,NOUN,pépin,6
178,32,2,s,s,PROCON,32,Prn,Prn$$,se,C/\,PRON,se,10
179,32,3,asist,asist,VER:simp:3:sg,32,Vfin,Vfin,asseoir,/V\.'C/V\,VERB,asseoir,10
180,32,4,et,et,CON:coord,32,Crd,Crd,et,/V\,CCONJ,et,10
181,32,5,tot,tot,DET:ind:suj:masc:pl,32,QIs,QIs,tout,C/V\,DET,tout,10
182,32,6,li,li,DET:def:suj:masc:pl,32,Det,Det,le,C/V\,DET,le,10
183,32,7,prince,prince,NOM:suj:masc:pl,32,N,N,,'C/V\.C/(e)\,NOUN,prince,8
184,33,1,onques,onques,ADV,33,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10
185,33,2,rois,rois,NOM:suj:masc:sg,33,N,N,,C/V\,NOUN,roi,3
186,33,3,ne,ne,PRO:clit,33,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
187,33,4,fu,fu,VER:simp:3:sg,33,Vfin,Vfin,être,C/V\,VERB,être,10
188,33,5,si,si,PROCON,33,Adv,Adv,si4,C/V\,ADV,si,10
189,33,6,servis,servis,VER:pper:masc:pl,33,Vpp,Vpp,servir,C/V\.'C/V\,VERB,servir,10
190,34,1,adont,adont,ADV,34,Adv,Adv,adonc,/V\.'C/V\,ADV,adonc,10
191,34,2,parla,parla,VER:simp:3:sg,34,Vfin,Vfin,parler,C/V\.'C/V\,VERB,parler,10
192,34,3,li,li,DET:def:suj:masc:sg,34,Det,Det,le,C/V\,DET,le,10
193,34,4,plus,plus,ADV,34,Adv,Adv,plus,C/V\,ADV,plus,10
