wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,1,1,nostre,nostre,DET:poss:suj:masc:sg,296,Det,Det,notre,'C/V\.C/(e)\,DET,notre,10
2,1,2,empereres,empereres,NOM:suj:masc:sg,296,N,N,,/V\.C/e\.'C/V\.C/e\,NOUN,empereur,9
3,1,3,ama,ama,VER:simp:3:sg,296,Vfin,Vfin,aimer,/V\.'C/V\,VERB,aimer,10
4,1,4,molt,molt,ADV,296,QIs,QIs,moult,C/V\,ADV,moult,10
5,1,5,le,le,DET:def:obj:masc:sg,296,Det,Det,le,C/(e)\,DET,le,10
6,1,6,meschin,meschin,NOM:obj:masc:sg,296,N,N,,C/V\.'C/V\,NOUN,méchin,5
7,2,1,l,l',DET:def:obj:femi:sg,297,Det,Det,le,C/\,DET,le,10
8,2,2,erme,erme,NOM:obj:femi:sg,297,N,N,,'/V\.C/(e)\,NOUN,herme,6
9,2,3,li,li,PRO:pers:suj:3:masc:sg:bet,297,Prn,Prn$$,li,C/V\,PRON,li,10
10,2,4,donne,donne,VER:pres:3:sg,297,Vfin,Vfin,donner,'C/V\.C/(e)\,VERB,donner,10
11,2,5,qi,qi,PROCON,297,Qux,Qux,qui,C/V\,PRON,qui,10
12,2,6,fu,fu,VER:simp:3:sg,297,Vfin,Vfin,être,C/V\,VERB,être,10
13,2,7,au,au,PREDET:a:obj:masc:sg,297,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
14,2,8,sarrazin,sarrazin,NOM:obj:masc:sg,297,N,N,,C/V\.C/V\.'C/V\,NOUN,sarrasin,8
15,3,1,q,q,PROCON,298,Qux,Qux,que,C/\,ADJ|ADV|DET|PRON,que,10
16,3,2,ocist,ocist,VER:simp:3:sg,298,Vfin,Vfin,occire,/V\.'C/V\,VERB,occire,10
17,3,3,rolans,rolans,NPR:suj:masc:sg,298,N,N,,C/V\.'C/V\,NOUN,Roland,2
18,3,4,desor,desor,ADV,298,PrA,PrA,desur,C/V\.'C/V\,ADP,desur,10
19,3,5,l,l',DET:def:obj:femi:sg,298,Det,Det,le,C/\,DET,le,10
20,3,6,aigue,aigue,NOM:obj:femi:sg,298,N,N,,'/V\.C/(e)\,NOUN,aigue,8
21,3,7,del,del,PREDET:de:obj:masc:sg,298,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
22,3,8,rin,rin,NPR:obj:masc:sg,298,N,N,,C/V\,NOUN,rin,8
23,4,1,desor,desor,ADV,299,PrA,PrA,desur,C/V\.'C/V\,ADP,desur,10
24,4,2,la,la,DET:def:obj:femi:sg,299,Det,Det,le,C/V\,DET,le,10
25,4,3,coife,coife,NOM:obj:femi:sg,299,N,N,,'C/V\.C/(e)\,NOUN,coiffe,8
26,4,4,de,de,PRE,299,Pre,Pre,de,C/(e)\,ADP,de,10
27,4,5,l,l',DET:def:obj:masc:sg,299,Det,Det,le,C/\,DET,le,10
28,4,6,auberc,auberc,NOM:obj:masc:sg,299,N,N,,/V\.'C/V\,NOUN,auberc,6
29,4,7,doublentin,doublentin,ADJ:obj:masc:sg,299,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,doublentin,6
30,5,1,li,li,PRO:pers:suj:3:masc:sg:bet,300,Prn,Prn$$,li,C/V\,PRON,li,10
31,5,2,a,a,VER:pres:3:sg,300,Vfin,Vfin,avoir,/V\,VERB,avoir,10
32,5,3,assis,assis,VER:pper:masc:sg,300,Vpp,Vpp,asseoir,/V\.'C/V\,VERB,asseoir,10
33,5,4,puis,puis,ADV,300,PrA,PrA,puis,C/V\,ADV,puis,10
34,5,5,li,li,PRO:pers:suj:3:masc:sg:bet,300,Prn,Prn$$,li,C/V\,PRON,li,10
