wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1,Or,or,NOM,101,Adv,Adv,or2,/V\,ADV,or,10
2,dist,dist,VER,101,Vfin,Vfin,dire,C/V\,VERB,dire,10
3,li,li,DET:def,101,Det,Det,le,C/V\,DET,le,10
4,contes,contes,NOM,101,N,N,,'C/V\.C/e\,NOUN,conte,3
5,que,que,PROCON,101,Sub,Sub,que,C/(e)\,SCONJ,que,10
6,quant,quant,ADV,101,Sub,Sub,quand,C/V\,SCONJ,quand,10
7,Lanselos,lanselos,NPR,101,N,N,,C/V\.C/e\.'C/V\,PROPN,Lancelot,5
8,se,se,PRO:pers,101,Prn,Prn$$,se,C/(e)\,PRON,se,10
9,fu,fu,VER,101,Vfin,Vfin,être,C/V\,VERB,être,10
10,partis,partis,VER,101,Vpp,Vpp,partir,C/V\.'C/V\,VERB,partir,10
11,de,de,PRE,102,Pre,Pre,de,C/(e)\,ADP,de,10
12,la,la,DET:def,102,Det,Det,le,C/V\,DET,le,10
13,damoisele,damoisele,NOM,102,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,damoiselle,9
14,ki,ki,PROCON,102,Qux,Qux,qui,C/V\,PRON,qui,10
15,a,a,PRE,102,Pre,Pre,à,/V\,ADP,à,10
16,lui,lui,PRO:pers,102,Prn,Prn,lui,C/V\,PRON,lui,10
17,estoit,estoit,VER,102,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
18,venue,venue,VER,102,Vpp,Vpp,venir,C/V\.'C/V\./(e)\,VERB,venir,10
19,de,de,PRE,102,Pre,Pre,de,C/(e)\,ADP,de,10
20,par,par,PRE,102,Pre,Pre,par,C/V\,ADP,par,10
21,monsigneur,monsigneur,NOM,102,N,N,,C/V\.C/V\.'C/V\,NOUN,monseigneur,8
22,Tristran,tristran,NPR,103,N,N,,C/V\.'C/V\,PROPN,Tristan,9
23,",",",",PON,103,Pnc,Pnc,,,PUNCT,",",9
24,ensi,ensi,ADV,103,Adv,Adv,ainsi,/V\.'C/V\,ADV,ainsi,10
25,com,com,CON:subord,103,Sub,Sub,comme,C/V\,SCONJ,comme,10
26,je,je,PRO:pers,103,Prn,Prn$,je,C/(e)\,PRON,je,10
27,vous,vous,PRO:pers,103,Prn,Prn$$,vous,C/V\,PRON,vous,10
28,ai,ai,VER,103,Vfin,Vfin,avoir,/V\,VERB,avoir,10
29,conté,conté,VER,103,Vpp,Vpp,conter,C/V\.'C/V\,VERB,conter,10
30,",",",",PON,103,Pnc,Pnc,,,PUNCT,",",9
31,il,il,PRO:pers,103,Prn,Prn$,il,/V\,PRON,il,10
32,se,se,PRO:pers,103,Prn,Prn$$,se,C/(e)\,PRON,se,10
33,mist,mist,VER,103,Vfin,Vfin,mettre,C/V\,VERB,mettre,10
34,tout,tout,PRO:ind,103,QIs,QIs,tout,C/V\,ADV,tout,10
