wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,segnor,segnor,1,N,N,,C/V\.'C/V\,NOUN,seigneur,9,,
2,1,2,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
3,1,3,soiés,soiés,1,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
4,1,4,en,en,1,Pre,Pre,en,/V\,ADP,en,10,,
5,1,5,pais,pais,1,N,N,,C/V\,NOUN,paix,3,,
6,1,6,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
7,1,7,laisiés,laisiés,1,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10,,
8,1,8,la,la,1,Det,Det,le,C/V\,DET,le,10,,
9,1,9,noise,noise,1,N,N,,'C/V\.C/(e)\,NOUN,noise,8,,
10,1,10,ester,ester,1,Vinf,Vinf,être,/V\.'C/V\,VERB,être,10,,
11,1,11,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
12,2,1,se,se,2,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
13,2,2,vos,vos,2,Prn,Prn$,vous,C/V\,PRON,vous,10,,
14,2,3,volés,volés,2,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
15,2,4,cançon,cançon,2,N,N,,C/V\.'C/V\,NOUN,chanson,9,,
16,2,5,glorieuse,glorieuse,2,Adj,Adj,,C/V\.C/{V}\.'/V\.C/(e)\,ADJ,glorieux,9,,
17,2,6,escouter,escouter,2,Vinf,Vinf,écouter,/V\.C/V\.'C/V\,VERB,écouter,10,,
18,2,7,.,.,2,Pnc,Pnc,,,PUNCT,.,9,,
19,3,1,ja,ja,3,Adv,Adv,jà,C/V\,ADV,jà,10,,
20,3,2,de,de,3,Pre,Pre,de,C/(e)\,ADP,de,10,,
21,3,3,nule,nule,3,QIs,QIs,nul,'C/V\.C/(e)\,DET,nul,10,,
22,3,4,mellor,mellor,3,Adj,Adj,meilleur,C/V\.'C/V\,ADJ,meilleur,10,,
23,3,5,ne,ne,3,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
24,3,6,vos,vos,3,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
25,3,7,dira,dira,3,Vfin,Vfin,dire,C/V\.'C/V\,VERB,dire,10,,
26,3,8,jougler,jougler,3,N,N,,C/V\.'C/V\,PROPN|NOUN,jongler,8,,
27,3,9,;,;,3,Pnc,Pnc,,,PUNCT,;,9,,
28,4,1,ceste,ceste,4,Dem,Dem,cist,'C/V\.C/(e)\,DET,cist,10,,
29,4,2,chançon,chançon,4,N,N,,C/V\.'C/V\,NOUN,chanson,8,,
30,4,3,doit,doit,4,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
31,4,4,on,on,4,Prn,Prn%,on,/V\,PRON,on,10,,
32,4,5,cier,cier,4,Adj,Adj,cher,C/V\,ADJ,cher,10,,
33,4,6,tenir,tenir,4,Vinf,Vinf,tenir,C/V\.'C/V\,VERB,tenir,10,,
34,4,7,et,et,4,Crd,Crd,et,/V\,CCONJ,et,10,,
35,4,8,amer,amer,4,Vinf,Vinf,aimer,/V\.'C/V\,VERB,aimer,10,,
36,4,9,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
37,5,1,car,car,5,Crd,Crd,car,C/V\,CCONJ,car,10,,
38,5,2,tant,tant,5,QIs,QIs,tant,C/V\,ADV,tant,10,,
39,5,3,maint,maint,5,QIs,QIs,maint,C/V\,DET,maint,10,,
40,5,4,bon,bon,5,Adj,Adj,bon,C/V\,ADJ,bon,10,,
41,5,5,exanple,exanple,5,N,N,,/V\.'C/V\.C/(e)\,NOUN,exemple,0,,
42,5,6,i,i,5,Prn,Prn$$,y2,/V\,PRON,y,10,,
43,5,7,puet,puet,5,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
44,5,8,proudon,proudon,5,N,N,,C/V\.'C/V\,NOUN,prudhomme,9,,
45,5,9,trover,trover,5,Vinf,Vinf,trouver,C/V\.'C/V\,VERB,trouver,10,,
46,5,10,.,.,5,Pnc,Pnc,,,PUNCT,.,9,,
47,6,1,bien,bien,6,Adv,Adv,bien,C/V\,ADV,bien,10,,
48,6,2,vos,vos,6,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
49,6,3,puis,puis,6,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10,,
50,6,4,por,por,6,Pre,Pre,pour,C/V\,ADP,pour,10,,
51,6,5,voir,voir,6,N,N,voir2,C/V\,PROPN|NOUN,voir,10,,
52,6,6,dire,dire,6,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10,,
53,6,7,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
54,6,8,oiant,oiant,6,Vprs,Vprs,ouïr,/V\.'C/V\,VERB,ouïr,10,,
55,6,9,tos,tos,6,QIs,QIs,tout,C/V\,PRON,tout,10,,
56,6,10,affremer,affremer,6,Vinf,Vinf,,/V\.C/e\.'C/V\,VERB,affermer,9,,
57,7,1,c',c',7,Sub,Sub,que,C/\,SCONJ,que,10,,
58,7,2,ainc,ainc,7,Adv,Adv,onques,/V\,ADV,onques,10,,
59,7,3,miudre,miudre,7,Adj,Adj,meilleur,'C/V\.C/(e)\,ADJ,meilleur,10,,
60,7,4,ne,ne,7,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
61,7,5,fu,fu,7,Vfin,Vfin,être,C/V\,VERB,être,10,,
62,7,6,dite,dite,7,Vpp,Vpp,dire,'C/V\.C/(e)\,VERB,dire,10,,
63,7,7,",",",",7,Pnc,Pnc,,,PUNCT,",",9,,
64,7,8,qui,qui,7,Qux,Qux,qui,C/V\,PRON,qui,10,,
