wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,a,a,1,Pre,Pre,à,/V\,ADP,à,10,,
2,1,2,l',l',1,Det,Det,le,C/\,DET,le,10,,
3,1,3,issue,issue,1,N,N,,/V\.'C/V\./(e)\,NOUN,issue,8,,
4,1,4,d',d',1,Pre,Pre,de,C/\,ADP,de,10,,
5,1,5,avrill,avrill,1,N,N,,/V\.'C/V\,NOUN,avril,9,,
6,1,6,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
7,1,7,un,un,1,QIs,QIs,un,/V\,DET,un,10,,
8,1,8,tans,tans,1,N,N,,C/V\,NOUN,temps,3,,
9,1,9,douç,douç,1,Adj,Adj,doux,C/V\,ADJ,doux,10,,
10,1,10,et,et,1,Crd,Crd,et,/V\,CCONJ,et,10,,
11,1,11,joli,joli,1,Adj,Adj,,C/V\.'C/V\,ADJ,joli,6,,
12,1,12,",",",",1,Pnc,Pnc,,,PUNCT,",",9,,
13,2,1,que,que,2,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
14,2,2,herbeletes,herbeletes,2,N,N,,/V\.C/e\.'C/V\.C/e\,NOUN,herbelette,6,,
15,2,3,pongnent,pongnent,2,Vfin,Vfin,poindre,'C/V\.C/e\,VERB,poindre,10,,
16,2,4,et,et,2,Crd,Crd,et,/V\,CCONJ,et,10,,
17,2,5,pre,pre,2,N,N,,C/V\,PROPN|NOUN,prêt|pré,-1,pré,DMF
18,2,6,sont,sont,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
19,2,7,raverdi,raverdi,2,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,raverdir,9,,
20,3,1,et,et,3,Crd,Crd,et,/V\,CCONJ,et,10,,
21,3,2,arbrissel,arbrissel,3,N,N,,/V\.C/V\.'C/V\,NOUN,arbrisseau,9,,
22,3,3,desirent,desirent,3,Vfin,Vfin,désirer,C/V\.'C/V\.C/e\,VERB,désirer,10,,
23,3,4,qu',qu',3,Sub,Sub,que,C/\,SCONJ,que,10,,
24,3,5,il,il,3,Prn,Prn$,il,/V\,PRON,il,10,,
25,3,6,fussent,fussent,3,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10,,
26,3,7,parflori,parflori,3,Vpp,Vpp,,C/V\.C/V\.'C/V\,VERB,parfleurir,-10,par.fleurir,DMF (fleurir)
27,3,8,",",",",3,Pnc,Pnc,,,PUNCT,",",9,,
28,4,1,tout,tout,4,QIs,QIs,tout,C/V\,ADV,tout,10,,
29,4,2,droit,droit,4,Adv,Adv,droit2,C/V\,ADV,droit,10,,
30,4,3,en,en,4,Pre,Pre,en,/V\,ADP,en,10,,
31,4,4,cel,cel,4,Dem,Dem,cil,C/V\,DET,cil,10,,
32,4,5,termine,termine,4,N,N,,C/V\.'C/V\.C/(e)\,NOUN,termine,8,,
33,4,6,que,que,4,Qux,Qux,que,C/(e)\,PRON,que,10,,
34,4,7,je,je,4,Prn,Prn,je,C/(e)\,PRON,je,10,,
35,4,8,ici,ici,4,Adv,Adv,ici,/V\.'C/V\,ADV,ici,10,,
36,4,9,vous,vous,4,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
37,4,10,di,di,4,Vfin,Vfin,dire,C/V\,VERB,dire,10,,
38,4,11,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
39,5,1,a,a,5,Pre,Pre,à,/V\,ADP,à,10,,
40,5,2,paris,paris,5,N,N,,C/V\.'C/V\,NOUN,Paris,5,,
41,5,3,la,la,5,Det,Det,le,C/V\,DET,le,10,,
42,5,4,cité,cité,5,N,N,,C/V\.'C/V\,NOUN,cité,8,,
43,5,5,estoie,estoie,5,Vfin,Vfin,être,/V\.'C/V\./(e)\,VERB,être,10,,
44,5,6,un,un,5,QIs,QIs,un,/V\,DET,un,10,,
45,5,7,venredi,venredi,5,N,N,,C/V\.C/e\.'C/V\,NOUN,vendredi,9,,
46,5,8,;,;,5,Pnc,Pnc,,,PUNCT,;,9,,
47,6,1,pour,pour,6,Pre,Pre,pour,C/V\,ADP,pour,10,,
48,6,2,ce,ce,6,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
49,6,3,qu',qu',6,Sub,Sub,que,C/\,SCONJ,que,10,,
50,6,4,il,il,6,Prn,Prn$,il,/V\,PRON,il,10,,
51,6,5,ert,ert,6,Vfin,Vfin,être,/V\,VERB,être,10,,
52,6,6,devenres,devenres,6,Adj,Adj,,C/V\.'C/V\.C/e\,ADJ,divenres,-1,divenres,DMF (= vendredi)
53,6,7,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
54,6,8,en,en,6,Pre,Pre,en,/V\,ADP,en,10,,
55,6,9,mon,mon,6,Det,Det,mon,C/V\,DET,mon,10,,
56,6,10,cuer,cuer,6,N,N,,C/V\,NOUN,coeur,3,,
57,6,11,m',m',6,Prn,Prn$$,me,C/\,PRON,me,10,,
58,6,12,assenti,assenti,6,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,assentir,9,,
59,7,1,k',k',7,Sub,Sub,que,C/\,SCONJ,que,10,,
60,7,2,a,a,7,Pre,Pre,à,/V\,ADP,à,10,,
61,7,3,saint,saint,7,Adj,Adj,saint,C/V\,ADJ,saint,10,,
62,7,4,denis,denis,7,N,N,,C/V\.'C/V\,NOUN,Denis,2,,
63,7,5,iroie,iroie,7,Vfin,Vfin,aller,/V\.'C/V\./(e)\,VERB,aller,10,,
64,7,6,por,por,7,Pre,Pre,pour,C/V\,ADP,pour,10,,
65,7,7,priier,priier,7,Vinf,Vinf,prier,C/V\.'C/V\,VERB,prier,10,,
66,7,8,dieu,dieu,7,N,N,,C/V\,PROPN,Dieu,3,dieu,
67,7,9,merci,merci,7,N,N,,C/V\.'C/V\,NOUN,merci,8,,
68,7,10,.,.,7,Pnc,Pnc,,,PUNCT,.,9,,
69,8,1,a,a,8,Pre,Pre,à,/V\,ADP,à,10,,
70,8,2,un,un,8,QIs,QIs,un,/V\,DET,un,10,,
71,8,3,moine,moine,8,N,N,,'C/V\.C/(e)\,NOUN,moine,8,,
72,8,4,courtois,courtois,8,Adj,Adj,,C/V\.'C/V\,ADJ,courtois,9,,
73,8,5,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
74,8,6,c',c',8,Qux,Qux,que,C/\,PRON,que,10,,
75,8,7,on,on,8,Prn,Prn$,on,/V\,PRON,on,10,,
76,8,8,nonmoit,nonmoit,8,Vfin,Vfin,,C/V\.'C/V\,VERB,nommer,9,,
77,8,9,savari,savari,8,N,N,,C/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,Savari,
78,8,10,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
79,9,1,m',m',9,Prn,Prn$$,me,C/\,PRON,me,10,,
80,9,2,acointai,acointai,9,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,accointer,9,,
81,9,3,telement,telement,9,Adv,Adv,,C/V\.C/e\.'C/V\,ADV,tellement,9,,
82,9,4,",",",",9,Pnc,Pnc,,,PUNCT,",",9,,
83,9,5,damedieu,damedieu,9,N,N,,C/V\.C/e\.'C/V\,PROPN|NOUN,damedieu,8,,
84,9,6,en,en,9,Prn,Prn$$,en2,/V\,PRON,en,10,,
85,9,7,graci,graci,9,Vfin,Vfin,,C/V\.'C/V\,VERB,gracier,8,,
86,9,8,",",",",9,Pnc,Pnc,,,PUNCT,",",9,,
87,10,1,que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
88,10,2,le,le,10,Det,Det,le,C/(e)\,DET,le,10,,
89,10,3,livre,livre,10,N,N,,'C/V\.C/(e)\,NOUN,livre,3,,
90,10,4,as,as,10,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
91,10,5,estoires,estoires,10,N,N,,/V\.'C/V\.C/e\,NOUN,histoire,9,,
92,10,6,me,me,10,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
93,10,7,moustra,moustra,10,Vfin,Vfin,montrer,C/V\.'C/V\,VERB,montrer,10,,
94,10,8,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10,,
95,10,9,g',g',10,Prn,Prn$,je,C/\,PRON,je,10,,
96,10,10,i,i,10,Prn,Prn$$,y2,/V\,PRON,y,10,,
97,10,11,vi,vi,10,Vfin,Vfin,voir,C/V\,VERB,voir,10,,
98,11,1,l',l',11,Det,Det,le,C/\,DET,le,10,,
99,11,2,estoire,estoire,11,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
100,11,3,de,de,11,Pre,Pre,de,C/(e)\,ADP,de,10,,
101,11,4,bertain,bertain,11,N,N,,C/V\.'C/V\,NOUN,bertain,-10,Berthe,DMF
102,11,5,et,et,11,Crd,Crd,et,/V\,CCONJ,et,10,,
103,11,6,de,de,11,Pre,Pre,de,C/(e)\,ADP,de,10,,
104,11,7,pepin,pepin,11,N,N,,C/V\.'C/V\,NOUN,pépin,5,Pépin,
105,11,8,aussi,aussi,11,Adv,Adv,aussi,/V\.'C/V\,ADV,aussi,10,,
106,12,1,conment,conment,12,Qux,Qux,comment,C/V\.'C/V\,ADV,comment,10,,
107,12,2,n',n',12,Crd,Crd,ne2,C/\,CCONJ,ne,10,,
108,12,3,en,en,12,Pre,Pre,en,/V\,ADP,en,10,,
109,12,4,quel,quel,12,Qux,Qux,quel,C/V\,DET,quel,10,,
110,12,5,maniere,maniere,12,N,N,,C/V\.'C/V\.C/(e)\,NOUN,manière,8,,
111,12,6,le,le,12,Det,Det,le,C/(e)\,DET,le,10,,
112,12,7,lion,lion,12,N,N,,C/V\.'C/V\,NOUN,lion,9,,
113,12,8,assailli,assailli,12,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,assaillir,9,,
114,12,9,;,;,12,Pnc,Pnc,,,PUNCT,;,9,,
115,13,1,aprentiç,aprentiç,13,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,apprenti,DMF
116,13,2,jougleour,jougleour,13,N,N,,C/V\.C/(V)\.'/V\,NOUN,jongleur,9,,
117,13,3,et,et,13,Crd,Crd,et,/V\,CCONJ,et,10,,
118,13,4,escrivain,escrivain,13,N,N,,/V\.C/V\.'C/V\,PROPN|NOUN,écrivain,8,,
119,13,5,mari,mari,13,Vpp,Vpp,marrir,C/V\.'C/V\,VERB,marrir,10,,
120,13,6,",",",",13,Pnc,Pnc,,,PUNCT,",",9,,
121,14,1,qui,qui,14,Qux,Qux,qui,C/V\,PRON,qui,10,,
122,14,2,l',l',14,Prn,Prn$$,le,C/\,PRON,le,10,,
123,14,3,ont,ont,14,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
124,14,4,de,de,14,Pre,Pre,de,C/(e)\,ADP,de,10,,
125,14,5,lieus,lieus,14,N,N,,C/V\,NOUN,lieu,3,,
126,14,6,en,en,14,Pre,Pre,en,/V\,ADP,en,10,,
127,14,7,lieus,lieus,14,N,N,,C/V\,NOUN,lieu,3,,
128,14,8,ça,ça,14,Adv,Adv,çà,C/V\,ADV,çà,10,,
129,14,9,et,et,14,Crd,Crd,et,/V\,CCONJ,et,10,,
130,14,10,la,la,14,Adv,Adv,là,C/V\,ADV,là,10,,
131,14,11,conqueilli,conqueilli,14,Vpp,Vpp,concueillir,C/V\.C/e\.'C/V\,VERB,concueillir,10,,
132,14,12,",",",",14,Pnc,Pnc,,,PUNCT,",",9,,
133,15,1,ont,ont,15,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
134,15,2,l',l',15,Det,Det,le,C/\,DET,le,10,,
135,15,3,estoire,estoire,15,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
136,15,4,faussee,faussee,15,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,fausser,8,,
137,15,5,",",",",15,Pnc,Pnc,,,PUNCT,",",9,,
138,15,6,onques,onques,15,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10,,
139,15,7,mais,mais,15,Adv,Adv,mais,C/V\,ADV,mais,10,,
140,15,8,ne,ne,15,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
141,15,9,vi,vi,15,Vfin,Vfin,voir,C/V\,VERB,voir,10,,
142,15,10,si,si,15,Adv,Adv,si4,C/V\,ADV,si,10,,
143,15,11,.,.,15,Pnc,Pnc,,,PUNCT,.,9,,
144,16,1,ilueques,ilueques,16,Adv,Adv,illuec,/V\.'C/V\.C/e\,ADV,illuec,10,,
145,16,2,demorai,demorai,16,Vfin,Vfin,demeurer,C/V\.C/V\.'C/V\,VERB,demeurer,10,,
146,16,3,de,de,16,Pre,Pre,de,C/(e)\,ADP,de,10,,
147,16,4,lors,lors,16,Adv,Adv,lors,C/V\,ADV,lors,10,,
148,16,5,jusqu',jusqu',16,PrA,PrA,jusque,C/V\,ADP,jusque,10,,
149,16,6,au,au,16,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
150,16,7,mardi,mardi,16,N,N,,C/V\.'C/V\,NOUN,mardi,9,,
151,17,1,tant,tant,17,QIs,QIs,tant,C/V\,ADV,tant,10,,
152,17,2,que,que,17,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
153,17,3,la,la,17,Det,Det,le,C/V\,DET,le,10,,
154,17,4,vraie,vraie,17,Adj,Adj,vrai,'C/V\./(e)\,ADJ,vrai,10,,
155,17,5,estoire,estoire,17,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
156,17,6,enportai,enportai,17,Vfin,Vfin,emporter,/V\.C/V\.'C/V\,VERB,emporter,10,,
157,17,7,avoec,avoec,17,PrA,PrA,avec,/V\.'C/V\,ADP,avec,10,,
158,17,8,mi,mi,17,Prn,Prn,moi,C/V\,PRON,moi,10,,
159,17,9,",",",",17,Pnc,Pnc,,,PUNCT,",",9,,
160,18,1,si,si,18,Adv,Adv,si4,C/V\,ADV,si,10,,
161,18,2,conme,conme,18,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10,,
162,18,3,berte,berte,18,N,N,,'C/V\.C/(e)\,NOUN,Berthe,2,,
163,18,4,fu,fu,18,Vfin,Vfin,être,C/V\,VERB,être,10,,
164,18,5,en,en,18,Pre,Pre,en,/V\,ADP,en,10,,
165,18,6,la,la,18,Det,Det,le,C/V\,DET,le,10,,
166,18,7,forest,forest,18,N,N,,C/V\.'C/V\,NOUN,forêt,9,,
167,18,8,par,par,18,Pre,Pre,par,C/V\,ADP,par,10,,
168,18,9,li,li,18,Prn,Prn,li,C/V\,PRON,li,10,,
169,18,10,",",",",18,Pnc,Pnc,,,PUNCT,",",9,,
170,19,1,ou,ou,19,Qux,Qux,où,/V\,PRON,où,10,,
171,19,2,mainte,mainte,19,QIs,QIs,maint,'C/V\.C/(e)\,DET,maint,10,,
172,19,3,grosse,grosse,19,Adj,Adj,,'C/V\.C/(e)\,ADJ,gros,3,,
173,19,4,paine,paine,19,N,N,,'C/V\.C/(e)\,NOUN,peine,8,,
174,19,5,endura,endura,19,Vfin,Vfin,,/V\.C/V\.'C/V\,VERB,endurer,9,,
175,19,6,et,et,19,Crd,Crd,et,/V\,CCONJ,et,10,,
176,19,7,soufri,soufri,19,Vfin,Vfin,souffrir,C/V\.'C/V\,VERB,souffrir,10,,
177,19,8,.,.,19,Pnc,Pnc,,,PUNCT,.,9,,
178,20,1,l',l',20,Det,Det,le,C/\,DET,le,10,,
179,20,2,estoire,estoire,20,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
180,20,3,iert,iert,20,Vfin,Vfin,être,/V\,VERB,être,10,,
181,20,4,si,si,20,Adv,Adv,si4,C/V\,ADV,si,10,,
182,20,5,rimee,rimee,20,Vpp,Vpp,,C/V\.'C/V\./(e)\,VERB,rimer,8,,
183,20,6,",",",",20,Pnc,Pnc,,,PUNCT,",",9,,
184,20,7,par,par,20,Pre,Pre,par,C/V\,ADP,par,10,,
185,20,8,foi,foi,20,N,N,,C/V\,NOUN,foi,8,,
186,20,9,le,le,20,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
187,20,10,vous,vous,20,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
188,20,11,plevi,plevi,20,Vfin,Vfin,,C/V\.'C/V\,VERB,plevir,9,,
189,20,12,",",",",20,Pnc,Pnc,,,PUNCT,",",9,,
190,21,1,que,que,21,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
191,21,2,li,li,21,Det,Det,le,C/V\,DET,le,10,,
192,21,3,mesentendant,mesentendant,21,Vprs,Vprs,mésentendre,C/V\.C/V\.C/V\.'C/V\,VERB,mésentendre,10,,
193,21,4,en,en,21,Prn,Prn$$,en2,/V\,PRON,en,10,,
194,21,5,seront,seront,21,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
195,21,6,abaudi,abaudi,21,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,abaudir,0,,
196,22,1,et,et,22,Crd,Crd,et,/V\,CCONJ,et,10,,
197,22,2,li,li,22,Det,Det,le,C/V\,DET,le,10,,
198,22,3,bien,bien,22,Adv,Adv,bien,C/V\,ADV,bien,10,,
199,22,4,entendant,entendant,22,Vprs,Vprs,entendre,/V\.C/V\.'C/V\,VERB,entendre,10,,
200,22,5,en,en,22,Prn,Prn$$,en2,/V\,PRON,en,10,,
201,22,6,seront,seront,22,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
202,22,7,esjoÿ,esjoÿ,22,Vpp,Vpp,éjouir,/V\.C/V\.'C/V\,VERB,éjouir,10,,
203,22,8,.,.,22,Pnc,Pnc,,,PUNCT,.,9,,
204,23,1,a,a,23,Pre,Pre,à,/V\,ADP,à,10,,
205,23,2,cel,cel,23,Dem,Dem,cil,C/V\,DET,cil,10,,
206,23,3,tans,tans,23,N,N,,C/V\,NOUN,temps,3,,
207,23,4,dont,dont,23,Qux,Qux,dont,C/V\,PRON,dont,10,,
208,23,5,vous,vous,23,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
209,23,6,ai,ai,23,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
210,23,7,l',l',23,Det,Det,le,C/\,DET,le,10,,
211,23,8,estoire,estoire,23,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
212,23,9,conmencie,conmencie,23,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\./(e)\,VERB,commencer,10,,
213,24,1,avoit,avoit,24,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
214,24,2,un,un,24,QIs,QIs,un,/V\,DET,un,10,,
215,24,3,roi,roi,24,N,N,,C/V\,NOUN,roi,8,,
216,24,4,en,en,24,Pre,Pre,en,/V\,ADP,en,10,,
217,24,5,france,france,24,N,N,,'C/V\.C/(e)\,NOUN,France,5,,
218,24,6,de,de,24,Pre,Pre,de,C/(e)\,ADP,de,10,,
219,24,7,molt,molt,24,QIs,QIs,moult,C/V\,ADV,moult,10,,
220,24,8,grant,grant,24,Adj,Adj,grand,C/V\,ADJ,grand,10,,
221,24,9,seignorie,seignorie,24,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,seigneurie,8,,
222,24,10,",",",",24,Pnc,Pnc,,,PUNCT,",",9,,
223,25,1,qui,qui,25,Qux,Qux,qui,C/V\,PRON,qui,10,,
224,25,2,molt,molt,25,QIs,QIs,moult,C/V\,ADV,moult,10,,
225,25,3,fu,fu,25,Vfin,Vfin,être,C/V\,VERB,être,10,,
226,25,4,fel,fel,25,Adj,Adj,félon,C/V\,ADJ,félon,10,,
227,25,5,et,et,25,Crd,Crd,et,/V\,CCONJ,et,10,,
228,25,6,fiers,fiers,25,Adj,Adj,fier,C/V\,ADJ,fier,10,,
229,25,7,et,et,25,Crd,Crd,et,/V\,CCONJ,et,10,,
230,25,8,de,de,25,Pre,Pre,de,C/(e)\,ADP,de,10,,
231,25,9,grant,grant,25,Adj,Adj,grand,C/V\,ADJ,grand,10,,
232,25,10,estoutie,estoutie,25,N,N,,/V\.C/V\.'C/V\./(e)\,NOUN,estoutie,8,,
