wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,onques,onques,ADV,13,Adv,Adv,onques,'/V\.C/e\,ADV,onques,10,,
2,1,2,d',d,PRE,13,Pre,Pre,de,C/\,ADP,de,10,,
3,1,3,arras,arras,NPR:obj:masc:sg,13,N,N,,/V\.'C/V\,NOUN,arras,8,,
4,1,4,bons,bons,ADJ:suj:masc:sg,13,Adj,Adj,bon,C/V\,ADJ,bon,10,,
5,1,5,clers,clers,NOM:suj:masc:sg,13,N,N,,C/V\,NOUN,clerc,3,,
6,1,6,n,n,PRO:clit,13,Neg,Neg$$,ne,C/\,ADV,ne,10,,
7,1,7,issi,issi,VER:simp:3:sg,13,Vfin,Vfin,issir,/V\.'C/V\,VERB,issir,10,,
8,2,1,et,et,CON:coord,14,Crd,Crd,et,/V\,CCONJ,et,10,,
9,2,2,tu,tu,PRO:pers:suj:2:sg:unb,14,Prn,Prn$,tu,C/V\,PRON,tu,10,,
10,2,3,le,le,PRO:pers:obj:3:masc:sg:unb,14,Prn,Prn$$,le,C/(e)\,PRON,le,10,,
11,2,4,veus,veus,VER:pres:2:sg,14,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10,,
12,2,5,faire,faire,VER:infi,14,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
13,2,6,de,de,PRE,14,Pre,Pre,de,C/(e)\,ADP,de,10,,
14,2,7,ti,ti,PRO:pers:obj:2:sg:bet,14,Prn,Prn,toi,C/V\,PRON,toi,10,,
15,3,1,che,che,PRO:invar,15,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
16,3,2,seroit,seroit,VER:cond:3:sg,15,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
17,3,3,grans,grans,ADJ:suj:femi:sg,15,Adj,Adj,grand,C/V\,ADJ,grand,10,,
18,3,4,abusions,abusions,NOM:suj:femi:sg,15,N,N,,/V\.C/V\.C/{V}\.'/V\,NOUN,abusion,8,,
