wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,li,li,DET:def:suj:masc:sg,9,Det,Det,le,C/V\,DET,le,10,,
2,1,2,estur,estur,NOM:suj:masc:sg,9,N,N,,/V\.'C/V\,NOUN,estour,9,,
3,1,3,fut,fut,VER:simp:3:sg,9,Vfin,Vfin,être,C/V\,VERB,être,10,,
4,1,4,fier,fier,ADJ:suj:masc:sg,9,Adj,Adj,fier,C/V\,ADJ,fier,10,,
5,1,5,e,e,CON:coord,9,Crd,Crd,et,/V\,CCONJ,et,10,,
6,1,6,pesant,pesant,VER:ppre,9,Vprs,Vprs,peser,C/V\.'C/V\,VERB,peser,10,,
7,2,1,e,e,CON:coord,10,Crd,Crd,et,/V\,CCONJ,et,10,,
8,2,2,la,la,DET:def:suj:femi:sg,10,Det,Det,le,C/V\,DET,le,10,,
9,2,3,bataille,bataille,NOM:suj:femi:sg,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8,,
10,2,4,fut,fut,VER:simp:3:sg,10,Vfin,Vfin,être,C/V\,VERB,être,10,,
11,2,5,mut,mut,ADV,10,QIs,QIs,moult,C/V\,ADV,moult,10,,
12,2,6,grant,grant,ADJ:suj:femi:sg,10,Adj,Adj,grand,C/V\,ADJ,grand,10,,
13,3,1,es,es,ADV,11,NVP,NVP,es2,/V\,ADV,es,10,,
14,3,2,lor,lor,PRO:pers:dat:3:pl,11,Prn,Prn,leur,C/V\,PRON,leur,10,,
15,3,3,puinnant,puinnant,VER:ppre,11,Vprs,Vprs,poindre,C/V\.'C/V\,VERB,poindre,10,,
16,3,4,gautier,gautier,NPR:obj:masc:sg,11,N,N,,C/V\.'C/V\,NOUN,gautier,8,,
17,3,5,de,de,PRE,11,Pre,Pre,de,C/(e)\,ADP,de,10,,
18,3,6,maus,maus,NPR:obj:masc:sg,11,N,N,mal,C/V\,PROPN|NOUN,mal,10,,
19,4,1,fiz,fiz,NOM:obj:masc:sg,12,N,N,,C/V\,NOUN,fils,8,,
20,4,2,erneis,erneis,NOM:obj:masc:sg,12,N,N,,/V\.C/(V)\.'/V\,PROPN|NOUN,UNKNOWN,-10,Erneis,Name
21,4,3,un,un,DET:ndf:obj:masc:sg,12,QIs,QIs,un,/V\,DET,un,10,,
22,4,4,duc,duc,NOM:obj:masc:sg,12,N,N,,C/V\,NOUN,duc,8,,
23,4,5,franceis,franceis,ADJ:obj:masc:sg,12,Adj,Adj,français,C/V\.'C/V\,ADJ,français,10,,
24,5,1,e,e,CON:coord,13,Crd,Crd,et,/V\,CCONJ,et,10,,
25,5,2,vit,vit,VER:simp:3:sg,13,Vfin,Vfin,voir,C/V\,VERB,voir,10,,
26,5,3,gormund,gormund,NPR:obj:masc:sg,13,N,N,,C/V\.'C/V\,NOUN,gormon,-10,Gormond,Gormond et Isembart - Wikipedia 
27,5,4,el,el,PREDET:en:obj:masc:sg,13,Pre+Det,Pre+Det,en.le,/V\,ADP.DET,en.le,10,,
28,5,5,pui,pui,NOM:obj:masc:sg,13,N,N,,C/V\,NOUN,puy,8,,
29,5,6,estant,estant,VER:ppre,13,Vprs,Vprs,être,/V\.'C/V\,VERB,être,10,,
30,6,1,s,s,PROCON,14,Sub,Sub,si3,C/\,SCONJ,si,10,,
31,6,2,il,il,PRO:pers:suj:3:masc:sg:unb,14,Prn,Prn$,il,/V\,PRON,il,10,,
32,6,3,lores,lores,ADV,14,Adv,Adv,lors,'C/V\.C/e\,ADV,lors,10,,
33,6,4,ne,ne,PRO:clit,14,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
34,6,5,joste,joste,VER:pres:3:sg,14,Vfin,Vfin,,'C/V\.C/(e)\,VERB,jouter,8,,
35,6,6,a,a,PRE,14,Pre,Pre,à,/V\,ADP,à,10,,
36,6,7,lui,lui,PRO:pers:obj:3:masc:sg:bet,14,Prn,Prn,lui,C/V\,PRON,lui,10,,
37,6,8,a,a,PRE,14,Pre,Pre,à,/V\,ADP,à,10,,
38,6,9,en,en,PRE,14,Pre,Pre,en,/V\,ADP,en,10,,
39,6,10,camp,camp,NOM:obj:masc:sg,14,N,N,,C/V\,NOUN,champ,3,,
40,7,1,dunc,dunc,ADV,15,Adv,Adv,donc,C/V\,ADV,donc,10,,
41,7,2,se,se,PROCON,15,Prn,Prn$$,se,C/(e)\,PRON,se,10,,
42,7,3,tendra,tendra,VER:futu:3:sg,15,Vfin,Vfin,tenir,C/V\.'C/V\,VERB,tenir,10,,
43,7,4,pur,pur,PRE,15,Pre,Pre,pour,C/V\,ADP,pour,10,,
44,7,5,recreant,recreant,VER:ppre,15,Vprs,Vprs,recroire,C/V\.C/e\.'C/V\,VERB,recroire,10,,
45,8,1,des,des,PREDET:de:obj:masc:pl,16,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
46,8,2,espuruns,espuruns,NOM:obj:masc:pl,16,N,N,,/V\.C/V\.'C/V\,NOUN,éperon,0,,
47,8,3,point,point,VER:pres:3:sg,16,Vfin,Vfin,poindre,C/V\,VERB,poindre,10,,
48,8,4,l,l,DET:def:obj:masc:sg,16,Det,Det,le,C/\,DET,le,10,,
49,8,5,auferant,auferant,NOM:obj:masc:sg,16,N,N,,/V\.C/e\.'C/V\,PROPN|NOUN,auferrant,8,,
50,9,1,qu,qu,PROCON,17,Sub,Sub,que,C/\,SCONJ,que,10,,
51,9,2,il,il,PRO:pers:suj:3:masc:sg:unb,17,Prn,Prn$,il,/V\,PRON,il,10,,
52,9,3,en,en,PRO:clit,17,Prn,Prn$$,en2,/V\,PRON,en,10,,
53,9,4,fist,fist,VER:simp:3:sg,17,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
54,9,5,raer,raer,VER:infi,17,Vinf,Vinf,,C/(V)\.'/V\,VERB,rayer,0,,
55,9,6,le,le,DET:def:obj:masc:sg,17,Det,Det,le,C/(e)\,DET,le,10,,
56,9,7,sanc,sanc,NOM:obj:masc:sg,17,N,N,,C/V\,NOUN,sang,8,,
57,10,1,al,al,PREDET:a:obj:masc:sg,18,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
58,10,2,rei,rei,NOM:obj:masc:sg,18,N,N,,C/V\,NOUN,roi,8,,
59,10,3,gormund,gormund,NPR:obj:masc:sg,18,N,N,,C/V\.'C/V\,PROPN|NOUN,UNKNOWN,-10,Gormond,Gormond et Isembart - Wikipedia 
60,10,4,en,en,PRO:clit,18,Prn,Prn$$,en2,/V\,PRON,en,10,,
61,10,5,vint,vint,VER:simp:3:sg,18,Vfin,Vfin,venir,C/V\,VERB,venir,10,,
62,10,6,brochant,brochant,VER:ppre,18,Vprs,Vprs,,C/V\.'C/V\,VERB,brocher,9,,
63,11,1,si,si,PROCON,19,Adv,Adv,si4,C/V\,ADV,si,10,,
64,11,2,l,l,PRO:pers:obj:3:masc:sg:unb,19,Prn,Prn$$,le,C/\,PRON,le,10,,
