wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,puis,puis,1,PrA,PrA,puis,C/V\,ADP,puis,10,,
2,1,2,cel,cel,1,Dem,Dem,cil,C/V\,DET,cil,10,,
3,1,3,tens,tens,1,N,N,,C/V\,NOUN,temps,8,,
4,1,4,que,que,1,Qux,Qux,que,C/(e)\,PRON,que,10,,
5,1,5,deu,deu,1,N,N,,C/V\,PROPN,Dieu,3,,
6,1,6,fu,fu,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
7,1,7,ned,ned,1,Vpp,Vpp,naître,C/V\,VERB,naître,10,,
8,2,1,e,e,2,Crd,Crd,et,/V\,CCONJ,et,10,,
9,2,2,establi,establi,2,Vpp,Vpp,,/V\.C/V\.'C/V\,VERB,établir,8,,
10,2,3,fu,fu,2,Vfin,Vfin,être,C/V\,VERB,être,10,,
11,2,4,la,la,2,Det,Det,le,C/V\,DET,le,10,,
12,2,5,crestiented,crestiented,2,N,N,,C/V\.C/{V}\./V\.'C/V\,NOUN,chrétienté,0,,
13,2,6,",",",",2,Pnc,Pnc,,,PUNCT,",",9,,
14,3,1,multes,multes,3,QIs,QIs,moult,'C/V\.C/e\,DET,moult,10,,
15,3,2,aventures,aventures,3,N,N,,/V\.C/V\.'C/V\.C/e\,NOUN,aventure,8,,
16,3,3,sunt,sunt,3,Vfin,Vfin,être,C/V\,VERB,être,10,,
17,3,4,avenues,avenues,3,Vpp,Vpp,avenir,/V\.C/e\.'C/V\./e\,VERB,avenir,10,,
18,4,1,que,que,4,Qux,Qux,que,C/(e)\,ADJ|ADV|DET|PRON,que,10,,
19,4,2,a,a,4,Pre,Pre,à,/V\,ADP,à,10,,
20,4,3,tuz,tuz,4,QIs,QIs,tout,C/V\,DET,tout,10,,
21,4,4,homes,homes,4,N,N,,'/V\.C/e\,NOUN,homme,8,,
22,4,5,ne,ne,4,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
23,4,6,sunt,sunt,4,Vfin,Vfin,être,C/V\,VERB,être,10,,
24,4,7,seües,seües,4,Vpp,Vpp,savoir,C/(V)\.'/V\./e\,VERB,savoir,10,,
25,4,8,.,.,4,Pnc,Pnc,,,PUNCT,.,9,,
26,5,1,pur,pur,5,Pre,Pre,pour,C/V\,ADP,pour,10,,
27,5,2,ço,ço,5,Prn,Prn,ce,C/V\,PRON,ce,10,,
28,5,3,deit,deit,5,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
29,5,4,l',l',5,Det,Det,le,C/\,DET,le,10,,
30,5,5,om,om,5,Prn,Prn,on,/V\,PRON,on,10,,
31,5,6,mult,mult,5,QIs,QIs,moult,C/V\,ADV,moult,10,,
32,5,7,enquere,enquere,5,Vinf,Vinf,enquérir,/V\.'C/V\.C/(e)\,VERB,enquérir,10,,
33,6,1,e,e,6,Crd,Crd,et,/V\,CCONJ,et,10,,
34,6,2,pener,pener,6,Vinf,Vinf,pener,C/V\.'C/V\,VERB,pener,10,,
35,6,3,sei,sei,6,Prn,Prn,soi,C/V\,PRON,soi,10,,
36,6,4,de,de,6,Pre,Pre,de,C/(e)\,ADP,de,10,,
37,6,5,ben,ben,6,Adv,Adv,bien,C/V\,ADV,bien,10,,
38,6,6,faire,faire,6,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
39,6,7,",",",",6,Pnc,Pnc,,,PUNCT,",",9,,
40,7,1,e,e,7,Crd,Crd,et,/V\,CCONJ,et,10,,
41,7,2,des,des,7,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
42,7,3,boens,boens,7,Adj,Adj,bon,C/V\,ADJ,bon,10,,
43,7,4,prendre,prendre,7,Vinf,Vinf,prendre,'C/V\.C/(e)\,VERB,prendre,10,,
44,7,5,esperemenz,esperemenz,7,N,N,,/V\.C/V\.C/e\.'C/V\,NOUN,espérement,-10,esperement,DMF
45,7,6,",",",",7,Pnc,Pnc,,,PUNCT,",",9,,
46,8,1,des,des,8,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
47,8,2,faiz,faiz,8,N,N,,C/V\,NOUN,fait,3,,
48,8,3,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
49,8,4,des,des,8,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
50,8,5,diz,diz,8,N,N,,C/V\,PROPN|NOUN,dit,8,,
51,8,6,as,as,8,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10,,
52,8,7,anciens,anciens,8,Adj,Adj,,/V\.C/{V}\.'/V\,ADJ,ancien,8,,
53,9,1,qui,qui,9,Qux,Qux,qui,C/V\,PRON,qui,10,,
54,9,2,devant,devant,9,PrA,PrA,devant,C/V\.'C/V\,ADP,devant,10,,
55,9,3,nus,nus,9,Prn,Prn,nous,C/V\,PRON,nous,10,,
56,9,4,esteient,esteient,9,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10,,
57,9,5,;,;,9,Pnc,Pnc,,,PUNCT,;,9,,
58,10,1,aventures,aventures,10,N,N,,/V\.C/V\.'C/V\.C/e\,NOUN,aventure,8,,
59,10,2,beles,beles,10,Adj,Adj,beau,'C/V\.C/e\,ADJ,beau,10,,
60,10,3,lur,lur,10,Prn,Prn$$,leur,C/V\,PRON,leur,10,,
61,10,4,aveneient,aveneient,10,Vfin,Vfin,avenir,/V\.C/e\.'C/V\./e\,VERB,avenir,10,,
62,10,5,",",",",10,Pnc,Pnc,,,PUNCT,",",9,,
63,11,1,pur,pur,11,Pre,Pre,pour,C/V\,ADP,pour,10,,
64,11,2,ço,ço,11,Prn,Prn,ce,C/V\,PRON,ce,10,,
65,11,3,qu',qu',11,Sub,Sub,que,C/\,SCONJ,que,10,,
66,11,4,il,il,11,Prn,Prn$,il,/V\,PRON,il,10,,
67,11,5,ameient,ameient,11,Vfin,Vfin,aimer,/V\.'C/V\./e\,VERB,aimer,10,,
68,11,6,verité,verité,11,N,N,,C/V\.C/V\.'C/V\,NOUN,vérité,8,,
69,11,7,",",",",11,Pnc,Pnc,,,PUNCT,",",9,,
70,12,1,tut,tut,12,QIs,QIs,tout,C/V\,DET,tout,10,,
71,12,2,dis,dis,12,N,N,,C/V\,NOUN,di,3,,
72,12,3,fei,fei,12,N,N,,C/V\,NOUN,foi,8,,
73,12,4,e,e,12,Crd,Crd,et,/V\,CCONJ,et,10,,
74,12,5,lealté,lealté,12,N,N,,C/V\.C/V\.'C/V\,NOUN,loyauté,9,,
75,13,1,d',d',13,Pre,Pre,de,C/\,ADP,de,10,,
76,13,2,els,els,13,Prn,Prn,eux,/V\,PRON,eux,10,,
77,13,3,deit,deit,13,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
78,13,4,l',l',13,Det,Det,le,C/\,DET,le,10,,
79,13,5,om,om,13,Prn,Prn,on,/V\,PRON,on,10,,
80,13,6,ben,ben,13,Adv,Adv,bien,C/V\,ADV,bien,10,,
81,13,7,sovenir,sovenir,13,Vinf,Vinf,souvenir,C/V\.C/e\.'C/V\,VERB,souvenir,10,,
82,14,1,e,e,14,Crd,Crd,et,/V\,CCONJ,et,10,,
